horizon,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_ridge,mae_vs_ewma,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,weighted_bottom_mae,worst_machine_mae,base_model,reconciliation_method,unit,seed_mean,seed_std,seed_min,seed_max,seed_cv,stability_class,identical_hashes,fold_consistency,best_observed_note
1,1.3203317692824537,3.2480193378054416,1.1201279984259347,0.3813823742381097,0.0,0.05364448376033113,0.00132537642007956,0.0,0.0,0.0,58.511982609700844,64.18905746846728,120.62469127847794,persistence,independent,cpu_weighted_mean_pct,1.3203317692824537,0.0,1.3203317692824537,1.3203317692824537,0.0,deterministic,True,0.19491519599271806,
8,1.3159518625014526,3.2246153625388714,1.1155259607602044,0.3869966687414746,0.0,0.05582636822282442,0.0010022468781489045,0.0,0.0,0.0,58.297583655053735,63.96041552294502,117.44347670178195,persistence,independent,cpu_weighted_mean_pct,1.3159518625014526,0.0,1.3159518625014526,1.3159518625014526,0.0,deterministic,True,0.17816597179665639,
16,1.3277964819268033,3.2520672198275236,1.1260819921823182,0.38331140710627815,0.0,0.05585351936690466,0.001084942362187742,0.0,0.0,0.0,58.681452242001505,64.39305577971693,119.25103475232665,persistence,independent,cpu_weighted_mean_pct,1.3277964819268033,0.0,1.3277964819268033,1.3277964819268033,0.0,deterministic,True,0.18958700694936736,
1,1.3193233826605386,,,,-0.001303278188332608,0.052261265367707234,0.0,0.0,8.707022796286805e-14,8.707022796286805e-14,58.14056976217507,,,ewma,independent,cpu_weighted_mean_pct,1.3193233826605386,0.0,1.3193233826605386,1.3193233826605386,0.0,deterministic,True,0.20130783730967916,
8,1.315308507130118,,,,-0.0009811897778277397,0.05477661733311176,0.0,0.0,8.725990024545224e-14,8.725990024545224e-14,57.93952670907348,,,ewma,independent,cpu_weighted_mean_pct,1.315308507130118,0.0,1.315308507130118,1.315308507130118,0.0,deterministic,True,0.18468895922058498,
16,1.3268473718009102,,,,-0.0010734152260821119,0.05470490589130097,0.0,0.0,8.733551366505272e-14,8.733551366505272e-14,58.32563125571238,,,ewma,independent,cpu_weighted_mean_pct,1.3268473718009102,0.0,1.3268473718009102,1.3268473718009102,0.0,deterministic,True,0.1940847830561607,
1,1.2533890446263949,2.8697342477458023,1.0628653128695549,0.5175256116866831,-0.0508598342626565,0.0,-0.049611070526435506,0.0,121.90340099508767,121.90340099508767,54.028935724421814,58.71348978194405,127.2912340505879,ridge,independent,cpu_weighted_mean_pct,1.2533890446263949,0.0,1.2533890446263949,1.2533890446263949,0.0,deterministic,True,0.18753397553793144,
8,1.246767116474408,2.8465516442939496,1.056396017588918,0.5224834240565014,-0.05281639628346113,0.0,-0.05187962530159956,0.0,121.02390566609495,121.02390566609495,53.70591122240157,58.36955475247182,124.22288430904526,ridge,independent,cpu_weighted_mean_pct,1.246767116474408,0.0,1.246767116474408,1.246767116474408,0.0,deterministic,True,0.17287982547800254,
16,1.2581797013849287,2.878736167110325,1.0668559069100905,0.5175802984307034,-0.052879216447149824,0.0,-0.05186535630173627,0.0,120.91612680330746,120.91612680330746,54.13062849751236,58.83506238296142,126.87678871618606,ridge,independent,cpu_weighted_mean_pct,1.2581797013849287,0.0,1.2581797013849287,1.2581797013849287,0.0,deterministic,True,0.18552103476968035,
1,1.1409492424941503,2.8225106300579346,0.9663123495146589,0.5347279417379288,-0.13823586126950826,-0.09221097914395915,-0.13719299915448022,-0.09221097914395915,121.90340099508767,0.0,54.028935724421814,58.71348978194405,127.2912340505879,ridge,bottom_up,cpu_weighted_mean_pct,1.1409492424941503,0.0,1.1409492424941503,1.1409492424941503,0.0,deterministic,True,0.20178852674149161,bottom-preserving alternative
