horizon,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_ridge,mae_vs_ewma,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,weighted_bottom_mae,worst_machine_mae,base_model,reconciliation_method,unit,seed_mean,seed_std,seed_min,seed_max,seed_cv,stability_class,identical_hashes,fold_consistency,strongest_observed_note,seed_aware_claim
1,1060130265.5337278,3793024865.9364967,1.114499118139063,0.3562438709169021,0.0,-0.018486276311738385,0.008049355605729752,0.0,0.0,0.0,192241533.99799538,192241533.99799538,383844238.92720366,persistence,independent,memory_bytes,1060130265.5337278,0.0,1060130265.5337278,1060130265.5337278,0.0,deterministic,True,225643808.7666964,,conditional
8,1059679844.4118851,3793753633.86451,1.1133630070860703,0.3556739479038386,0.0,-0.018830338262358987,0.00803429868667983,0.0,0.0,0.0,192197141.4006243,192197141.4006243,383805441.91339016,persistence,independent,memory_bytes,1059679844.4118851,0.0,1059679844.4118851,1059679844.4118851,0.0,deterministic,True,224018468.03002894,,conditional
16,1058049629.858864,3788234009.2125077,1.1115011364248557,0.3560648171365098,0.0,-0.01966432253502499,0.007968268885176188,0.0,0.0,0.0,191973124.7246809,191973124.7246809,383603348.95737815,persistence,independent,memory_bytes,1058049629.858864,0.0,1058049629.858864,1058049629.858864,0.0,deterministic,True,220579749.35824892,,conditional
1,1052070030.2227308,,,,-0.007979753143101162,-0.026372124210367307,0.0,0.0,7.169443519205877e-06,7.169443519205877e-06,191740832.55500147,,,ewma,independent,memory_bytes,1052070030.2227308,0.0,1052070030.2227308,1052070030.2227308,0.0,deterministic,True,226609877.14484525,strongest observed,strongest_observed
8,1051639298.9974452,,,,-0.007964878260308445,-0.026699800954319855,0.0,0.0,7.171821822982361e-06,7.171821822982361e-06,191695057.61675048,,,ewma,independent,memory_bytes,1051639298.9974452,0.0,1051639298.9974452,1051639298.9974452,0.0,deterministic,True,225021032.85669422,strongest observed,strongest_observed
16,1050100532.5323539,,,,-0.007899570524802614,-0.027466664855137202,0.0,0.0,7.173225183687538e-06,7.173225183687538e-06,191489695.5874586,,,ewma,independent,memory_bytes,1050100532.5323539,0.0,1050100532.5323539,1050100532.5323539,0.0,deterministic,True,221732036.70466802,strongest observed,strongest_observed
1,1085329875.9505737,3372382751.921577,1.1425301133409644,0.4914965241405333,0.019445825979093858,0.0,0.027595376815476746,0.0,398158437.06104183,398158437.06104183,221326800.50993642,221326800.50993642,502290266.02808875,ridge,independent,memory_bytes,1085329875.9505737,0.0,1085329875.9505737,1085329875.9505737,0.0,deterministic,True,262856622.81030264,,conditional
8,1085300768.7920954,3373358553.6612496,1.1418449142157423,0.4909563664721887,0.01981983176569713,0.0,0.027955983980746456,0.0,398385331.9792436,398385331.9792436,221301976.27120617,221301976.27120617,501919150.81843513,ridge,independent,memory_bytes,1085300768.7920954,0.0,1085300768.7920954,1085300768.7920954,0.0,deterministic,True,261742331.1955251,,conditional
16,1084685745.6566374,3368640818.7129884,1.1410775162600608,0.49120740388209333,0.020728706077872267,0.0,0.02880090543316542,0.0,398505628.0601147,398505628.0601147,221150633.24914607,221150633.249146,501554221.1463488,ridge,independent,memory_bytes,1084685745.6566374,0.0,1084685745.6566374,1084685745.6566374,0.0,deterministic,True,259495323.33178666,,conditional
1,1041037884.1961557,3353933732.2113304,1.093469481141733,0.49656112377661515,-0.02124656573520135,-0.03985532894416283,-0.01343325733645056,-0.03985532894416283,398158437.06104183,0.0,220834192.33862007,220834192.33862007,492172819.7239998,ridge,wls,memory_bytes,1041037884.1961557,0.0,1041037884.1961557,1041037884.1961557,0.0,deterministic,True,243517277.8679619,,conditional
8,1043191906.8191162,3355188146.9781,1.0953208572342665,0.4959552142360503,-0.019204896111927234,-0.03824657027671772,-0.011394455467092104,-0.03824657027671772,398385331.9792436,0.0,222733445.57544604,222733445.57544604,496027077.5731066,ridge,wls,memory_bytes,1043191906.8191162,0.0,1043191906.8191162,1043191906.8191162,0.0,deterministic,True,245566463.90726086,,conditional
16,1042459906.5165892,3350170700.76621,1.0944188019055716,0.4962935529211136,-0.018501098848108546,-0.03840589913245749,-0.010752527195010693,-0.03840589913245749,398505628.0601147,0.0,222587122.56193623,222587122.56193623,495552621.43879676,ridge,wls,memory_bytes,1042459906.5165892,0.0,1042459906.5165892,1042459906.5165892,0.0,deterministic,True,243606440.9974715,,conditional
1,1039897838.0820197,3353820321.529358,1.092186177418063,0.4966039534750868,-0.02213241103413002,-0.04069904061081465,-0.014323951979027354,-0.04069904061081465,398158437.06104183,0.0,220404924.00665197,220404924.00665197,491009721.54827833,ridge,mint,memory_bytes,1039897838.0820197,0.0,1039897838.0820197,1039897838.0820197,0.0,deterministic,True,241915382.57777125,,conditional
8,1041630324.0657748,3354804624.698256,1.0935544782811617,0.4960662818437284,-0.020421324202856944,-0.03940466945912235,-0.012617625742390776,-0.03940466945912235,398385331.9792436,0.0,221879283.4163036,221879283.4163036,494352052.0434242,ridge,mint,memory_bytes,1041630324.0657748,0.0,1041630324.0657748,1041630324.0657748,0.0,deterministic,True,243379311.44585654,,conditional
16,1041021866.8551687,3349786461.2551064,1.092794818493668,0.4964045963927779,-0.01962378644395684,-0.0394722440542018,-0.011881186180713503,-0.0394722440542018,398505628.0601147,0.0,221785549.19382766,221785549.19382766,493864314.91403884,ridge,mint,memory_bytes,1041021866.8551687,0.0,1041021866.8551687,1041021866.8551687,0.0,deterministic,True,241582123.42362294,,conditional
