horizon,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_ridge,mae_vs_ewma,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,weighted_bottom_mae,worst_machine_mae,base_model,reconciliation_method,unit,seed_mean,seed_std,seed_min,seed_max,seed_cv,stability_class,identical_hashes,fold_consistency,method_classification
1,1549522849.3455029,4989637964.148261,1.1733823146893072,0.991484326874167,0.0,-0.11203361143003077,-0.0038809621693962786,0.0,0.0,0.0,246208487.35392702,246208487.35392702,874235344.9469161,persistence,independent,disk_level,1549522849.3455029,0.0,1549522849.3455029,1549522849.3455029,0.0,deterministic,True,362609210.10489655,baseline
8,1550783002.8322742,4991748690.090743,1.1746993810949877,0.9914729263573102,0.0,-0.11143791487133996,-0.003882194192498459,0.0,0.0,0.0,246404372.25200734,246404372.25200737,874960962.8771363,persistence,independent,disk_level,1550783002.8322742,0.0,1550783002.8322742,1550783002.8322742,0.0,deterministic,True,362890355.531978,baseline
1,1556673682.1317635,,,,0.003921522306053971,-0.10871467495471765,0.0,0.0,6.356967206176873e-05,6.356967206176873e-05,255492918.07499346,,,ewma,independent,disk_level,1556673682.1317635,0.0,1556673682.1317635,1556673682.1317635,0.0,deterministic,True,371017993.6730829,baseline
8,1557941859.4208577,,,,0.003922773862859486,-0.10811424529983564,0.0,0.0,6.356935631608872e-05,6.356935631608872e-05,255696555.20843694,,,ewma,independent,disk_level,1557941859.4208577,0.0,1557941859.4208577,1557941859.4208577,0.0,deterministic,True,371308252.59328806,baseline
1,1753483059.538901,4727579842.05463,1.3328684184716542,0.9923284636392363,0.12790308703684208,0.0,0.12331603426690041,0.0,945603562.8409365,945603562.8409365,381007280.44358516,381007280.44358516,1342170829.862117,ridge,independent,disk_level,1753483059.538901,0.0,1753483059.538901,1753483059.538901,0.0,deterministic,True,458248703.25899625,baseline
8,1753682978.3988,4729467488.144282,1.3333373066346208,0.9923196285714916,0.1271084888751705,0.0,0.12252508081831125,0.0,914334943.6199989,914334943.6199989,376422094.4616975,376422094.4616976,1309679305.5382528,ridge,independent,disk_level,1753682978.3988,0.0,1753682978.3988,1753682978.3988,0.0,deterministic,True,458021718.13003045,baseline
1,2012543448.9063501,5076398838.861408,1.5374937276367426,0.9914448545464856,0.31033837906780065,0.1599667562144432,0.30497707266140295,0.1599667562144432,945603562.8409365,0.0,381007280.44358516,381007280.44358516,1342170829.862117,ridge,bottom_up,disk_level,2012543448.9063501,0.0,2012543448.9063501,2012543448.9063501,0.0,deterministic,True,487078064.3687863,aggregate_harmful
8,1983094736.5554597,5077238845.113705,1.5157625409611537,0.9914355578412569,0.28340758515141723,0.13668643312152665,0.2780564214405358,0.13668643312152665,914334943.6199989,0.0,376422094.4616975,376422094.4616976,1309679305.5382528,ridge,bottom_up,disk_level,1983094736.5554597,0.0,1983094736.5554597,1983094736.5554597,0.0,deterministic,True,521513139.0861488,aggregate_harmful
1,1753483059.538901,4727579842.05463,1.3328684184716542,0.9923284636392363,0.12790308703684208,0.0,0.12331603426690041,0.0,945603562.8409365,8.129681847806653e-05,458737665.7052776,458737665.7052776,1309091358.9176962,ridge,top_down,disk_level,1753483059.538901,0.0,1753483059.538901,1753483059.538901,0.0,deterministic,True,458248703.25899625,top_preserving_bottom_costly
8,1753682978.3988,4729467488.144282,1.3333373066346208,0.9923196285714916,0.1271084888751705,0.0,0.12252508081831125,0.0,914334943.6199989,7.409388263087512e-05,450900986.14438677,450900986.14438677,1278815739.3126209,ridge,top_down,disk_level,1753682978.3988,0.0,1753682978.3988,1753682978.3988,0.0,deterministic,True,458021718.13003045,top_preserving_bottom_costly
1,1811080473.228279,4783874283.049735,1.3795188335541753,0.9922667921994323,0.1714463657134052,0.03795928340953881,0.16667845800435024,0.03795928340953881,945603562.8409365,0.0,383448446.6936633,383448446.6936633,1271939205.7815847,ridge,wls,disk_level,1811080473.228279,0.0,1811080473.228279,1811080473.228279,0.0,deterministic,True,444642540.27602196,reconciled
8,1800387326.7885163,4787063485.737194,1.3720627315162874,0.9922520871744585,0.16005536462791245,0.02841372381230123,0.15527619885828478,0.02841372381230123,914334943.6199989,0.0,377517784.8503632,377517784.8503632,1246684716.06685,ridge,wls,disk_level,1800387326.7885163,0.0,1800387326.7885163,1800387326.7885163,0.0,deterministic,True,469114969.4770426,reconciled
1,1779308310.6313276,4742410019.557439,1.3545296289045587,0.9923568909629233,0.14771043325405783,0.01706575932812818,0.14302127964725694,0.01706575932812818,945603562.8409365,0.0,391038876.06072545,391038876.06072545,1278651099.6353722,ridge,mint,disk_level,1779308310.6313276,0.0,1779308310.6313276,1779308310.6313276,0.0,deterministic,True,453501577.0277554,reconciled
8,1777454796.8365314,4745026609.103122,1.3539639847532057,0.9923437941651296,0.14301485477694972,0.013411134972663002,0.13829432267145822,0.013411134972663002,914334943.6199989,0.0,385868761.4709349,385868761.4709349,1263090093.7329147,ridge,mint,disk_level,1777454796.8365314,0.0,1777454796.8365314,1777454796.8365314,0.0,deterministic,True,475081886.91025704,reconciled
