table,main_or_supplementary,source_data,claim_role,units,aggregation,comparator,values_verified,caption_complete,readable,action,notes
related_work_comparison,main,fgcs/results/main + final aggregate,primary,see caption,see caption,see caption,yes,yes,yes,retain,
dataset_hierarchy_summary,main,fgcs/results/main + final aggregate,primary,see caption,see caption,see caption,yes,yes,yes,retain,
baseline_definitions,main,fgcs/results/main + final aggregate,primary,see caption,see caption,see caption,yes,yes,yes,retain,
experiment_registry,main,fgcs/results/main + final aggregate,primary,see caption,see caption,see caption,yes,yes,yes,retain,
cpu_main_results,main,fgcs/results/main + final aggregate,primary,see caption,see caption,see caption,yes,yes,yes,retain,
memory_main_results,main,fgcs/results/main + final aggregate,primary,see caption,see caption,see caption,yes,yes,yes,retain,
disk_boundary_results,main,fgcs/results/main + final aggregate,primary,see caption,see caption,see caption,yes,yes,yes,retain,
statistical_evidence,main,fgcs/results/main + final aggregate,primary,see caption,see caption,see caption,yes,yes,yes,retain,
supplementary_fold_boundaries,supplementary,final aggregate,supporting,see caption,see caption,see caption,yes,yes,yes,retain,S-numbered in supplement
seed_robustness,supplementary,final aggregate,supporting,see caption,see caption,see caption,yes,yes,yes,retain,S-numbered in supplement
peak_results,supplementary,final aggregate,supporting,see caption,see caption,see caption,yes,yes,yes,retain,S-numbered in supplement
method_selection,supplementary,final aggregate,supporting,see caption,see caption,see caption,yes,yes,yes,retain,S-numbered in supplement
claim_summary,supplementary,final aggregate,supporting,see caption,see caption,see caption,yes,yes,yes,retain,S-numbered in supplement
claim_support_full,supplementary,final aggregate,supporting,see caption,see caption,see caption,yes,yes,yes,retain,S-numbered in supplement
