pack,hierarchy,model,configured_value,input_length,output_width,scored_component,scored_lead,target_timestamp_rule,evaluation_rows,common_timestamp_subset,current_label,corrected_label,numerical_results_changed,notes
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,1,32,1,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",4847,,horizon,output_width,False,fold=0; train/val/test=3996/899/4847
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,8,32,8,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",4295,|H1∩H|= 4295; identical=False,horizon,output_width,False,fold=0; train/val/test=3541/839/4295
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,16,32,16,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",3707,|H1∩H|= 3707; identical=False,horizon,output_width,False,fold=0; train/val/test=3084/782/3707
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,1,32,1,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",5261,,horizon,output_width,False,fold=1; train/val/test=8170/1580/5261
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,8,32,8,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",4778,|H1∩H|= 4778; identical=False,horizon,output_width,False,fold=1; train/val/test=7249/1434/4778
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,16,32,16,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",4317,|H1∩H|= 4317; identical=False,horizon,output_width,False,fold=1; train/val/test=6304/1277/4317
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,1,32,1,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",4852,,horizon,output_width,False,fold=2; train/val/test=12546/2473/4852
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,8,32,8,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",4341,|H1∩H|= 4341; identical=False,horizon,output_width,False,fold=2; train/val/test=11198/2271/4341
03_cpu_classical / 04_cpu_dlinear,cpu_core_weighted,all_families_same_windowing,16,32,16,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",3798,|H1∩H|= 3798; identical=False,horizon,output_width,False,fold=2; train/val/test=9844/2062/3798
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,1,32,1,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8276,,horizon,output_width,False,fold=0; train/val/test=7030/1214/8276
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,8,32,8,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8269,|H1∩H|= 8269; identical=False,horizon,output_width,False,fold=0; train/val/test=7023/1207/8269
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,16,32,16,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8261,|H1∩H|= 8261; identical=False,horizon,output_width,False,fold=0; train/val/test=7015/1199/8261
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,1,32,1,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8276,,horizon,output_width,False,fold=1; train/val/test=14092/2460/8276
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,8,32,8,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8269,|H1∩H|= 8269; identical=False,horizon,output_width,False,fold=1; train/val/test=14085/2453/8269
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,16,32,16,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8261,|H1∩H|= 8261; identical=False,horizon,output_width,False,fold=1; train/val/test=14077/2445/8261
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,1,32,1,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8279,,horizon,output_width,False,fold=2; train/val/test=21154/3706/8279
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,8,32,8,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8272,|H1∩H|= 8272; identical=False,horizon,output_width,False,fold=2; train/val/test=21147/3699/8272
01_memory_classical / 02_memory_dlinear,memory_um,all_families_same_windowing,16,32,16,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8264,|H1∩H|= 8264; identical=False,horizon,output_width,False,fold=2; train/val/test=21139/3691/8264
05_disk_boundary,disk_ud,all_families_same_windowing,1,32,1,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8276,,horizon,output_width,False,fold=0; train/val/test=7030/1214/8276
05_disk_boundary,disk_ud,all_families_same_windowing,8,32,8,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8269,|H1∩H|= 8269; identical=False,horizon,output_width,False,fold=0; train/val/test=7023/1207/8269
05_disk_boundary,disk_ud,all_families_same_windowing,1,32,1,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8276,,horizon,output_width,False,fold=1; train/val/test=14092/2460/8276
05_disk_boundary,disk_ud,all_families_same_windowing,8,32,8,0,1,"origin_o -> score timestamp panel[o+1] via _first_step(y[:,0])",8269,|H1∩H|= 8269; identical=False,horizon,output_width,False,fold=1; train/val/test=14085/2453/8269
