manuscript_location,metric,hierarchy,model,method,horizon,fold_scope,seed_scope,displayed_value,source_file,source_column,source_value,aggregation_definition,consistent,notes
Results/Disk narrative + Table disk,relative_MAE,disk_ud,ridge,bottom_up,"mean(h1,h8)",outer_mean,deterministic,13.93% (primary),table04_disk_boundary.csv,mae (ratio of means),0.139278,mean_h(mae_BU)/mean_h(mae_indep)-1,yes,Narrative uses this primary statistic (+13.93%).
Table disk note / former table cell,relative_MAE,disk_ud,ridge,bottom_up,mean of horizon relatives,outer_mean,deterministic,14.83% (secondary),table04_disk_boundary.csv,mae_vs_independent,0.148327,mean_h(mae_vs_independent),yes,Previously shown unlabeled as +14.8%; now labeled secondary.
Results/Memory + Table memory note,relative_MAE_vs_EWMA,memory_um,lightgbm,independent,"mean(h1,h8,h16)",outer_mean,seed_invariant,36.89%,table03_memory_forecasting_results.csv,mae,0.368944,mean_h(mae_LGBM)/mean_h(mae_EWMA)-1,yes,Ratio-of-means summary (+36.89%).
Results/Memory + Table memory vs EWMA column / stats table,relative_MAE_vs_EWMA,memory_um,lightgbm,independent,mean of horizon relatives,outer_mean,seed_invariant,38.82%,table03_memory_forecasting_results.csv,mae_vs_ewma,0.388224,mean_h(mae_vs_ewma),yes,Mean-of-relative-fields / bootstrap-class summary (+38.82%).
Table memory MAE column,MAE,memory_um,ewma,independent,mean horizons,outer_mean,seed_mean if present,1.051270e+09,table03_memory_forecasting_results.csv,seed_mean/mae,1.051270e+09,mean over horizons of seed_mean (or mae),yes,EWMA labeled strongest robust method; Ridge/DLinear MinT/WLS can show lower point MAE but fail robust beat of EWMA (claim C2 contradicted).
Table memory MAE column,MAE,memory_um,ridge,mint,mean horizons,outer_mean,seed_mean if present,1.040850e+09,table03_memory_forecasting_results.csv,seed_mean/mae,1.040850e+09,mean over horizons of seed_mean (or mae),yes,EWMA labeled strongest robust method; Ridge/DLinear MinT/WLS can show lower point MAE but fail robust beat of EWMA (claim C2 contradicted).
Table memory MAE column,MAE,memory_um,dlinear,mint,mean horizons,outer_mean,seed_mean if present,1.054065e+09,table03_memory_forecasting_results.csv,seed_mean/mae,1.054065e+09,mean over horizons of seed_mean (or mae),yes,EWMA labeled strongest robust method; Ridge/DLinear MinT/WLS can show lower point MAE but fail robust beat of EWMA (claim C2 contradicted).
Table memory MAE column,MAE,memory_um,dlinear,wls,mean horizons,outer_mean,seed_mean if present,1.055935e+09,table03_memory_forecasting_results.csv,seed_mean/mae,1.055935e+09,mean over horizons of seed_mean (or mae),yes,EWMA labeled strongest robust method; Ridge/DLinear MinT/WLS can show lower point MAE but fail robust beat of EWMA (claim C2 contradicted).
Results/CPU narrative,MAE,cpu_core_weighted,persistence,independent,"mean(h1,h8,h16)",outer_mean,as applicable,1.32136,table02_cpu_forecasting_results.csv,mae,1.32136004,mean over horizons of fold-aggregated mae,yes,
Results/CPU narrative,MAE,cpu_core_weighted,lightgbm,independent,"mean(h1,h8,h16)",outer_mean,as applicable,1.03614,table02_cpu_forecasting_results.csv,mae,1.03614472,mean over horizons of fold-aggregated mae,yes,
Results/CPU narrative,MAE,cpu_core_weighted,lightgbm,mint,"mean(h1,h8,h16)",outer_mean,as applicable,0.93114,table02_cpu_forecasting_results.csv,mae,0.93114079,mean over horizons of fold-aggregated mae,yes,
Results/CPU narrative,MAE,cpu_core_weighted,ridge,independent,"mean(h1,h8,h16)",outer_mean,as applicable,1.25278,table02_cpu_forecasting_results.csv,mae,1.25277862,mean over horizons of fold-aggregated mae,yes,
Results/6.1 CPU,relative_MAE,cpu_core_weighted,lightgbm,independent,"mean(h1,h8,h16)",outer_mean,seed_invariant,-17.29%,results/final/aggregate/tables + statistical_evidence,relative_effect,-0.172923,paired_relative_vs_ridge,yes,A1
Results/6.1 CPU,relative_MAE,cpu_core_weighted,lightgbm,independent,"mean(h1,h8,h16)",outer_mean,seed_invariant,-21.59%,statistical_evidence / FINAL,relative_effect,-0.215850,paired_relative_vs_persistence,yes,A2
Results/6.1 CPU,relative_MAE,cpu_core_weighted,lightgbm,mint,"mean(h1,h8,h16)",outer_mean,seed_invariant,-10.13%,FINAL / statistical_evidence,relative_effect,-0.101341,paired_relative_vs_lgbm_indep,yes,B1
Results/6.1 CPU,relative_MAE,cpu_core_weighted,dlinear,bottom_up,mean,outer_mean,seed_mean_0_1_2,-6.84%,robustness_claim_support / FINAL,seed_mean_rel,-0.068448,seed_mean_relative_vs_indep,yes,B2; 27/27
Results/6.1 CPU table,MAE,cpu_core_weighted,persistence,independent,1/8/16 + mean,outer_mean,deterministic,1.320/1.316/1.328; mean 1.321,table02_cpu_forecasting_results.csv,mae,1.321360,mean_folds_per_H then mean_H,yes,
Results/6.1 CPU table,MAE,cpu_core_weighted,lightgbm,mint,1/8/16 + mean,outer_mean,seed_invariant,0.927/0.926/0.940; mean 0.931,table02_cpu_forecasting_results.csv,mae,0.931141,mean_folds_per_H then mean_H,yes,best observed
Results/6.2 Memory,support_cells,memory_um,dlinear,bottom_up,all,all,0_1_2,16/27,robustness_claim_support.csv,support_cells,16,cell_count M2,yes,partially_supported
Results/6.2 Memory,support_cells,memory_um,dlinear,wls,all,all,0_1_2,20/27,robustness_claim_support.csv,support_cells,20,cell_count M3,yes,supported
Results/6.2 Memory,support_cells,memory_um,dlinear,mint,all,all,0_1_2,21/27,robustness_claim_support.csv,support_cells,21,cell_count M4,yes,supported
Results/6.2 Memory,relative_MAE_vs_EWMA,memory_um,dlinear,wls,mean,mean,2,+2.06%,robustness_claim_support.csv,seed_mean_rels[2],0.020567,seed_specific_relative,yes,M5 reversal
Results/6.3 Disk,bottom_macro_MAE,disk_ud,ridge,top_down,"mean(h1,h8)",outer_mean,deterministic,3.79e8 to 4.55e8,table04_disk_boundary.csv,bottom_macro_mae,3.787e8 / 4.548e8,mean_H,yes,~+20% bottom cost
Results/6.4 Peaks,high_load_MAE_q90,cpu_core_weighted,lightgbm,independent,aggregated,peak_freeze,invariant,4.087,table08_peak_operational_evidence.csv,high_load_mae,4.08686,reported,yes,P3
Results/6.4 Peaks,high_load_MAE_q95,cpu_core_weighted,lightgbm,independent,aggregated,peak_freeze,invariant,6.174,table08_peak_operational_evidence.csv,high_load_mae,6.17420,reported,yes,P3
Results/6.4 Peaks,pred_to_target_range_ratio,memory_um,dlinear,independent,all,all,0_1_2,0.46-0.51,dlinear_peak_compression.csv,pred_to_target_range_ratio,mean 0.4955; mass in 0.46-0.51,central_mass_of_cells,yes,P5
Results/6.1 Seeds,seed_cv,cpu_core_weighted,dlinear,independent,mean,outer_mean,0_1_2,≈0.55%,table02_cpu_forecasting_results.csv,seed_cv,0.0054945,mean_H seed_cv,yes,8/9 practically stable
FinalReview/2026-08-05,verification_stamp,,,,,,,,,yes,CSV cross-check of CPU means 1.321/1.320/1.253/1.036/0.931 and relatives -17.29/-21.59/-10.13; memory 36.89 vs 38.82 distinct; disk 13.93 vs 14.83 distinct; peaks P3 4.087/6.174; no mismatches requiring manuscript edits.
