experiment_stage,eligible_for_final_claims,target,horizon,outer_fold,method,mae,mase,beats_best_constituent,train_seconds,best_constituent_mae,weights,stacking_accepted
development,False,cluster_mean_CU,1,outer_0,persistence,1.3395330964227814,1.3063091627227412,False,0.6436256669985596,,,
development,False,cluster_mean_CU,1,outer_0,ridge,1.2557048729676177,1.224560099047731,False,0.6436256669985596,,,
development,False,cluster_mean_CU,1,outer_0,lightgbm,1.0510354943278968,1.0249670577411552,False,0.6436256669985596,,,
development,False,cluster_mean_CU,1,outer_0,ens_mean,1.1220590362324523,1.0942290295481294,False,0.6436256669985596,1.0510354943278968,0.3333;0.3333;0.3333,True
development,False,cluster_mean_CU,1,outer_0,ens_inverse_mae,1.0952542819547142,1.0680891034716111,False,0.6436256669985596,1.0510354943278968,0.2761;0.3013;0.4226,True
development,False,cluster_mean_CU,1,outer_0,ens_nonnegative,1.0510354943278968,1.0249670577411552,False,0.6436256669985596,1.0510354943278968,0.0000;0.0000;1.0000,True
development,False,cluster_mean_CU,1,outer_0,ens_stacking,1.0416408753390902,1.0158054499405416,True,0.6436256669985596,1.0510354943278968,0.0000;0.0988;0.9012,True
development,False,cluster_mean_CU,8,outer_0,persistence,1.3394145173648353,1.3061935247364045,False,4.291036876002181,,,
development,False,cluster_mean_CU,8,outer_0,ridge,1.254969648818895,1.2238431103860128,False,4.291036876002181,,,
development,False,cluster_mean_CU,8,outer_0,lightgbm,1.0549386927994826,1.0287734466545566,False,4.291036876002181,,,
development,False,cluster_mean_CU,8,outer_0,ens_mean,1.1221906083567816,1.094357338338729,False,4.291036876002181,1.0549386927994826,0.3333;0.3333;0.3333,True
development,False,cluster_mean_CU,8,outer_0,ens_inverse_mae,1.0951037048802448,1.0679422611034752,False,4.291036876002181,1.0549386927994826,0.2755;0.2995;0.4250,True
development,False,cluster_mean_CU,8,outer_0,ens_nonnegative,1.0549386927994826,1.0287734466545566,False,4.291036876002181,1.0549386927994826,0.0000;0.0000;1.0000,True
development,False,cluster_mean_CU,8,outer_0,ens_stacking,1.043263410731409,1.0173877422000521,True,4.291036876002181,1.0549386927994826,0.0000;0.1998;0.8002,True
development,False,cluster_UM,1,outer_0,persistence,1294154012.0869985,1.4945747471212496,False,0.5177572499997041,,,
development,False,cluster_UM,1,outer_0,ridge,1358694507.6124406,1.5691103849805041,False,0.5177572499997041,,,
development,False,cluster_UM,1,outer_0,lightgbm,2548658026.0004625,2.9433590508794225,False,0.5177572499997041,,,
development,False,cluster_UM,1,outer_0,ens_mean,1530988319.361968,1.7680866874306609,False,0.5177572499997041,1294154012.0869985,0.3333;0.3333;0.3333,True
development,False,cluster_UM,1,outer_0,ens_inverse_mae,1547678492.7948246,1.7873616048708152,False,0.5177572499997041,1294154012.0869985,0.3328;0.3189;0.3483,True
development,False,cluster_UM,1,outer_0,ens_nonnegative,1530988319.3619697,1.7680866874306627,False,0.5177572499997041,1294154012.0869985,0.3333;0.3333;0.3333,True
development,False,cluster_UM,1,outer_0,ens_stacking,2548658026.0004625,2.9433590508794225,False,0.5177572499997041,1294154012.0869985,0.0000;0.0000;1.0000,True
development,False,cluster_UM,8,outer_0,persistence,1291570370.298706,1.4915909865051837,False,4.077489250001236,,,
development,False,cluster_UM,8,outer_0,ridge,1357156730.2391167,1.567334457844013,False,4.077489250001236,,,
development,False,cluster_UM,8,outer_0,lightgbm,2410471439.6138277,2.783772030729251,False,4.077489250001236,,,
development,False,cluster_UM,8,outer_0,ens_mean,1489027124.4660757,1.7196271210539367,False,4.077489250001236,1291570370.298706,0.3333;0.3333;0.3333,True
development,False,cluster_UM,8,outer_0,ens_inverse_mae,1484097066.397094,1.7139335635461568,False,4.077489250001236,1291570370.298706,0.3520;0.3158;0.3322,True
development,False,cluster_UM,8,outer_0,ens_nonnegative,1489027124.4660764,1.7196271210539373,False,4.077489250001236,1291570370.298706,0.3333;0.3333;0.3333,True
development,False,cluster_UM,8,outer_0,ens_stacking,2410471439.6138277,2.783772030729251,False,4.077489250001236,1291570370.298706,0.0000;0.0000;1.0000,True
development,False,averageRttWithGoogleDns,1,outer_0,persistence,0.2731413931926314,0.7026766572388125,False,0.6288604580040555,,,
development,False,averageRttWithGoogleDns,1,outer_0,ridge,0.35306911136897506,0.9082966885801264,False,0.6288604580040555,,,
development,False,averageRttWithGoogleDns,1,outer_0,lightgbm,0.4482428011298185,1.1531381217900283,False,0.6288604580040555,,,
development,False,averageRttWithGoogleDns,1,outer_0,ens_mean,0.32141708178110506,0.8268694757887534,False,0.6288604580040555,0.2731413931926314,0.3333;0.3333;0.3333,True
development,False,averageRttWithGoogleDns,1,outer_0,ens_inverse_mae,0.30501023432463975,0.7846616339388526,False,0.6288604580040555,0.2731413931926314,0.4757;0.2822;0.2421,True
development,False,averageRttWithGoogleDns,1,outer_0,ens_nonnegative,0.35306911136897506,0.9082966885801264,False,0.6288604580040555,0.2731413931926314,0.0000;1.0000;0.0000,True
development,False,averageRttWithGoogleDns,1,outer_0,ens_stacking,0.35374597861789897,0.910037980188509,False,0.6288604580040555,0.2731413931926314,0.0000;0.6088;0.3912,True
development,False,averageRttWithGoogleDns,8,outer_0,persistence,0.2650880626223092,0.6819588621853097,False,4.434854249000637,,,
development,False,averageRttWithGoogleDns,8,outer_0,ridge,0.33754161746231104,0.8683510494878635,False,4.434854249000637,,,
development,False,averageRttWithGoogleDns,8,outer_0,lightgbm,0.434952089213551,1.118946771616089,False,4.434854249000637,,,
development,False,averageRttWithGoogleDns,8,outer_0,ens_mean,0.3097228401830353,0.7967851648792035,False,4.434854249000637,0.2650880626223092,0.3333;0.3333;0.3333,True
development,False,averageRttWithGoogleDns,8,outer_0,ens_inverse_mae,0.29358134811170167,0.7552599695986315,False,4.434854249000637,0.2650880626223092,0.4784;0.2836;0.2381,True
development,False,averageRttWithGoogleDns,8,outer_0,ens_nonnegative,0.33754161746231104,0.8683510494878635,False,4.434854249000637,0.2650880626223092,0.0000;1.0000;0.0000,True
development,False,averageRttWithGoogleDns,8,outer_0,ens_stacking,0.3433054984613798,0.8831790643332429,False,4.434854249000637,0.2650880626223092,0.0000;0.5597;0.4403,True
development,False,cluster_mean_CU,1,outer_1,persistence,1.0552762254921197,0.9695430417325795,False,0.6154844569973648,,,
development,False,cluster_mean_CU,1,outer_1,ridge,1.0040855203986057,0.9225111928897273,False,0.6154844569973648,,,
development,False,cluster_mean_CU,1,outer_1,lightgbm,0.8198032867351922,0.7532004920066682,False,0.6154844569973648,,,
development,False,cluster_mean_CU,1,outer_1,ens_mean,0.8994473036208922,0.8263740370196361,False,0.6154844569973648,0.8198032867351922,0.3333;0.3333;0.3333,True
development,False,cluster_mean_CU,1,outer_1,ens_inverse_mae,0.8875092103493575,0.8154058232161143,False,0.6154844569973648,0.8198032867351922,0.3002;0.3169;0.3829,True
development,False,cluster_mean_CU,1,outer_1,ens_nonnegative,0.8198032867351922,0.7532004920066682,False,0.6154844569973648,0.8198032867351922,0.0000;0.0000;1.0000,True
development,False,cluster_mean_CU,1,outer_1,ens_stacking,0.8196841263611374,0.7530910125085764,True,0.6154844569973648,0.8198032867351922,0.0000;0.1094;0.8906,True
development,False,cluster_mean_CU,8,outer_1,persistence,1.055611723758723,0.969851283311458,False,4.290364417000092,,,
development,False,cluster_mean_CU,8,outer_1,ridge,1.0045411548424104,0.9229298104932447,False,4.290364417000092,,,
development,False,cluster_mean_CU,8,outer_1,lightgbm,0.8185694071138205,0.7520668557393689,False,4.290364417000092,,,
development,False,cluster_mean_CU,8,outer_1,ens_mean,0.8987472566136396,0.825730863518356,False,4.290364417000092,0.8185694071138205,0.3333;0.3333;0.3333,True
development,False,cluster_mean_CU,8,outer_1,ens_inverse_mae,0.8867890462691315,0.814744167001351,False,4.290364417000092,0.8185694071138205,0.3004;0.3173;0.3822,True
development,False,cluster_mean_CU,8,outer_1,ens_nonnegative,0.8192166020799679,0.752661471026736,False,4.290364417000092,0.8185694071138205,0.0000;0.1548;0.8452,True
development,False,cluster_mean_CU,8,outer_1,ens_stacking,0.8192110207055151,0.7526563430965947,False,4.290364417000092,0.8185694071138205,0.0000;0.1547;0.8453,True
development,False,cluster_UM,1,outer_1,persistence,843922661.6452392,0.8660559197370332,False,0.5283732919997419,,,
development,False,cluster_UM,1,outer_1,ridge,834422178.6472346,0.8563062709662057,False,0.5283732919997419,,,
development,False,cluster_UM,1,outer_1,lightgbm,1387727524.6296232,1.4241229585475068,False,0.5283732919997419,,,
development,False,cluster_UM,1,outer_1,ens_mean,905352284.4640789,0.9290966353231654,False,0.5283732919997419,834422178.6472346,0.3333;0.3333;0.3333,True
development,False,cluster_UM,1,outer_1,ens_inverse_mae,896031097.7945217,0.9195309852215244,False,0.5283732919997419,834422178.6472346,0.3345;0.3484;0.3171,True
development,False,cluster_UM,1,outer_1,ens_nonnegative,940703924.5708538,0.9653754302629746,False,0.5283732919997419,834422178.6472346,0.2758;0.3308;0.3934,True
development,False,cluster_UM,1,outer_1,ens_stacking,1171999427.746872,1.2027370379529845,False,0.5283732919997419,834422178.6472346,0.1090;0.1579;0.7331,True
development,False,cluster_UM,8,outer_1,persistence,844465442.1477809,0.8666129355498656,False,4.206608082000457,,,
development,False,cluster_UM,8,outer_1,ridge,835005834.3233938,0.8569052339712284,False,4.206608082000457,,,
development,False,cluster_UM,8,outer_1,lightgbm,1391352557.4417188,1.4278430637998483,False,4.206608082000457,,,
development,False,cluster_UM,8,outer_1,ens_mean,909892270.4064115,0.9337556898545544,False,4.206608082000457,835005834.3233938,0.3333;0.3333;0.3333,True
development,False,cluster_UM,8,outer_1,ens_inverse_mae,898198370.2450727,0.9217550979522141,False,4.206608082000457,835005834.3233938,0.3372;0.3501;0.3127,True
development,False,cluster_UM,8,outer_1,ens_nonnegative,950018897.6636591,0.9749347038266064,False,4.206608082000457,835005834.3233938,0.2684;0.3302;0.4015,True
development,False,cluster_UM,8,outer_1,ens_stacking,1142562270.9086149,1.1725278433209803,False,4.206608082000457,835005834.3233938,0.1166;0.1958;0.6875,True
development,False,averageRttWithGoogleDns,1,outer_1,persistence,0.22476448439208066,0.7964798188494452,False,0.560602667996136,,,
development,False,averageRttWithGoogleDns,1,outer_1,ridge,0.25381493997743615,0.8994235809153218,False,0.560602667996136,,,
