target,horizon,method,mae_mean,mae_std,beat_rate
averageRttWithGoogleDns,1,ens_inverse_mae,0.3216390363733056,0.103807450267262,0.0
averageRttWithGoogleDns,1,ens_mean,0.3284506908960666,0.10402017202672151,0.0
averageRttWithGoogleDns,1,ens_nonnegative,0.3469415248419456,0.08445445899017015,0.0
averageRttWithGoogleDns,1,ens_stacking,0.3469236620915923,0.0902098965070522,0.0
averageRttWithGoogleDns,1,lightgbm,0.42873564520781987,0.1422215649430174,0.0
averageRttWithGoogleDns,1,persistence,0.30584715386414746,0.10146889401279577,0.0
averageRttWithGoogleDns,1,ridge,0.3450164523577783,0.08745368201001011,0.0
averageRttWithGoogleDns,8,ens_inverse_mae,0.3170526735024682,0.10390735158497645,0.0
averageRttWithGoogleDns,8,ens_mean,0.3233886368664014,0.10319809344817563,0.0
averageRttWithGoogleDns,8,ens_nonnegative,0.34658792167816305,0.07508461466466408,0.0
averageRttWithGoogleDns,8,ens_stacking,0.3478423768590894,0.0893723438593235,0.0
averageRttWithGoogleDns,8,lightgbm,0.41823883683406743,0.13422858156494882,0.0
averageRttWithGoogleDns,8,persistence,0.3032951835278792,0.10290464509307523,0.0
averageRttWithGoogleDns,8,ridge,0.3388786284804744,0.08624649180202819,0.0
cluster_UM,1,ens_inverse_mae,1152912460.399257,347016164.5733025,0.3333333333333333
cluster_UM,1,ens_mean,1160834377.4917107,328203194.2690803,0.0
cluster_UM,1,ens_nonnegative,1172618257.527302,314805027.29160756,0.0
cluster_UM,1,ens_stacking,1602336137.377361,820656903.1826966,0.0
cluster_UM,1,lightgbm,1745820553.9009368,696626242.5599682,0.0
cluster_UM,1,persistence,1060130265.5337276,225643808.76669642,0.0
cluster_UM,1,ridge,1085329875.9505737,262856622.81030264,0.0
cluster_UM,8,ens_inverse_mae,1132971007.5259783,309794947.626606,0.3333333333333333
cluster_UM,8,ens_mean,1149631203.2226846,302155475.3822098,0.0
cluster_UM,8,ens_nonnegative,1163006745.6417668,286731114.30797786,0.0
cluster_UM,8,ens_stacking,1547092037.4900773,748201614.5730065,0.0
cluster_UM,8,lightgbm,1704042414.3484647,613126188.9079065,0.0
cluster_UM,8,persistence,1059679844.4118851,224018468.0300289,0.0
cluster_UM,8,ridge,1085300768.7920952,261742331.195525,0.0
cluster_mean_CU,1,ens_inverse_mae,1.0415469484390156,0.13542210401392932,0.0
cluster_mean_CU,1,ens_mean,1.0591031552333616,0.13929163331496774,0.0
cluster_mean_CU,1,ens_nonnegative,0.987077954187,0.14619475043202873,0.0
cluster_mean_CU,1,ens_stacking,0.9815203532638154,0.14168896590990088,1.0
cluster_mean_CU,1,lightgbm,0.987077954187,0.14619475043202873,0.0
cluster_mean_CU,1,persistence,1.2454132816582313,0.16466625383665295,0.0
cluster_mean_CU,1,ridge,1.1869143890692744,0.1599426132959033,0.0
cluster_mean_CU,8,ens_inverse_mae,1.0417424233027728,0.13634318700414666,0.0
cluster_mean_CU,8,ens_mean,1.059212229720165,0.14003378140847883,0.0
cluster_mean_CU,8,ens_nonnegative,0.9896613753221281,0.14895090240521053,0.0
cluster_mean_CU,8,ens_stacking,0.9833035642143823,0.14381440229050316,0.6666666666666666
cluster_mean_CU,8,lightgbm,0.9894456436667456,0.14932120394309847,0.0
cluster_mean_CU,8,persistence,1.2457416771268044,0.16466325461284895,0.0
cluster_mean_CU,8,ridge,1.1871093673869246,0.15983441351574645,0.0
