experiment_stage,eligible_for_final_claims,hierarchy,method,model,horizon,context,outer_fold,top_mae,top_mase,bottom_mae_macro,bottom_mase_macro,worst_child_mae,coherence_error,coherent,adjustment_mae,train_seconds_total,infer_seconds_total,n_test,top_metric_scale,top_mae_vs_weighted_mean,bond_agg_rel_error,bond_host
development,False,memory_um,independent,persistence,1,32,outer_0,1294154012.0869985,1.4906951415411955,228518221.43809983,1.283852352281903,428567797.97776705,0.0,True,0.0,0.0001567089930176735,0.0004836650005017873,8276,,,,
development,False,memory_um,bottom_up,persistence,1,32,outer_0,1294154012.0869985,1.4906951415411955,228518221.43809983,1.283852352281903,428567797.97776705,0.0,True,0.0,0.0001567089930176735,0.0006308740012173075,8276,,,,
development,False,memory_um,top_down,persistence,1,32,outer_0,1294154012.0869985,1.4906951415411955,228518221.43809983,1.283852352281903,428567797.97776705,0.0,True,1.503635504739123e-07,0.0001567089930176735,0.0008433740003965795,8276,,,,
development,False,memory_um,ols,persistence,1,32,outer_0,1294154012.0870004,1.4906951415411978,228518221.43809915,1.2838523522818956,428567797.97776717,0.0,True,9.382897908867192e-05,0.0001567089930176735,0.0005258740020508412,8276,,,,
development,False,memory_um,wls,persistence,1,32,outer_0,1294154012.0865586,1.4906951415406888,228518221.43881926,1.2838523522845795,428567797.97780174,0.0,True,0.047686312809871526,0.0001567089930176735,0.0004724160025944002,8276,,,,
development,False,memory_um,mint,persistence,1,32,outer_0,1294154012.0890834,1.4906951415435972,228518221.43409243,1.283852352267697,428567797.97819114,0.0,True,0.2180641742155284,0.0001567089930176735,0.0005019570016884245,8276,,,,
development,False,memory_um,bottom_up_nn,persistence,1,32,outer_0,1294154012.0869985,1.4906951415411955,228518221.43809983,1.283852352281903,428567797.97776705,0.0,True,0.0,0.0001567089930176735,0.0006500400013464969,8276,,,,
development,False,memory_um,ols_nn,persistence,1,32,outer_0,1294154012.0870004,1.4906951415411978,228518221.43809915,1.2838523522818956,428567797.97776717,0.0,True,9.382897908867192e-05,0.0001567089930176735,0.0005263320017547812,8276,,,,
development,False,disk_ud,independent,persistence,1,32,outer_0,1848015504.270662,1.5414789512918345,292520190.6743079,1.403933484085884,908892486.6505558,0.0,True,0.0,0.00014916800137143582,0.0006382499996107072,8276,,,,
development,False,disk_ud,bottom_up,persistence,1,32,outer_0,1848015504.270662,1.5414789512918345,292520190.6743079,1.403933484085884,908892486.6505558,0.0,True,0.0,0.00014916800137143582,0.0006140830009826459,8276,,,,
development,False,disk_ud,top_down,persistence,1,32,outer_0,1848015504.270662,1.5414789512918345,292520190.6743079,1.4039334840858846,908892486.6505558,7.374958464233929e-08,True,9.462335100985854e-07,0.00014916800137143582,0.0006603329966310412,8276,,,,
development,False,disk_ud,ols,persistence,1,32,outer_0,1848015504.270532,1.541478951291726,292520190.6743041,1.403933484086581,908892486.6505822,0.0,True,0.0007153695882259791,0.00014916800137143582,0.0004997910000383854,8276,,,,
development,False,disk_ud,wls,persistence,1,32,outer_0,1848015504.311834,1.5414789513261773,292520190.68667394,1.4039334841033704,908892486.7366197,0.0,True,0.23265093706148496,0.00014916800137143582,0.00045929200132377446,8276,,,,
development,False,disk_ud,mint,persistence,1,32,outer_0,1848015504.3405612,1.5414789513501392,292520190.69074094,1.403933484111995,908892486.7527413,0.0,True,0.373716384725973,0.00014916800137143582,0.0005016670002078172,8276,,,,
