experiment_stage,eligible_for_final_claims,target,model,method,threshold_mode,threshold,outer_fold,mae,peak_precision,peak_recall,peak_f1,peak_magnitude_mae,peak_timing_mae_steps,high_load_mae,false_alarms_per_day,n_true_peaks,n_pred_peaks
development,False,cluster_mean_CU,persistence,point,q90,4.366886243505207,outer_0,1.3395330964227814,1.0,1.0,1.0,4.671325024431392,0.33091962346125997,4.671325024431392,0.0,1381,1381
development,False,cluster_mean_CU,persistence,point,q95,6.027853174564223,outer_0,1.3395330964227814,1.0,1.0,1.0,7.353112258141876,0.3146853146853147,7.353112258141876,0.0,715,715
development,False,cluster_mean_CU,persistence,point,mad,3.9919684298720957,outer_0,1.3395330964227814,1.0,1.0,1.0,4.165839201737409,0.31363088057901084,4.165839201737409,0.0,1658,1658
development,False,cluster_mean_CU,ridge,point,q90,4.366886243505207,outer_0,1.2557048729676177,0.914179104477612,0.9855177407675597,0.9485089454737852,4.162505736033719,0.2762674504041146,4.1242192871628,60.982311049220485,1381,1608
development,False,cluster_mean_CU,ridge,point,q95,6.027853174564223,outer_0,1.2557048729676177,0.8973277074542897,0.9818181818181818,0.9376735071580208,6.818875054445471,0.3504273504273504,6.726042465407148,2.2220275281092485,715,711
development,False,cluster_mean_CU,ridge,point,mad,3.9919684298720957,outer_0,1.2557048729676177,0.9174832387828777,0.9788902291917974,0.9471925156714938,3.7157748475178796,0.23166974738139248,3.6632630213555406,78.0178554313914,1658,1939
development,False,cluster_mean_CU,lightgbm,point,q90,4.366886243505207,outer_0,1.0510354943278968,0.9235709698137444,0.9790007241129616,0.9504783983737731,3.5892293162073554,0.3091715976331361,3.5386741721429606,50.61284925137733,1381,1557
development,False,cluster_mean_CU,lightgbm,point,q95,6.027853174564223,outer_0,1.0510354943278968,0.8611449451887941,0.9538461538461539,0.9051281786551307,5.701618990883289,0.26099706744868034,5.567710294665108,34.317980711909506,715,821
development,False,cluster_mean_CU,lightgbm,point,mad,3.9919684298720957,outer_0,1.0510354943278968,0.9438085327783559,0.96562123039807,0.9545902910464122,3.2247675378316316,0.21424109931292942,3.153746931581877,79.25231516922986,1658,1922
development,False,machine01_DWT,persistence,point,q90,2398276.266666671,outer_0,15221065.07279147,1.0,1.0,1.0,94871238.30525254,0.23138297872340424,94871238.30525254,0.0,1128,1128
