hierarchy,base_model,horizon,method,n_folds,wins,ties,losses,mean_rel,best_fold_rel,worst_fold_rel,fold_consistency,fold_rels
cpu_core_weighted,dlinear,1,bottom_up,3,3,0,0,-0.08033211222054949,-0.1182097734542936,-0.0512584022680807,strongly_consistent,-0.0715282;-0.11821;-0.0512584
cpu_core_weighted,dlinear,1,mint,3,3,0,0,-0.0743148555806422,-0.0994519825898282,-0.0544221913164105,strongly_consistent,-0.0690704;-0.099452;-0.0544222
cpu_core_weighted,dlinear,1,wls,3,3,0,0,-0.07105145629629973,-0.0977921306276793,-0.052238071759863,strongly_consistent,-0.0631242;-0.0977921;-0.0522381
cpu_core_weighted,dlinear,8,bottom_up,3,3,0,0,-0.06760115825995307,-0.0943247750971396,-0.03691945272381,strongly_consistent,-0.0715592;-0.0943248;-0.0369195
cpu_core_weighted,dlinear,8,mint,3,3,0,0,-0.06231388992200523,-0.0773891415123241,-0.0421509604698407,strongly_consistent,-0.0674016;-0.0773891;-0.042151
cpu_core_weighted,dlinear,8,wls,3,3,0,0,-0.05840954331779796,-0.0759971584908336,-0.041125709696022,strongly_consistent,-0.0581058;-0.0759972;-0.0411257
cpu_core_weighted,dlinear,16,bottom_up,3,3,0,0,-0.07228264710683764,-0.1038757324816176,-0.043752970629492,strongly_consistent,-0.0692192;-0.103876;-0.043753
cpu_core_weighted,dlinear,16,mint,3,3,0,0,-0.0684583758521687,-0.089057680264674,-0.0488782187186387,strongly_consistent,-0.0674392;-0.0890577;-0.0488782
cpu_core_weighted,dlinear,16,wls,3,3,0,0,-0.06499978287320819,-0.0867761658006587,-0.0476158078118804,strongly_consistent,-0.0606074;-0.0867762;-0.0476158
cpu_core_weighted,lightgbm,1,bottom_up,3,3,0,0,-0.094148106938944,-0.1119560758878648,-0.0771792523665337,strongly_consistent,-0.093309;-0.0771793;-0.111956
cpu_core_weighted,lightgbm,1,mint,3,3,0,0,-0.10226337390817974,-0.1200825828937572,-0.0859975055022619,strongly_consistent,-0.10071;-0.0859975;-0.120083
cpu_core_weighted,lightgbm,1,wls,3,3,0,0,-0.09997308212784622,-0.1154836356358881,-0.0856679648323926,strongly_consistent,-0.0987676;-0.085668;-0.115484
cpu_core_weighted,lightgbm,8,bottom_up,3,3,0,0,-0.08744220284360553,-0.098098439035294,-0.0786839460597248,strongly_consistent,-0.0855442;-0.0786839;-0.0980984
cpu_core_weighted,lightgbm,8,mint,3,3,0,0,-0.09820252663678576,-0.1079850266914407,-0.0860160713935878,strongly_consistent,-0.100606;-0.0860161;-0.107985
cpu_core_weighted,lightgbm,8,wls,3,3,0,0,-0.09591606766753343,-0.1063778253278368,-0.0864744953650499,strongly_consistent,-0.0948959;-0.0864745;-0.106378
cpu_core_weighted,lightgbm,16,bottom_up,3,3,0,0,-0.08806629104217804,-0.1111392780178636,-0.0756850951051727,strongly_consistent,-0.0773745;-0.0756851;-0.111139
cpu_core_weighted,lightgbm,16,mint,3,3,0,0,-0.09959930245335134,-0.119242112870843,-0.0863291505954957,strongly_consistent,-0.0932266;-0.0863292;-0.119242
cpu_core_weighted,lightgbm,16,wls,3,3,0,0,-0.0973795554096726,-0.11602144605397,-0.0873873796176533,strongly_consistent,-0.0887298;-0.0873874;-0.116021
cpu_core_weighted,persistence,1,bottom_up,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
cpu_core_weighted,persistence,1,mint,3,0,3,0,2.224384601058804e-15,-6.79999655907188e-14,7.498047799760998e-14,mixed,-6.8e-14;7.49805e-14;-3.07359e-16
cpu_core_weighted,persistence,1,wls,3,0,3,0,7.792647658358925e-15,-6.4847980970905906e-15,3.0170099675882134e-14,mixed,3.01701e-14;-6.4848e-15;-3.07359e-16
cpu_core_weighted,persistence,8,bottom_up,3,0,3,0,0.0,0.0,0.0,mixed,0;0;0
