run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean,source_pack
base__memory_um__f0__h1__persistence__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001522509992355,1294154012.0869985,independent,False,0.0,0.0,True,1294154012.0869985,228518221.43809983,memory_classical
base__memory_um__f0__h1__persistence__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001522509992355,1294154012.0869985,bottom_up,False,0.0,0.0,True,1294154012.0869985,228518221.43809983,memory_classical
base__memory_um__f0__h1__persistence__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001522509992355,1294154012.0869985,wls,False,0.0,0.0,True,1294154012.0865586,228518221.4388193,memory_classical
base__memory_um__f0__h1__persistence__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001522509992355,1294154012.0869985,mint,False,0.0,0.0,True,1294154012.0890834,228518221.43409243,memory_classical
base__memory_um__f0__h1__ridge__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0082818350010711,1358694507.6124406,independent,False,465104157.5826315,465104157.5826315,False,1358694507.6124406,261733944.41832024,memory_classical
base__memory_um__f0__h1__ridge__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0082818350010711,1358694507.6124406,bottom_up,False,465104157.5826315,0.0,True,1263401149.574385,261733944.41832024,memory_classical
base__memory_um__f0__h1__ridge__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0082818350010711,1358694507.6124406,wls,False,465104157.5826315,0.0,True,1272483790.1684682,262021246.0064301,memory_classical
base__memory_um__f0__h1__ridge__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0082818350010711,1358694507.6124406,mint,False,465104157.5826315,0.0,True,1269417331.1720374,261697154.58173132,memory_classical
base__memory_um__f0__h1__lightgbm__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,lightgbm,0,abe0cd1cb9555ccb,1.2331542080000872,1848635679.4026904,independent,False,1491534985.8369813,1491534985.8369813,False,1848635679.4026904,506790526.9619207,memory_classical
base__memory_um__f0__h1__lightgbm__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,lightgbm,0,abe0cd1cb9555ccb,1.2331542080000872,1848635679.4026904,bottom_up,False,1491534985.8369813,0.0,True,2075080793.3826785,506790526.9619207,memory_classical
