run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,source_experiment_freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,prediction_hash,model_kwargs,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__cpu_core_weighted__f0__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,0,1,32,lightgbm,1,c71cc675e5778ac9,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,2.8561990410016733,261.83698941467105
base__cpu_core_weighted__f0__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,0,1,32,lightgbm,2,c71cc675e5778ac9,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,2.7978114979996462,261.83698941467105
base__cpu_core_weighted__f0__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,0,8,32,lightgbm,1,56007466c89486dd,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,22.69381333399906,257.1867695524892
base__cpu_core_weighted__f0__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,0,8,32,lightgbm,2,56007466c89486dd,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,22.434913998997217,257.1867695524892
base__cpu_core_weighted__f0__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,0,16,32,lightgbm,1,6e2519659f88c4cf,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,45.71571116400264,263.6458182680166
base__cpu_core_weighted__f0__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,0,16,32,lightgbm,2,6e2519659f88c4cf,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,45.23790312500023,263.6458182680166
base__cpu_core_weighted__f1__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,1,1,32,lightgbm,1,3fc6c813514b7dc6,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,3.5681567920000816,199.6147197052011
base__cpu_core_weighted__f1__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,1,1,32,lightgbm,2,3fc6c813514b7dc6,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,3.5662619159975293,199.6147197052011
base__cpu_core_weighted__f1__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,1,8,32,lightgbm,1,497e4bc4f6a9d22e,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,28.82676949800407,203.41532062603233
base__cpu_core_weighted__f1__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,195966cfb5ac9850,lightgbm_seed_robustness,592aad4339611d99,cpu_core_weighted,1,8,32,lightgbm,2,497e4bc4f6a9d22e,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,28.93621045800319,203.41532062603233
