hierarchy,fold,horizon,series,field,seed0_value,new_seed,new_seed_value,classification
all,,,,batch_order,torch.randperm(len(Xt)),1,torch.randperm(len(Xt)),equal
all,,,,batch_size,256,1,256,equal
all,,,,cuda_manual_seed_set_in_fit,False,1,False,equal
all,,,,dataloader_shuffle,False,1,False,equal
all,,,,deterministic_algorithms_mode,False,1,False,equal
all,,,,device,cpu,1,cpu,equal
all,,,,epochs,40,1,40,equal
all,,,,inverse_before_metrics,True,1,True,equal
all,,,,kernel_size,25,1,25,equal
all,,,,loss,MSELoss,1,MSELoss,equal
all,,,,lr,0.001,1,0.001,equal
all,,,,max_batches_per_epoch,200,1,200,equal
all,,,,num_threads,1,1,1,equal
all,,,,num_workers,0,1,0,equal
all,,,,numpy_random_seed_set_in_fit,False,1,False,equal
all,,,,optimizer,Adam,1,Adam,equal
all,,,,patience,5,1,5,equal
all,,,,python_random_seed_set_in_fit,False,1,False,equal
all,,,,scaling,train_only_standardize,1,train_only_standardize,equal
all,,,,timeout_sec,180.0,1,180.0,equal
all,,,,torch_manual_seed,0,1,1,intentional_seed_difference
all,,,,batch_order,torch.randperm(len(Xt)),2,torch.randperm(len(Xt)),equal
all,,,,batch_size,256,2,256,equal
all,,,,cuda_manual_seed_set_in_fit,False,2,False,equal
all,,,,dataloader_shuffle,False,2,False,equal
all,,,,deterministic_algorithms_mode,False,2,False,equal
all,,,,device,cpu,2,cpu,equal
all,,,,epochs,40,2,40,equal
all,,,,inverse_before_metrics,True,2,True,equal
all,,,,kernel_size,25,2,25,equal
all,,,,loss,MSELoss,2,MSELoss,equal
all,,,,lr,0.001,2,0.001,equal
all,,,,max_batches_per_epoch,200,2,200,equal
all,,,,num_threads,1,2,1,equal
all,,,,num_workers,0,2,0,equal
all,,,,numpy_random_seed_set_in_fit,False,2,False,equal
all,,,,optimizer,Adam,2,Adam,equal
all,,,,patience,5,2,5,equal
all,,,,python_random_seed_set_in_fit,False,2,False,equal
all,,,,scaling,train_only_standardize,2,train_only_standardize,equal
all,,,,timeout_sec,180.0,2,180.0,equal
all,,,,torch_manual_seed,0,2,2,intentional_seed_difference
