hierarchy,fold,horizon,n_test_equal,n_val_equal,n_train_equal,yt_test_equal,yt_val_equal,yt_train_equal
cpu_core_weighted,0,1,True,True,True,True,True,True
cpu_core_weighted,0,8,True,True,True,True,True,True
cpu_core_weighted,0,16,True,True,True,True,True,True
cpu_core_weighted,1,1,True,True,True,True,True,True
cpu_core_weighted,1,8,True,True,True,True,True,True
cpu_core_weighted,1,16,True,True,True,True,True,True
cpu_core_weighted,2,1,True,True,True,True,True,True
cpu_core_weighted,2,8,True,True,True,True,True,True
cpu_core_weighted,2,16,True,True,True,True,True,True
memory_um,0,1,True,True,True,True,True,True
memory_um,0,8,True,True,True,True,True,True
memory_um,0,16,True,True,True,True,True,True
memory_um,1,1,True,True,True,True,True,True
memory_um,1,8,True,True,True,True,True,True
memory_um,1,16,True,True,True,True,True,True
memory_um,2,1,True,True,True,True,True,True
memory_um,2,8,True,True,True,True,True,True
memory_um,2,16,True,True,True,True,True,True
