check,seed,wins,losses,mean_rel,worst_rel,worst_fold,worst_horizon,neutral,mean_pct,worst_pct,mean_coh_reduction,cells_support,n_cells,hierarchy,n_seed_invariant,n_practically_stable,n_moderate,n_unstable,identical_hash_cells,total_cells
C1_cpu_independent_vs_persistence,0.0,9.0,0.0,0.9410684640615847,0.9649023073438555,2.0,1.0,,,,,,,,,,,,,
C1_cpu_independent_vs_ewma,0.0,9.0,0.0,0.9421152316308441,0.9622490960432124,2.0,1.0,,,,,,,,,,,,,
C1_cpu_independent_vs_ridge,0.0,7.0,2.0,0.9928414712939824,1.0067616980016882,2.0,1.0,,,,,,,,,,,,,
C1_cpu_independent_vs_lightgbm,0.0,0.0,9.0,1.201254917146528,1.226412892258164,1.0,1.0,,,,,,,,,,,,,
C1_cpu_independent_vs_persistence,1.0,9.0,0.0,0.9435808900556921,0.9673301837477166,2.0,8.0,,,,,,,,,,,,,
C1_cpu_independent_vs_ewma,1.0,9.0,0.0,0.9446178101776856,0.9640626432937393,2.0,8.0,,,,,,,,,,,,,
C1_cpu_independent_vs_ridge,1.0,6.0,3.0,0.9954983099152754,1.0108365807477184,2.0,8.0,,,,,,,,,,,,,
C1_cpu_independent_vs_lightgbm,1.0,0.0,9.0,1.2044397048896642,1.2343277571972888,2.0,8.0,,,,,,,,,,,,,
C1_cpu_independent_vs_persistence,2.0,9.0,0.0,0.9476653736410277,0.9673838303208945,2.0,8.0,,,,,,,,,,,,,
C1_cpu_independent_vs_ewma,2.0,9.0,0.0,0.9486990564787656,0.964116108654389,2.0,8.0,,,,,,,,,,,,,
C1_cpu_independent_vs_ridge,2.0,5.0,4.0,0.9998426968065721,1.0228066731850074,0.0,8.0,,,,,,,,,,,,,
C1_cpu_independent_vs_lightgbm,2.0,0.0,9.0,1.2096558254354675,1.2343962110256346,2.0,8.0,,,,,,,,,,,,,
C2_cpu_bottom_up_vs_independent,0.0,9.0,0.0,,,,,0.0,-7.340530586244682,-3.6919452723810253,111.13909177409957,,,,,,,,,
C2_cpu_bottom_up_vs_independent,1.0,9.0,0.0,,,,,0.0,-7.22180805000482,-4.189077109265716,116.58495453997858,,,,,,,,,
C2_cpu_bottom_up_vs_independent,2.0,9.0,0.0,,,,,0.0,-6.7658540642218465,-4.3172136201092055,112.25217806234066,,,,,,,,,
memory_independent_vs_ewma,0.0,0.0,9.0,1.0189337685410966,,,,,,,,,,,,,,,,
memory_independent_vs_ewma,1.0,0.0,9.0,1.0280044426470725,,,,,,,,,,,,,,,,
memory_independent_vs_ewma,2.0,0.0,9.0,1.052861262575281,,,,,,,,,,,,,,,,
memory_wls_vs_independent,0.0,7.0,,,,,,,-3.0245053125435124,,,7.0,9.0,,,,,,,
memory_wls_vs_independent,1.0,7.0,,,,,,,-3.5764642030401976,,,7.0,9.0,,,,,,,
memory_wls_vs_independent,2.0,6.0,,,,,,,-2.9099148830979833,,,6.0,9.0,,,,,,,
memory_mint_vs_independent,0.0,7.0,,,,,,,-3.148285211680621,,,7.0,9.0,,,,,,,
memory_mint_vs_independent,1.0,7.0,,,,,,,-3.700106131101865,,,7.0,9.0,,,,,,,
memory_mint_vs_independent,2.0,7.0,,,,,,,-3.069306516370988,,,7.0,9.0,,,,,,,
memory_bottom_up_vs_independent,0.0,5.0,,,,,,,-1.554285595413095,,,5.0,9.0,,,,,,,
memory_bottom_up_vs_independent,1.0,6.0,,,,,,,-2.2734118667551586,,,6.0,9.0,,,,,,,
memory_bottom_up_vs_independent,2.0,5.0,,,,,,,-1.0322940754444607,,,5.0,9.0,,,,,,,
seed_stability,,,,,,,,,,,,,,cpu_core_weighted,0.0,29.0,7.0,0.0,0.0,36.0
seed_stability,,,,,,,,,,,,,,memory_um,0.0,20.0,9.0,7.0,0.0,36.0
