hierarchy,seed,fold,horizon,method,threshold_name,threshold_value,n_peak,peak_mae,signed_bias,max_underpred,pred_to_target_range_ratio
cpu_core_weighted,0,0,1,independent,q90,1040.8933333239218,769,1073.3049953872846,-602.7567817754954,-6895.5987457142655,0.9185496186792205
cpu_core_weighted,0,0,1,independent,q95,1465.1299999848277,399,1764.3742525951493,-1161.5511897732142,-6895.5987457142655,0.9185496186792205
cpu_core_weighted,0,0,1,bottom_up,q90,1040.8933333239218,769,1076.6671195172535,-668.1347558470992,-6648.5631323574835,0.8525306112953974
cpu_core_weighted,0,0,1,bottom_up,q95,1465.1299999848277,399,1763.3410032324687,-1259.6795115945197,-6648.5631323574835,0.8525306112953974
cpu_core_weighted,0,0,1,wls,q90,1040.8933333239218,769,1068.0296616850455,-642.640890512086,-6744.893628205731,0.8688901317627631
cpu_core_weighted,0,0,1,wls,q95,1465.1299999848277,399,1758.6678929213192,-1221.4147862403274,-6744.893628205731,0.8688901317627631
cpu_core_weighted,0,0,1,mint,q90,1040.8933333239218,769,1069.8661752101348,-651.1324277361773,-6712.8077133958495,0.8608192295617711
cpu_core_weighted,0,0,1,mint,q95,1465.1299999848277,399,1759.4033144430252,-1234.16006183684,-6712.8077133958495,0.8608192295617711
cpu_core_weighted,0,0,8,independent,q90,1042.9466666635133,662,1070.4417483905781,-691.1712217345402,-6965.835127744102,0.7574570913900798
cpu_core_weighted,0,0,8,independent,q95,1467.2066666604928,338,1767.8904097162308,-1321.8892227132103,-6965.835127744102,0.7574570913900798
cpu_core_weighted,0,0,8,bottom_up,q90,1042.9466666635133,662,1066.8686773491004,-713.8156792947768,-6765.462948029325,0.7516973622874612
cpu_core_weighted,0,0,8,bottom_up,q95,1467.2066666604928,338,1757.0116728810988,-1355.7183798622664,-6765.462948029325,0.7516973622874612
cpu_core_weighted,0,0,8,wls,q90,1042.9466666635133,662,1063.494944312315,-704.74993233839,-6845.682289721841,0.7460790280080974
cpu_core_weighted,0,0,8,wls,q95,1467.2066666604928,338,1757.5048264857974,-1342.1748194723127,-6845.682289721841,0.7460790280080974
cpu_core_weighted,0,0,8,mint,q90,1042.9466666635133,662,1064.3394972995059,-709.0059089176531,-6808.022774066422,0.7425128005005843
cpu_core_weighted,0,0,8,mint,q95,1467.2066666604928,338,1756.9013395711681,-1348.5329360286225,-6808.022774066422,0.7425128005005843
cpu_core_weighted,0,0,16,independent,q90,1043.5733333087214,563,1087.0661609713727,-634.4163040179416,-6882.768956722896,0.9211485224439245
cpu_core_weighted,0,0,16,independent,q95,1468.3999999969562,296,1750.3102561301332,-1211.7446763154605,-6882.768956722896,0.9211485224439245
cpu_core_weighted,0,0,16,bottom_up,q90,1043.5733333087214,563,1103.881873824675,-729.7377224291289,-6733.292231181128,0.7805806312542696
cpu_core_weighted,0,0,16,bottom_up,q95,1468.3999999969562,296,1778.7533210244906,-1354.2497011349892,-6733.292231181128,0.7805806312542696
cpu_core_weighted,0,0,16,wls,q90,1043.5733333087214,563,1089.2083288421684,-690.304997396731,-6795.128014946231,0.8366360020342749
cpu_core_weighted,0,0,16,wls,q95,1468.3999999969562,296,1761.5092036825815,-1295.2979822756677,-6795.128014946231,0.8366360020342749
cpu_core_weighted,0,0,16,mint,q90,1043.5733333087214,563,1092.6179761818355,-703.3383014844027,-6774.690051994476,0.816927590348125
cpu_core_weighted,0,0,16,mint,q95,1468.3999999969562,296,1765.992096731515,-1314.7827041088958,-6774.690051994476,0.816927590348125
cpu_core_weighted,0,1,1,independent,q90,1107.3999999913692,442,1117.2779829734259,-627.0738306837378,-6304.342438625043,1.0442848039062476
cpu_core_weighted,0,1,1,independent,q95,1684.729999958847,240,1728.1074584866196,-1168.0021525851257,-6304.342438625043,1.0442848039062476
cpu_core_weighted,0,1,1,bottom_up,q90,1107.3999999913692,442,1109.2122436206105,-704.5528077812559,-6233.2761007546305,0.9867311726126196
cpu_core_weighted,0,1,1,bottom_up,q95,1684.729999958847,240,1720.546564770482,-1281.9872647153372,-6233.2761007546305,0.9867311726126196
cpu_core_weighted,0,1,1,wls,q90,1107.3999999913692,442,1106.0501942346689,-675.2746398597975,-6260.13102646064,1.0084798448928813
cpu_core_weighted,0,1,1,wls,q95,1684.729999958847,240,1718.2646106176203,-1238.9139643374328,-6260.13102646064,1.0084798448928813
cpu_core_weighted,0,1,1,mint,q90,1107.3999999913692,442,1105.9759104190287,-676.6681455337725,-6258.852855932817,1.0074447084627212
cpu_core_weighted,0,1,1,mint,q95,1684.729999958847,240,1718.1820961414026,-1240.964054651641,-6258.852855932817,1.0074447084627212
