hierarchy,fold,horizon,seed,method,reconstructed_mae,source_mae,abs_diff,status
cpu_core_weighted,0,1,0,independent,310.3574455560124,310.3574455560124,0.0,ok
cpu_core_weighted,0,1,0,bottom_up,288.15814824157997,288.15814824157997,0.0,ok
cpu_core_weighted,0,1,0,wls,290.76639048779896,290.76639048779896,0.0,ok
cpu_core_weighted,0,1,0,mint,288.92093487197803,288.92093487197803,0.0,ok
cpu_core_weighted,0,1,1,independent,312.74972007357223,312.74972007357223,0.0,ok
cpu_core_weighted,0,1,1,bottom_up,287.9474683135467,287.9474683135467,0.0,ok
cpu_core_weighted,0,1,1,wls,291.4301493275064,291.4301493275064,0.0,ok
cpu_core_weighted,0,1,1,mint,289.1179405700636,289.1179405700636,0.0,ok
cpu_core_weighted,0,1,2,independent,316.5820837892716,316.5820837892716,0.0,ok
cpu_core_weighted,0,1,2,bottom_up,293.7510537790743,293.7510537790743,0.0,ok
cpu_core_weighted,0,1,2,wls,296.605714173314,296.605714173314,0.0,ok
cpu_core_weighted,0,1,2,mint,294.6767335809304,294.6767335809304,0.0,ok
cpu_core_weighted,0,8,0,independent,306.07803005117887,306.07803005117887,0.0,ok
cpu_core_weighted,0,8,0,bottom_up,284.17531671005,284.17531671005,0.0,ok
cpu_core_weighted,0,8,0,wls,288.29313295505364,288.29313295505364,0.0,ok
cpu_core_weighted,0,8,0,mint,285.44789096153676,285.44789096153676,0.0,ok
cpu_core_weighted,0,8,1,independent,307.5298870240003,307.5298870240003,0.0,ok
cpu_core_weighted,0,8,1,bottom_up,289.90007425427405,289.90007425427405,0.0,ok
cpu_core_weighted,0,8,1,wls,291.7706187849698,291.7706187849698,0.0,ok
cpu_core_weighted,0,8,1,mint,289.9825841802501,289.9825841802501,0.0,ok
cpu_core_weighted,0,8,2,independent,315.1904535860228,315.1904535860228,0.0,ok
cpu_core_weighted,0,8,2,bottom_up,298.565957935266,298.565957935266,0.0,ok
cpu_core_weighted,0,8,2,wls,300.1097735506863,300.1097735506863,0.0,ok
cpu_core_weighted,0,8,2,mint,298.5722320602464,298.5722320602464,0.0,ok
cpu_core_weighted,0,16,0,independent,309.2931656481148,309.2931656481148,0.0,ok
cpu_core_weighted,0,16,0,bottom_up,287.88412833857745,287.88412833857745,0.0,ok
cpu_core_weighted,0,16,0,wls,290.5477187705508,290.5477187705508,0.0,ok
cpu_core_weighted,0,16,0,mint,288.4346731538449,288.4346731538449,0.0,ok
