family,hierarchy,model_a,method_a,model_b,method_b,seed,n_cells,mean_rel,n_improve,n_degrade,all_improve
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,bottom_up,dlinear,independent,0,9,-0.07340530586244681,9,0,True
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,bottom_up,dlinear,independent,1,9,-0.07221808050004817,9,0,True
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,bottom_up,dlinear,independent,2,9,-0.06765854064221848,9,0,True
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,mint,dlinear,independent,0,9,-0.06836237378493873,9,0,True
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,mint,dlinear,independent,1,9,-0.06944267196908711,9,0,True
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,mint,dlinear,independent,2,9,-0.0643241705024862,9,0,True
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,wls,dlinear,independent,0,9,-0.06482026082910203,9,0,True
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,wls,dlinear,independent,1,9,-0.06649846561065478,9,0,True
cpu_dlinear_reconciliation,cpu_core_weighted,dlinear,wls,dlinear,independent,2,9,-0.06162176008125586,9,0,True
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,ewma,independent,0,9,-0.05788476836915582,9,0,True
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,ewma,independent,1,9,-0.055382189822314215,9,0,True
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,ewma,independent,2,9,-0.05130094352123423,9,0,True
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,lightgbm,independent,0,9,0.2012549171465283,0,9,False
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,lightgbm,independent,1,9,0.20443970488966415,0,9,False
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,lightgbm,independent,2,9,0.20965582543546757,0,9,False
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,persistence,independent,0,9,-0.05893153593841517,9,0,True
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,persistence,independent,1,9,-0.05641910994430791,9,0,True
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,persistence,independent,2,9,-0.05233462635897224,9,0,True
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,ridge,independent,0,9,-0.0071585287060176445,7,2,False
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,ridge,independent,1,9,-0.004501690084724468,6,3,False
cpu_dlinear_vs_deterministic,cpu_core_weighted,dlinear,independent,ridge,independent,2,9,-0.0001573031934278119,5,4,False
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,9,-0.08988553360824257,9,0,True
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,9,-0.08988553360824257,9,0,True
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,9,-0.08988553360824257,9,0,True
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,0,9,-0.10002173433277234,9,0,True
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,1,9,-0.10002173433277234,9,0,True
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,2,9,-0.10002173433277234,9,0,True
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,9,-0.09775623506835081,9,0,True
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,9,-0.09775623506835081,9,0,True
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,9,-0.09775623506835081,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,9,-0.21569179479922343,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,9,-0.21569179479922343,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,9,-0.21569179479922343,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,9,-0.216559183852452,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,9,-0.216559183852452,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,9,-0.216559183852452,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,9,-0.1734096801143151,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,9,-0.1734096801143151,9,0,True
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,9,-0.1734096801143151,9,0,True
memory_dlinear_reconciliation,memory_um,dlinear,bottom_up,dlinear,independent,0,9,-0.01554285595413088,5,4,False
memory_dlinear_reconciliation,memory_um,dlinear,bottom_up,dlinear,independent,1,9,-0.0227341186675516,6,3,False
memory_dlinear_reconciliation,memory_um,dlinear,bottom_up,dlinear,independent,2,9,-0.010322940754444563,5,4,False
memory_dlinear_reconciliation,memory_um,dlinear,mint,dlinear,independent,0,9,-0.03148285211680617,7,2,False
memory_dlinear_reconciliation,memory_um,dlinear,mint,dlinear,independent,1,9,-0.037001061311018664,7,2,False
memory_dlinear_reconciliation,memory_um,dlinear,mint,dlinear,independent,2,9,-0.03069306516370985,7,2,False
memory_dlinear_reconciliation,memory_um,dlinear,wls,dlinear,independent,0,9,-0.030245053125435177,7,2,False
memory_dlinear_reconciliation,memory_um,dlinear,wls,dlinear,independent,1,9,-0.03576464203040198,7,2,False
memory_dlinear_reconciliation,memory_um,dlinear,wls,dlinear,independent,2,9,-0.029099148830979756,6,3,False
memory_dlinear_vs_ewma,memory_um,dlinear,independent,ewma,independent,0,9,0.01893376854109657,0,9,False
memory_dlinear_vs_ewma,memory_um,dlinear,independent,ewma,independent,1,9,0.02800444264707236,0,9,False
memory_dlinear_vs_ewma,memory_um,dlinear,independent,ewma,independent,2,9,0.05286126257528076,0,9,False
memory_dlinear_vs_ewma,memory_um,dlinear,mint,ewma,independent,0,9,-0.013399502871681287,6,3,False
memory_dlinear_vs_ewma,memory_um,dlinear,mint,ewma,independent,1,9,-0.010207494718089688,5,4,False
memory_dlinear_vs_ewma,memory_um,dlinear,mint,ewma,independent,2,9,0.01861662428021368,3,6,False
memory_dlinear_vs_ewma,memory_um,dlinear,wls,ewma,independent,0,9,-0.012099153908090451,6,3,False
memory_dlinear_vs_ewma,memory_um,dlinear,wls,ewma,independent,1,9,-0.008909139686709438,5,4,False
memory_dlinear_vs_ewma,memory_um,dlinear,wls,ewma,independent,2,9,0.020567470036980128,3,6,False
memory_lightgbm_reconciliation,memory_um,lightgbm,bottom_up,ewma,independent,0,9,0.43261372470035797,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,bottom_up,ewma,independent,1,9,0.43261372470035797,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,bottom_up,ewma,independent,2,9,0.43261372470035797,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,bottom_up,lightgbm,independent,0,9,0.03529312790685209,5,4,False
memory_lightgbm_reconciliation,memory_um,lightgbm,bottom_up,lightgbm,independent,1,9,0.03529312790685209,5,4,False
memory_lightgbm_reconciliation,memory_um,lightgbm,bottom_up,lightgbm,independent,2,9,0.03529312790685209,5,4,False
memory_lightgbm_reconciliation,memory_um,lightgbm,mint,ewma,independent,0,9,0.3637619060627368,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,mint,ewma,independent,1,9,0.3637619060627368,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,mint,ewma,independent,2,9,0.3637619060627368,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,mint,lightgbm,independent,0,9,-0.01633761593259422,6,3,False
memory_lightgbm_reconciliation,memory_um,lightgbm,mint,lightgbm,independent,1,9,-0.01633761593259422,6,3,False
memory_lightgbm_reconciliation,memory_um,lightgbm,mint,lightgbm,independent,2,9,-0.01633761593259422,6,3,False
memory_lightgbm_reconciliation,memory_um,lightgbm,wls,ewma,independent,0,9,0.351058476535175,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,wls,ewma,independent,1,9,0.351058476535175,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,wls,ewma,independent,2,9,0.351058476535175,0,9,False
memory_lightgbm_reconciliation,memory_um,lightgbm,wls,lightgbm,independent,0,9,-0.027032867540905822,5,4,False
memory_lightgbm_reconciliation,memory_um,lightgbm,wls,lightgbm,independent,1,9,-0.027032867540905822,5,4,False
memory_lightgbm_reconciliation,memory_um,lightgbm,wls,lightgbm,independent,2,9,-0.027032867540905822,5,4,False
memory_lightgbm_vs_ewma,memory_um,lightgbm,independent,ewma,independent,0,9,0.38822376180834894,0,9,False
memory_lightgbm_vs_ewma,memory_um,lightgbm,independent,ewma,independent,1,9,0.38822376180834894,0,9,False
memory_lightgbm_vs_ewma,memory_um,lightgbm,independent,ewma,independent,2,9,0.38822376180834894,0,9,False
