experiment_stage,eligible_for_final_claims,resolution,factor,target,model,horizon_steps,wallclock_horizon_sec,context_steps,outer_fold,mae,mase,mase_valid,peak_recall,peak_magnitude_mae,train_seconds,infer_seconds,n_test
development,False,native,1,cluster_mean_CU,persistence,1,42.285166,32,outer_0,1.3395330964227814,1.3063091627227412,True,1.0,7.353112258141876,1.820800025598146e-05,1.7499987734481692e-06,8276
development,False,native,1,cluster_mean_CU,ridge,1,42.285166,32,outer_0,1.2557048729676177,1.224560099047731,True,0.9818181818181818,6.818875054445471,0.007384166998235742,0.0001622500021767337,8276
development,False,native,1,cluster_mean_CU,persistence,8,338.281328,32,outer_0,1.3394145173648353,1.3061935247364045,True,1.0,7.3693209443966445,2.89999989036005e-05,7.204199937405065e-05,8269
development,False,native,1,cluster_mean_CU,ridge,8,338.281328,32,outer_0,1.254969648818895,1.2238431103860128,True,0.9817671809256662,6.830108124685399,0.005604125002719229,0.0010979580001730938,8269
development,False,native,1,cluster_UM,persistence,1,42.285166,32,outer_0,1294154012.0869985,1.4945747471212496,True,1.0,8477078433.344538,1.9290997443022206e-05,2.0000006770715117e-06,8276
development,False,native,1,cluster_UM,ridge,1,42.285166,32,outer_0,1358694507.6124406,1.5691103849805041,True,0.9951980792316927,6998490690.404047,0.000865624999278225,0.00014733300122315995,8276
development,False,native,1,cluster_UM,persistence,8,338.281328,32,outer_0,1291570370.298706,1.4915909865051837,True,1.0,8509157163.027811,2.599999788799323e-05,6.741700053680688e-05,8269
development,False,native,1,cluster_UM,ridge,8,338.281328,32,outer_0,1357156730.2391167,1.567334457844013,True,0.9951632406287787,7026863108.557362,0.006003416998282773,0.0013452919993142132,8269
development,False,native,1,machine01_DWT,persistence,1,42.285166,32,outer_0,15221065.07279147,1.5878048351506426,True,1.0,142896039.94246048,1.758399957907386e-05,1.8330028979107738e-06,7979
development,False,native,1,machine01_DWT,ridge,1,42.285166,32,outer_0,16461154.290743522,1.7171663250901466,True,0.9321357285429142,129665643.9996512,0.0010220000003755558,0.000136500002554385,7979
development,False,native,1,machine01_DWT,persistence,8,338.281328,32,outer_0,15351644.764977008,1.601426422446482,True,1.0,142896039.94246048,2.4708002456463873e-05,6.554200081154704e-05,7909
development,False,native,1,machine01_DWT,ridge,8,338.281328,32,outer_0,16575247.512118064,1.729068105135765,True,0.93812375249501,129233000.79026471,0.005314207999617793,0.0011371670007065404,7909
development,False,native,1,machine01_tx_bond0,persistence,1,42.285166,32,outer_0,49.813159476236564,2.006674316607653,True,0.9986263736263736,307.774395779532,1.7541999113745987e-05,1.7089987522922456e-06,7473
development,False,native,1,machine01_tx_bond0,ridge,1,42.285166,32,outer_0,44.85616551510368,1.8069866723390764,True,0.8736263736263736,287.5975102783145,0.0008162080011970829,0.00013504199887393042,7473
development,False,native,1,machine01_tx_bond0,persistence,8,338.281328,32,outer_0,49.46389347951344,1.992604478182266,True,1.0,307.82984672134813,2.5499997718725353e-05,6.429199856938794e-05,7307
development,False,native,1,machine01_tx_bond0,ridge,8,338.281328,32,outer_0,44.52767405407328,1.7937537157266958,True,0.8746438746438746,289.1113348160778,0.005091333001473686,0.0016003329983504955,7307
development,False,native,1,averageRttWithGoogleDns,persistence,1,42.285166,32,outer_0,0.2731413931926314,0.7026766572388125,True,0.9887640449438202,8.409204545454545,1.7334001313429326e-05,1.8749997252598405e-06,8197
development,False,native,1,averageRttWithGoogleDns,ridge,1,42.285166,32,outer_0,0.35306911136897506,0.9082966885801264,True,0.2247191011235955,22.382414499059472,0.000967125000897795,0.0001597500013303943,8197
development,False,native,1,averageRttWithGoogleDns,persistence,8,338.281328,32,outer_0,0.2650880626223092,0.6819588621853097,True,1.0,8.243141176470587,2.7582998882280663e-05,6.912499884492718e-05,8176
development,False,native,1,averageRttWithGoogleDns,ridge,8,338.281328,32,outer_0,0.33754161746231104,0.8683510494878635,True,0.2,20.759346798935507,0.005365958000766113,0.0010864590003620833,8176
development,False,native,1,jitterWithGoogleDns,persistence,1,42.285166,32,outer_0,0.28628376235208003,0.8999381768480046,True,1.0,2.838774535809018,1.7082998965634033e-05,1.6660014807712287e-06,8197
development,False,native,1,jitterWithGoogleDns,ridge,1,42.285166,32,outer_0,0.28041284195434285,0.8814828325569036,True,0.3978779840848806,4.483053511273664,0.0008335839993378613,0.00014024999836692587,8197
development,False,native,1,jitterWithGoogleDns,persistence,8,338.281328,32,outer_0,0.2843819716242662,0.8939598633513754,True,1.0,2.8330215053763443,2.725000013015233e-05,6.783299977541901e-05,8176
development,False,native,1,jitterWithGoogleDns,ridge,8,338.281328,32,outer_0,0.27818916758793116,0.8744926720295627,True,0.3978494623655914,4.506501099138779,0.005973999999696389,0.0013622080005006865,8176
development,False,2x,2,cluster_mean_CU,persistence,1,84.570332,16,outer_0,1.5923687343443653,1.4318377231025117,True,1.0,9.899776951089281,1.537499701953493e-05,1.3749995559919626e-06,4138
development,False,2x,2,cluster_mean_CU,ridge,1,84.570332,16,outer_0,1.372399989731228,1.2340446242758933,True,0.9799426934097422,8.33675542207484,0.0005784169989055954,0.0001095000006898772,4138
development,False,2x,2,cluster_mean_CU,persistence,8,676.562656,16,outer_0,1.591329180315065,1.430902969334586,True,1.0,9.95625015247369,2.1666997781721875e-05,3.9041999116307124e-05,4131
development,False,2x,2,cluster_mean_CU,ridge,8,676.562656,16,outer_0,1.370834274331926,1.232636752892833,True,0.9797687861271677,8.378217775231155,0.0033669999975245446,0.0006347079979605041,4131
development,False,2x,2,cluster_UM,persistence,1,84.570332,16,outer_0,1470935775.4586756,1.505976926279223,True,1.0,7589640842.091287,1.8708000425249338e-05,1.625001459615305e-06,4138
development,False,2x,2,cluster_UM,ridge,1,84.570332,16,outer_0,1491443605.6035738,1.5269733011866453,True,0.966804979253112,6671644223.874852,0.0005754580015491229,8.69169998622965e-05,4138
development,False,2x,2,cluster_UM,persistence,8,676.562656,16,outer_0,1463730690.1069958,1.4986001988431672,True,1.0,7602565305.008404,2.1916999685345218e-05,3.608399856602773e-05,4131
development,False,2x,2,cluster_UM,ridge,8,676.562656,16,outer_0,1485095960.7630067,1.5204744405119646,True,0.9663865546218487,6680210623.217723,0.0035301249990880024,0.0006127500018919818,4131
development,False,2x,2,machine01_DWT,persistence,1,84.570332,16,outer_0,14109280.920981156,1.5264818334208738,True,1.0,108152345.8073165,1.529200017102994e-05,1.45800004247576e-06,4138
development,False,2x,2,machine01_DWT,ridge,1,84.570332,16,outer_0,15282715.13961836,1.653435575960685,True,0.8678571428571429,102112729.39543964,0.0005756659993494395,9.620800119591877e-05,4138
development,False,2x,2,machine01_DWT,persistence,8,676.562656,16,outer_0,14078307.638397487,1.5231308367648306,True,0.9964285714285714,107841919.44342396,1.9082999642705545e-05,3.22499981848523e-05,4131
development,False,2x,2,machine01_DWT,ridge,8,676.562656,16,outer_0,15241952.040139494,1.6490254198955459,True,0.8642857142857143,101618532.18583499,0.0032273329998133704,0.000847625000460539,4131
development,False,2x,2,machine01_tx_bond0,persistence,1,84.570332,16,outer_0,47.91784490180719,2.0241865277506723,True,1.0,246.49479306048687,1.4958000974729657e-05,1.958000211743638e-06,4138
development,False,2x,2,machine01_tx_bond0,ridge,1,84.570332,16,outer_0,42.09811355673334,1.7783444660309367,True,0.8133640552995391,245.1135520907964,0.0005923340031586122,0.00011187499694642611,4138
development,False,2x,2,machine01_tx_bond0,persistence,8,676.562656,16,outer_0,47.90915744998799,2.023819544991557,True,1.0,247.24433814152823,2.0083996787434444e-05,3.933300104108639e-05,4131
development,False,2x,2,machine01_tx_bond0,ridge,8,676.562656,16,outer_0,42.05301013137023,1.776439168616946,True,0.8125,246.0760765148923,0.0033634999999776483,0.000994124999124324,4131
development,False,2x,2,averageRttWithGoogleDns,persistence,1,84.570332,16,outer_0,0.33238641855969064,0.9038721012270606,True,1.0,8.154732142857142,1.591700129210949e-05,1.625001459615305e-06,4138
development,False,2x,2,averageRttWithGoogleDns,ridge,1,84.570332,16,outer_0,0.4097828267426159,1.114339347135801,True,0.375,18.113939424345865,0.0006461249977292027,0.00012991600306122564,4138
development,False,2x,2,averageRttWithGoogleDns,persistence,8,676.562656,16,outer_0,0.3328583877995643,0.9051555466530431,True,1.0,8.154732142857142,2.070800110232085e-05,3.858299896819517e-05,4131
development,False,2x,2,averageRttWithGoogleDns,ridge,8,676.562656,16,outer_0,0.41044598352595923,1.1161426967365486,True,0.375,18.11407211334598,0.003449750001891516,0.0007671669991395902,4131
development,False,2x,2,jitterWithGoogleDns,persistence,1,84.570332,16,outer_0,0.2779706379893669,0.9265023021034045,True,1.0,2.2962930232558145,1.6999998479150236e-05,1.5420009731315076e-06,4138
development,False,2x,2,jitterWithGoogleDns,ridge,1,84.570332,16,outer_0,0.26496651257653797,0.8831583280096793,True,0.26976744186046514,3.462644523789938,0.000590666000789497,0.00014658299915026873,4138
development,False,2x,2,jitterWithGoogleDns,persistence,8,676.562656,16,outer_0,0.27827075768579035,0.9275026293021842,True,1.0,2.2962930232558145,2.0916999346809462e-05,3.5624998417915776e-05,4131
development,False,2x,2,jitterWithGoogleDns,ridge,8,676.562656,16,outer_0,0.2649979041943932,0.8832629592269186,True,0.26976744186046514,3.4626035451272914,0.003674083000078099,0.0007598329975735396,4131
development,False,approx_3min,4,cluster_mean_CU,persistence,1,169.140664,8,outer_0,1.736330490282924,1.4581447695938607,True,1.0,8.989109494150998,1.6000001778593287e-05,1.6670019249431789e-06,2069
development,False,approx_3min,4,cluster_mean_CU,ridge,1,169.140664,8,outer_0,1.329778105864745,1.1167280656755387,True,0.5581395348837209,7.488831020697909,0.0010581659989838954,0.0001170840005215723,2069
development,False,approx_3min,4,cluster_mean_CU,persistence,8,1353.125312,8,outer_0,1.7186606869332,1.4433059290169417,True,1.0,8.955243313667543,1.8292001186637208e-05,2.058299651253037e-05,2062
development,False,approx_3min,4,cluster_mean_CU,ridge,8,1353.125312,8,outer_0,1.3181371770837271,1.1069521851561048,True,0.5588235294117647,7.512061293953072,0.0029627080002683215,0.0005316250026226044,2062
development,False,approx_3min,4,cluster_UM,persistence,1,169.140664,8,outer_0,1903932076.481392,1.562037272755175,True,1.0,8627562942.836363,1.5583002095809206e-05,1.5420009731315076e-06,2069
development,False,approx_3min,4,cluster_UM,ridge,1,169.140664,8,outer_0,1730295225.3546765,1.4195809127126366,True,0.8763636363636363,7048299440.959068,0.0005313330002536532,6.916699931025505e-05,2069
development,False,approx_3min,4,cluster_UM,persistence,8,1353.125312,8,outer_0,1890397664.217265,1.550933275568221,True,1.0,8629710092.280443,1.7750000552041456e-05,2.0500003302004188e-05,2062
development,False,approx_3min,4,cluster_UM,ridge,8,1353.125312,8,outer_0,1719406730.8494904,1.4106476978824507,True,0.8745387453874539,7047431416.303314,0.0036741670010087546,0.00042445899816812016,2062
development,False,approx_3min,4,machine01_DWT,persistence,1,169.140664,8,outer_0,11709597.057315279,1.4597085701895556,True,1.0,69957621.5028126,1.633300053072162e-05,1.8339997041039169e-06,2069
development,False,approx_3min,4,machine01_DWT,ridge,1,169.140664,8,outer_0,13420836.651160687,1.6730302659368341,True,0.803030303030303,79121881.32293724,0.0005211249990679789,6.541599941556342e-05,2069
development,False,approx_3min,4,machine01_DWT,persistence,8,1353.125312,8,outer_0,11594656.671650348,1.4453801978984548,True,1.0,69668853.38090898,1.716599945211783e-05,2.037499871221371e-05,2062
development,False,approx_3min,4,machine01_DWT,ridge,8,1353.125312,8,outer_0,13311242.284002434,1.6593683238390518,True,0.8015267175572519,78725630.73986897,0.0026648750026652124,0.0005238750018179417,2062
development,False,approx_3min,4,machine01_tx_bond0,persistence,1,169.140664,8,outer_0,41.18306237038437,1.893434795349335,True,1.0,185.7350720928643,1.6040998161770403e-05,1.625001459615305e-06,2069
development,False,approx_3min,4,machine01_tx_bond0,ridge,1,169.140664,8,outer_0,38.09730632876556,1.7515639017617304,True,0.5512820512820513,216.2299305966353,0.0006070419985917397,6.658300117123872e-05,2069
development,False,approx_3min,4,machine01_tx_bond0,persistence,8,1353.125312,8,outer_0,41.016671214512726,1.8857847861943011,True,1.0,186.1729578295201,1.912500010803342e-05,2.2374999389285222e-05,2062
development,False,approx_3min,4,machine01_tx_bond0,ridge,8,1353.125312,8,outer_0,37.920968210265976,1.74345657049261,True,0.5584415584415584,216.2375245536814,0.002658749999682186,0.00037599999996018596,2062
development,False,approx_3min,4,averageRttWithGoogleDns,persistence,1,169.140664,8,outer_0,0.3523321652972451,1.052276157942438,True,1.0,8.359616666666666,1.6709000192349777e-05,1.624997821636498e-06,2069
development,False,approx_3min,4,averageRttWithGoogleDns,ridge,1,169.140664,8,outer_0,0.39251881913944464,1.1722977224509088,True,0.44,15.562396231274597,0.000513833001605235,6.741600009263493e-05,2069
development,False,approx_3min,4,averageRttWithGoogleDns,persistence,8,1353.125312,8,outer_0,0.3533228661493695,1.0552349876747853,True,1.0,8.359616666666666,1.879199771792628e-05,2.13330022234004e-05,2062
development,False,approx_3min,4,averageRttWithGoogleDns,ridge,8,1353.125312,8,outer_0,0.3934289203705434,1.1750158331462275,True,0.44,15.56261806236384,0.002885166999476496,0.0003828750013781246,2062
development,False,approx_3min,4,jitterWithGoogleDns,persistence,1,169.140664,8,outer_0,0.2579507410987595,0.9881332594331074,True,1.0,1.745234848484849,2.2083000658312812e-05,2.291999408043921e-06,2069
development,False,approx_3min,4,jitterWithGoogleDns,ridge,1,169.140664,8,outer_0,0.2355149344815556,0.9021882971265999,True,0.19090909090909092,2.3359407264361822,0.0005220000020926818,6.020799992256798e-05,2069
development,False,approx_3min,4,jitterWithGoogleDns,persistence,8,1353.125312,8,outer_0,0.2587072421597155,0.9910311920226512,True,1.0,1.745234848484849,1.8583999917609617e-05,2.2125001123640686e-05,2062
development,False,approx_3min,4,jitterWithGoogleDns,ridge,8,1353.125312,8,outer_0,0.23497966619915137,0.9001378421044112,True,0.19090909090909092,2.335923186755725,0.0029758749988104682,0.00037774999873363413,2062
development,False,approx_5min,7,cluster_mean_CU,persistence,1,295.99616199999997,5,outer_0,1.7705412617132257,1.5188900187448433,True,1.0,8.461819914740582,1.4958000974729657e-05,1.45800004247576e-06,1182
development,False,approx_5min,7,cluster_mean_CU,ridge,1,295.99616199999997,5,outer_0,1.2210265469665875,1.047479138111395,True,0.023809523809523808,5.839928974024643,0.00054854099653312,6.175000089569949e-05,1182
development,False,approx_5min,7,cluster_mean_CU,persistence,8,2367.9692959999998,5,outer_0,1.7609609944729683,1.5106714176860605,True,1.0,8.519407114498021,1.758299913490191e-05,1.716699989628978e-05,1175
development,False,approx_5min,7,cluster_mean_CU,ridge,8,2367.9692959999998,5,outer_0,1.2129592597482417,1.040558473623499,True,0.024096385542168676,5.841156194046506,0.0026132499988307245,0.0003449579999141861,1175
development,False,approx_5min,7,cluster_UM,persistence,1,295.99616199999997,5,outer_0,2091418923.749577,1.4951276949158092,True,1.0,6891323399.223987,2.849999873433262e-05,2.625001798151061e-06,1182
development,False,approx_5min,7,cluster_UM,ridge,1,295.99616199999997,5,outer_0,1928103546.2044246,1.3783756940609933,True,0.8271604938271605,5867808333.948447,0.0005176250015210826,5.8750003518071026e-05,1182
development,False,approx_5min,7,cluster_UM,persistence,8,2367.9692959999998,5,outer_0,2077883031.5769,1.4854510648380435,True,1.0,6913284813.906363,1.6125002730404958e-05,1.662499926169403e-05,1175
development,False,approx_5min,7,cluster_UM,ridge,8,2367.9692959999998,5,outer_0,1919488153.3153756,1.3722166637659512,True,0.8235294117647058,5903735058.06702,0.0027166250001755543,0.0003454159996181261,1175
development,False,approx_5min,7,machine01_DWT,persistence,1,295.99616199999997,5,outer_0,12892682.462474769,1.3653459564984352,True,1.0,67374902.64087039,1.966700074262917e-05,2.0420011423993856e-06,1182
development,False,approx_5min,7,machine01_DWT,ridge,1,295.99616199999997,5,outer_0,14143807.381494338,1.4978411415950752,True,0.7076923076923077,86015683.88962929,0.0006047499991836958,6.170800043037161e-05,1182
development,False,approx_5min,7,machine01_DWT,persistence,8,2367.9692959999998,5,outer_0,12838637.146410584,1.3596225119033567,True,1.0,67374902.64087039,1.6250000044237822e-05,1.620799957890995e-05,1175
development,False,approx_5min,7,machine01_DWT,ridge,8,2367.9692959999998,5,outer_0,14114626.588251138,1.494750870956829,True,0.7076923076923077,86014685.66200255,0.0030017499993846286,0.00039245800144271925,1175
development,False,approx_5min,7,machine01_tx_bond0,persistence,1,295.99616199999997,5,outer_0,35.72390807440197,1.8675473191186682,True,1.0,129.70561893810014,1.591700129210949e-05,1.5000005078036338e-06,1182
development,False,approx_5min,7,machine01_tx_bond0,ridge,1,295.99616199999997,5,outer_0,35.1302139657551,1.8365106296649045,True,0.5975609756097561,140.36542606962288,0.0004972910028300248,5.762499858974479e-05,1182
development,False,approx_5min,7,machine01_tx_bond0,persistence,8,2367.9692959999998,5,outer_0,35.49043321402792,1.8553418977894829,True,1.0,129.14159848753047,1.5624998923158273e-05,1.6040998161770403e-05,1175
development,False,approx_5min,7,machine01_tx_bond0,ridge,8,2367.9692959999998,5,outer_0,35.01427331129638,1.8304495722363532,True,0.6012269938650306,140.38160535369678,0.002581541997642489,0.000338249999913387,1175
development,False,approx_5min,7,averageRttWithGoogleDns,persistence,1,295.99616199999997,5,outer_0,0.3647200870195794,1.1013989622314313,True,1.0,12.782329365079368,1.4708002709085122e-05,1.3749995559919626e-06,1182
development,False,approx_5min,7,averageRttWithGoogleDns,ridge,1,295.99616199999997,5,outer_0,0.37663100499740687,1.1373681154722248,True,0.5833333333333334,14.699145326290784,0.0009075000016309787,8.2665999798337e-05,1182
development,False,approx_5min,7,averageRttWithGoogleDns,persistence,8,2367.9692959999998,5,outer_0,0.3647450455927052,1.1014743333105625,True,1.0,12.782329365079368,1.733299723127857e-05,1.716599945211783e-05,1175
development,False,approx_5min,7,averageRttWithGoogleDns,ridge,8,2367.9692959999998,5,outer_0,0.37752814564714615,1.1400773432218483,True,0.5833333333333334,14.698116766728395,0.0027340000015101396,0.0003291670000180602,1175
development,False,approx_5min,7,jitterWithGoogleDns,persistence,1,295.99616199999997,5,outer_0,0.22929510111997425,0.9600026544024755,True,1.0,1.43365873015873,1.3958000636193901e-05,1.5410005289595574e-06,1182
development,False,approx_5min,7,jitterWithGoogleDns,ridge,1,295.99616199999997,5,outer_0,0.20470524124540584,0.8570509095301808,True,0.23809523809523808,1.014814359331858,0.0004940829967381433,5.8292000176152214e-05,1182
development,False,approx_5min,7,jitterWithGoogleDns,persistence,8,2367.9692959999998,5,outer_0,0.22707971631205676,0.9507273786301819,True,0.9836065573770492,1.442422619047619,1.870900086942129e-05,1.7374997696606442e-05,1175
development,False,approx_5min,7,jitterWithGoogleDns,ridge,8,2367.9692959999998,5,outer_0,0.20360627207382492,0.8524497936900646,True,0.2459016393442623,1.0135919766632395,0.003701041998283472,0.0003860420001728926,1175
development,False,native,1,cluster_mean_CU,persistence,1,42.285166,32,outer_1,1.0552762254921197,0.9695430417325795,True,1.0,7.688403810430975,2.0250001398380846e-05,1.958000211743638e-06,8276
development,False,native,1,cluster_mean_CU,ridge,1,42.285166,32,outer_1,1.0040855203986057,0.9225111928897273,True,0.9820051413881749,7.1691937560620085,0.0015377089985122439,0.00015245900067384355,8276
development,False,native,1,cluster_mean_CU,persistence,8,338.281328,32,outer_1,1.055611723758723,0.969851283311458,True,1.0,7.688403810430975,3.920900053344667e-05,7.624999852851033e-05,8269
development,False,native,1,cluster_mean_CU,ridge,8,338.281328,32,outer_1,1.0045411548424104,0.9229298104932447,True,0.9820051413881749,7.169039733214255,0.009902292000333546,0.0010499160016479436,8269
development,False,native,1,cluster_UM,persistence,1,42.285166,32,outer_1,843922661.6452392,0.8660559197370332,True,1.0,9155978127.36,2.504199801478535e-05,2.082997525576502e-06,8276
development,False,native,1,cluster_UM,ridge,1,42.285166,32,outer_1,834422178.6472346,0.8563062709662057,True,0.94,7295053736.803168,0.0012821249983971938,0.00016195799980778247,8276
development,False,native,1,cluster_UM,persistence,8,338.281328,32,outer_1,844465442.1477809,0.8666129355498656,True,1.0,9155978127.36,3.908299913746305e-05,8.008399890968576e-05,8269
development,False,native,1,cluster_UM,ridge,8,338.281328,32,outer_1,835005834.3233938,0.8569052339712284,True,0.94,7294425124.591923,0.009706125001684995,0.001434290999895893,8269
development,False,native,1,machine01_DWT,persistence,1,42.285166,32,outer_1,5235345.267122638,0.45522479157561285,True,1.0,163250489.750447,2.0832998416153714e-05,1.9170001905877143e-06,7576
development,False,native,1,machine01_DWT,ridge,1,42.285166,32,outer_1,6899310.548662293,0.5999102344316591,True,0.7079646017699115,174497384.27316093,0.0012825830017391127,0.0001466249996155966,7576
development,False,native,1,machine01_DWT,persistence,8,338.281328,32,outer_1,5267041.348522698,0.4579808356019194,True,0.9911504424778761,161986247.82798076,4.68340003862977e-05,8.712500130059198e-05,7443
development,False,native,1,machine01_DWT,ridge,8,338.281328,32,outer_1,6940948.161704368,0.603530716511001,True,0.6991150442477876,172398982.896022,0.012072792000253685,0.001558791998832021,7443
development,False,native,1,machine01_tx_bond0,persistence,1,42.285166,32,outer_1,39.078021413551674,1.271153344038345,True,1.0,294.14854207434377,1.995799902942963e-05,2.0420011423993856e-06,7792
development,False,native,1,machine01_tx_bond0,ridge,1,42.285166,32,outer_1,45.498169388352686,1.4799917721927243,True,0.9335548172757475,340.3060961897245,0.0012893330022052396,0.00017554200167069212,7792
development,False,native,1,machine01_tx_bond0,persistence,8,338.281328,32,outer_1,38.34106089197566,1.2471810497015408,True,1.0,285.99319980391607,8.183400132111274e-05,0.0001262500009033829,7687
development,False,native,1,machine01_tx_bond0,ridge,8,338.281328,32,outer_1,44.99882959288649,1.463748947508715,True,0.9338983050847458,336.75139406451177,0.008902207999199163,0.001210166999953799,7687
development,False,native,1,averageRttWithGoogleDns,persistence,1,42.285166,32,outer_1,0.22476448439208066,0.7964798188494452,True,1.0,8.51543373493976,2.0415998733369634e-05,2.0420011423993856e-06,8233
development,False,native,1,averageRttWithGoogleDns,ridge,1,42.285166,32,outer_1,0.25381493997743615,0.8994235809153218,True,0.4819277108433735,13.121609760097448,0.0012509579973993823,0.00015699999858043157,8233
development,False,native,1,averageRttWithGoogleDns,persistence,8,338.281328,32,outer_1,0.2249588757756418,0.7971686679546918,True,1.0,8.51543373493976,3.8624999433523044e-05,7.724999886704609e-05,8219
development,False,native,1,averageRttWithGoogleDns,ridge,8,338.281328,32,outer_1,0.25330841502115825,0.8976286491826234,True,0.4819277108433735,13.12154723196549,0.009186790997773642,0.0010780000011436641,8219
development,False,native,1,jitterWithGoogleDns,persistence,1,42.285166,32,outer_1,0.21076830308198322,0.8034656940352705,True,1.0,2.92479020979021,2.058300015050918e-05,1.9999970390927047e-06,8209
development,False,native,1,jitterWithGoogleDns,ridge,1,42.285166,32,outer_1,0.20696962719478987,0.7889848365558055,True,0.32867132867132864,5.024789317085675,0.0012480419973144308,0.00015474999963771552,8209
development,False,native,1,jitterWithGoogleDns,persistence,8,338.281328,32,outer_1,0.2060564978645516,0.7855039142333514,True,1.0,2.8833886925795054,3.770800321944989e-05,6.891600060043857e-05,8195
development,False,native,1,jitterWithGoogleDns,ridge,8,338.281328,32,outer_1,0.20386945954744945,0.7771667485702171,True,0.3321554770318021,4.892189979601692,0.00945129200044903,0.0011323750004521571,8195
development,False,2x,2,cluster_mean_CU,persistence,1,84.570332,16,outer_1,1.116783835980783,0.9114019984816338,True,1.0,9.488720237785055,1.5375000657513738e-05,1.7499987734481692e-06,4138
development,False,2x,2,cluster_mean_CU,ridge,1,84.570332,16,outer_1,1.0215491179391976,0.8336813962025825,True,0.8711340206185567,8.882022941842967,0.0008607499985373579,0.00026916600108961575,4138
development,False,2x,2,cluster_mean_CU,persistence,8,676.562656,16,outer_1,1.1180169806067475,0.9124083619696352,True,1.0,9.488720237785055,2.9999999242136255e-05,4.654100121115334e-05,4131
development,False,2x,2,cluster_mean_CU,ridge,8,676.562656,16,outer_1,1.0200212094359422,0.8324344773105831,True,0.8711340206185567,8.886302461422245,0.004454291000001831,0.001015666999592213,4131
development,False,2x,2,cluster_UM,persistence,1,84.570332,16,outer_1,958848435.0391494,0.8606477739003692,True,1.0,9038721689.6,1.687500116531737e-05,1.9170001905877143e-06,4138
