family,base_model,horizon,outer_fold,machine,method,mae,mae_vs_local,mae_rel
CU,ridge,1,outer_0,machine01,local,3.8466567402591614,0.0,1.0
CU,ridge,1,outer_0,machine01,global_pooled,4.551336701943907,0.7046799616847452,1.1831928371225733
CU,ridge,1,outer_0,machine01,global_onehot,4.0107819275172645,0.1641251872581031,1.0426669698755198
CU,ridge,1,outer_0,machine01,global_residual,3.846657869935236,1.1296760744627932e-06,1.0000002936773804
CU,ridge,1,outer_0,machine01,global_embed,4.632743311429725,0.7860865711705638,1.204355788480779
CU,ridge,1,outer_0,machine02,local,1.2400141287828264,0.0,1.0
CU,ridge,1,outer_0,machine02,global_pooled,1.509090244710173,0.2690761159273467,1.2169943952102116
CU,ridge,1,outer_0,machine02,global_onehot,1.4580331687973704,0.21801904001454409,1.1758198031409104
CU,ridge,1,outer_0,machine02,global_residual,1.240013532814302,-5.959685243084323e-07,0.9999995193856985
CU,ridge,1,outer_0,machine02,global_embed,1.246508875822746,0.006494747039919702,1.0052376395471354
CU,ridge,1,outer_0,machine03,local,0.9208647739795917,0.0,1.0
CU,ridge,1,outer_0,machine03,global_pooled,1.2792944851878179,0.3584297112082262,1.3892316454447955
CU,ridge,1,outer_0,machine03,global_onehot,1.2730580323098755,0.3521932583302838,1.3824592581690927
CU,ridge,1,outer_0,machine03,global_residual,0.9208650814786076,3.074990159168678e-07,1.0000003339241814
CU,ridge,1,outer_0,machine03,global_embed,0.9418046022423904,0.02093982826279872,1.0227393085874112
CU,ridge,1,outer_0,machine04,local,3.343937204927175,0.0,1.0
CU,ridge,1,outer_0,machine04,global_pooled,3.5656562450354627,0.22171904010828758,1.0663047858020755
CU,ridge,1,outer_0,machine04,global_onehot,3.6439139700108485,0.2999767650836733,1.0897076549887563
CU,ridge,1,outer_0,machine04,global_residual,3.3439376572749175,4.523477423745703e-07,1.0000001352739942
CU,ridge,1,outer_0,machine04,global_embed,4.49487677710185,1.150939572174675,1.3441869573623588
CU,ridge,1,outer_0,machine05,local,0.6044081218109112,0.0,1.0
CU,ridge,1,outer_0,machine05,global_pooled,0.6316996700861259,0.02729154827521474,1.0451541719747983
CU,ridge,1,outer_0,machine05,global_onehot,0.6320921151415704,0.027683993330659185,1.045803476709931
CU,ridge,1,outer_0,machine05,global_residual,0.6044076491590091,-4.726519020614717e-07,0.9999992179921398
CU,ridge,1,outer_0,machine05,global_embed,0.6155780748535618,0.01116995304265056,1.0184808122848903
CU,ridge,1,outer_0,machine06,local,0.058104871842607854,0.0,1.0
CU,ridge,1,outer_0,machine06,global_pooled,0.07050484083656808,0.012399968993960224,1.213406700690241
CU,ridge,1,outer_0,machine06,global_onehot,0.07136457465752216,0.013259702814914308,1.228202943994639
