hierarchy,model,horizon,seed,outer_fold,method,top_mae,top_mase,mase_valid,coherence_error,experiment_stage,eligible_for_final_claims
memory_um,lstm,1,0,outer_0,independent,120934914365.93373,139.3011091448666,True,4.788296222686768,development,False
memory_um,lstm,1,0,outer_0,bottom_up,120934914361.14542,139.30110913935107,True,0.0,development,False
memory_um,lstm,1,0,outer_0,wls,120934914362.61646,139.30110914104552,True,0.0,development,False
memory_um,lstm,1,0,outer_0,mint,120934914362.61646,139.30110914104552,True,0.0,development,False
memory_um,lstm,1,0,outer_0,bottom_up_nn,120934914361.14542,139.30110913935107,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_0,independent,1.6200040503505067,1.5821224257031445,True,107.12358172795244,development,False
cpu_core_weighted,lstm,1,0,outer_0,bottom_up,1.5279269995948659,1.4921984734379716,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_0,wls,1.5775477723737148,1.5406589309146992,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_0,mint,1.5527206635139201,1.5164123707385342,True,0.0,development,False
cpu_core_weighted,lstm,1,0,outer_0,bottom_up_nn,1.5279269995948659,1.4921984734379716,True,0.0,development,False
memory_um,lstm,1,1,outer_0,independent,120934914366.33992,139.30110914533446,True,2.3506307303905487,development,False
memory_um,lstm,1,1,outer_0,bottom_up,120934914363.9893,139.30110914262684,True,0.0,development,False
memory_um,lstm,1,1,outer_0,wls,120934914364.71143,139.30110914345863,True,0.0,development,False
memory_um,lstm,1,1,outer_0,mint,120934914364.71143,139.30110914345863,True,0.0,development,False
memory_um,lstm,1,1,outer_0,bottom_up_nn,120934914363.9893,139.30110914262684,True,0.0,development,False
cpu_core_weighted,lstm,1,1,outer_0,independent,1.5207572655197532,1.4851963939900161,True,63.804439092139894,development,False
cpu_core_weighted,lstm,1,1,outer_0,bottom_up,1.5331343831983013,1.497284089351371,True,0.0,development,False
cpu_core_weighted,lstm,1,1,outer_0,wls,1.5694749732580806,1.5327749033924976,True,0.0,development,False
cpu_core_weighted,lstm,1,1,outer_0,mint,1.5711831745183689,1.5344431606545283,True,0.0,development,False
cpu_core_weighted,lstm,1,1,outer_0,bottom_up_nn,1.5331343831983013,1.497284089351371,True,0.0,development,False
memory_um,lstm,8,0,outer_0,independent,120926259575.78876,139.1832677557976,True,5.522607982158661,development,False
memory_um,lstm,8,0,outer_0,bottom_up,120926259570.26611,139.18326774944117,True,0.0,development,False
memory_um,lstm,8,0,outer_0,wls,120926259572.58492,139.18326775211005,True,0.0,development,False
memory_um,lstm,8,0,outer_0,mint,120926259572.58492,139.18326775211005,True,0.0,development,False
memory_um,lstm,8,0,outer_0,bottom_up_nn,120926259570.26611,139.18326774944117,True,0.0,development,False
cpu_core_weighted,lstm,8,0,outer_0,independent,1.542060019811145,1.5049516650069399,True,187.53256920097314,development,False
cpu_core_weighted,lstm,8,0,outer_0,bottom_up,1.6313969510326147,1.5921387794260187,True,0.0,development,False
cpu_core_weighted,lstm,8,0,outer_0,wls,1.6029000131193016,1.5643275959381722,True,0.0,development,False
cpu_core_weighted,lstm,8,0,outer_0,mint,1.6042373978492268,1.5656327976489994,True,0.0,development,False
cpu_core_weighted,lstm,8,0,outer_0,bottom_up_nn,1.6313969510326147,1.5921387794260187,True,0.0,development,False
memory_um,lstm,8,1,outer_0,independent,120926259576.25584,139.18326775633523,True,2.719481199979782,development,False
memory_um,lstm,8,1,outer_0,bottom_up,120926259573.53638,139.18326775320517,True,0.0,development,False
memory_um,lstm,8,1,outer_0,wls,120926259574.67818,139.18326775451936,True,0.0,development,False
memory_um,lstm,8,1,outer_0,mint,120926259574.67818,139.18326775451936,True,0.0,development,False
memory_um,lstm,8,1,outer_0,bottom_up_nn,120926259573.53638,139.18326775320517,True,0.0,development,False
cpu_core_weighted,lstm,8,1,outer_0,independent,1.699124893971121,1.658236907373907,True,210.42516298915788,development,False
cpu_core_weighted,lstm,8,1,outer_0,bottom_up,1.651350523717526,1.6116121864589512,True,0.0,development,False
cpu_core_weighted,lstm,8,1,outer_0,wls,1.6664862942182694,1.626383727594585,True,0.0,development,False
cpu_core_weighted,lstm,8,1,outer_0,mint,1.6691083732483238,1.6289427085365482,True,0.0,development,False
cpu_core_weighted,lstm,8,1,outer_0,bottom_up_nn,1.651350523717526,1.6116121864589512,True,0.0,development,False
memory_um,lstm,16,0,outer_0,independent,120917247143.53006,139.0541125662924,True,5.556726515293121,development,False
memory_um,lstm,16,0,outer_0,bottom_up,120917247137.9733,139.05411255990217,True,0.0,development,False
memory_um,lstm,16,0,outer_0,wls,120917247140.2994,139.05411256257716,True,0.0,development,False
memory_um,lstm,16,0,outer_0,mint,120917247140.2994,139.05411256257716,True,0.0,development,False
memory_um,lstm,16,0,outer_0,bottom_up_nn,120917247137.9733,139.05411255990217,True,0.0,development,False
cpu_core_weighted,lstm,16,0,outer_0,independent,1.7346832233114473,1.6921343888877745,True,122.51298079556264,development,False
cpu_core_weighted,lstm,16,0,outer_0,bottom_up,1.700031030883874,1.658332155909975,True,0.0,development,False
cpu_core_weighted,lstm,16,0,outer_0,wls,1.7459939456827858,1.7031676784420298,True,0.0,development,False
cpu_core_weighted,lstm,16,0,outer_0,mint,1.748726237489139,1.7058329517690989,True,0.0,development,False
cpu_core_weighted,lstm,16,0,outer_0,bottom_up_nn,1.700031030883874,1.658332155909975,True,0.0,development,False
memory_um,lstm,16,1,outer_0,independent,120917247143.83936,139.0541125666481,True,3.7005224227905273,development,False
memory_um,lstm,16,1,outer_0,bottom_up,120917247140.13875,139.05411256239242,True,0.0,development,False
memory_um,lstm,16,1,outer_0,wls,120917247141.68782,139.05411256417383,True,0.0,development,False
memory_um,lstm,16,1,outer_0,mint,120917247141.68782,139.05411256417383,True,0.0,development,False
memory_um,lstm,16,1,outer_0,bottom_up_nn,120917247140.13875,139.05411256239242,True,0.0,development,False
cpu_core_weighted,lstm,16,1,outer_0,independent,1.736343659869041,1.6937540977556027,True,127.11024622953192,development,False
cpu_core_weighted,lstm,16,1,outer_0,bottom_up,1.7040296763082956,1.662232721350803,True,0.0,development,False
cpu_core_weighted,lstm,16,1,outer_0,wls,1.7482848217019427,1.7054023631617525,True,0.0,development,False
cpu_core_weighted,lstm,16,1,outer_0,mint,1.7517636362170677,1.7087958482629502,True,0.0,development,False
cpu_core_weighted,lstm,16,1,outer_0,bottom_up_nn,1.7040296763082956,1.662232721350803,True,0.0,development,False
memory_um,dlinear,1,0,outer_0,independent,143410221315.217,165.18970552599913,True,14942779827.255678,development,False
memory_um,dlinear,1,0,outer_0,bottom_up,128467441487.96133,147.9775892851445,True,0.0,development,False
memory_um,dlinear,1,0,outer_0,wls,132658003751.81653,152.80456563317662,True,0.0,development,False
memory_um,dlinear,1,0,outer_0,mint,128884833957.91049,148.45837049144444,True,0.0,development,False
memory_um,dlinear,1,0,outer_0,bottom_up_nn,109951000849.70905,126.64908600015596,True,0.0,development,False
cpu_core_weighted,dlinear,1,0,outer_0,independent,1.503957857575406,1.4687898176968663,True,65.27869686033644,development,False
cpu_core_weighted,dlinear,1,0,outer_0,bottom_up,1.5163862046245469,1.4809275444986068,True,0.0,development,False
cpu_core_weighted,dlinear,1,0,outer_0,wls,1.5319750950243778,1.4961519095784748,True,0.0,development,False
cpu_core_weighted,dlinear,1,0,outer_0,mint,1.527626737433764,1.4919052325052922,True,0.0,development,False
cpu_core_weighted,dlinear,1,0,outer_0,bottom_up_nn,1.4981541298277072,1.463121802348187,True,0.0,development,False
memory_um,dlinear,1,1,outer_0,independent,103761235259.88594,119.51929046898243,True,17740076514.814888,development,False
memory_um,dlinear,1,1,outer_0,bottom_up,86021158745.07104,99.0850565028431,True,0.0,development,False
memory_um,dlinear,1,1,outer_0,wls,91431813998.22693,105.31741943886405,True,0.0,development,False
memory_um,dlinear,1,1,outer_0,mint,88612840967.0792,102.07033341786496,True,0.0,development,False
memory_um,dlinear,1,1,outer_0,bottom_up_nn,86012817694.45335,99.07544871001859,True,0.0,development,False
cpu_core_weighted,dlinear,1,1,outer_0,independent,1.4426531076579237,1.4089185972356666,True,66.02196698796756,development,False
cpu_core_weighted,dlinear,1,1,outer_0,bottom_up,1.4459986333935073,1.4121858923334096,True,0.0,development,False
cpu_core_weighted,dlinear,1,1,outer_0,wls,1.4691274758741701,1.4347738978148126,True,0.0,development,False
cpu_core_weighted,dlinear,1,1,outer_0,mint,1.4622638662252179,1.4280707844833795,True,0.0,development,False
cpu_core_weighted,dlinear,1,1,outer_0,bottom_up_nn,1.435266387474777,1.4017046056091509,True,0.0,development,False
memory_um,dlinear,8,0,outer_0,independent,171725542384.5205,197.65204207969805,True,120844056721.32156,development,False
memory_um,dlinear,8,0,outer_0,bottom_up,50881485663.19894,58.563387867259294,True,0.0,development,False
memory_um,dlinear,8,0,outer_0,wls,98677976350.50539,113.57601940366699,True,0.0,development,False
memory_um,dlinear,8,0,outer_0,mint,89784295908.3852,103.33960333777264,True,0.0,development,False
memory_um,dlinear,8,0,outer_0,bottom_up_nn,36540486400.58822,42.05723653788105,True,0.0,development,False
cpu_core_weighted,dlinear,8,0,outer_0,independent,1.4767649452398597,1.441227860530871,True,67.98337999977805,development,False
cpu_core_weighted,dlinear,8,0,outer_0,bottom_up,1.4700766508583043,1.4347005142302964,True,0.0,development,False
cpu_core_weighted,dlinear,8,0,outer_0,wls,1.4962290329446948,1.4602235616209105,True,0.0,development,False
cpu_core_weighted,dlinear,8,0,outer_0,mint,1.4888891636653678,1.453060320014913,True,0.0,development,False
cpu_core_weighted,dlinear,8,0,outer_0,bottom_up_nn,1.4531007022411098,1.4181330772899055,True,0.0,development,False
memory_um,dlinear,8,1,outer_0,independent,129428134338.39159,148.96872474140775,True,91855532980.15237,development,False
memory_um,dlinear,8,1,outer_0,bottom_up,37572601358.239204,43.245176469285845,True,0.0,development,False
memory_um,dlinear,8,1,outer_0,wls,73206625550.17535,84.25909642117541,True,0.0,development,False
memory_um,dlinear,8,1,outer_0,mint,63601841969.79245,73.20421744373472,True,0.0,development,False
memory_um,dlinear,8,1,outer_0,bottom_up_nn,37337601528.44601,42.974697217323424,True,0.0,development,False
cpu_core_weighted,dlinear,8,1,outer_0,independent,1.44743050501159,1.4125993285046095,True,71.3305143255155,development,False
cpu_core_weighted,dlinear,8,1,outer_0,bottom_up,1.4317024045216573,1.3972497112941071,True,0.0,development,False
cpu_core_weighted,dlinear,8,1,outer_0,wls,1.4588643492260327,1.4237580270422079,True,0.0,development,False
cpu_core_weighted,dlinear,8,1,outer_0,mint,1.449480861957429,1.4146003453650797,True,0.0,development,False
