target,horizon,method,mae_mean,mae_std,beat_rate,peak_recall_mean
averageRttWithGoogleDns,1,constrained_mixture,0.3482508475072243,0.10305382352004294,0.0,0.18501888492269888
averageRttWithGoogleDns,1,ens_inverse_mae,0.30938054118040065,0.10054617929915102,0.0,0.19796592243208988
averageRttWithGoogleDns,1,ens_mean,0.31577343843334443,0.10095249864570999,0.0,0.19796592243208988
averageRttWithGoogleDns,1,ens_stacking,0.33455226307535185,0.07479641680923939,0.0,0.18501888492269888
averageRttWithGoogleDns,1,ewma,0.29275024241310965,0.09566383840380366,0.0,0.2125898429119593
averageRttWithGoogleDns,1,lightgbm,0.42873564520781987,0.1422215649430174,0.0,0.1864250219882091
averageRttWithGoogleDns,1,persistence,0.30584715386414746,0.10146889401279577,0.0,0.19223877572185055
averageRttWithGoogleDns,1,regime_router,0.30421203712375405,0.10197133337623651,0.3333333333333333,0.18989959443530083
averageRttWithGoogleDns,1,ridge,0.3450164523577783,0.08745368201001011,0.0,0.2059980509461461
averageRttWithGoogleDns,1,static_router,0.29275024241310965,0.09566383840380366,0.0,0.2125898429119593
averageRttWithGoogleDns,4,constrained_mixture,0.3377937363794245,0.10452742036197435,0.0,0.187632677251835
averageRttWithGoogleDns,4,ens_inverse_mae,0.30411197280002344,0.09992348252498388,0.0,0.19323112884976437
averageRttWithGoogleDns,4,ens_mean,0.31013935577262913,0.09910512599368895,0.0,0.19323112884976437
averageRttWithGoogleDns,4,ens_stacking,0.3283531156947987,0.0832924770363482,0.0,0.18295431467873557
averageRttWithGoogleDns,4,ewma,0.2882367543079611,0.09699786384125715,0.0,0.20686170896175002
averageRttWithGoogleDns,4,lightgbm,0.41349948733231073,0.12718929593332534,0.0,0.17599728117837707
averageRttWithGoogleDns,4,persistence,0.30306816896825234,0.10293156941003942,0.0,0.1866868920470323
averageRttWithGoogleDns,4,regime_router,0.3024775674972208,0.10627632474593196,0.3333333333333333,0.1866868920470323
averageRttWithGoogleDns,4,ridge,0.33903976813756626,0.08594957203861033,0.0,0.19775448543399607
averageRttWithGoogleDns,4,static_router,0.2882367543079611,0.09699786384125715,0.0,0.20686170896175002
averageRttWithGoogleDns,8,constrained_mixture,0.33965261903785676,0.10865532276408253,0.0,0.18997185853838472
averageRttWithGoogleDns,8,ens_inverse_mae,0.3050636817530534,0.10149515546624288,0.0,0.19323112884976437
averageRttWithGoogleDns,8,ens_mean,0.3111354560211576,0.10097719472505139,0.0,0.19206153820648952
averageRttWithGoogleDns,8,ens_stacking,0.3327699192976212,0.08640746359265769,0.0,0.18295431467873557
averageRttWithGoogleDns,8,ewma,0.2883479339324504,0.09690341086982492,0.0,0.20686170896175002
averageRttWithGoogleDns,8,lightgbm,0.41823883683406743,0.13422858156494882,0.0,0.18118293607868005
averageRttWithGoogleDns,8,persistence,0.3032951835278792,0.10290464509307523,0.0,0.1866868920470323
