target,horizon,outer_fold,router,selected,constituent,selected_flag
cluster_mean_CU,1,outer_0,static,lightgbm,persistence,0.0
cluster_mean_CU,1,outer_0,static,lightgbm,ewma,0.0
cluster_mean_CU,1,outer_0,static,lightgbm,ridge,0.0
cluster_mean_CU,1,outer_0,static,lightgbm,lightgbm,1.0
cluster_mean_CU,1,outer_0,regime,per_timestep,persistence,0.024891251812469792
cluster_mean_CU,1,outer_0,regime,per_timestep,ewma,0.07793620106331561
cluster_mean_CU,1,outer_0,regime,per_timestep,ridge,0.0002416626389560174
cluster_mean_CU,1,outer_0,regime,per_timestep,lightgbm,0.8969308844852586
cluster_mean_CU,4,outer_0,static,lightgbm,persistence,0.0
cluster_mean_CU,4,outer_0,static,lightgbm,ewma,0.0
cluster_mean_CU,4,outer_0,static,lightgbm,ridge,0.0
cluster_mean_CU,4,outer_0,static,lightgbm,lightgbm,1.0
cluster_mean_CU,4,outer_0,regime,per_timestep,persistence,0.0233289012450139
cluster_mean_CU,4,outer_0,regime,per_timestep,ewma,0.019098271485555422
cluster_mean_CU,4,outer_0,regime,per_timestep,ridge,0.0037471292155203673
cluster_mean_CU,4,outer_0,regime,per_timestep,lightgbm,0.9538256980539103
cluster_mean_CU,8,outer_0,static,lightgbm,persistence,0.0
cluster_mean_CU,8,outer_0,static,lightgbm,ewma,0.0
cluster_mean_CU,8,outer_0,static,lightgbm,ridge,0.0
cluster_mean_CU,8,outer_0,static,lightgbm,lightgbm,1.0
cluster_mean_CU,8,outer_0,regime,per_timestep,persistence,0.02140524851856331
cluster_mean_CU,8,outer_0,regime,per_timestep,ewma,0.004595477083081389
cluster_mean_CU,8,outer_0,regime,per_timestep,ridge,0.0015721368968436328
cluster_mean_CU,8,outer_0,regime,per_timestep,lightgbm,0.9724271375015117
cluster_mean_CU,16,outer_0,static,lightgbm,persistence,0.0
cluster_mean_CU,16,outer_0,static,lightgbm,ewma,0.0
cluster_mean_CU,16,outer_0,static,lightgbm,ridge,0.0
cluster_mean_CU,16,outer_0,static,lightgbm,lightgbm,1.0
cluster_mean_CU,16,outer_0,regime,per_timestep,persistence,0.02021547028204818
cluster_mean_CU,16,outer_0,regime,per_timestep,ewma,0.01101561554291248
cluster_mean_CU,16,outer_0,regime,per_timestep,ridge,0.003389420167049994
cluster_mean_CU,16,outer_0,regime,per_timestep,lightgbm,0.9653794940079894
machine01_CU,1,outer_0,static,lightgbm,persistence,0.0
machine01_CU,1,outer_0,static,lightgbm,ewma,0.0
machine01_CU,1,outer_0,static,lightgbm,ridge,0.0
machine01_CU,1,outer_0,static,lightgbm,lightgbm,1.0
machine01_CU,1,outer_0,regime,per_timestep,persistence,0.013237373088291994
machine01_CU,1,outer_0,regime,per_timestep,ewma,0.0003855545559696697
machine01_CU,1,outer_0,regime,per_timestep,ridge,0.001670736409201902
machine01_CU,1,outer_0,regime,per_timestep,lightgbm,0.9847063359465364
machine01_CU,4,outer_0,static,lightgbm,persistence,0.0
machine01_CU,4,outer_0,static,lightgbm,ewma,0.0
machine01_CU,4,outer_0,static,lightgbm,ridge,0.0
machine01_CU,4,outer_0,static,lightgbm,lightgbm,1.0
machine01_CU,4,outer_0,regime,per_timestep,persistence,0.0173283331178068
machine01_CU,4,outer_0,regime,per_timestep,ewma,0.01034527350316824
machine01_CU,4,outer_0,regime,per_timestep,ridge,0.0731928100349153
machine01_CU,4,outer_0,regime,per_timestep,lightgbm,0.8991335833441096
machine01_CU,8,outer_0,static,lightgbm,persistence,0.0
machine01_CU,8,outer_0,static,lightgbm,ewma,0.0
machine01_CU,8,outer_0,static,lightgbm,ridge,0.0
machine01_CU,8,outer_0,static,lightgbm,lightgbm,1.0
machine01_CU,8,outer_0,regime,per_timestep,persistence,0.0
machine01_CU,8,outer_0,regime,per_timestep,ewma,0.014604250880166906
machine01_CU,8,outer_0,regime,per_timestep,ridge,0.030642847828921634
machine01_CU,8,outer_0,regime,per_timestep,lightgbm,0.9547529012909115
machine01_CU,16,outer_0,static,lightgbm,persistence,0.0
machine01_CU,16,outer_0,static,lightgbm,ewma,0.0
machine01_CU,16,outer_0,static,lightgbm,ridge,0.0
machine01_CU,16,outer_0,static,lightgbm,lightgbm,1.0
machine01_CU,16,outer_0,regime,per_timestep,persistence,0.04243469035936878
machine01_CU,16,outer_0,regime,per_timestep,ewma,0.0009282588516111921
machine01_CU,16,outer_0,regime,per_timestep,ridge,0.09786500464129426
machine01_CU,16,outer_0,regime,per_timestep,lightgbm,0.8587720461477257
machine06_CU,1,outer_0,static,lightgbm,persistence,0.0
machine06_CU,1,outer_0,static,lightgbm,ewma,0.0
machine06_CU,1,outer_0,static,lightgbm,ridge,0.0
machine06_CU,1,outer_0,static,lightgbm,lightgbm,1.0
machine06_CU,1,outer_0,regime,per_timestep,persistence,0.23777834655746097
machine06_CU,1,outer_0,regime,per_timestep,ewma,0.013949321730227796
machine06_CU,1,outer_0,regime,per_timestep,ridge,0.16687995904786282
machine06_CU,1,outer_0,regime,per_timestep,lightgbm,0.5813923726644484
machine06_CU,4,outer_0,static,lightgbm,persistence,0.0
machine06_CU,4,outer_0,static,lightgbm,ewma,0.0
machine06_CU,4,outer_0,static,lightgbm,ridge,0.0
machine06_CU,4,outer_0,static,lightgbm,lightgbm,1.0
machine06_CU,4,outer_0,regime,per_timestep,persistence,0.09679495430557343
machine06_CU,4,outer_0,regime,per_timestep,ewma,0.0024456171965503925
machine06_CU,4,outer_0,regime,per_timestep,ridge,0.06371476380486549
machine06_CU,4,outer_0,regime,per_timestep,lightgbm,0.8370446646930106
machine06_CU,8,outer_0,static,lightgbm,persistence,0.0
machine06_CU,8,outer_0,static,lightgbm,ewma,0.0
machine06_CU,8,outer_0,static,lightgbm,ridge,0.0
machine06_CU,8,outer_0,static,lightgbm,lightgbm,1.0
machine06_CU,8,outer_0,regime,per_timestep,persistence,0.022181865352185758
machine06_CU,8,outer_0,regime,per_timestep,ewma,0.008561421714878713
machine06_CU,8,outer_0,regime,per_timestep,ridge,0.19315086262809703
machine06_CU,8,outer_0,regime,per_timestep,lightgbm,0.7761058503048385
machine06_CU,16,outer_0,static,lightgbm,persistence,0.0
machine06_CU,16,outer_0,static,lightgbm,ewma,0.0
machine06_CU,16,outer_0,static,lightgbm,ridge,0.0
machine06_CU,16,outer_0,static,lightgbm,lightgbm,1.0
machine06_CU,16,outer_0,regime,per_timestep,persistence,0.01726182632757939
machine06_CU,16,outer_0,regime,per_timestep,ewma,0.012781657662406114
machine06_CU,16,outer_0,regime,per_timestep,ridge,0.05099486098300171
machine06_CU,16,outer_0,regime,per_timestep,lightgbm,0.9189616550270128
cluster_UM,1,outer_0,static,lightgbm,persistence,0.0
cluster_UM,1,outer_0,static,lightgbm,ewma,0.0
cluster_UM,1,outer_0,static,lightgbm,ridge,0.0
cluster_UM,1,outer_0,static,lightgbm,lightgbm,1.0
cluster_UM,1,outer_0,regime,per_timestep,persistence,0.5436201063315611
cluster_UM,1,outer_0,regime,per_timestep,ewma,0.07346544224262928
cluster_UM,1,outer_0,regime,per_timestep,ridge,0.011962300628322861
cluster_UM,1,outer_0,regime,per_timestep,lightgbm,0.3709521507974867
cluster_UM,4,outer_0,static,lightgbm,persistence,0.0
cluster_UM,4,outer_0,static,lightgbm,ewma,0.0
cluster_UM,4,outer_0,static,lightgbm,ridge,0.0
cluster_UM,4,outer_0,static,lightgbm,lightgbm,1.0
cluster_UM,4,outer_0,regime,per_timestep,persistence,0.576695273782183
cluster_UM,4,outer_0,regime,per_timestep,ewma,0.057778315000604374
cluster_UM,4,outer_0,regime,per_timestep,ridge,0.014625891454127887
cluster_UM,4,outer_0,regime,per_timestep,lightgbm,0.35090051976308473
cluster_UM,8,outer_0,static,persistence,persistence,1.0
cluster_UM,8,outer_0,static,persistence,ewma,0.0
cluster_UM,8,outer_0,static,persistence,ridge,0.0
cluster_UM,8,outer_0,static,persistence,lightgbm,0.0
cluster_UM,8,outer_0,regime,per_timestep,persistence,0.7246341758374653
cluster_UM,8,outer_0,regime,per_timestep,ewma,0.023582053452654492
cluster_UM,8,outer_0,regime,per_timestep,ridge,0.017656306687628492
cluster_UM,8,outer_0,regime,per_timestep,lightgbm,0.2341274640222518
cluster_UM,16,outer_0,static,persistence,persistence,1.0
cluster_UM,16,outer_0,static,persistence,ewma,0.0
cluster_UM,16,outer_0,static,persistence,ridge,0.0
cluster_UM,16,outer_0,static,persistence,lightgbm,0.0
cluster_UM,16,outer_0,regime,per_timestep,persistence,0.08376709841423556
cluster_UM,16,outer_0,regime,per_timestep,ewma,0.009563006899891055
cluster_UM,16,outer_0,regime,per_timestep,ridge,0.010531412661905338
cluster_UM,16,outer_0,regime,per_timestep,lightgbm,0.8961384820239681
machine01_UM,1,outer_0,static,ridge,persistence,0.0
machine01_UM,1,outer_0,static,ridge,ewma,0.0
machine01_UM,1,outer_0,static,ridge,ridge,1.0
