target,exog,n_exog,multivariate,model,horizon,mae,mase,n_parameters,train_seconds,n_test,outer_fold,experiment_stage,eligible_for_final_claims
cluster_mean_CU,,0,False,ridge,1,1.2557048729676177,1.224560099047731,33,0.006071708998206304,8276,outer_0,development,False
cluster_mean_CU,,0,False,ridge,8,1.254969648818895,1.2238431103860128,264,0.004722500001662411,8269,outer_0,development,False
cluster_mean_CU,,0,False,lightgbm,1,1.0510354943278968,1.0249670577411552,-200,0.5233003749999625,8276,outer_0,development,False
cluster_mean_CU,,0,False,lightgbm,8,1.0549386927994826,1.0287734466545566,-1600,4.178763500000059,8269,outer_0,development,False
cluster_mean_CU,cluster_UM,1,True,ridge,1,1.2981882919769667,1.2659898178534144,65,0.0030376249997061677,8276,outer_0,development,False
cluster_mean_CU,cluster_UM,1,True,ridge,8,1.2970181367998614,1.2648486855934185,520,0.007310334000067087,8269,outer_0,development,False
cluster_mean_CU,cluster_UM,1,True,lightgbm,1,1.243055788141783,1.2122247446976433,-200,0.6358859579995624,8276,outer_0,development,False
cluster_mean_CU,cluster_UM,1,True,lightgbm,8,1.1813303328722686,1.1520302425930458,-1600,4.578214290999313,8269,outer_0,development,False
cluster_UM,,0,False,ridge,1,1358694507.6124406,1.5691103849805041,33,0.0007795829988026526,8276,outer_0,development,False
cluster_UM,,0,False,ridge,8,1357156730.2391167,1.567334457844013,264,0.004412207999848761,8269,outer_0,development,False
cluster_UM,,0,False,lightgbm,1,2548658026.0004625,2.9433590508794225,-200,0.5730936250001832,8276,outer_0,development,False
cluster_UM,,0,False,lightgbm,8,2410471439.6138277,2.783772030729251,-1600,4.600579375000962,8269,outer_0,development,False
cluster_UM,cluster_mean_CU,1,True,ridge,1,1919671507.1274993,2.2169637697866813,65,0.0014094580001255963,8276,outer_0,development,False
cluster_UM,cluster_mean_CU,1,True,ridge,8,1917872693.110522,2.214886380249244,520,0.006668415997410193,8269,outer_0,development,False
cluster_UM,cluster_mean_CU,1,True,lightgbm,1,3179274655.204017,3.6716368913216457,-200,0.5611753329976636,8276,outer_0,development,False
cluster_UM,cluster_mean_CU,1,True,lightgbm,8,3469800356.082801,4.007155208204893,-1600,4.545086875001289,8269,outer_0,development,False
machine01_tx_bond0,,0,False,ridge,1,44.85616551510368,,33,0.0007635420006408822,7473,outer_0,development,False
machine01_tx_bond0,,0,False,ridge,8,44.52767405407328,,264,0.0043552909992286,7307,outer_0,development,False
machine01_tx_bond0,,0,False,lightgbm,1,47.313497389857524,,-200,0.4863396670007205,7473,outer_0,development,False
machine01_tx_bond0,,0,False,lightgbm,8,46.85869593529317,,-1600,4.029478374999599,7307,outer_0,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,ridge,1,45.16610808345504,,65,0.0010235829977318645,7195,outer_0,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,ridge,8,44.75792371761677,,520,0.006157708001410356,7035,outer_0,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,lightgbm,1,45.64819691923376,,-200,0.5637956669997948,7195,outer_0,development,False
machine01_tx_bond0,machine01_rx_bond0,1,True,lightgbm,8,45.472401887287425,,-1600,4.612476708000031,7035,outer_0,development,False
machine01_rx_bond0,,0,False,ridge,1,16.260608161007188,,33,0.0008511659980285913,7858,outer_0,development,False
machine01_rx_bond0,,0,False,ridge,8,16.06553668050845,,264,0.00452495799981989,7773,outer_0,development,False
machine01_rx_bond0,,0,False,lightgbm,1,17.19278106402385,,-200,0.48910562499804655,7858,outer_0,development,False
machine01_rx_bond0,,0,False,lightgbm,8,17.084076030466957,,-1600,4.3006106249995355,7773,outer_0,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,ridge,1,17.916678737365167,,65,0.0010356670027249493,7207,outer_0,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,ridge,8,17.818949716946825,,520,0.0060603340025409125,7123,outer_0,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,lightgbm,1,18.014362005241868,,-200,0.5823537079995731,7207,outer_0,development,False
machine01_rx_bond0,machine01_tx_bond0,1,True,lightgbm,8,17.859647035017204,,-1600,5.175747417000821,7123,outer_0,development,False
