base_model,horizon,reconciliation_method,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,core_weighted_bottom_mae,worst_machine_mae,unit
dlinear,1,bottom_up,1.1528004520782964,2.856118739939187,0.9764162596921002,0.5242257578932398,-0.13004714544313103,-0.0803321122205496,115.43292676248166,0.0,54.22951088756313,58.91524292251257,126.15745334631039,cpu_weighted_mean_pct
dlinear,1,independent,1.2488501661309483,2.8845167614827383,1.0584320631439044,0.5129093842880786,-0.054182463170389605,0.0,115.43292676248166,115.43292676248166,54.22951088756313,58.91524292251257,126.15745334631039,cpu_weighted_mean_pct
dlinear,1,mint,1.1588935845842823,2.8471891827996405,0.9817553984341739,0.5268083616253769,-0.124386753900019,-0.07431485558064221,115.43292676248166,0.0,54.91703899704388,59.65457224781512,129.39784753492287,cpu_weighted_mean_pct
dlinear,1,wls,1.1630890925214514,2.84542883322221,0.9854032733086328,0.5273210829510536,-0.12132540217860104,-0.07105145629629973,115.43292676248166,0.0,55.24020005863255,60.00346188768538,131.0756423433017,cpu_weighted_mean_pct
dlinear,8,bottom_up,1.1585803399732844,2.8718077130886397,0.9804785262808923,0.5161897689116315,-0.12275297471965792,-0.0676011582599532,103.32785712494508,0.0,54.330755868248325,59.03153242540813,126.89810255019653,cpu_weighted_mean_pct
dlinear,8,independent,1.2390818092394589,2.8898892427459715,1.0496111264291343,0.5089373544712277,-0.05948292602676178,0.0,103.32785712494508,103.32785712494508,54.330755868248325,59.03153242540813,126.89810255019653,cpu_weighted_mean_pct
dlinear,8,mint,1.1637952175376483,2.862806095064162,0.9851624558163609,0.5189636683639596,-0.1178893957681099,-0.06231388992200534,103.32785712494508,0.0,54.903897436314175,59.64889073364085,129.29535667236087,cpu_weighted_mean_pct
dlinear,8,wls,1.168767424561171,2.862036473103894,0.9895758190982568,0.5191946855667139,-0.11424050544164477,-0.05840954331779825,103.32785712494508,0.0,55.21267035117024,59.9821428723701,130.57520450551962,cpu_weighted_mean_pct
dlinear,16,bottom_up,1.158194097370503,2.878354392094799,0.9811376504339787,0.5197655819765276,-0.13072617125434058,-0.07228264710683761,114.65649143487195,0.0,54.437336277486814,59.15066056952923,127.66389399919535,cpu_weighted_mean_pct
dlinear,16,independent,1.244552127303098,2.8872894267949047,1.0551034556015806,0.5150201744672763,-0.06312921861809406,0.0,114.65649143487195,114.65649143487195,54.437336277486814,59.15066056952923,127.66389399919535,cpu_weighted_mean_pct
