base_model,horizon,reconciliation_method,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,core_weighted_bottom_mae,worst_machine_mae,unit
dlinear,1,bottom_up,1060632667.7894378,3369928082.6415734,1.1138654076317127,0.4914872067354414,-0.0028856219228350264,-0.0009062322666911921,385378030.6272404,0.0,223620488.52937987,223620488.52937987,497938892.1559424,memory_bytes
dlinear,1,independent,1058097901.6477107,3358990752.9165573,1.1120321713794603,0.49490166340778496,-0.002178537887446077,0.0,385378030.6272404,385378030.6272404,223620488.52937987,223620488.52937987,497938892.1559424,memory_bytes
dlinear,1,mint,1037228513.9174322,3351193189.0613804,1.0901566547955346,0.49731790327422504,-0.024594902458318604,-0.022573503352508545,385378030.6272404,0.0,222409627.19932315,222409627.19932315,482485999.6344025,memory_bytes
dlinear,1,wls,1036811493.7713679,3350692451.666025,1.0896207005613583,0.4974226557990538,-0.024876456605710483,-0.0228592447235336,385378030.6272404,0.0,222873145.9494954,222873145.9494954,484275381.6552394,memory_bytes
dlinear,8,bottom_up,1050702256.1338776,3367421270.7683144,1.1009002815323883,0.4918187632151268,-0.00953778138365585,-0.022066253258653967,373885678.2245867,0.0,222170256.6183162,222170256.61831626,489979504.5601778,memory_bytes
dlinear,8,independent,1078226408.7703092,3367810236.7376,1.1347879015849853,0.4924935470114398,0.013466880770971404,0.0,373885678.2245867,373885678.2245867,222170256.6183162,222170256.61831626,489979504.5601778,memory_bytes
dlinear,8,mint,1038913631.0179077,3353177199.4322987,1.0906964102009649,0.4965319916094788,-0.022123896667295345,-0.034791811271366054,373885678.2245867,0.0,222429952.75708017,222429952.75708017,482620930.5281513,memory_bytes
dlinear,8,wls,1041649745.8011246,3353792332.691485,1.0937424038027181,0.4963431536820419,-0.019927451911648148,-0.032675223658520595,373885678.2245867,0.0,223195527.10091308,223195527.10091308,484022524.34323615,memory_bytes
dlinear,16,bottom_up,1054990368.9334902,3366146853.0118356,1.104837222158549,0.49090612340976514,-0.003464130034826688,-0.023656082337047784,385324950.22665375,0.0,223070179.39180374,223070179.39180374,499596452.50323266,memory_bytes
dlinear,16,independent,1084207826.3120816,3367792424.7378316,1.1406770962330144,0.4912619878020681,0.02129907557363311,0.0,385324950.22665375,385324950.22665375,223070179.39180374,223070179.39180374,499596452.50323266,memory_bytes
