base_model,horizon,reconciliation_method,mae,rmse,mase,r2,mae_vs_persistence,mae_vs_independent,coherence_before,coherence_after,bottom_macro_mae,core_weighted_bottom_mae,worst_machine_mae,unit,note
lightgbm,1,bottom_up,57040439415.47003,66235440578.989624,43.24468377506654,-0.20329034483004438,40.9849286584526,6.227101579399189,51578077685.37145,0.0,15948882993.117071,15948882993.117071,39514161196.76035,disk_level,transferred-configuration stress result
lightgbm,1,independent,9138899709.420622,13608305227.322565,6.89476103791523,0.9468546762876097,6.040413358412317,0.0,51578077685.37145,51578077685.37145,15948882993.117071,15948882993.117071,39514161196.76035,disk_level,transferred-configuration stress result
lightgbm,1,mint,21589957719.88969,26362482739.97296,16.52627048871163,0.7758117005190416,13.022246982351348,2.6872251070157778,51578077685.37145,0.0,14192524798.15518,14192524798.15518,39342999991.42424,disk_level,transferred-configuration stress result
lightgbm,1,top_down,9138899709.420622,13608305227.322565,6.89476103791523,0.9468546762876097,6.040413358412317,0.0,51578077685.37145,7.0834837862155e-05,16655128733.224298,16655128733.224298,35446929080.99406,disk_level,transferred-configuration stress result
lightgbm,1,wls,20726933042.249626,25492793083.63046,15.887192536182866,0.8123542590619941,13.077377754552389,2.2081028349607883,51578077685.37145,0.0,12859259678.910536,12859259678.910536,37513998482.47843,disk_level,transferred-configuration stress result
lightgbm,8,bottom_up,51078933573.220085,56254829909.77509,37.907986644101015,-0.20865621499833176,32.869191765920924,8.436542283879923,44540619658.97568,0.0,16182330698.77543,16182330698.77543,45774812037.12307,disk_level,transferred-configuration stress result
lightgbm,8,independent,8871236896.70711,13294377135.1649,6.712271194526248,0.9489633009751847,5.878459308319679,0.0,44540619658.97568,44540619658.97568,16182330698.77543,16182330698.77543,45774812037.12307,disk_level,transferred-configuration stress result
lightgbm,8,mint,26662402140.8853,32029639123.727417,20.343667848140367,0.6535865697554794,16.140621149948476,4.046196603927943,44540619658.97568,0.0,16742773273.304556,16742773273.304556,48857487697.95194,disk_level,transferred-configuration stress result
lightgbm,8,top_down,8871236896.70711,13294377135.1649,6.712271194526248,0.9489633009751847,5.878459308319679,0.0,44540619658.97568,7.82520933939102e-05,16935229159.249075,16935229159.249075,40131249239.91538,disk_level,transferred-configuration stress result
lightgbm,8,wls,22552552939.670227,27524463144.51454,17.28953629849487,0.7631418166043206,13.824325229721282,3.045112648727508,44540619658.97568,0.0,15497225963.304054,15497225963.304054,42688992364.37979,disk_level,transferred-configuration stress result
persistence,1,bottom_up,1549522849.3455029,4989637964.148261,1.1733823146893072,0.991484326874167,0.0,0.0,0.0,0.0,246208487.35392702,246208487.35392702,874235344.9469161,disk_level,
persistence,1,independent,1549522849.3455029,4989637964.148261,1.1733823146893072,0.991484326874167,0.0,0.0,0.0,0.0,246208487.35392702,246208487.35392702,874235344.9469161,disk_level,
persistence,1,mint,1549522849.4507303,4989637964.147606,1.1733823147688829,0.991484326874167,7.862531155381887e-11,7.862531155381887e-11,0.0,0.0,246208487.38127747,246208487.38127747,874235345.0829893,disk_level,
