hierarchy,base_model,horizon,method_b,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,p_value_holm,effect_class,tradeoff_class,fold,correction_family,reject_holm_0.05,fold_consistency
memory_um,persistence,1,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,mixed
memory_um,persistence,1,wls,-3.399884347807299e-13,-8.114569230218824e-13,2.190612993971076e-13,0.8866,0.2268,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,1,mint,1.6108249257815974e-12,-1.0117595738550753e-12,3.821845357971801e-12,0.108,0.216,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,mixed
memory_um,persistence,1,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,mixed
memory_um,persistence,1,wls,2.289461559766169e-13,-7.780049950083756e-13,1.235627023413467e-12,0.338,0.676,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,1,mint,-5.713604160713849e-13,-4.4158563845249186e-12,3.3061127525730716e-12,0.5958,0.8084,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,mixed
memory_um,persistence,1,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,mixed
memory_um,persistence,1,wls,-1.1305887235270928e-12,-2.0104980152452897e-12,-2.9911900217541824e-13,0.9956,0.0088,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,1,mint,3.645395049608573e-12,8.532394301986172e-13,6.577036947477192e-12,0.0056,0.0112,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,mixed
memory_um,persistence,8,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,mixed
memory_um,persistence,8,wls,-3.0269564426582665e-13,-6.973596425717547e-13,1.2073677218242874e-13,0.9214,0.1572,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,8,mint,-2.3568267132731736e-13,-5.540114011060167e-13,1.0591679590905293e-13,0.9124,0.1752,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,mixed
memory_um,persistence,8,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,mixed
memory_um,persistence,8,wls,3.2861457971121426e-13,-1.3761256668318356e-12,2.1226186404726417e-12,0.37,0.74,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,8,mint,1.522823002812454e-13,-1.8440108575752817e-12,2.233129960325909e-12,0.458,0.916,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,mixed
memory_um,persistence,8,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,mixed
memory_um,persistence,8,wls,-2.0869371671325118e-13,-3.66116277463649e-13,-5.789918005262431e-14,0.997,0.006,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,8,mint,4.783024907968171e-13,1.4176880624322469e-13,8.281029192007945e-13,0.0022,0.0044,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,mixed
memory_um,persistence,16,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,mixed
memory_um,persistence,16,wls,-1.0413441200618259e-14,-1.4498108024021488e-14,-6.287340501422321e-15,1.0,0.0,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,16,mint,1.3797414434709052e-14,-3.817921382921359e-14,6.048620608664808e-14,0.2788,0.5576,,accuracy_neutral,coherence_only,0,memory_persistence_descriptive,False,mixed
memory_um,persistence,16,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,mixed
memory_um,persistence,16,wls,2.3725777221096394e-13,-2.6566018842106376e-12,3.105665821354889e-12,0.4362,0.8724,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,16,mint,2.0430876495504331e-13,-1.2130656232854237e-12,1.620542572980792e-12,0.3864,0.7728,,accuracy_neutral,coherence_only,1,memory_persistence_descriptive,False,mixed
memory_um,persistence,16,bottom_up,0.0,0.0,0.0,0.0,1.0,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,mixed
memory_um,persistence,16,wls,-2.7744730438137093e-13,-4.822005566822703e-13,-7.926286721261432e-14,0.9972,0.0056,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,directionally_consistent
memory_um,persistence,16,mint,-8.006705976746376e-13,-1.4268111037197372e-12,-1.896663927930565e-13,0.9962,0.0076,,accuracy_neutral,coherence_only,2,memory_persistence_descriptive,False,mixed
memory_um,ridge,1,bottom_up,-0.0701359705983571,-0.0906324452156693,-0.0522992248813427,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,1,wls,-0.0634511414898303,-0.0777992029495897,-0.0512902020780322,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,1,mint,-0.0657080572124228,-0.0811585275110659,-0.052560358575561,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,1,bottom_up,-0.0507576608252078,-0.0679950506712684,-0.0346693492824937,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,1,wls,-0.0568073958246638,-0.0697137678595451,-0.0450953322298293,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,1,mint,-0.0565350435015482,-0.0692537573465269,-0.044991126427357,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,1,bottom_up,0.0390544280694789,0.0184614831543869,0.0598223113692385,0.0,0.0,0.0,modest_degradation,accuracy_costly_coherence,2,memory_ridge,True,directionally_consistent
memory_um,ridge,1,wls,0.0006925504820053,-0.0131328921513749,0.0140617439555875,0.482,0.964,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,1,mint,0.0001459788815271,-0.0134944591586714,0.0133524131194026,0.5122,0.9756,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,8,bottom_up,-0.070507735003016,-0.0908807395038219,-0.0524412359699666,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,8,wls,-0.058771758067303,-0.0709018076795281,-0.0479966506875814,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,8,mint,-0.0619458042595488,-0.0752813874585553,-0.0501554257512785,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,8,bottom_up,-0.0505535242852367,-0.0675632525745433,-0.0342835227266025,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,8,wls,-0.0567088493971257,-0.0694315002397233,-0.0449959627383636,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,8,mint,-0.0564566751132681,-0.0690059976877739,-0.0449134031802339,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,8,bottom_up,0.0391428125513155,0.0186239838612817,0.0602393284928549,0.0002,0.0004,0.0032,modest_degradation,accuracy_costly_coherence,2,memory_ridge,True,directionally_consistent
memory_um,ridge,8,wls,0.000740896634276,-0.0127247041478828,0.0142876967000886,0.4736,0.9472,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,8,mint,0.0001884709954504,-0.0131347827142799,0.0135994551958061,0.5062,0.9876,1.0,accuracy_neutral,coherence_only,2,memory_ridge,False,directionally_consistent
memory_um,ridge,16,bottom_up,-0.0710322369614677,-0.0904623429676994,-0.0523069349461096,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,16,wls,-0.0590592609104069,-0.0705421577633279,-0.0480358855301878,1.0,0.0,0.0,substantial_improvement,aggregate_focused_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,16,mint,-0.0619872421723507,-0.074472914229075,-0.0499587807195131,1.0,0.0,0.0,substantial_improvement,pareto_improvement,0,memory_ridge,True,directionally_consistent
memory_um,ridge,16,bottom_up,-0.0510481354309985,-0.0680331506966584,-0.0348726407219639,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
memory_um,ridge,16,wls,-0.0569295471187702,-0.0699025647486941,-0.0452530258673109,1.0,0.0,0.0,substantial_improvement,pareto_improvement,1,memory_ridge,True,directionally_consistent
