family,family_size,model_a,method_a,model_b,method_b,fold,horizon,p_value_raw,p_value_holm,holm_rank,reject_holm_0.05,relative_mae_diff_mean,n_seeds
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,0,1,0.0,0.0,1,True,-0.2196268596881747,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,0,8,0.0,0.0,25,True,-0.2169844557479636,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,0,16,0.0,0.0,24,True,-0.2048623769626853,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,1,1,0.0,0.0,23,True,-0.2221588282498657,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,1,8,0.0,0.0,22,True,-0.2197392601532489,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,1,16,0.0,0.0,21,True,-0.2179498512267541,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,2,1,0.0,0.0,20,True,-0.2068025469325856,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,2,8,0.0,0.0,19,True,-0.2189573331132273,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ewma,independent,2,16,0.0,0.0,18,True,-0.2141446411185053,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,0,1,0.0,0.0,17,True,-0.2189151641775928,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,0,8,0.0,0.0,16,True,-0.2163659244724961,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,0,16,0.0,0.0,15,True,-0.2054610815596328,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,1,1,0.0,0.0,26,True,-0.2280541878930367,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,1,8,0.0,0.0,14,True,-0.2252969393751384,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,1,16,0.0,0.0,12,True,-0.2219861779883524,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,2,1,0.0,0.0,11,True,-0.2046154620553187,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,2,8,0.0,0.0,10,True,-0.2163101104165613,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,persistence,independent,2,16,0.0,0.0,9,True,-0.2120276067339387,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,0,1,0.0,0.0,8,True,-0.1700233446345645,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,0,8,0.0,0.0,7,True,-0.165417793716942,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,0,16,0.0,0.0,6,True,-0.160525134651165,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,1,1,0.0,0.0,5,True,-0.1856306009050359,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,1,8,0.0,0.0,4,True,-0.1807606917471968,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,1,16,0.0,0.0,3,True,-0.1742415887640226,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,2,1,0.0,0.0,2,True,-0.1701100910518257,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,2,8,0.0,0.0,13,True,-0.181063072710151,3
cpu_lightgbm_vs_deterministic,27,lightgbm,independent,ridge,independent,2,16,0.0,0.0,27,True,-0.1729148028479318,3
cpu_lightgbm_reconciliation,27,lightgbm,bottom_up,lightgbm,independent,0,1,0.0,0.0,1,True,-0.0933089925624334,3
cpu_lightgbm_reconciliation,27,lightgbm,bottom_up,lightgbm,independent,0,8,0.0,0.0,21,True,-0.0855442234357979,3
cpu_lightgbm_reconciliation,27,lightgbm,bottom_up,lightgbm,independent,0,16,0.0008,0.0032,25,True,-0.0773745000034978,3
cpu_lightgbm_reconciliation,27,lightgbm,bottom_up,lightgbm,independent,1,1,0.0024,0.0048,26,True,-0.0771792523665338,3
cpu_lightgbm_reconciliation,27,lightgbm,bottom_up,lightgbm,independent,1,8,0.0008,0.0032,24,True,-0.0786839460597247,3
cpu_lightgbm_reconciliation,27,lightgbm,bottom_up,lightgbm,independent,1,16,0.0036,0.0048,27,True,-0.0756850951051728,3
cpu_lightgbm_reconciliation,27,lightgbm,bottom_up,lightgbm,independent,2,1,0.0,0.0,20,True,-0.1119560758878647,3
cpu_lightgbm_reconciliation,27,lightgbm,bottom_up,lightgbm,independent,2,8,0.0,0.0,19,True,-0.098098439035294,3
