hierarchy,base_model,target,horizon,fold,eff_wall_train_sec,eff_cpu_train_sec,eff_peak_rss_mb,eff_n_parameters,eff_serialized_model_bytes,eff_warm_infer_latency_ms_median,eff_warm_infer_latency_ms_p25,eff_warm_infer_latency_ms_p75,eff_cold_infer_latency_ms,eff_forecasts_per_sec,eff_n_train_samples,eff_n_prediction_origins,eff_end_to_end_latency_sec,eff_recon_fit_sec,eff_recon_infer_sec,eff_recon_memory_overhead_mb,eff_cov_estimate_sec,eff_recon_artifact_bytes
memory_um,persistence,machine01_UM,1,0,2.0124999991821824e-05,2.299999999966218e-05,480.171875,0,367.0,0.000582999973630649,0.0005419999524747254,0.0006665000000793952,0.003332999995109276,2082332855.7628918,7030,8276,2.16699993416114e-06,,,,,
memory_um,persistence,machine02_UM,1,0,3.4541999980319815e-05,3.700000000073089e-05,633.609375,0,367.0,0.000624999984211172,0.000582999973630649,0.0006459999895014334,0.005166999926586868,1942400049.0691526,7030,8276,2.2499999658975867e-06,,,,,
memory_um,persistence,machine03_UM,1,0,1.9917000031455245e-05,2.299999999966218e-05,634.140625,0,367.0,0.000624999984211172,0.0005830000304740679,0.0006665000000793952,0.003042000003006251,1942400049.0691526,7030,8276,3.2079999527923064e-06,,,,,
memory_um,persistence,machine04_UM,1,0,2.9082999958518485e-05,3.2000000000032e-05,634.75,0,367.0,0.000624999984211172,0.000624999984211172,0.0007085000106599182,0.004083000021637417,1942400049.0691526,7030,8276,1.9999999949504854e-06,,,,,
memory_um,persistence,machine05_UM,1,0,1.9334000057824596e-05,2.200000000041058e-05,634.765625,0,367.0,0.000582999973630649,0.0005205000093155832,0.000624999984211172,0.004042000000481494,2082332855.7628918,7030,8276,2.041000016106409e-06,,,,,
memory_um,persistence,machine06_UM,1,0,1.8332999957237917e-05,2.0999999998494445e-05,634.796875,0,367.0,0.0005419999524747254,0.0005000000555810402,0.0005830000304740679,0.002459000029375602,2239852594.925479,7030,8276,1.7080000134228612e-06,,,,,
memory_um,persistence,machine07_UM,1,0,1.741699998092372e-05,1.9999999999242846e-05,636.859375,0,367.0,0.0005420000661615632,0.0005420000093181443,0.0005830000304740679,0.0022909999870535103,2239852125.106794,7030,8276,1.7090000028474606e-06,,,,,
memory_um,persistence,cluster_UM,1,0,1.8666000073608302e-05,2.1000000000270802e-05,638.90625,0,367.0,0.000582999973630649,0.0005419999524747254,0.0006044999736332102,0.002541999947425211,2082332855.7628918,7030,8276,2.0420000055310084e-06,,,,,
memory_um,ridge,machine01_UM,1,0,0.002886916999955247,0.0028679999999994266,644.765625,33,1164.0,0.045666999994864454,0.04452099994978198,0.046208000014758,0.09720800005652563,26583747.56687591,7030,8276,0.0001686250000147993,,,,,
memory_um,ridge,machine02_UM,1,0,0.0008018749999791908,0.0008039999999986946,644.84375,33,1164.0,0.050167000040346466,0.04816650005068368,0.05677100000411883,0.07583299998259463,24199174.73685189,7030,8276,0.00017400000001543958,,,,,
memory_um,ridge,machine03_UM,1,0,0.0007985419999840815,0.0007939999999990732,644.90625,33,1164.0,0.04612500003986497,0.045562500019968866,0.04922899995563057,0.0725830000192218,26319783.175084285,7030,8276,0.00016920899997785455,,,,,
memory_um,ridge,machine04_UM,1,0,0.0007847919999903752,0.0007870000000007593,644.90625,33,1164.0,0.04520899994986394,0.04462499998680869,0.04633349999494385,0.07320800000343297,26853060.261149477,7030,8276,0.0001695000000836444,,,,,
memory_um,ridge,machine05_UM,1,0,0.0008061659999611948,0.0008099999999995333,644.96875,33,1164.0,0.048708000008446106,0.046875000009549694,0.0565830000027745,0.0716670000429076,24924037.11483717,7030,8276,0.00017587500008175994,,,,,
memory_um,ridge,machine06_UM,1,0,0.0008650839999972959,0.0008700000000008146,645.0625,33,1164.0,0.04829199997402611,0.046249999968495104,0.05562499995903636,0.08579200004987797,25138739.34922867,7030,8276,0.00017320800009201776,,,,,
memory_um,ridge,machine07_UM,1,0,0.0007626670000036029,0.0007660000000004885,645.09375,33,1164.0,0.04520799996043934,0.04414599999336133,0.04641699996454918,0.07125000001906301,26853654.24399107,7030,8276,0.00022941700001410936,,,,,
memory_um,ridge,cluster_UM,1,0,0.0007666660000040793,0.000769000000001796,645.109375,33,1164.0,0.04400000000259752,0.043729000026360154,0.04514550005296769,0.07116699998732656,27590909.089280277,7030,8276,0.0001724999999623833,,,,,
