run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__memory_um__f0__h1__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001522509992355,1294154012.0869985
base__memory_um__f0__h1__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0082818350010711,1358694507.6124406
base__memory_um__f0__h1__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,1,32,lightgbm,0,abe0cd1cb9555ccb,1.2331542080000872,1848635679.4026904
base__memory_um__f0__h8__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002297510000062,1291570370.298706
base__memory_um__f0__h8__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0364387500021621,1357156730.239117
base__memory_um__f0__h8__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,8,32,lightgbm,0,abe0cd1cb9555ccb,9.930978084000344,1526324191.3500135
base__memory_um__f0__h16__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,persistence,0,abe0cd1cb9555ccb,0.0002973730006488,1285438902.927975
base__memory_um__f0__h16__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,ridge,0,abe0cd1cb9555ccb,0.0737911659989549,1353419666.8608923
base__memory_um__f0__h16__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,0,16,32,lightgbm,0,abe0cd1cb9555ccb,19.173385248999693,1735274052.5911322
base__memory_um__f1__h1__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,persistence,0,abe0cd1cb9555ccb,0.0002085819996864,843922661.6452392
base__memory_um__f1__h1__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,ridge,0,abe0cd1cb9555ccb,0.009547998999551,834422178.6472346
base__memory_um__f1__h1__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,1,32,lightgbm,0,abe0cd1cb9555ccb,1.349383542000396,1352577183.857901
base__memory_um__f1__h8__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,8,32,persistence,0,abe0cd1cb9555ccb,0.0002951259994006,844465442.1477809
base__memory_um__f1__h8__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,8,32,ridge,0,abe0cd1cb9555ccb,0.0562701649996597,835005834.3233938
base__memory_um__f1__h8__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,8,32,lightgbm,0,abe0cd1cb9555ccb,10.648379502002172,1349230704.7903304
base__memory_um__f1__h16__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,16,32,persistence,0,abe0cd1cb9555ccb,0.0004721270015579,844976853.3901465
base__memory_um__f1__h16__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,memory_classical,23f54983a9093bc0,memory_um,1,16,32,ridge,0,abe0cd1cb9555ccb,0.1427020000000993,835539072.0094448
