run_id,fold,horizon,base_model,reconciliation_method,nonnegative,coherence_before,coherence_after,is_coherent_after
base__memory_um__f0__h16__lightgbm__s0__independent__nn0,0,16,lightgbm,independent,False,1522331834.1169596,1522331834.1169596,False
base__memory_um__f0__h16__lightgbm__s0__bottom_up__nn0,0,16,lightgbm,bottom_up,False,1522331834.1169596,0.0,True
base__memory_um__f0__h16__lightgbm__s0__wls__nn0,0,16,lightgbm,wls,False,1522331834.1169596,0.0,True
base__memory_um__f0__h16__lightgbm__s0__mint__nn0,0,16,lightgbm,mint,False,1522331834.1169596,0.0,True
base__memory_um__f0__h16__persistence__s0__independent__nn0,0,16,persistence,independent,False,0.0,0.0,True
base__memory_um__f0__h16__persistence__s0__bottom_up__nn0,0,16,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f0__h16__persistence__s0__wls__nn0,0,16,persistence,wls,False,0.0,0.0,True
base__memory_um__f0__h16__persistence__s0__mint__nn0,0,16,persistence,mint,False,0.0,0.0,True
base__memory_um__f0__h16__ridge__s0__independent__nn0,0,16,ridge,independent,False,464949215.46992654,464949215.46992654,False
base__memory_um__f0__h16__ridge__s0__bottom_up__nn0,0,16,ridge,bottom_up,False,464949215.46992654,0.0,True
base__memory_um__f0__h16__ridge__s0__wls__nn0,0,16,ridge,wls,False,464949215.46992654,0.0,True
base__memory_um__f0__h16__ridge__s0__mint__nn0,0,16,ridge,mint,False,464949215.46992654,0.0,True
base__memory_um__f0__h1__lightgbm__s0__independent__nn0,0,1,lightgbm,independent,False,1491534985.8369813,1491534985.8369813,False
base__memory_um__f0__h1__lightgbm__s0__bottom_up__nn0,0,1,lightgbm,bottom_up,False,1491534985.8369813,0.0,True
base__memory_um__f0__h1__lightgbm__s0__wls__nn0,0,1,lightgbm,wls,False,1491534985.8369813,0.0,True
base__memory_um__f0__h1__lightgbm__s0__mint__nn0,0,1,lightgbm,mint,False,1491534985.8369813,0.0,True
base__memory_um__f0__h1__persistence__s0__independent__nn0,0,1,persistence,independent,False,0.0,0.0,True
base__memory_um__f0__h1__persistence__s0__bottom_up__nn0,0,1,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f0__h1__persistence__s0__wls__nn0,0,1,persistence,wls,False,0.0,0.0,True
base__memory_um__f0__h1__persistence__s0__mint__nn0,0,1,persistence,mint,False,0.0,0.0,True
base__memory_um__f0__h1__ridge__s0__independent__nn0,0,1,ridge,independent,False,465104157.5826315,465104157.5826315,False
base__memory_um__f0__h1__ridge__s0__bottom_up__nn0,0,1,ridge,bottom_up,False,465104157.5826315,0.0,True
base__memory_um__f0__h1__ridge__s0__wls__nn0,0,1,ridge,wls,False,465104157.5826315,0.0,True
base__memory_um__f0__h1__ridge__s0__mint__nn0,0,1,ridge,mint,False,465104157.5826315,0.0,True
base__memory_um__f0__h8__lightgbm__s0__independent__nn0,0,8,lightgbm,independent,False,1792691829.1344185,1792691829.1344185,False
base__memory_um__f0__h8__lightgbm__s0__independent__nn1,0,8,lightgbm,independent,True,1792691829.1344185,0.0,True
base__memory_um__f0__h8__lightgbm__s0__bottom_up__nn0,0,8,lightgbm,bottom_up,False,1792691829.1344185,0.0,True
base__memory_um__f0__h8__lightgbm__s0__bottom_up__nn1,0,8,lightgbm,bottom_up,True,1792691829.1344185,0.0,True
base__memory_um__f0__h8__lightgbm__s0__wls__nn0,0,8,lightgbm,wls,False,1792691829.1344185,0.0,True
base__memory_um__f0__h8__lightgbm__s0__wls__nn1,0,8,lightgbm,wls,True,1792691829.1344185,0.0,True
base__memory_um__f0__h8__lightgbm__s0__mint__nn0,0,8,lightgbm,mint,False,1792691829.1344185,0.0,True
base__memory_um__f0__h8__lightgbm__s0__mint__nn1,0,8,lightgbm,mint,True,1792691829.1344185,0.0,True
base__memory_um__f0__h8__lightgbm__s0__ols__nn0,0,8,lightgbm,ols,False,1792691829.1344185,0.0,True
base__memory_um__f0__h8__lightgbm__s0__ols__nn1,0,8,lightgbm,ols,True,1792691829.1344185,0.0,True
base__memory_um__f0__h8__persistence__s0__independent__nn0,0,8,persistence,independent,False,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__independent__nn1,0,8,persistence,independent,True,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__bottom_up__nn0,0,8,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__bottom_up__nn1,0,8,persistence,bottom_up,True,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__wls__nn0,0,8,persistence,wls,False,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__wls__nn1,0,8,persistence,wls,True,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__mint__nn0,0,8,persistence,mint,False,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__mint__nn1,0,8,persistence,mint,True,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__ols__nn0,0,8,persistence,ols,False,0.0,0.0,True
base__memory_um__f0__h8__persistence__s0__ols__nn1,0,8,persistence,ols,True,0.0,0.0,True
base__memory_um__f0__h8__ridge__s0__independent__nn0,0,8,ridge,independent,False,464923296.3696819,464923296.3696819,False
base__memory_um__f0__h8__ridge__s0__independent__nn1,0,8,ridge,independent,True,464923296.3696819,0.0,True
base__memory_um__f0__h8__ridge__s0__bottom_up__nn0,0,8,ridge,bottom_up,False,464923296.3696819,0.0,True
base__memory_um__f0__h8__ridge__s0__bottom_up__nn1,0,8,ridge,bottom_up,True,464923296.3696819,0.0,True
base__memory_um__f0__h8__ridge__s0__wls__nn0,0,8,ridge,wls,False,464923296.3696819,0.0,True
base__memory_um__f0__h8__ridge__s0__wls__nn1,0,8,ridge,wls,True,464923296.3696819,0.0,True
base__memory_um__f0__h8__ridge__s0__mint__nn0,0,8,ridge,mint,False,464923296.3696819,0.0,True
base__memory_um__f0__h8__ridge__s0__mint__nn1,0,8,ridge,mint,True,464923296.3696819,0.0,True
base__memory_um__f0__h8__ridge__s0__ols__nn0,0,8,ridge,ols,False,464923296.3696819,0.0,True
base__memory_um__f0__h8__ridge__s0__ols__nn1,0,8,ridge,ols,True,464923296.3696819,0.0,True
base__memory_um__f1__h16__lightgbm__s0__independent__nn0,1,16,lightgbm,independent,False,787283428.9104376,787283428.9104376,False
base__memory_um__f1__h16__lightgbm__s0__bottom_up__nn0,1,16,lightgbm,bottom_up,False,787283428.9104376,0.0,True
base__memory_um__f1__h16__lightgbm__s0__wls__nn0,1,16,lightgbm,wls,False,787283428.9104376,0.0,True
base__memory_um__f1__h16__lightgbm__s0__mint__nn0,1,16,lightgbm,mint,False,787283428.9104376,0.0,True
base__memory_um__f1__h16__persistence__s0__independent__nn0,1,16,persistence,independent,False,0.0,0.0,True
base__memory_um__f1__h16__persistence__s0__bottom_up__nn0,1,16,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f1__h16__persistence__s0__wls__nn0,1,16,persistence,wls,False,0.0,0.0,True
base__memory_um__f1__h16__persistence__s0__mint__nn0,1,16,persistence,mint,False,0.0,0.0,True
base__memory_um__f1__h16__ridge__s0__independent__nn0,1,16,ridge,independent,False,301682596.29424995,301682596.29424995,False
base__memory_um__f1__h16__ridge__s0__bottom_up__nn0,1,16,ridge,bottom_up,False,301682596.29424995,0.0,True
base__memory_um__f1__h16__ridge__s0__wls__nn0,1,16,ridge,wls,False,301682596.29424995,0.0,True
base__memory_um__f1__h16__ridge__s0__mint__nn0,1,16,ridge,mint,False,301682596.29424995,0.0,True
base__memory_um__f1__h1__lightgbm__s0__independent__nn0,1,1,lightgbm,independent,False,732754784.1564883,732754784.1564883,False
base__memory_um__f1__h1__lightgbm__s0__bottom_up__nn0,1,1,lightgbm,bottom_up,False,732754784.1564883,0.0,True
base__memory_um__f1__h1__lightgbm__s0__wls__nn0,1,1,lightgbm,wls,False,732754784.1564883,0.0,True
base__memory_um__f1__h1__lightgbm__s0__mint__nn0,1,1,lightgbm,mint,False,732754784.1564883,0.0,True
base__memory_um__f1__h1__persistence__s0__independent__nn0,1,1,persistence,independent,False,0.0,0.0,True
base__memory_um__f1__h1__persistence__s0__bottom_up__nn0,1,1,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f1__h1__persistence__s0__wls__nn0,1,1,persistence,wls,False,0.0,0.0,True
base__memory_um__f1__h1__persistence__s0__mint__nn0,1,1,persistence,mint,False,0.0,0.0,True
base__memory_um__f1__h1__ridge__s0__independent__nn0,1,1,ridge,independent,False,301581705.2888302,301581705.2888302,False
base__memory_um__f1__h1__ridge__s0__bottom_up__nn0,1,1,ridge,bottom_up,False,301581705.2888302,0.0,True
base__memory_um__f1__h1__ridge__s0__wls__nn0,1,1,ridge,wls,False,301581705.2888302,0.0,True
base__memory_um__f1__h1__ridge__s0__mint__nn0,1,1,ridge,mint,False,301581705.2888302,0.0,True
base__memory_um__f1__h8__lightgbm__s0__independent__nn0,1,8,lightgbm,independent,False,799168503.5116102,799168503.5116102,False
base__memory_um__f1__h8__lightgbm__s0__independent__nn1,1,8,lightgbm,independent,True,799168503.5116102,0.0,True
base__memory_um__f1__h8__lightgbm__s0__bottom_up__nn0,1,8,lightgbm,bottom_up,False,799168503.5116102,0.0,True
base__memory_um__f1__h8__lightgbm__s0__bottom_up__nn1,1,8,lightgbm,bottom_up,True,799168503.5116102,0.0,True
base__memory_um__f1__h8__lightgbm__s0__wls__nn0,1,8,lightgbm,wls,False,799168503.5116102,0.0,True
base__memory_um__f1__h8__lightgbm__s0__wls__nn1,1,8,lightgbm,wls,True,799168503.5116102,0.0,True
base__memory_um__f1__h8__lightgbm__s0__mint__nn0,1,8,lightgbm,mint,False,799168503.5116102,0.0,True
base__memory_um__f1__h8__lightgbm__s0__mint__nn1,1,8,lightgbm,mint,True,799168503.5116102,0.0,True
base__memory_um__f1__h8__lightgbm__s0__ols__nn0,1,8,lightgbm,ols,False,799168503.5116102,0.0,True
base__memory_um__f1__h8__lightgbm__s0__ols__nn1,1,8,lightgbm,ols,True,799168503.5116102,0.0,True
base__memory_um__f1__h8__persistence__s0__independent__nn0,1,8,persistence,independent,False,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__independent__nn1,1,8,persistence,independent,True,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__bottom_up__nn0,1,8,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__bottom_up__nn1,1,8,persistence,bottom_up,True,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__wls__nn0,1,8,persistence,wls,False,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__wls__nn1,1,8,persistence,wls,True,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__mint__nn0,1,8,persistence,mint,False,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__mint__nn1,1,8,persistence,mint,True,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__ols__nn0,1,8,persistence,ols,False,0.0,0.0,True
base__memory_um__f1__h8__persistence__s0__ols__nn1,1,8,persistence,ols,True,0.0,0.0,True
base__memory_um__f1__h8__ridge__s0__independent__nn0,1,8,ridge,independent,False,301967643.2167778,301967643.2167778,False
base__memory_um__f1__h8__ridge__s0__independent__nn1,1,8,ridge,independent,True,301967643.2167778,0.0,True
base__memory_um__f1__h8__ridge__s0__bottom_up__nn0,1,8,ridge,bottom_up,False,301967643.2167778,0.0,True
base__memory_um__f1__h8__ridge__s0__bottom_up__nn1,1,8,ridge,bottom_up,True,301967643.2167778,0.0,True
base__memory_um__f1__h8__ridge__s0__wls__nn0,1,8,ridge,wls,False,301967643.2167778,0.0,True
base__memory_um__f1__h8__ridge__s0__wls__nn1,1,8,ridge,wls,True,301967643.2167778,0.0,True
base__memory_um__f1__h8__ridge__s0__mint__nn0,1,8,ridge,mint,False,301967643.2167778,0.0,True
base__memory_um__f1__h8__ridge__s0__mint__nn1,1,8,ridge,mint,True,301967643.2167778,0.0,True
base__memory_um__f1__h8__ridge__s0__ols__nn0,1,8,ridge,ols,False,301967643.2167778,0.0,True
base__memory_um__f1__h8__ridge__s0__ols__nn1,1,8,ridge,ols,True,301967643.2167778,0.0,True
base__memory_um__f2__h16__lightgbm__s0__independent__nn0,2,16,lightgbm,independent,False,780548531.5914713,780548531.5914713,False
base__memory_um__f2__h16__lightgbm__s0__bottom_up__nn0,2,16,lightgbm,bottom_up,False,780548531.5914713,0.0,True
base__memory_um__f2__h16__lightgbm__s0__wls__nn0,2,16,lightgbm,wls,False,780548531.5914713,0.0,True
base__memory_um__f2__h16__lightgbm__s0__mint__nn0,2,16,lightgbm,mint,False,780548531.5914713,0.0,True
base__memory_um__f2__h16__persistence__s0__independent__nn0,2,16,persistence,independent,False,0.0,0.0,True
base__memory_um__f2__h16__persistence__s0__bottom_up__nn0,2,16,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f2__h16__persistence__s0__wls__nn0,2,16,persistence,wls,False,0.0,0.0,True
base__memory_um__f2__h16__persistence__s0__mint__nn0,2,16,persistence,mint,False,0.0,0.0,True
base__memory_um__f2__h16__ridge__s0__independent__nn0,2,16,ridge,independent,False,428885072.4161675,428885072.4161675,False
base__memory_um__f2__h16__ridge__s0__bottom_up__nn0,2,16,ridge,bottom_up,False,428885072.4161675,0.0,True
base__memory_um__f2__h16__ridge__s0__wls__nn0,2,16,ridge,wls,False,428885072.4161675,0.0,True
base__memory_um__f2__h16__ridge__s0__mint__nn0,2,16,ridge,mint,False,428885072.4161675,0.0,True
base__memory_um__f2__h1__lightgbm__s0__independent__nn0,2,1,lightgbm,independent,False,763501987.9491076,763501987.9491076,False
base__memory_um__f2__h1__lightgbm__s0__bottom_up__nn0,2,1,lightgbm,bottom_up,False,763501987.9491076,0.0,True
base__memory_um__f2__h1__lightgbm__s0__wls__nn0,2,1,lightgbm,wls,False,763501987.9491076,0.0,True
base__memory_um__f2__h1__lightgbm__s0__mint__nn0,2,1,lightgbm,mint,False,763501987.9491076,0.0,True
base__memory_um__f2__h1__persistence__s0__independent__nn0,2,1,persistence,independent,False,0.0,0.0,True
base__memory_um__f2__h1__persistence__s0__bottom_up__nn0,2,1,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f2__h1__persistence__s0__wls__nn0,2,1,persistence,wls,False,0.0,0.0,True
base__memory_um__f2__h1__persistence__s0__mint__nn0,2,1,persistence,mint,False,0.0,0.0,True
base__memory_um__f2__h1__ridge__s0__independent__nn0,2,1,ridge,independent,False,427789448.31166357,427789448.31166357,False
base__memory_um__f2__h1__ridge__s0__bottom_up__nn0,2,1,ridge,bottom_up,False,427789448.31166357,0.0,True
base__memory_um__f2__h1__ridge__s0__wls__nn0,2,1,ridge,wls,False,427789448.31166357,0.0,True
base__memory_um__f2__h1__ridge__s0__mint__nn0,2,1,ridge,mint,False,427789448.31166357,0.0,True
base__memory_um__f2__h8__lightgbm__s0__independent__nn0,2,8,lightgbm,independent,False,767941323.936843,767941323.936843,False
base__memory_um__f2__h8__lightgbm__s0__independent__nn1,2,8,lightgbm,independent,True,767941323.936843,0.0,True
base__memory_um__f2__h8__lightgbm__s0__bottom_up__nn0,2,8,lightgbm,bottom_up,False,767941323.936843,0.0,True
base__memory_um__f2__h8__lightgbm__s0__bottom_up__nn1,2,8,lightgbm,bottom_up,True,767941323.936843,0.0,True
base__memory_um__f2__h8__lightgbm__s0__wls__nn0,2,8,lightgbm,wls,False,767941323.936843,0.0,True
base__memory_um__f2__h8__lightgbm__s0__wls__nn1,2,8,lightgbm,wls,True,767941323.936843,0.0,True
base__memory_um__f2__h8__lightgbm__s0__mint__nn0,2,8,lightgbm,mint,False,767941323.936843,0.0,True
base__memory_um__f2__h8__lightgbm__s0__mint__nn1,2,8,lightgbm,mint,True,767941323.936843,0.0,True
base__memory_um__f2__h8__lightgbm__s0__ols__nn0,2,8,lightgbm,ols,False,767941323.936843,0.0,True
base__memory_um__f2__h8__lightgbm__s0__ols__nn1,2,8,lightgbm,ols,True,767941323.936843,0.0,True
base__memory_um__f2__h8__persistence__s0__independent__nn0,2,8,persistence,independent,False,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__independent__nn1,2,8,persistence,independent,True,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__bottom_up__nn0,2,8,persistence,bottom_up,False,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__bottom_up__nn1,2,8,persistence,bottom_up,True,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__wls__nn0,2,8,persistence,wls,False,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__wls__nn1,2,8,persistence,wls,True,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__mint__nn0,2,8,persistence,mint,False,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__mint__nn1,2,8,persistence,mint,True,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__ols__nn0,2,8,persistence,ols,False,0.0,0.0,True
base__memory_um__f2__h8__persistence__s0__ols__nn1,2,8,persistence,ols,True,0.0,0.0,True
base__memory_um__f2__h8__ridge__s0__independent__nn0,2,8,ridge,independent,False,428265056.35127103,428265056.35127103,False
base__memory_um__f2__h8__ridge__s0__independent__nn1,2,8,ridge,independent,True,428265056.35127103,0.0,True
base__memory_um__f2__h8__ridge__s0__bottom_up__nn0,2,8,ridge,bottom_up,False,428265056.35127103,0.0,True
base__memory_um__f2__h8__ridge__s0__bottom_up__nn1,2,8,ridge,bottom_up,True,428265056.35127103,0.0,True
base__memory_um__f2__h8__ridge__s0__wls__nn0,2,8,ridge,wls,False,428265056.35127103,0.0,True
base__memory_um__f2__h8__ridge__s0__wls__nn1,2,8,ridge,wls,True,428265056.35127103,0.0,True
base__memory_um__f2__h8__ridge__s0__mint__nn0,2,8,ridge,mint,False,428265056.35127103,0.0,True
base__memory_um__f2__h8__ridge__s0__mint__nn1,2,8,ridge,mint,True,428265056.35127103,0.0,True
base__memory_um__f2__h8__ridge__s0__ols__nn0,2,8,ridge,ols,False,428265056.35127103,0.0,True
base__memory_um__f2__h8__ridge__s0__ols__nn1,2,8,ridge,ols,True,428265056.35127103,0.0,True
