base_model,horizon,reconciliation_method,nonnegative,mean_cluster_mae,std_cluster_mae,mean_rmse,mean_r2,mean_mase,mase_valid_all,coherence_before,coherence_after,rel_vs_ind,rel_vs_pers,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved,machines_degraded,adj_magnitude,wall_train
lightgbm,1,bottom_up,False,1481679445.3028095,514025322.2733195,3277847990.175156,0.5232978538411038,1.5762092797155463,True,995930585.9808592,0.0,0.9786478403876883,1.3823282330253823,325984565.6064082,297742096.72868496,840881289.8489653,10780957.536562258,0.0,0.0,124491323.24760737,1.3717055696664222
lightgbm,1,independent,False,1488193766.9964402,315322579.6875177,3510058846.6710534,0.45352690038989474,1.570992121892015,True,995930585.9808592,995930585.9808592,1.0,1.4144192845304566,325984565.6064082,297742096.72868496,840881289.8489653,10780957.536562258,0.0,0.0,0.0,1.3717055696664222
lightgbm,1,mint,False,1406588259.4474707,370169897.13707846,3281227127.809999,0.5224398301959211,1.4891816595053775,True,995930585.9808592,0.0,0.9390218818063641,1.3271699877339047,339309902.73459786,309832815.9439566,844765518.8105545,10781147.240687793,3.3333333333333335,3.6666666666666665,124519908.36619316,1.3717055696664222
lightgbm,1,wls,False,1419508285.605177,390075015.1060131,3273905932.2401175,0.5242028836326393,1.5039108154068643,True,995930585.9808592,0.0,0.9462194427903853,1.3374379477850453,336503093.0746227,307306705.26309925,848777759.6446091,10780943.14156134,3.6666666666666665,3.3333333333333335,124491323.2476073,1.3717055696664222
lightgbm,8,bottom_up,False,1505647309.952616,444297299.76435995,3299766965.599831,0.5158195656349899,1.5973101086160832,True,1119933885.527624,0.0,1.0782126251434831,1.4207336487029902,331543839.5743458,303399641.159861,862604650.1596025,10693741.047140932,0.0,0.0,139991735.690953,10.83182991766777
lightgbm,8,bottom_up,True,1505647309.952616,444297299.76435995,3299766965.599831,0.5158195656349899,1.5973101086160832,True,1119933885.527624,0.0,1.0782126251434831,1.4207336487029902,331543839.5743458,303399641.159861,862604650.1596025,10693741.047140932,0.0,0.0,139991735.690953,10.83182991766777
lightgbm,8,independent,False,1379283139.5443852,134555855.0758604,3449229034.940361,0.47013974938423325,1.4450779115219257,True,1119933885.527624,1119933885.527624,1.0,1.3299137393286269,331543839.5743458,303399641.159861,862604650.1596025,10693741.047140932,0.0,0.0,0.0,10.83182991766777
lightgbm,8,independent,True,1505647309.952616,444297299.76435995,3299766965.599831,0.5158195656349899,1.5973101086160832,True,1119933885.527624,0.0,1.0782126251434831,1.4207336487029902,331543839.5743458,303399641.159861,862604650.1596025,10693741.047140932,0.0,0.0,139991735.690953,10.83182991766777
lightgbm,8,mint,False,1411840711.6741111,310297381.01249737,3261386867.554997,0.5261741615950216,1.4908399926932379,True,1119933885.527624,0.0,1.0157370500782192,1.3443989233794464,342068731.4863618,312727997.11248493,860017443.9986801,10773852.305313515,4.0,3.0,144958126.80226356,10.83182991766777
lightgbm,8,mint,True,1411840711.6741111,310297381.01249737,3261386867.554997,0.5261741615950216,1.4908399926932379,True,1119933885.527624,0.0,1.0157370500782192,1.3443989233794464,342068731.4863618,312727997.11248493,860017443.9986801,10773852.305313515,4.0,3.0,144958126.80226356,10.83182991766777
