run_id,base_run_id,fold,horizon,base_model,seed,reconciliation_method,nonnegative,top_mae,top_rmse,top_r2,top_mase,mase_valid,mase_invalid_reason,coherence_before,coherence_after,is_coherent_after,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,adj_magnitude,ind_top_mae,wall_train_sec_sum,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,pers_ind_mae,same_ind_mae,rel_mae_vs_independent,rel_mae_vs_pers_ind
base__memory_um__f0__h16__lightgbm__s0__independent__nn0,base__memory_um__f0__h16__lightgbm__s0,0,16,lightgbm,0,independent,False,1735274052.5911322,4301279139.397329,0.4060964618241222,1.9955548041542128,True,,1522331834.1169596,1522331834.1169596,False,493552141.9963023,452720677.16397387,1183450473.6562254,9974650.614012677,0,0,0.0,1735274052.5911322,19.173385248999693,612104464.1258336,621670547.6122626,479468142.24444956,438453421.074724,109743294.64660837,9974650.614012677,1183450473.6562254,1285438902.927975,1735274052.5911322,1.0,1.3499467369771694
base__memory_um__f0__h16__lightgbm__s0__bottom_up__nn0,base__memory_um__f0__h16__lightgbm__s0,0,16,lightgbm,0,bottom_up,False,2111881147.9847877,4078663998.0068183,0.4659812377214966,2.4286507162201856,True,,1522331834.1169596,0.0,True,493552141.9963023,452720677.16397387,1183450473.6562254,9974650.614012677,0,0,190291479.26461995,1735274052.5911322,19.173385248999693,612104464.1258336,621670547.6122626,479468142.24444956,438453421.074724,109743294.64660837,9974650.614012677,1183450473.6562254,1285438902.927975,1735274052.5911322,1.2170303271873981,1.6429261189888849
base__memory_um__f0__h16__lightgbm__s0__wls__nn0,base__memory_um__f0__h16__lightgbm__s0,0,16,lightgbm,0,wls,False,1841620625.6393313,4042856867.8920226,0.47531652174560757,2.1178527284704214,True,,1522331834.1169596,0.0,True,517959041.81285065,478574874.7877197,1174124004.24636,9969253.14752402,5,2,190291479.26461983,1735274052.5911322,19.173385248999693,810009494.6786752,604476706.7870946,476174625.5482568,442614663.15015006,108344545.1318938,9969253.14752402,1174124004.24636,1285438902.927975,1735274052.5911322,1.0612851744595624,1.432678458263932
base__memory_um__f0__h16__lightgbm__s0__mint__nn0,base__memory_um__f0__h16__lightgbm__s0,0,16,lightgbm,0,mint,False,1896120912.491208,4034794595.916802,0.4774070845152656,2.180527733085771,True,,1522331834.1169596,0.0,True,514972121.9736704,474914161.15360963,1178029089.1527336,10045519.209010199,4,3,196562484.82164216,1735274052.5911322,19.173385248999693,774894214.3584205,611116135.2279369,475548445.5318137,446220286.85821104,108951163.47756685,10045519.209010199,1178029089.1527336,1285438902.927975,1735274052.5911322,1.0926924825850404,1.4750766513851576
base__memory_um__f0__h16__persistence__s0__independent__nn0,base__memory_um__f0__h16__persistence__s0,0,16,persistence,0,independent,False,1285438902.927975,4439239397.418229,0.36738747063746846,1.4782470667122047,True,,0.0,0.0,True,227277894.74342436,186907252.11715588,426683283.0427309,5847781.008594601,0,0,0.0,1285438902.927975,0.0002973730006488,423129225.3431788,161621168.88512287,416180841.5484808,426683283.0427309,65432657.93487471,5847781.008594601,92050305.44098778,1285438902.927975,1285438902.927975,1.0,1.0
base__memory_um__f0__h16__persistence__s0__bottom_up__nn0,base__memory_um__f0__h16__persistence__s0,0,16,persistence,0,bottom_up,False,1285438902.927975,4439239397.418229,0.36738747063746846,1.4782470667122047,True,,0.0,0.0,True,227277894.74342436,186907252.11715588,426683283.0427309,5847781.008594601,0,0,0.0,1285438902.927975,0.0002973730006488,423129225.3431788,161621168.88512287,416180841.5484808,426683283.0427309,65432657.93487471,5847781.008594601,92050305.44098778,1285438902.927975,1285438902.927975,1.0,1.0
base__memory_um__f0__h16__persistence__s0__wls__nn0,base__memory_um__f0__h16__persistence__s0,0,16,persistence,0,wls,False,1285438902.9279616,4439239397.418232,0.3673874706374676,1.4782470667121894,True,,0.0,0.0,True,227277894.7426948,186907252.11640164,426683283.0425798,5847781.008594433,6,1,0.007498253764143407,1285438902.927975,0.0002973730006488,423129225.3382584,161621168.88540822,416180841.5483316,426683283.0425798,65432657.93481166,5847781.008594433,92050305.4408794,1285438902.927975,1285438902.927975,0.9999999999999896,0.9999999999999896
base__memory_um__f0__h16__persistence__s0__mint__nn0,base__memory_um__f0__h16__persistence__s0,0,16,persistence,0,mint,False,1285438902.9279926,4439239397.418226,0.3673874706374691,1.478247066712225,True,,0.0,0.0,True,227277894.74295178,186907252.1166774,426683283.0425937,5847781.008594509,6,1,0.005217643370568904,1285438902.927975,0.0002973730006488,423129225.3401203,161621168.88502663,416180841.54850715,426683283.0425937,65432657.934856094,5847781.008594509,92050305.44096375,1285438902.927975,1285438902.927975,1.0000000000000138,1.0000000000000138
base__memory_um__f0__h16__ridge__s0__independent__nn0,base__memory_um__f0__h16__ridge__s0,0,16,ridge,0,independent,False,1353419666.8608923,3966314443.1331873,0.4949958584324652,1.556424539517632,True,,464949215.46992654,464949215.46992654,False,260710830.93452504,217179470.30972603,556011047.6539077,5208271.777877929,0,0,0.0,1353419666.8608923,0.0737911659989549,428927610.0072468,230430718.20775393,556011047.6539077,436820254.5926554,60799461.13805147,5208271.777877929,106778453.16418195,1285438902.927975,1353419666.8608923,1.0,1.0528852548169116
base__memory_um__f0__h16__ridge__s0__bottom_up__nn0,base__memory_um__f0__h16__ridge__s0,0,16,ridge,0,bottom_up,False,1257283240.3761187,3936792090.6011744,0.5024856452267316,1.4458682228139723,True,,464949215.46992654,0.0,True,260710830.93452504,217179470.30972603,556011047.6539077,5208271.777877929,0,0,58118651.93374081,1353419666.8608923,0.0737911659989549,428927610.0072468,230430718.20775393,556011047.6539077,436820254.5926554,60799461.13805147,5208271.777877929,106778453.16418195,1285438902.927975,1353419666.8608923,0.9289677630385322,0.9780964599035215
base__memory_um__f0__h16__ridge__s0__wls__nn0,base__memory_um__f0__h16__ridge__s0,0,16,ridge,0,wls,False,1273487701.6344788,3930445803.6640882,0.5040883836327217,1.4645032565509002,True,,464949215.46992654,0.0,True,266823319.9246361,223765696.94971105,554703099.8890121,5208698.068570271,2,5,58118651.9337408,1353419666.8608923,0.0737911659989549,471586594.9852422,234392247.51196113,554703099.8890121,433185633.1126734,60873655.22775038,5208698.068570271,107813310.67724298,1285438902.927975,1353419666.8608923,0.9409407390895931,0.9907026298439594
base__memory_um__f0__h16__ridge__s0__mint__nn0,base__memory_um__f0__h16__ridge__s0,0,16,ridge,0,mint,False,1269524914.2103639,3929752194.3296876,0.504263396134141,1.459946074663563,True,,464949215.46992654,0.0,True,265376802.99344355,222425955.3337836,553536332.6715086,5212233.185426623,2,5,58118651.933740824,1353419666.8608923,0.0737911659989549,466363499.6876926,232394272.6019029,553536332.6715086,432140675.94876754,60821198.12784564,5212233.185426623,107169408.73096114,1285438902.927975,1353419666.8608923,0.9380127578276493,0.9876198015468786
base__memory_um__f0__h1__lightgbm__s0__independent__nn0,base__memory_um__f0__h1__lightgbm__s0,0,1,lightgbm,0,independent,False,1848635679.4026902,4323715572.058664,0.4054405889542396,2.129385065477079,True,,1491534985.8369813,1491534985.8369813,False,506790526.9619207,469267932.2761948,1186296378.234332,10662936.476928847,0,0,0.0,1848635679.4026902,1.2331542080000872,744642577.7968938,595184971.3024899,484408329.7073844,434924791.3932792,91413703.82213628,10662936.476928847,1186296378.234332,1294154012.0869985,1848635679.4026902,1.0,1.42845106698044
base__memory_um__f0__h1__lightgbm__s0__bottom_up__nn0,base__memory_um__f0__h1__lightgbm__s0,0,1,lightgbm,0,bottom_up,False,2075080793.3826785,4039951599.535236,0.48092113289936866,2.3902200419041493,True,,1491534985.8369813,0.0,True,506790526.9619207,469267932.2761948,1186296378.234332,10662936.476928847,0,0,186441873.22962263,1848635679.4026902,1.2331542080000872,744642577.7968938,595184971.3024899,484408329.7073844,434924791.3932792,91413703.82213628,10662936.476928847,1186296378.234332,1294154012.0869985,1848635679.4026902,1.122493099372157,1.6034264654763384
base__memory_um__f0__h1__lightgbm__s0__wls__nn0,base__memory_um__f0__h1__lightgbm__s0,0,1,lightgbm,0,wls,False,1868845404.0685003,4018469300.736752,0.48642682251312297,2.152664009165261,True,,1491534985.8369813,0.0,True,522887013.1767534,484708473.642953,1185538040.141952,10662984.171288386,4,3,186441873.22962242,1848635679.4026902,1.2331542080000872,744239013.0301677,593827195.7702782,600273706.3443137,434252294.40614957,91415858.37312417,10662984.171288386,1185538040.141952,1294154012.0869985,1848635679.4026902,1.0109322376988525,1.4440672335858498
base__memory_um__f0__h1__lightgbm__s0__mint__nn0,base__memory_um__f0__h1__lightgbm__s0,0,1,lightgbm,0,mint,False,1832887965.9285433,4046036843.300323,0.4793562129740292,2.111245771585437,True,,1491534985.8369813,0.0,True,536030867.676578,497590915.4598068,1185513850.6278994,10663138.184867727,4,3,186473555.20024958,1848635679.4026902,1.2331542080000872,767861465.4476892,593904046.1829299,668851862.2867097,434014786.1918454,91406924.81410441,10663138.184867727,1185513850.6278994,1294154012.0869985,1848635679.4026902,0.9914814402591023,1.416282721229418
base__memory_um__f0__h1__persistence__s0__independent__nn0,base__memory_um__f0__h1__persistence__s0,0,1,persistence,0,independent,False,1294154012.0869985,4459823017.849389,0.36741881096646944,1.4906951415411955,True,,0.0,0.0,True,228518221.43809983,188043701.38596216,428567797.97776705,5845676.481391977,0,0,0.0,1294154012.0869985,0.0001522509992355,427187034.20009667,161552380.5355244,418972285.46350896,428567797.97776705,65390985.46544224,5845676.481391977,92111389.94296762,1294154012.0869985,1294154012.0869985,1.0,1.0
base__memory_um__f0__h1__persistence__s0__bottom_up__nn0,base__memory_um__f0__h1__persistence__s0,0,1,persistence,0,bottom_up,False,1294154012.0869985,4459823017.849389,0.36741881096646944,1.4906951415411955,True,,0.0,0.0,True,228518221.43809983,188043701.38596216,428567797.97776705,5845676.481391977,0,0,0.0,1294154012.0869985,0.0001522509992355,427187034.20009667,161552380.5355244,418972285.46350896,428567797.97776705,65390985.46544224,5845676.481391977,92111389.94296762,1294154012.0869985,1294154012.0869985,1.0,1.0
base__memory_um__f0__h1__persistence__s0__wls__nn0,base__memory_um__f0__h1__persistence__s0,0,1,persistence,0,wls,False,1294154012.0865586,4459823017.84941,0.36741881096646367,1.4906951415406888,True,,0.0,0.0,True,228518221.43881926,188043701.38668662,428567797.97780174,5845676.481391766,3,4,0.01126295263321288,1294154012.0869985,0.0001522509992355,427187034.2040068,161552380.53605923,418972285.4640817,428567797.97780174,65390985.46543195,5845676.481391766,92111389.94296166,1294154012.0869985,1294154012.0869985,0.99999999999966,0.99999999999966
base__memory_um__f0__h1__persistence__s0__mint__nn0,base__memory_um__f0__h1__persistence__s0,0,1,persistence,0,mint,False,1294154012.0890834,4459823017.849302,0.3674188109664941,1.4906951415435972,True,,0.0,0.0,True,228518221.43409243,188043701.3819331,428567797.97819114,5845676.481391611,5,2,0.04781333306320858,1294154012.0869985,0.0001522509992355,427187034.1870127,161552380.5355395,418972285.44812137,428567797.97819114,65390985.4654241,5845676.481391611,92111389.9429664,1294154012.0869985,1294154012.0869985,1.0000000000016112,1.0000000000016112
base__memory_um__f0__h1__ridge__s0__independent__nn0,base__memory_um__f0__h1__ridge__s0,0,1,ridge,0,independent,False,1358694507.6124406,3983294314.436433,0.4953784227346214,1.5650373003676292,True,,465104157.5826315,465104157.5826315,False,261733944.41832024,218129331.6554483,559235518.7529912,5206775.023727161,0,0,0.0,1358694507.6124406,0.0082818350010711,431364487.1115283,230515824.39887717,559235518.7529912,438174764.57702976,60770321.31929644,5206775.023727161,106869919.74479176,1294154012.0869985,1358694507.6124406,1.0,1.0498707997059498
base__memory_um__f0__h1__ridge__s0__bottom_up__nn0,base__memory_um__f0__h1__ridge__s0,0,1,ridge,0,bottom_up,False,1263401149.574385,3954999690.023589,0.5025219406267899,1.4552718902837127,True,,465104157.5826315,0.0,True,261733944.41832024,218129331.6554483,559235518.7529912,5206775.023727161,0,0,58138019.69782894,1358694507.6124406,0.0082818350010711,431364487.1115283,230515824.39887717,559235518.7529912,438174764.57702976,60770321.31929644,5206775.023727161,106869919.74479176,1294154012.0869985,1358694507.6124406,0.9298640294016427,0.9762370921656995
base__memory_um__f0__h1__ridge__s0__wls__nn0,base__memory_um__f0__h1__ridge__s0,0,1,ridge,0,wls,False,1272483790.1684682,3947356183.505546,0.5044429533793491,1.4657338971851406,True,,465104157.5826315,0.0,True,262021246.0064301,219006625.46121138,545227534.6865411,5206878.795829526,3,4,58138019.69782894,1358694507.6124406,0.0082818350010711,451372155.00866246,231261998.37323385,545227534.6865411,433258078.3627446,60767908.09514306,5206878.795829526,107054168.72285607,1294154012.0869985,1358694507.6124406,0.9365488585101697,0.9832552990477663
base__memory_um__f0__h1__ridge__s0__mint__nn0,base__memory_um__f0__h1__ridge__s0,0,1,ridge,0,mint,False,1269417331.1720374,3947477660.571341,0.5044124520820521,1.462201739895497,True,,465104157.5826315,0.0,True,261697154.58173132,218580714.1197467,545639721.5498856,5207276.049724806,3,4,58138019.69782894,1358694507.6124406,0.0082818350010711,448045837.1443784,230943061.6186683,545639721.5498856,434334182.87340605,60767138.43807324,5207276.049724806,106942864.39798288,1294154012.0869985,1358694507.6124406,0.934291942787577,0.980885829133219
base__memory_um__f0__h8__lightgbm__s0__independent__nn0,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,independent,False,1526324191.3500135,4156822097.374131,0.44900834492374464,1.7567630831554606,True,,1792691829.1344185,1792691829.1344185,False,506382941.607602,469080802.04342926,1174995716.2805135,10541962.355750192,0,0,0.0,1526324191.3500135,9.930978084000344,768314281.9730136,576108103.0190681,482459639.59060127,422688790.7335386,109572097.30072917,10541962.355750192,1174995716.2805135,1291570370.298706,1526324191.3500135,1.0,1.1817584441775442
base__memory_um__f0__h8__lightgbm__s0__independent__nn1,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,independent,True,2008866215.1720126,4015877007.333356,0.48573975547747794,2.3121575519883373,True,,1792691829.1344185,0.0,True,506382941.607602,469080802.04342926,1174995716.2805135,10541962.355750192,0,0,224086478.6418023,1526324191.3500135,9.930978084000344,768314281.9730136,576108103.0190681,482459639.59060127,422688790.7335386,109572097.30072917,10541962.355750192,1174995716.2805135,1291570370.298706,1526324191.3500135,1.316146482219611,1.5553672191375953
base__memory_um__f0__h8__lightgbm__s0__bottom_up__nn0,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,bottom_up,False,2008866215.1720126,4015877007.333356,0.48573975547747794,2.3121575519883373,True,,1792691829.1344185,0.0,True,506382941.607602,469080802.04342926,1174995716.2805135,10541962.355750192,0,0,224086478.6418023,1526324191.3500135,9.930978084000344,768314281.9730136,576108103.0190681,482459639.59060127,422688790.7335386,109572097.30072917,10541962.355750192,1174995716.2805135,1291570370.298706,1526324191.3500135,1.316146482219611,1.5553672191375953
base__memory_um__f0__h8__lightgbm__s0__bottom_up__nn1,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,bottom_up,True,2008866215.1720126,4015877007.333356,0.48573975547747794,2.3121575519883373,True,,1792691829.1344185,0.0,True,506382941.607602,469080802.04342926,1174995716.2805135,10541962.355750192,0,0,224086478.6418023,1526324191.3500135,9.930978084000344,768314281.9730136,576108103.0190681,482459639.59060127,422688790.7335386,109572097.30072917,10541962.355750192,1174995716.2805135,1291570370.298706,1526324191.3500135,1.316146482219611,1.5553672191375953
base__memory_um__f0__h8__lightgbm__s0__wls__nn0,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,wls,False,1616183556.0337863,3909966922.8952174,0.5125070807105921,1.860189088880122,True,,1792691829.1344185,0.0,True,535715187.2514022,499294374.7263399,1158612420.2120178,10527356.98445963,5,2,224086478.64180237,1526324191.3500135,9.930978084000344,1007238694.1734155,545449569.6960571,479117120.67330915,442554554.08438474,106506594.93617213,10527356.98445963,1158612420.2120178,1291570370.298706,1526324191.3500135,1.0588730527846075,1.2513321714402645
base__memory_um__f0__h8__lightgbm__s0__wls__nn1,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,wls,True,1616183556.0337863,3909966922.8952174,0.5125070807105921,1.860189088880122,True,,1792691829.1344185,0.0,True,535715187.2514022,499294374.7263399,1158612420.2120178,10527356.98445963,5,2,224086478.64180237,1526324191.3500135,9.930978084000344,1007238694.1734155,545449569.6960571,479117120.67330915,442554554.08438474,106506594.93617213,10527356.98445963,1158612420.2120178,1291570370.298706,1526324191.3500135,1.0588730527846075,1.2513321714402645
base__memory_um__f0__h8__lightgbm__s0__mint__nn0,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,mint,False,1758572960.419478,3929155369.1425643,0.5077105260860358,2.024075929221706,True,,1792691829.1344185,0.0,True,528429739.88751686,490808386.789528,1165246761.1729977,10782417.83497982,4,3,238972623.40256137,1526324191.3500135,9.930978084000344,930336954.0663846,558594845.1512213,478937782.42490375,446499065.84697336,108610352.71515705,10782417.83497982,1165246761.1729977,1291570370.298706,1526324191.3500135,1.1521621490281455,1.361577348675757
base__memory_um__f0__h8__lightgbm__s0__mint__nn1,base__memory_um__f0__h8__lightgbm__s0,0,8,lightgbm,0,mint,True,1758572960.419478,3929155369.1425643,0.5077105260860358,2.024075929221706,True,,1792691829.1344185,0.0,True,528429739.88751686,490808386.789528,1165246761.1729977,10782417.83497982,4,3,238972623.40256137,1526324191.3500135,9.930978084000344,930336954.0663846,558594845.1512213,478937782.42490375,446499065.84697336,108610352.71515705,10782417.83497982,1165246761.1729977,1291570370.298706,1526324191.3500135,1.1521621490281455,1.361577348675757
