base_model,horizon,fold,method,outcome,rel_mae_change,top_mae_ind,top_mae_method,macro_ind,macro_method,macro_rel_change,worst_ind,worst_method,worst_rel_change,coh_ind,coh_method,coh_before
persistence,1,0,bottom_up,tie,0.0,1294154012.0869985,1294154012.0869985,228518221.43809983,228518221.43809983,0.0,428567797.97776705,428567797.97776705,0.0,0.0,0.0,0.0
persistence,1,1,bottom_up,tie,0.0,843922661.6452392,843922661.6452392,157294732.34661326,157294732.34661326,0.0,271525107.0082165,271525107.0082165,0.0,0.0,0.0,0.0
persistence,1,2,bottom_up,tie,0.0,1042314122.8689455,1042314122.8689455,190911648.209273,190911648.209273,0.0,451439811.7956275,451439811.7956275,0.0,0.0,0.0,0.0
persistence,8,0,bottom_up,tie,0.0,1291570370.298706,1291570370.298706,228173977.45051223,228173977.45051223,0.0,427958992.2302576,427958992.2302576,0.0,0.0,0.0,0.0
persistence,8,1,bottom_up,tie,0.0,844465442.1477809,844465442.1477809,157380669.84724358,157380669.84724358,0.0,271687768.66658604,271687768.66658604,0.0,0.0,0.0,0.0
persistence,8,2,bottom_up,tie,0.0,1043003720.7891682,1043003720.7891682,191036776.90411717,191036776.90411717,0.0,451769564.84332687,451769564.84332687,0.0,0.0,0.0,0.0
persistence,16,0,bottom_up,tie,0.0,1285438902.927975,1285438902.927975,227277894.74342436,227277894.74342436,0.0,426683283.0427309,426683283.0427309,0.0,0.0,0.0,0.0
persistence,16,1,bottom_up,tie,0.0,844976853.3901465,844976853.3901465,157471415.92404935,157471415.92404935,0.0,271934026.06367266,271934026.06367266,0.0,0.0,0.0,0.0
persistence,16,2,bottom_up,tie,0.0,1043733133.2584704,1043733133.2584704,191170063.50656894,191170063.50656894,0.0,452192737.76573086,452192737.76573086,0.0,0.0,0.0,0.0
ridge,1,0,bottom_up,win,-0.07013597059835729,1358694507.6124406,1263401149.574385,261733944.41832024,261733944.41832024,0.0,559235518.7529912,559235518.7529912,0.0,465104157.5826315,0.0,465104157.5826315
ridge,1,1,bottom_up,win,-0.05075766082520777,834422178.6472346,792068860.7184273,178183129.56075722,178183129.56075722,0.0,323324236.2392891,323324236.2392891,0.0,301581705.2888302,0.0,301581705.2888302
ridge,1,2,bottom_up,loss,0.039054428069479195,1062872941.5920458,1104382836.436448,224063327.55073184,224063327.55073184,0.0,624311043.0919858,624311043.0919858,0.0,427789448.31166357,0.0,427789448.31166357
ridge,8,0,bottom_up,win,-0.07050773500301602,1357156730.2391167,1261466683.1458573,261400373.5963501,261400373.5963501,0.0,557653013.287769,557653013.287769,0.0,464923296.3696819,0.0,464923296.3696819
ridge,8,1,bottom_up,win,-0.05055352428523689,835005834.3233938,792793346.5996116,178261117.22330353,178261117.22330353,0.0,323284304.3208599,323284304.3208599,0.0,301967643.2167778,0.0,301967643.2167778
ridge,8,2,bottom_up,loss,0.03914281255131552,1063739741.8137753,1105377507.1309767,224244437.99396488,224244437.99396488,0.0,624820134.8466765,624820134.8466765,0.0,428265056.35127103,0.0,428265056.35127103
ridge,16,0,bottom_up,win,-0.07103223696146775,1353419666.8608923,1257283240.3761187,260710830.93452504,260710830.93452504,0.0,556011047.6539077,556011047.6539077,0.0,464949215.46992654,0.0,464949215.46992654
ridge,16,1,bottom_up,win,-0.05104813543099859,835539072.0094448,792886360.3036158,178285454.22070652,178285454.22070652,0.0,323099011.5389217,323099011.5389217,0.0,301682596.29424995,0.0,301682596.29424995
ridge,16,2,bottom_up,loss,0.03915362270927441,1065098498.0995754,1106800962.842381,224455614.59220654,224455614.59220654,0.0,625552604.2462171,625552604.2462171,0.0,428885072.4161675,0.0,428885072.4161675
lightgbm,1,0,bottom_up,loss,0.1224930993721568,1848635679.4026902,2075080793.3826785,506790526.9619207,506790526.9619207,0.0,1186296378.234332,1186296378.234332,0.0,1491534985.8369813,0.0,1491534985.8369813
lightgbm,1,1,bottom_up,win,-0.11554057564022006,1352577183.8579013,1196299637.4371316,238395087.0982274,238395087.0982274,0.0,792462122.9281087,792462122.9281087,0.0,732754784.1564883,0.0,732754784.1564883
lightgbm,1,2,bottom_up,win,-0.07100900256887208,1263368437.7287288,1173657905.0886176,232768082.75907645,232768082.75907645,0.0,543885368.384455,543885368.384455,0.0,763501987.9491076,0.0,763501987.9491076
lightgbm,8,0,bottom_up,loss,0.31614648221961095,1526324191.3500135,2008866215.1720126,506382941.607602,506382941.607602,0.0,1174995716.2805135,1174995716.2805135,0.0,1792691829.1344185,0.0,1792691829.1344185
lightgbm,8,1,bottom_up,win,-0.006460425296858617,1349230704.7903304,1340514100.6138046,255925025.03682604,255925025.03682604,0.0,861639278.7633283,861639278.7633283,0.0,799168503.5116102,0.0,799168503.5116102
lightgbm,8,2,bottom_up,win,-0.07504818149230297,1262294522.4928114,1167561614.072031,232323552.07860938,232323552.07860938,0.0,551178955.4349654,551178955.4349654,0.0,767941323.936843,0.0,767941323.936843
lightgbm,16,0,bottom_up,loss,0.21703032718739804,1735274052.5911322,2111881147.9847877,493552141.9963023,493552141.9963023,0.0,1183450473.6562254,1183450473.6562254,0.0,1522331834.1169596,0.0,1522331834.1169596
lightgbm,16,1,bottom_up,loss,0.037209643211308686,1348125215.317614,1398288473.5837512,265230185.9482822,265230185.9482822,0.0,923669854.1910511,923669854.1910511,0.0,787283428.9104376,0.0,787283428.9104376
lightgbm,16,2,bottom_up,win,-0.10718321583055185,1266339742.2184117,1130609376.3134103,228151917.36735824,228151917.36735824,0.0,550804983.1242969,550804983.1242969,0.0,780548531.5914713,0.0,780548531.5914713
persistence,1,0,wls,tie,-3.3989948208174475e-13,1294154012.0869985,1294154012.0865586,228518221.43809983,228518221.43881926,3.148230622098732e-12,428567797.97776705,428567797.97780174,8.094379331103398e-14,0.0,0.0,0.0
persistence,1,1,wls,tie,2.288350080513033e-13,843922661.6452392,843922661.6454324,157294732.34661326,157294732.34648773,-7.980393241673323e-13,271525107.0082165,271525107.0050003,-1.1844971033702524e-11,0.0,0.0,0.0
persistence,1,2,wls,win,-1.1305457744024406e-12,1042314122.8689455,1042314122.8677671,190911648.209273,190911648.21055382,6.708937989220971e-12,451439811.7956275,451439811.79641336,1.7408461124365932e-12,0.0,0.0,0.0
persistence,8,0,wls,tie,-3.0273725591593824e-13,1291570370.298706,1291570370.298315,228173977.45051223,228173977.45110172,2.5835108079161457e-12,427958992.2302576,427958992.2302296,-6.532069405523232e-14,0.0,0.0,0.0
persistence,8,1,wls,tie,3.2863301708165467e-13,844465442.1477809,844465442.1480584,157380669.84724358,157380669.84928608,1.2978100594076683e-11,271687768.66658604,271687768.6785433,4.4011137663930104e-11,0.0,0.0,0.0
