base_model,horizon,reconciliation_method,nonnegative,fold,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
lightgbm,16,independent,False,0,612104464.1258336,621670547.6122626,479468142.24444956,438453421.074724,109743294.64660837,9974650.614012677,1183450473.6562254,493552141.9963023,452720677.16397387,1183450473.6562254,9974650.614012677,0,0,1735274052.5911322
lightgbm,16,bottom_up,False,0,612104464.1258336,621670547.6122626,479468142.24444956,438453421.074724,109743294.64660837,9974650.614012677,1183450473.6562254,493552141.9963023,452720677.16397387,1183450473.6562254,9974650.614012677,0,0,2111881147.9847877
lightgbm,16,wls,False,0,810009494.6786752,604476706.7870946,476174625.5482568,442614663.15015006,108344545.1318938,9969253.14752402,1174124004.24636,517959041.81285065,478574874.7877197,1174124004.24636,9969253.14752402,5,2,1841620625.6393313
lightgbm,16,mint,False,0,774894214.3584205,611116135.2279369,475548445.5318137,446220286.85821104,108951163.47756685,10045519.209010199,1178029089.1527336,514972121.9736704,474914161.15360963,1178029089.1527336,10045519.209010199,4,3,1896120912.491208
persistence,16,independent,False,0,423129225.3431788,161621168.88512287,416180841.5484808,426683283.0427309,65432657.93487471,5847781.008594601,92050305.44098778,227277894.74342436,186907252.11715588,426683283.0427309,5847781.008594601,0,0,1285438902.927975
persistence,16,bottom_up,False,0,423129225.3431788,161621168.88512287,416180841.5484808,426683283.0427309,65432657.93487471,5847781.008594601,92050305.44098778,227277894.74342436,186907252.11715588,426683283.0427309,5847781.008594601,0,0,1285438902.927975
persistence,16,wls,False,0,423129225.3382584,161621168.88540822,416180841.5483316,426683283.0425798,65432657.93481166,5847781.008594433,92050305.4408794,227277894.7426948,186907252.11640164,426683283.0425798,5847781.008594433,6,1,1285438902.9279616
persistence,16,mint,False,0,423129225.3401203,161621168.88502663,416180841.54850715,426683283.0425937,65432657.934856094,5847781.008594509,92050305.44096375,227277894.74295178,186907252.1166774,426683283.0425937,5847781.008594509,6,1,1285438902.9279926
ridge,16,independent,False,0,428927610.0072468,230430718.20775393,556011047.6539077,436820254.5926554,60799461.13805147,5208271.777877929,106778453.16418195,260710830.93452504,217179470.30972603,556011047.6539077,5208271.777877929,0,0,1353419666.8608923
ridge,16,bottom_up,False,0,428927610.0072468,230430718.20775393,556011047.6539077,436820254.5926554,60799461.13805147,5208271.777877929,106778453.16418195,260710830.93452504,217179470.30972603,556011047.6539077,5208271.777877929,0,0,1257283240.3761187
