run_id,fold,horizon,base_model,reconciliation_method,coherence_before,coherence_after,is_coherent_after,adj_magnitude
base__memory_um__f0__h16__dlinear__s0__independent__nn0,0,16,dlinear,independent,414229236.4238867,414229236.4238867,False,0.0
base__memory_um__f0__h16__dlinear__s0__bottom_up__nn0,0,16,dlinear,bottom_up,414229236.4238867,0.0,True,51778654.55298583
base__memory_um__f0__h16__dlinear__s0__wls__nn0,0,16,dlinear,wls,414229236.4238867,0.0,True,51778654.55298582
base__memory_um__f0__h16__dlinear__s0__mint__nn0,0,16,dlinear,mint,414229236.4238867,0.0,True,51778654.55298581
base__memory_um__f0__h1__dlinear__s0__independent__nn0,0,1,dlinear,independent,405896187.47104925,405896187.47104925,False,0.0
base__memory_um__f0__h1__dlinear__s0__bottom_up__nn0,0,1,dlinear,bottom_up,405896187.47104925,0.0,True,50737023.433881156
base__memory_um__f0__h1__dlinear__s0__wls__nn0,0,1,dlinear,wls,405896187.47104925,0.0,True,50737023.43388117
base__memory_um__f0__h1__dlinear__s0__mint__nn0,0,1,dlinear,mint,405896187.47104925,0.0,True,50738231.70687739
base__memory_um__f0__h8__dlinear__s0__independent__nn0,0,8,dlinear,independent,411277892.719184,411277892.719184,False,0.0
base__memory_um__f0__h8__dlinear__s0__bottom_up__nn0,0,8,dlinear,bottom_up,411277892.719184,0.0,True,51409736.589898005
base__memory_um__f0__h8__dlinear__s0__wls__nn0,0,8,dlinear,wls,411277892.719184,0.0,True,51409736.589898005
base__memory_um__f0__h8__dlinear__s0__mint__nn0,0,8,dlinear,mint,411277892.719184,0.0,True,51409736.58989802
base__memory_um__f1__h16__dlinear__s0__independent__nn0,1,16,dlinear,independent,298993412.82859784,298993412.82859784,False,0.0
base__memory_um__f1__h16__dlinear__s0__bottom_up__nn0,1,16,dlinear,bottom_up,298993412.82859784,0.0,True,37374176.60357473
base__memory_um__f1__h16__dlinear__s0__wls__nn0,1,16,dlinear,wls,298993412.82859784,0.0,True,37374176.603574716
base__memory_um__f1__h16__dlinear__s0__mint__nn0,1,16,dlinear,mint,298993412.82859784,0.0,True,37375450.53891784
base__memory_um__f1__h1__dlinear__s0__independent__nn0,1,1,dlinear,independent,303539149.51929253,303539149.51929253,False,0.0
base__memory_um__f1__h1__dlinear__s0__bottom_up__nn0,1,1,dlinear,bottom_up,303539149.51929253,0.0,True,37942393.68991157
base__memory_um__f1__h1__dlinear__s0__wls__nn0,1,1,dlinear,wls,303539149.51929253,0.0,True,37942393.68991159
base__memory_um__f1__h1__dlinear__s0__mint__nn0,1,1,dlinear,mint,303539149.51929253,0.0,True,37944452.63122504
base__memory_um__f1__h8__dlinear__s0__independent__nn0,1,8,dlinear,independent,287605532.3304146,287605532.3304146,False,0.0
base__memory_um__f1__h8__dlinear__s0__bottom_up__nn0,1,8,dlinear,bottom_up,287605532.3304146,0.0,True,35950691.541301824
base__memory_um__f1__h8__dlinear__s0__wls__nn0,1,8,dlinear,wls,287605532.3304146,0.0,True,35950691.54130185
base__memory_um__f1__h8__dlinear__s0__mint__nn0,1,8,dlinear,mint,287605532.3304146,0.0,True,35951572.220073976
base__memory_um__f2__h16__dlinear__s0__independent__nn0,2,16,dlinear,independent,442752201.4274765,442752201.4274765,False,0.0
base__memory_um__f2__h16__dlinear__s0__bottom_up__nn0,2,16,dlinear,bottom_up,442752201.4274765,0.0,True,55344025.178434566
base__memory_um__f2__h16__dlinear__s0__wls__nn0,2,16,dlinear,wls,442752201.4274765,0.0,True,55344025.17843456
base__memory_um__f2__h16__dlinear__s0__mint__nn0,2,16,dlinear,mint,442752201.4274765,0.0,True,55344694.547627985
base__memory_um__f2__h1__dlinear__s0__independent__nn0,2,1,dlinear,independent,446698754.89137936,446698754.89137936,False,0.0
base__memory_um__f2__h1__dlinear__s0__bottom_up__nn0,2,1,dlinear,bottom_up,446698754.89137936,0.0,True,55837344.36142242
base__memory_um__f2__h1__dlinear__s0__wls__nn0,2,1,dlinear,wls,446698754.89137936,0.0,True,55837344.36142242
base__memory_um__f2__h1__dlinear__s0__mint__nn0,2,1,dlinear,mint,446698754.89137936,0.0,True,55837344.361422405
base__memory_um__f2__h8__dlinear__s0__independent__nn0,2,8,dlinear,independent,422773609.62416166,422773609.62416166,False,0.0
base__memory_um__f2__h8__dlinear__s0__bottom_up__nn0,2,8,dlinear,bottom_up,422773609.62416166,0.0,True,52846701.203020215
base__memory_um__f2__h8__dlinear__s0__wls__nn0,2,8,dlinear,wls,422773609.62416166,0.0,True,52846701.20302018
base__memory_um__f2__h8__dlinear__s0__mint__nn0,2,8,dlinear,mint,422773609.62416166,0.0,True,52846701.20302019
