horizon,reconciliation_method,mean_cluster_mae,std_cluster_mae,mean_rmse,mean_r2,mean_mase,mase_valid_all,coherence_before,coherence_after,rel_vs_dlin_ind,rel_vs_pers_ind,rel_vs_ridge_ind,rel_vs_ridge_wls,rel_vs_ridge_mint,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved,machines_degraded,adj_magnitude,wall_train
1,bottom_up,1060632667.7894378,248667598.78963542,3369928082.6415734,0.4914872067354414,1.1138654076317127,True,385378030.62724036,0.0,0.9990937677333088,0.997114378077165,0.9781414559077133,1.0186588966220802,1.019566660940382,223620488.52937987,187524223.30472985,497938892.1559424,4759622.066334047,0.0,0.0,48172253.828405045,2.378119555000012
1,independent,1058097901.6477107,226335539.94875118,3358990752.9165573,0.49490166340778496,1.1120321713794603,True,385378030.62724036,385378030.62724036,1.0,0.997821462112554,0.9793259223277926,1.0206511407136032,1.0215441190711316,223620488.52937987,187524223.30472985,497938892.1559424,4759622.066334047,0.0,0.0,0.0,2.378119555000012
1,mint,1037228513.9174322,240954848.47186744,3351193189.0613804,0.49731790327422504,1.0901566547955346,True,385378030.62724036,0.0,0.9774264966474915,0.9754050975416814,0.9569166194879336,0.9969534188336268,0.997841893035322,222409627.19932315,186847252.0285441,482485999.6344025,4759609.202325226,4.333333333333333,2.6666666666666665,48173342.89984161,2.378119555000012
1,wls,1036811493.771368,240022733.2688452,3350692451.666025,0.4974226557990538,1.0896207005613583,True,385378030.62724036,0.0,0.9771407552764663,0.9751235433942895,0.9566539770827777,0.9966543604262018,0.9975417139824589,222873145.9494954,187321518.45362246,484275381.6552394,4759624.155640728,4.333333333333333,2.6666666666666665,48172253.82840506,2.378119555000012
8,bottom_up,1050702256.1338778,230513677.24661368,3367421270.7683144,0.4918187632151268,1.1009002815323883,True,373885678.2245867,0.0,0.9779337467413461,0.9904622186163442,0.9715639988851338,1.0096520961495008,1.0108567549713345,222170256.61831626,186101374.7137469,489979504.5601778,4844702.876642412,0.0,0.0,46735709.77807335,2.0164735973324546
8,independent,1078226408.7703092,259116168.55692446,3367810236.7376,0.4924935470114398,1.1347879015849853,True,373885678.2245867,373885678.2245867,1.0,1.0134668807709712,0.9938262898565823,1.0343768030506781,1.0356566533685785,222170256.61831626,186101374.7137469,489979504.5601778,4844702.876642412,0.0,0.0,0.0,2.0164735973324546
8,mint,1038913631.0179077,236461822.9952736,3353177199.4322987,0.4965319916094788,1.0906964102009649,True,373885678.2245867,0.0,0.965208188728634,0.9778761033327047,0.9590552388134999,0.9972978102347589,0.9985087686971769,222429952.75708017,187006807.78588542,482620930.5281513,4845051.150759529,3.6666666666666665,3.3333333333333335,46736003.33766407,2.0164735973324546
8,wls,1041649745.8011246,239850394.95386073,3353792332.691485,0.4963431536820419,1.0937424038027181,True,373885678.2245867,0.0,0.9673247763414795,0.9800725480883519,0.9611567354581033,0.9994985803884271,1.0007157936820084,223195527.10091308,187758926.74584714,484022524.34323615,4844861.480746969,3.3333333333333335,3.6666666666666665,46735709.77807334,2.0164735973324546
16,bottom_up,1054990368.9334902,225648334.85137704,3366146853.0118356,0.49090612340976514,1.104837222158549,True,385324950.22665375,0.0,0.9763439176629521,0.9965358699651733,0.9767699521364505,1.015150089510545,1.0162582820935142,223070179.39180374,187384264.29057744,499596452.50323266,4764117.053176779,0.0,0.0,48165618.778331704,1.9495223753331932
16,independent,1084207826.3120816,252907769.37316668,3367792424.7378316,0.4912619878020681,1.1406770962330144,True,385324950.22665375,385324950.22665375,1.0,1.0212990755736329,1.0007210355237939,1.0417190108542889,1.04289801003071,223070179.39180374,187384264.29057744,499596452.50323266,4764117.053176779,0.0,0.0,0.0,1.9495223753331932
16,mint,1042465539.1172558,231575522.2941324,3352223081.831408,0.4955581182579744,1.0940322831063123,True,385324950.22665375,0.0,0.962916758273456,0.9831317999541088,0.9634397700726067,1.0019904464275384,1.00310495911343,223110798.14171755,188140914.396947,490586021.69716144,4764408.328914229,4.0,3.0,48166266.54651055,1.9495223753331932
16,wls,1044916143.4172401,234671174.7144188,3352802070.2638087,0.49538194821286,1.0967597588953968,True,385324950.22665375,0.0,0.9647993090057488,0.9850954161872609,0.9653133163863378,1.0039522334560427,1.0050720138068,223938956.99174738,188941997.22218263,492349577.92394,4764239.41404911,3.0,4.0,48165618.7783317,1.9495223753331932
