run_id,base_run_id,fold,horizon,base_model,reconciliation_method,top_mae,top_rmse,top_r2,top_mase,mase_valid,coherence_before,coherence_after,is_coherent_after,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,adj_magnitude,ind_top_mae,wall_train_sec_sum,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,pers_ind_mae,ridge_ind_mae,ridge_wls_mae,ridge_mint_mae,dlin_ind_mae,rel_vs_dlin_ind,rel_vs_pers_ind,rel_vs_ridge_ind,rel_vs_ridge_wls,rel_vs_ridge_mint
base__memory_um__f0__h16__dlinear__s0__independent__nn0,base__memory_um__f0__h16__dlinear__s0,0,16,dlinear,independent,1349931371.2096462,3957551839.5357695,0.4972247603641614,1.5524130203372697,True,414229236.4238867,414229236.4238867,False,261870716.21953335,218891128.81444022,545422081.7846897,5143789.417240438,0,0,0.0,1349931371.2096462,1.1813521669992042,454853978.4493598,223030675.7984921,545422081.7846897,433418762.4192545,63211939.22143862,5143789.417240438,108013786.44625838,1285438902.927975,1353419666.8608923,1273487701.6344788,1269524914.210364,1349931371.2096462,1.0,1.050171554738829,0.9974226060573386,1.0600270183033997,1.0633358637544301
base__memory_um__f0__h16__dlinear__s0__bottom_up__nn0,base__memory_um__f0__h16__dlinear__s0,0,16,dlinear,bottom_up,1245082125.597914,3932820697.6173573,0.503488913053463,1.4318370136367666,True,414229236.4238867,0.0,True,261870716.21953335,218891128.81444022,545422081.7846897,5143789.417240438,0,0,51778654.55298583,1349931371.2096462,1.1813521669992042,454853978.4493598,223030675.7984921,545422081.7846897,433418762.4192545,63211939.22143862,5143789.417240438,108013786.44625838,1285438902.927975,1353419666.8608923,1273487701.6344788,1269524914.210364,1349931371.2096462,0.9223299436935235,0.9686046709508043,0.9199527360835126,0.9776946601053884,0.9807465073439277
base__memory_um__f0__h16__dlinear__s0__wls__nn0,base__memory_um__f0__h16__dlinear__s0,0,16,dlinear,wls,1268714690.5064023,3929480350.8487263,0.5043319796458814,1.4590143222395202,True,414229236.4238867,0.0,True,267048263.310882,224749242.82770064,544432314.8144474,5144106.585199433,2,5,51778654.55298582,1349931371.2096462,1.1813521669992042,494373028.4707784,226080599.4386815,544432314.8144474,427188696.4294212,63256248.82893333,5144106.585199433,108862848.60871267,1285438902.927975,1353419666.8608923,1273487701.6344788,1269524914.210364,1349931371.2096462,0.9398364372920178,0.9869894925511603,0.9374141085514489,0.9962520163155478,0.9993617898357939
base__memory_um__f0__h16__dlinear__s0__mint__nn0,base__memory_um__f0__h16__dlinear__s0,0,16,dlinear,mint,1262612695.8106487,3928712513.076,0.5045256721497464,1.4519970647568465,True,414229236.4238867,0.0,True,265480675.08017918,223274758.6661557,543836456.1874857,5144818.126910666,3,4,51778654.55298581,1349931371.2096462,1.1813521669992042,487334411.55644804,224601263.22982153,543836456.1874857,425936504.42107075,63211189.49274374,5144818.126910666,108300082.54677366,1285438902.927975,1353419666.8608923,1273487701.6344788,1269524914.210364,1349931371.2096462,0.9353162114302499,0.9822424799301369,0.9329055330924366,0.9914604547732401,0.9945552715647059
base__memory_um__f0__h1__dlinear__s0__independent__nn0,base__memory_um__f0__h1__dlinear__s0,0,1,dlinear,independent,1288970217.5265772,3945064138.502392,0.5050182798689824,1.4847240922736467,True,405896187.47104925,405896187.47104925,False,269954482.4285871,225153559.34342843,548074446.1739744,5147270.714001471,0,0,0.0,1288970217.5265772,2.177500207999401,435879160.5994882,257772018.91407412,548074446.1739744,448668427.54464847,61474768.71942239,5147270.714001471,132665284.3345005,1294154012.0869985,1358694507.6124406,1272483790.1684682,1269417331.1720374,1288970217.5265772,1.0,0.995994453123812,0.9486828792674035,1.0129561000976888,1.0154030403354324
base__memory_um__f0__h1__dlinear__s0__bottom_up__nn0,base__memory_um__f0__h1__dlinear__s0,0,1,dlinear,bottom_up,1294588434.3318505,3960986380.1681423,0.5010147338921771,1.4911955388074638,True,405896187.47104925,0.0,True,269954482.4285871,225153559.34342843,548074446.1739744,5147270.714001471,0,0,50737023.433881156,1288970217.5265772,2.177500207999401,435879160.5994882,257772018.91407412,548074446.1739744,448668427.54464847,61474768.71942239,5147270.714001471,132665284.3345005,1294154012.0869985,1358694507.6124406,1272483790.1684682,1269417331.1720374,1288970217.5265772,1.0043586862821812,1.0003356804837713,0.9528178903194066,1.0173712579556364,1.0198288636382276
base__memory_um__f0__h1__dlinear__s0__wls__nn0,base__memory_um__f0__h1__dlinear__s0,0,1,dlinear,wls,1272621477.3740215,3940183331.8807044,0.5062422982872834,1.4658924947295238,True,405896187.47104925,0.0,True,270074328.9517489,225425436.96192393,542870484.0337868,5147203.754422725,6,1,50737023.43388117,1288970217.5265772,2.177500207999401,443553507.172242,257040465.71039638,542870484.0337868,448044390.3829055,61444824.89750237,5147203.754422725,132419426.71098647,1294154012.0869985,1358694507.6124406,1272483790.1684682,1269417331.1720374,1288970217.5265772,0.987316432970866,0.9833616907169705,0.9366501963788236,1.0001082035045297,1.0025241078117515
base__memory_um__f0__h1__dlinear__s0__mint__nn0,base__memory_um__f0__h1__dlinear__s0,0,1,dlinear,mint,1274651157.037978,3942358752.562083,0.5056969291278418,1.4682304186440551,True,405896187.47104925,0.0,True,269953063.9497292,225293647.42618492,542670741.6845521,5147427.0588790625,5,2,50738231.70687739,1288970217.5265772,2.177500207999401,442498882.55906785,257308972.20639473,542670741.6845521,448022099.75630295,61459980.5174719,5147427.0588790625,132563343.86543603,1294154012.0869985,1358694507.6124406,1272483790.1684682,1269417331.1720374,1288970217.5265772,0.9888910850740397,0.9849300354773313,0.9381440418699069,1.001703256957971,1.0041230143447846
base__memory_um__f0__h8__dlinear__s0__independent__nn0,base__memory_um__f0__h8__dlinear__s0,0,8,dlinear,independent,1351523873.7521622,3972077490.022633,0.496896231899538,1.5555720474501664,True,411277892.719184,411277892.719184,False,262265333.2811841,218348592.37683824,549070948.1062276,5305230.137884272,0,0,0.0,1351523873.7521622,1.2366267499983223,439949726.65833753,217030184.59553775,549070948.1062276,448474465.4354594,62088727.5072756,5305230.137884272,113938050.52756637,1291570370.298706,1357156730.239117,1277394243.230091,1273086565.0781949,1351523873.7521622,1.0,1.0464190762130836,0.9958495165949166,1.0580319121641122,1.061611920843065
base__memory_um__f0__h8__dlinear__s0__bottom_up__nn0,base__memory_um__f0__h8__dlinear__s0,0,8,dlinear,bottom_up,1250599025.5425317,3949219523.0053005,0.5026699562329187,1.4394099316214661,True,411277892.719184,0.0,True,262265333.2811841,218348592.37683824,549070948.1062276,5305230.137884272,0,0,51409736.589898005,1351523873.7521622,1.2366267499983223,439949726.65833753,217030184.59553775,549070948.1062276,448474465.4354594,62088727.5072756,5305230.137884272,113938050.52756637,1291570370.298706,1357156730.239117,1277394243.230091,1273086565.0781949,1351523873.7521622,0.9253251458078663,0.9682778842730042,0.9214845991458843,0.9790235333926326,0.9823362054454782
base__memory_um__f0__h8__dlinear__s0__wls__nn0,base__memory_um__f0__h8__dlinear__s0,0,8,dlinear,wls,1273168433.9610877,3945481946.373629,0.5036108659707532,1.4653867874841175,True,411277892.719184,0.0,True,267428650.15255406,224284532.64433295,548077883.7986716,5305675.878919481,2,5,51409736.589898005,1351523873.7521622,1.2366267499983223,480713395.53771144,219724025.48221272,548077883.7986716,441300967.41917205,62141176.399395086,5305675.878919481,114737426.55179611,1291570370.298706,1357156730.239117,1277394243.230091,1273086565.0781949,1351523873.7521622,0.9420243761040339,0.9857522774129895,0.9381145195638301,0.9966918519545557,1.0000643073967934
base__memory_um__f0__h8__dlinear__s0__mint__nn0,base__memory_um__f0__h8__dlinear__s0,0,8,dlinear,mint,1266422328.8764336,3944763140.2643356,0.5037917184215077,1.457622179915836,True,411277892.719184,0.0,True,265909607.69162026,222825484.8896081,547584167.8624038,5306360.397280025,2,5,51409736.58989802,1351523873.7521622,1.2366267499983223,473448819.22367275,218326091.48731923,547584167.8624038,440415285.4465189,62094588.86170971,5306360.397280025,114191940.56243752,1291570370.298706,1357156730.239117,1277394243.230091,1273086565.0781949,1351523873.7521622,0.9370328955866197,0.9805290969810213,0.9331437561034702,0.9914107062781861,0.9947652921768506
base__memory_um__f1__h16__dlinear__s0__independent__nn0,base__memory_um__f1__h16__dlinear__s0,1,16,dlinear,independent,846438532.3283072,2877241343.7153134,0.5362291874178396,0.8689679283428529,True,298993412.82859784,298993412.82859784,False,178379845.79303184,150275758.2697989,323826852.0686276,4541143.957021798,0,0,0.0,846438532.3283072,1.9594209159995444,323826852.0686276,118257904.00369611,315870699.556846,299131061.45309836,56792307.96881221,4541143.957021798,130238951.54312076,844976853.3901465,835539072.0094448,787972211.0399096,788200179.1092962,846438532.3283072,1.0,1.0017298449446232,1.0130448242146828,1.0741984558202096,1.0738877695826243
base__memory_um__f1__h16__dlinear__s0__bottom_up__nn0,base__memory_um__f1__h16__dlinear__s0,1,16,dlinear,bottom_up,805620111.2654964,2855513291.443159,0.543207251928594,0.8270630558276454,True,298993412.82859784,0.0,True,178379845.79303184,150275758.2697989,323826852.0686276,4541143.957021798,0,0,37374176.60357473,846438532.3283072,1.9594209159995444,323826852.0686276,118257904.00369611,315870699.556846,299131061.45309836,56792307.96881221,4541143.957021798,130238951.54312076,844976853.3901465,835539072.0094448,787972211.0399096,788200179.1092962,846438532.3283072,0.9517762725776069,0.9534226979511377,0.9641920267450876,1.0223966022891802,1.0221008985000302
base__memory_um__f1__h16__dlinear__s0__wls__nn0,base__memory_um__f1__h16__dlinear__s0,1,16,dlinear,wls,800705804.6421564,2852487288.8371325,0.5441748703656577,0.8220179466051497,True,298993412.82859784,0.0,True,177859003.6910645,150563577.41675118,332536005.22984236,4541157.155707574,3,4,37374176.603574716,846438532.3283072,1.9594209159995444,332536005.22984236,118221435.76862875,312052236.35555214,290626159.3558443,56793494.7716472,4541157.155707574,130242537.20022917,844976853.3901465,835539072.0094448,787972211.0399096,788200179.1092962,846438532.3283072,0.9459704090262133,0.9476067911560305,0.9583104267242517,1.0161599526275702,1.0158660526403231
base__memory_um__f1__h16__dlinear__s0__mint__nn0,base__memory_um__f1__h16__dlinear__s0,1,16,dlinear,mint,800943702.60157,2852580170.157878,0.5441451851645882,0.8222621766219236,True,298993412.82859784,0.0,True,177837218.94399452,150527517.40016994,331710457.69678426,4541027.953976705,4,3,37375450.53891784,846438532.3283072,1.9594209159995444,331710457.69678426,118230765.72874717,312729224.5555402,290614156.590246,56794009.2633364,4541027.953976705,130240890.81933083,844976853.3901465,835539072.0094448,787972211.0399096,788200179.1092962,846438532.3283072,0.946251466599005,0.9478883349148438,0.9585951506436748,1.01646186423826,1.0161678769302926
base__memory_um__f1__h1__dlinear__s0__independent__nn0,base__memory_um__f1__h1__dlinear__s0,1,1,dlinear,independent,836589801.3086051,2867150182.7298512,0.5387808720082927,0.8573248490880949,True,303539149.51929253,303539149.51929253,False,178494246.02162883,149803462.7639448,328854318.090123,4540100.214122165,0,0,0.0,836589801.3086051,2.185940041000322,310634180.3999179,117851994.00601266,328854318.090123,303374379.771622,56311693.696724415,4540100.214122165,127893055.97287975,843922661.6452392,834422178.6472346,787020827.6599429,787248084.4787565,836589801.3086051,1.0,0.9913109806503612,1.0025977529323162,1.0629830519175028,1.0626761980151633
base__memory_um__f1__h1__dlinear__s0__bottom_up__nn0,base__memory_um__f1__h1__dlinear__s0,1,1,dlinear,bottom_up,799487870.2696177,2849186520.3198338,0.5445421537328827,0.8193033391687513,True,303539149.51929253,0.0,True,178494246.02162883,149803462.7639448,328854318.090123,4540100.214122165,0,0,37942393.68991157,836589801.3086051,2.185940041000322,310634180.3999179,117851994.00601266,328854318.090123,303374379.771622,56311693.696724415,4540100.214122165,127893055.97287975,843922661.6452392,834422178.6472346,787020827.6599429,787248084.4787565,836589801.3086051,0.9556509881175314,0.9473473181902767,0.9581335332741846,1.0158408039171507,1.0155475586821723
base__memory_um__f1__h1__dlinear__s0__wls__nn0,base__memory_um__f1__h1__dlinear__s0,1,1,dlinear,wls,792786911.0619098,2843815929.5196085,0.5462575713283054,0.8124362953289778,True,303539149.51929253,0.0,True,177809120.0540493,149937442.2836439,322746810.76172173,4540120.13542782,3,4,37942393.68991159,836589801.3086051,2.185940041000322,322746810.76172173,117819810.01548268,319548770.61418045,295798493.79925317,56313374.63029379,4540120.13542782,127896460.42198555,843922661.6452392,834422178.6472346,787020827.6599429,787248084.4787565,836589801.3086051,0.947641137654107,0.9394070654725167,0.9501028751982313,1.007326468626137,1.0070356812450303
base__memory_um__f1__h1__dlinear__s0__mint__nn0,base__memory_um__f1__h1__dlinear__s0,1,1,dlinear,mint,792890342.5107149,2843829666.3187456,0.5462531877930761,0.8125422903472043,True,303539149.51929253,0.0,True,177528654.64329857,149642544.6410825,321138315.97130764,4539817.4621969545,4,3,37944452.63122504,836589801.3086051,2.185940041000322,321138315.97130764,117829658.18092915,319188441.9727634,295794869.6466437,56314049.74509446,4539817.4621969545,127895429.52415435,843922661.6452392,834422178.6472346,787020827.6599429,787248084.4787565,836589801.3086051,0.9477647722581187,0.9395296258130619,0.9502268309743982,1.007457890114832,1.0071670647959647
base__memory_um__f1__h8__dlinear__s0__independent__nn0,base__memory_um__f1__h8__dlinear__s0,1,8,dlinear,independent,836114125.5450646,2869480259.5261903,0.5383460718590135,0.8566323688685371,True,287605532.3304146,287605532.3304146,False,177605775.0677328,149348562.6727302,316219021.5783459,4634760.402473933,0,0,0.0,836114125.5450646,2.1205852510001932,315486534.9893914,118772129.26548038,316219021.5783459,300414781.62555605,56390318.3805749,4634760.402473933,131322879.23230718,844465442.1477809,835005834.3233938,787653614.2190269,787864181.2173144,836114125.5450646,1.0,0.9901105288791026,1.0013272856022244,1.0615251557933714,1.0612414493234101
base__memory_um__f1__h8__dlinear__s0__bottom_up__nn0,base__memory_um__f1__h8__dlinear__s0,1,8,dlinear,bottom_up,798545078.7047428,2854733505.8781943,0.5430789172925852,0.818141377498217,True,287605532.3304146,0.0,True,177605775.0677328,149348562.6727302,316219021.5783459,4634760.402473933,0,0,35950691.541301824,836114125.5450646,2.1205852510001932,315486534.9893914,118772129.26548038,316219021.5783459,300414781.62555605,56390318.3805749,4634760.402473933,131322879.23230718,844465442.1477809,835005834.3233938,787653614.2190269,787864181.2173144,836114125.5450646,0.9550670827193233,0.9456219743862507,0.956334729507375,1.0138277337767503,1.0135567750661358
