horizon,fold,method,outcome,rel_mae_change,macro_rel_change,worst_rel_change,coh_before,coh_after,coh_reduction,top_mae_ind,top_mae_method
1,0,bottom_up,loss,0.004358686282181266,0.0,0.0,405896187.47104925,0.0,405896187.47104925,1288970217.5265772,1294588434.3318505
1,1,bottom_up,win,-0.044349011882468634,0.0,0.0,303539149.51929253,0.0,303539149.51929253,836589801.3086051,799487870.2696177
1,2,bottom_up,loss,0.037271628800213855,0.0,0.0,446698754.89137936,0.0,446698754.89137936,1048733686.1079497,1087821698.7668452
8,0,bottom_up,win,-0.07467485419213374,0.0,0.0,411277892.719184,0.0,411277892.719184,1351523873.7521622,1250599025.5425317
8,1,bottom_up,win,-0.04493291728067677,0.0,0.0,287605532.3304146,0.0,287605532.3304146,836114125.5450646,798545078.7047428
8,2,bottom_up,loss,0.053409011696848786,0.0,0.0,422773609.62416166,0.0,422773609.62416166,1047041227.013701,1102962664.1543586
16,0,bottom_up,win,-0.0776700563064765,0.0,0.0,414229236.4238867,0.0,414229236.4238867,1349931371.2096462,1245082125.597914
16,1,bottom_up,win,-0.04822372742239313,0.0,0.0,298993412.82859784,0.0,298993412.82859784,846438532.3283072,805620111.2654964
16,2,bottom_up,loss,0.054925536717726174,0.0,0.0,442752201.4274765,0.0,442752201.4274765,1056253575.3982915,1114268869.9370599
1,0,wls,win,-0.012683567029133945,0.00044395085454279257,-0.009494991376656403,405896187.47104925,0.0,405896187.47104925,1288970217.5265772,1272621477.3740215
1,1,wls,win,-0.05235886234589306,-0.003838364445072893,-0.018572075817254424,303539149.51929253,0.0,303539149.51929253,836589801.3086051,792786911.0619098
1,2,wls,win,-0.0035353047955737943,-0.007538904097007534,-0.048110947623364146,446698754.89137936,0.0,446698754.89137936,1048733686.1079497,1045026092.8781725
8,0,wls,win,-0.05797562389596609,0.019687378452851716,-0.0018086265736352654,411277892.719184,0.0,411277892.719184,1351523873.7521622,1273168433.9610877
8,1,wls,win,-0.05006232601772545,-0.0012505295433670608,0.028093209642125142,287605532.3304146,0.0,287605532.3304146,836114125.5450646,794256307.6040021
8,2,wls,loss,0.010012278938129756,-0.008230704821869732,-0.04260571511352122,422773609.62416166,0.0,422773609.62416166,1047041227.013701,1057524495.8382838
16,0,wls,win,-0.06016356270798222,0.019771386301201274,-0.0018146807826401525,414229236.4238867,0.0,414229236.4238867,1349931371.2096462,1268714690.5064023
16,1,wls,win,-0.05402959097378673,-0.0029198483699310425,0.02689447495036349,298993412.82859784,0.0,298993412.82859784,846438532.3283072,800705804.6421564
16,2,wls,loss,0.008591080699015244,-0.008955155498846176,-0.046796057603014564,442752201.4274765,0.0,442752201.4274765,1056253575.3982915,1065327935.1031616
1,0,mint,win,-0.01110891492596031,-5.254511223943504e-06,-0.009859435204733176,405896187.47104925,0.0,405896187.47104925,1288970217.5265772,1274651157.037978
1,1,mint,win,-0.05223522774188127,-0.005409649889852786,-0.023463283570753602,303539149.51929253,0.0,303539149.51929253,836589801.3086051,792890342.5107149
1,2,mint,win,-0.004376367389684173,-0.01198480881663304,-0.05388170249217756,446698754.89137936,0.0,446698754.89137936,1048733686.1079497,1044144042.2036036
8,0,mint,win,-0.0629671044133803,0.013895372159342903,-0.002707810801048322,411277892.719184,0.0,411277892.719184,1351523873.7521622,1266422328.8764336
8,1,mint,win,-0.04987239463110624,-0.001853846862892186,0.02538352367238132,287605532.3304146,0.0,287605532.3304146,836114125.5450646,794415111.9192388
8,2,mint,loss,0.008464065230388479,-0.011189268764134681,-0.04732616187749914,422773609.62416166,0.0,422773609.62416166,1047041227.013701,1055903452.2580509
16,0,mint,win,-0.06468378856975006,0.013785271269581375,-0.002907153285792177,414229236.4238867,0.0,414229236.4238867,1349931371.2096462,1262612695.8106487
16,1,mint,win,-0.053748533400994926,-0.003041973977637088,0.024345126346983464,298993412.82859784,0.0,298993412.82859784,846438532.3283072,800943702.60157
16,2,mint,loss,0.007182596791112981,-0.012864588000184233,-0.052942227689826885,442752201.4274765,0.0,442752201.4274765,1056253575.3982915,1063840218.9395489
