fold,horizon,reconciliation_method,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
0,16,independent,454853978.4493598,223030675.7984921,545422081.7846897,433418762.4192545,63211939.22143862,5143789.417240438,108013786.44625838,261870716.21953335,218891128.81444022,545422081.7846897,5143789.417240438,0,0,1349931371.2096462
0,16,bottom_up,454853978.4493598,223030675.7984921,545422081.7846897,433418762.4192545,63211939.22143862,5143789.417240438,108013786.44625838,261870716.21953335,218891128.81444022,545422081.7846897,5143789.417240438,0,0,1245082125.597914
0,16,wls,494373028.4707784,226080599.4386815,544432314.8144474,427188696.4294212,63256248.82893333,5144106.585199433,108862848.60871267,267048263.310882,224749242.82770064,544432314.8144474,5144106.585199433,2,5,1268714690.5064023
0,16,mint,487334411.55644804,224601263.22982153,543836456.1874857,425936504.42107075,63211189.49274374,5144818.126910666,108300082.54677366,265480675.08017918,223274758.6661557,543836456.1874857,5144818.126910666,3,4,1262612695.8106487
0,1,independent,435879160.5994882,257772018.91407412,548074446.1739744,448668427.54464847,61474768.71942239,5147270.714001471,132665284.3345005,269954482.4285871,225153559.34342843,548074446.1739744,5147270.714001471,0,0,1288970217.5265772
0,1,bottom_up,435879160.5994882,257772018.91407412,548074446.1739744,448668427.54464847,61474768.71942239,5147270.714001471,132665284.3345005,269954482.4285871,225153559.34342843,548074446.1739744,5147270.714001471,0,0,1294588434.3318505
0,1,wls,443553507.172242,257040465.71039638,542870484.0337868,448044390.3829055,61444824.89750237,5147203.754422725,132419426.71098647,270074328.9517489,225425436.96192393,542870484.0337868,5147203.754422725,6,1,1272621477.3740215
0,1,mint,442498882.55906785,257308972.20639473,542670741.6845521,448022099.75630295,61459980.5174719,5147427.0588790625,132563343.86543603,269953063.9497292,225293647.42618492,542670741.6845521,5147427.0588790625,5,2,1274651157.037978
0,8,independent,439949726.65833753,217030184.59553775,549070948.1062276,448474465.4354594,62088727.5072756,5305230.137884272,113938050.52756637,262265333.2811841,218348592.37683824,549070948.1062276,5305230.137884272,0,0,1351523873.7521622
0,8,bottom_up,439949726.65833753,217030184.59553775,549070948.1062276,448474465.4354594,62088727.5072756,5305230.137884272,113938050.52756637,262265333.2811841,218348592.37683824,549070948.1062276,5305230.137884272,0,0,1250599025.5425317
0,8,wls,480713395.53771144,219724025.48221272,548077883.7986716,441300967.41917205,62141176.399395086,5305675.878919481,114737426.55179611,267428650.15255406,224284532.64433295,548077883.7986716,5305675.878919481,2,5,1273168433.9610877
0,8,mint,473448819.22367275,218326091.48731923,547584167.8624038,440415285.4465189,62094588.86170971,5306360.397280025,114191940.56243752,265909607.69162026,222825484.8896081,547584167.8624038,5306360.397280025,2,5,1266422328.8764336
1,16,independent,323826852.0686276,118257904.00369611,315870699.556846,299131061.45309836,56792307.96881221,4541143.957021798,130238951.54312076,178379845.79303184,150275758.2697989,323826852.0686276,4541143.957021798,0,0,846438532.3283072
1,16,bottom_up,323826852.0686276,118257904.00369611,315870699.556846,299131061.45309836,56792307.96881221,4541143.957021798,130238951.54312076,178379845.79303184,150275758.2697989,323826852.0686276,4541143.957021798,0,0,805620111.2654964
1,16,wls,332536005.22984236,118221435.76862875,312052236.35555214,290626159.3558443,56793494.7716472,4541157.155707574,130242537.20022917,177859003.6910645,150563577.41675118,332536005.22984236,4541157.155707574,3,4,800705804.6421564
1,16,mint,331710457.69678426,118230765.72874717,312729224.5555402,290614156.590246,56794009.2633364,4541027.953976705,130240890.81933083,177837218.94399452,150527517.40016994,331710457.69678426,4541027.953976705,4,3,800943702.60157
1,1,independent,310634180.3999179,117851994.00601266,328854318.090123,303374379.771622,56311693.696724415,4540100.214122165,127893055.97287975,178494246.02162883,149803462.7639448,328854318.090123,4540100.214122165,0,0,836589801.3086051
1,1,bottom_up,310634180.3999179,117851994.00601266,328854318.090123,303374379.771622,56311693.696724415,4540100.214122165,127893055.97287975,178494246.02162883,149803462.7639448,328854318.090123,4540100.214122165,0,0,799487870.2696177
1,1,wls,322746810.76172173,117819810.01548268,319548770.61418045,295798493.79925317,56313374.63029379,4540120.13542782,127896460.42198555,177809120.0540493,149937442.2836439,322746810.76172173,4540120.13542782,3,4,792786911.0619098
1,1,mint,321138315.97130764,117829658.18092915,319188441.9727634,295794869.6466437,56314049.74509446,4539817.4621969545,127895429.52415435,177528654.64329857,149642544.6410825,321138315.97130764,4539817.4621969545,4,3,792890342.5107149
1,8,independent,315486534.9893914,118772129.26548038,316219021.5783459,300414781.62555605,56390318.3805749,4634760.402473933,131322879.23230718,177605775.0677328,149348562.6727302,316219021.5783459,4634760.402473933,0,0,836114125.5450646
1,8,bottom_up,315486534.9893914,118772129.26548038,316219021.5783459,300414781.62555605,56390318.3805749,4634760.402473933,131322879.23230718,177605775.0677328,149348562.6727302,316219021.5783459,4634760.402473933,0,0,798545078.7047428
1,8,wls,325102628.84437406,118740590.86897095,310503960.9767003,294990956.66816145,56391137.03876798,4634780.622343329,131321661.57324791,177383673.798938,149715079.32075864,325102628.84437406,4634780.622343329,4,3,794256307.6040021
1,8,mint,324245774.5982371,118748812.91419695,310536754.79281205,295056482.5198078,56391339.75816247,4634643.192517111,131321840.33581018,177276521.15879196,149592818.38285932,324245774.5982371,4634643.192517111,5,2,794415111.9192388
2,16,independent,263348701.24592417,116517024.16187097,629540423.6563805,365157847.7849238,55994165.475802794,4607417.785268101,167554253.02975148,228959976.162846,192985905.78749323,629540423.6563805,4607417.785268101,0,0,1056253575.3982915
2,16,bottom_up,263348701.24592417,116517024.16187097,629540423.6563805,365157847.7849238,55994165.475802794,4607417.785268101,167554253.02975148,228959976.162846,192985905.78749323,629540423.6563805,4607417.785268101,0,0,1114268869.9370599
