run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__cpu_core_weighted__f0__h1__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001773749982021,335.22221582881184
base__cpu_core_weighted__f0__h1__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0111302490004163,315.4751253809486
base__cpu_core_weighted__f0__h1__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,1,32,lightgbm,0,abe0cd1cb9555ccb,6.654239291001431,261.83698941467105
base__cpu_core_weighted__f0__h8__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002356250006414,328.197531965878
base__cpu_core_weighted__f0__h8__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0356153329994413,308.1622967950762
base__cpu_core_weighted__f0__h8__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,8,32,lightgbm,0,abe0cd1cb9555ccb,52.36379783400207,257.1867695524892
base__cpu_core_weighted__f0__h16__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,16,32,persistence,0,abe0cd1cb9555ccb,0.0002891679996537,331.82240938623585
base__cpu_core_weighted__f0__h16__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,16,32,ridge,0,abe0cd1cb9555ccb,0.0662069989994051,314.0604074649231
base__cpu_core_weighted__f0__h16__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,0,16,32,lightgbm,0,abe0cd1cb9555ccb,105.47671766599797,263.6458182680166
base__cpu_core_weighted__f1__h1__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,1,32,persistence,0,abe0cd1cb9555ccb,0.0001715410007818,258.5864403621402
base__cpu_core_weighted__f1__h1__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,1,32,ridge,0,abe0cd1cb9555ccb,0.0088935000003402,245.11569310811487
base__cpu_core_weighted__f1__h1__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,1,32,lightgbm,0,abe0cd1cb9555ccb,6.6384330410000985,199.6147197052011
base__cpu_core_weighted__f1__h8__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,8,32,persistence,0,abe0cd1cb9555ccb,0.0002918320005846,262.57198527389465
base__cpu_core_weighted__f1__h8__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,8,32,ridge,0,abe0cd1cb9555ccb,0.0530217100003937,248.29780331202304
base__cpu_core_weighted__f1__h8__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,8,32,lightgbm,0,abe0cd1cb9555ccb,53.876376333000735,203.41532062603233
base__cpu_core_weighted__f1__h16__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,16,32,persistence,0,abe0cd1cb9555ccb,0.0004386670007079,262.3406169270242
base__cpu_core_weighted__f1__h16__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,16,32,ridge,0,abe0cd1cb9555ccb,0.1007227919990327,247.1723245770978
base__cpu_core_weighted__f1__h16__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,cpu_classical,2f512f20b8ecc6ec,cpu_core_weighted,1,16,32,lightgbm,0,abe0cd1cb9555ccb,109.38732703999996,204.1046260442876
