base_model,horizon,fold,method,outcome,rel_mae_change,macro_rel_change,core_w_rel_change,worst_rel_change,coh_reduction_mean
persistence,1,0,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,1,1,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,1,2,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,8,0,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,8,1,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,8,2,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,16,0,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,16,1,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,16,2,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
ridge,1,0,bottom_up,win,-0.10163205514489755,0.0,0.0,0.0,0.5232091505606135
ridge,1,1,bottom_up,win,-0.11808614192901787,0.0,0.0,0.0,0.47329648348765996
ridge,1,2,bottom_up,win,-0.05691474035796192,0.0,0.0,0.0,0.5531138701265695
ridge,8,0,bottom_up,win,-0.10365041949092262,0.0,0.0,0.0,0.5199514478094899
ridge,8,1,bottom_up,win,-0.11684109308836349,0.0,0.0,0.0,0.4710418218110011
ridge,8,2,bottom_up,win,-0.0660017249184439,0.0,0.0,0.0,0.5474462091858007
ridge,16,0,bottom_up,win,-0.10726584241339414,0.0,0.0,0.0,0.5182632693082401
ridge,16,1,bottom_up,win,-0.11769941736554101,0.0,0.0,0.0,0.4688746128516996
ridge,16,2,bottom_up,win,-0.06180008933902266,0.0,0.0,0.0,0.5499315263566804
lightgbm,1,0,bottom_up,win,-0.0933089925624335,0.0,0.0,0.0,0.7292005451105342
lightgbm,1,1,bottom_up,win,-0.07717925236653378,0.0,0.0,0.0,0.540029809737094
lightgbm,1,2,bottom_up,win,-0.1119560758878648,0.0,0.0,0.0,0.7270022319142004
lightgbm,8,0,bottom_up,win,-0.08554422343579782,0.0,0.0,0.0,0.726461168773629
lightgbm,8,1,bottom_up,win,-0.07868394605972484,0.0,0.0,0.0,0.5624564752111471
lightgbm,8,2,bottom_up,win,-0.09809843903529407,0.0,0.0,0.0,0.7218700186775715
lightgbm,16,0,bottom_up,win,-0.07737450000349783,0.0,0.0,0.0,0.7759226281275594
lightgbm,16,1,bottom_up,win,-0.07568509510517275,0.0,0.0,0.0,0.5563252178919057
lightgbm,16,2,bottom_up,win,-0.11113927801786368,0.0,0.0,0.0,0.7321098759967483
persistence,1,0,wls,tie,3.03264214358608e-14,3.938704316753971e-15,3.024549839228736e-15,7.153892149322882e-15,0.0
persistence,1,1,wls,tie,-6.4847980970905906e-15,-2.074667322422996e-15,-2.2935275665431114e-15,-1.732540411565084e-15,0.0
persistence,1,2,wls,tie,-3.073586037147691e-16,0.0,2.3141475232797195e-16,2.335213003500272e-16,0.0
persistence,8,0,wls,tie,8.813653960018527e-14,6.48610260469017e-15,6.6687485872118054e-15,2.897492314169395e-14,0.0
persistence,8,1,wls,tie,-2.25518557052608e-14,-1.2609613940192383e-15,-1.3595800794955393e-15,-8.302987236714312e-15,0.0
persistence,8,2,wls,tie,-4.611215261687393e-16,-3.6166350715969966e-16,-1.1567049984081253e-16,4.800885488958385e-16,0.0
persistence,16,0,wls,tie,9.82283616903519e-14,1.4093618884503206e-14,1.4765255450103477e-14,4.4043130394406464e-14,0.0
persistence,16,1,wls,tie,-9.98749781412695e-15,-1.5764401774804516e-15,-1.9646160778222953e-15,-7.879350916802802e-15,0.0
persistence,16,2,wls,tie,3.0297756110870297e-16,2.378426233240968e-16,3.4199783043031236e-16,9.33587940790551e-16,0.0
ridge,1,0,wls,win,-0.0861078601433609,0.020780677168318985,0.021222750671268175,0.04949143347570442,0.5232091505606135
ridge,1,1,wls,win,-0.09983265049545262,0.02599426355221751,0.026511418384719453,0.053792831606532365,0.47329648348765996
ridge,1,2,wls,win,-0.0591634167805352,0.012234019999686051,0.012653199578511786,0.01741901479683971,0.5531138701265695
ridge,8,0,wls,win,-0.08443945026125618,0.025973023780663847,0.02652121980317026,0.06437995524648868,0.5199514478094899
ridge,8,1,wls,win,-0.09808273451271912,0.027235289224730834,0.02778421448133748,0.05404697095669004,0.4710418218110011
ridge,8,2,wls,win,-0.06446614079604947,0.013074531575811829,0.013493305261311017,0.023868985973329065,0.5474462091858007
ridge,16,0,wls,win,-0.08617205364100256,0.02689851703715275,0.0274462167999566,0.0639616969392581,0.5182632693082401
ridge,16,1,wls,win,-0.09897850704186358,0.027326933822914116,0.02787177885617703,0.03352806038203614,0.4688746128516996
ridge,16,2,wls,win,-0.061463593339453254,0.013458904162790867,0.013884482789244427,0.026357622649364986,0.5499315263566804
lightgbm,1,0,wls,win,-0.09876764591525804,0.03538269243106752,0.03756044531752849,0.06845122366654159,0.7292005451105342
lightgbm,1,1,wls,win,-0.0856679648323928,0.03466221393338916,0.035489348095925834,0.058685056147107596,0.540029809737094
lightgbm,1,2,wls,win,-0.11548363563588818,0.02472589478181548,0.026526724494708553,0.02471221843396732,0.7270022319142004
lightgbm,8,0,wls,win,-0.09489588230971367,0.03441287156892382,0.036699334556783585,0.0719494929136587,0.726461168773629
lightgbm,8,1,wls,win,-0.08647449536505003,0.03728261020320068,0.038154689227540874,0.06347035751235444,0.5624564752111471
lightgbm,8,2,wls,win,-0.10637782532783684,0.017680379233350266,0.019129638242683288,0.024231785476665647,0.7218700186775715
lightgbm,16,0,wls,win,-0.08872984055739452,0.04276112505944958,0.04525313651881291,0.09929696480616675,0.7759226281275594
lightgbm,16,1,wls,win,-0.08738737961765322,0.03522501938946173,0.03606533154764267,0.046055764259103675,0.5563252178919057
lightgbm,16,2,wls,win,-0.11602144605397009,0.01832869216679532,0.01976156773827657,0.028679621390315584,0.7321098759967483
persistence,1,0,mint,tie,-6.768732207076147e-14,-3.1763744489951383e-15,-3.266513826367035e-15,-1.2951011649636252e-14,0.0
persistence,1,1,mint,tie,7.498047799760996e-14,1.1650054964375285e-14,1.1926343346024179e-14,3.3880790270606086e-14,0.0
persistence,1,2,mint,tie,-3.073586037147691e-16,-1.2058561420023233e-16,2.3141475232797195e-16,2.335213003500272e-16,0.0
persistence,8,0,mint,tie,3.0496520042817733e-14,1.297220520938034e-15,1.1114580978686344e-15,7.469091298747775e-15,0.0
persistence,8,1,mint,tie,-9.779123270422824e-15,1.1033412197668335e-15,9.06386719663693e-16,-2.5102054436578153e-15,0.0
persistence,8,2,mint,tie,7.685358769478988e-16,3.6166350715969966e-16,5.783524992040627e-16,2.4004427444791927e-16,0.0
persistence,16,0,mint,tie,3.632238454787932e-14,6.464962791056516e-15,6.767408747964093e-15,2.151239605969564e-14,0.0
persistence,16,1,mint,tie,-8.009973246929814e-14,-9.7739291003788e-15,-1.0125329016468751e-14,-2.994153348385065e-14,0.0
persistence,16,2,mint,tie,-6.059551222174059e-16,-5.94606558310242e-16,-2.2799855362020824e-16,-7.0019095559291325e-16,0.0
ridge,1,0,mint,win,-0.09689327193757595,0.005148903584742987,0.005363952248761327,0.008284954514798775,0.5232091505606135
ridge,1,1,mint,win,-0.10257660551633957,0.022202949111970068,0.022642258691796643,0.037080568813970066,0.47329648348765996
ridge,1,2,mint,win,-0.06173196928806394,0.005357795292979727,0.0055393881505473135,0.009812862157004965,0.5531138701265695
ridge,8,0,mint,win,-0.09831847070101316,0.00551743764366426,0.005750803131927898,0.008374126630797995,0.5199514478094899
ridge,8,1,mint,win,-0.10111410791222664,0.023007539034382376,0.023469316949116078,0.03958558285096506,0.4710418218110011
ridge,8,2,mint,win,-0.06814349684017514,0.00636080555500746,0.00655364294737866,0.014395058246965488,0.5474462091858007
ridge,16,0,mint,win,-0.10143572643683756,0.005636224331779571,0.005838147342988402,0.00683419626355767,0.5182632693082401
ridge,16,1,mint,win,-0.1021284844818821,0.022485868922530152,0.022933471572628535,0.03471811001076408,0.4688746128516996
ridge,16,2,mint,win,-0.06450722382492587,0.007125775749393933,0.00732717308576747,0.016278122688289567,0.5499315263566804
lightgbm,1,0,mint,win,-0.10071003332852015,0.03357933782890783,0.0351224399785579,0.05967960190430261,0.7292005451105342
lightgbm,1,1,mint,win,-0.08599750550226198,0.0335997266768283,0.034396097525045265,0.06653724467756392,0.540029809737094
lightgbm,1,2,mint,win,-0.12008258289375727,0.009033348934228625,0.009550527704722754,0.014408994904504289,0.7270022319142004
lightgbm,8,0,mint,win,-0.10060648182532884,0.02218925939186304,0.023558217236634368,0.054155890403055254,0.726461168773629
lightgbm,8,1,mint,win,-0.086016071393588,0.04092512498124079,0.04186445171039243,0.08401602246836225,0.5624564752111471
lightgbm,8,2,mint,win,-0.1079850266914407,0.009966383757733704,0.01038247952547644,0.019118204077477188,0.7218700186775715
lightgbm,16,0,mint,win,-0.0932266438937153,0.02330315320409654,0.02480067929680886,0.053655786855522546,0.7759226281275594
lightgbm,16,1,mint,win,-0.08632915059549583,0.04129575299217829,0.04225133604381588,0.07141027432966993,0.5563252178919057
lightgbm,16,2,mint,win,-0.119242112870843,0.011057419816286097,0.011406518442372353,0.02296192433347015,0.7321098759967483
