base_model,horizon,reconciliation_method,nonnegative,fold,mae_machine01_CU,mae_machine02_CU,mae_machine03_CU,mae_machine04_CU,mae_machine05_CU,mae_machine06_CU,mae_machine07_CU,macro_machine_mae,core_weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae_weighted_mean
lightgbm,16,independent,False,0,3.1602602975083522,1.0917413196291716,0.8871833232095659,2.7294456047164326,0.5600806871831427,0.056795756089882146,0.8254409559654096,1.3301354206145655,1.3958832176436664,3.1602602975083522,0.056795756089882146,0,0,1.117143297745833
lightgbm,16,bottom_up,False,0,3.1602602975083522,1.0917413196291716,0.8871833232095659,2.7294456047164326,0.5600806871831427,0.056795756089882146,0.8254409559654096,1.3301354206145655,1.3958832176436664,3.1602602975083522,0.056795756089882146,0,0,1.0307048936504906
lightgbm,16,wls,False,0,3.474064553048365,1.1499098843085125,0.8890492981763791,2.744541317016325,0.56334045299592,0.05679189856827433,0.8313971496565052,1.3870135076814685,1.459051311456015,3.474064553048365,0.05679189856827433,1,6,1.0180193510570834
lightgbm,16,mint,False,0,3.3298265504394307,1.12236961915851,0.9049365168474075,2.727974206912521,0.5608168632175639,0.056825030427497945,0.8251736037204628,1.361131770103342,1.4305020696602446,3.3298265504394307,0.056825030427497945,2,5,1.0129957773486316
persistence,16,independent,False,0,3.48873627356052,2.088020059153231,1.0459596586652742,2.956668247963736,0.8729988310364482,0.07193453492634504,1.4967278725231778,1.7172922111183904,1.8045981446814063,3.48873627356052,0.07193453492634504,0,0,1.4060271584162536
persistence,16,bottom_up,False,0,3.48873627356052,2.088020059153231,1.0459596586652742,2.956668247963736,0.8729988310364482,0.07193453492634504,1.4967278725231778,1.7172922111183904,1.8045981446814063,3.48873627356052,0.07193453492634504,0,0,1.4060271584162536
persistence,16,wls,False,0,3.4887362735606735,2.08802005915325,1.045959658665274,2.9566682479637305,0.8729988310364489,0.07193453492634501,1.4967278725231794,1.7172922111184146,1.804598144681433,3.4887362735606735,0.07193453492634501,0,0,1.4060271584163917
persistence,16,mint,False,0,3.488736273560595,2.0880200591532314,1.0459596586652744,2.9566682479637385,0.8729988310364482,0.07193453492634506,1.4967278725231798,1.7172922111184015,1.8045981446814185,3.488736273560595,0.07193453492634506,0,0,1.4060271584163047
ridge,16,independent,False,0,3.8218713894976486,1.2293825228072153,0.8214309924862817,3.3627691228142322,0.6012294652739243,0.05866077104618841,0.9483991095437452,1.5491061962098909,1.627656317625726,3.8218713894976486,0.05866077104618841,0,0,1.3307644384106914
ridge,16,bottom_up,False,0,3.8218713894976486,1.2293825228072153,0.8214309924862817,3.3627691228142322,0.6012294652739243,0.05866077104618841,0.9483991095437452,1.5491061962098909,1.627656317625726,3.8218713894976486,0.05866077104618841,0,0,1.1880188698707812
ridge,16,wls,False,0,4.0663247690535185,1.2347037604113895,0.8214676768477633,3.4029557652894558,0.601559781436917,0.05865962374173836,0.9497526125662284,1.5907748556210015,1.6723293257951006,4.0663247690535185,0.05865962374173836,1,6,1.2160897338404266
ridge,16,mint,False,0,3.8479908086675514,1.2331795595867419,0.8214363772121841,3.3936806287771386,0.6011931541577717,0.05866519241033957,0.9487154229066309,1.5578373062454796,1.6371588150317709,3.8479908086675514,0.05866519241033957,1,6,1.1957773808841927
lightgbm,1,independent,False,0,3.1085182245269385,1.0840345279839911,0.9982457008958884,2.5902440376851916,0.564571143478202,0.05574781672175449,0.828045112913126,1.3184866520292988,1.3826159787990782,3.1085182245269385,0.05574781672175449,0,0,1.1094787687062335
lightgbm,1,bottom_up,False,0,3.1085182245269385,1.0840345279839911,0.9982457008958884,2.5902440376851916,0.564571143478202,0.05574781672175449,0.828045112913126,1.3184866520292988,1.3826159787990782,3.1085182245269385,0.05574781672175449,0,0,1.0059544225288457
lightgbm,1,wls,False,0,3.3213001007855527,1.133302391075866,1.0236109824011457,2.6224682525953416,0.5666752386680112,0.055742455409696905,0.8328683970520205,1.3651382597125195,1.434547650665902,3.3213001007855527,0.055742455409696905,1,6,0.9998981625281598
lightgbm,1,mint,False,0,3.2940333546789757,1.1089552751456666,1.0725497337155965,2.6157878112370203,0.5646012776067556,0.055748694290508036,0.8276477785103514,1.3627605607406963,1.4311768255278439,3.2940333546789757,0.055748694290508036,1,6,0.9977431249325432
persistence,1,independent,False,0,3.6004420577882987,2.0770225356035286,1.1387554974463725,2.9568346860830106,0.879611443507371,0.07162600285713791,1.5090909895068816,1.747626173256086,1.8353525047354895,3.6004420577882987,0.07162600285713791,0,0,1.4204331179186942
persistence,1,bottom_up,False,0,3.6004420577882987,2.0770225356035286,1.1387554974463725,2.9568346860830106,0.879611443507371,0.07162600285713791,1.5090909895068816,1.747626173256086,1.8353525047354895,3.6004420577882987,0.07162600285713791,0,0,1.4204331179186942
persistence,1,wls,False,0,3.6004420577883245,2.0770225356035272,1.1387554974463725,2.95683468608301,0.8796114435073944,0.07162600285713791,1.5090909895068823,1.747626173256093,1.835352504735495,3.6004420577883245,0.07162600285713791,0,0,1.4204331179187373
persistence,1,mint,False,0,3.600442057788252,2.0770225356035312,1.138755497446374,2.956834686083016,0.8796114435073707,0.07162600285713784,1.5090909895068811,1.7476261732560805,1.8353525047354835,3.600442057788252,0.07162600285713784,0,0,1.420433117918598
ridge,1,independent,False,0,3.846644579939137,1.240013049663714,0.9208543418780958,3.343927959526327,0.6044006759947186,0.05806877585700892,0.9562487242890382,1.5671654438782914,1.6468663260419918,3.846644579939137,0.05806877585700892,0,0,1.336759005851477
ridge,1,bottom_up,False,0,3.846644579939137,1.240013049663714,0.9208543418780958,3.343927959526327,0.6044006759947186,0.05806877585700892,0.9562487242890382,1.5671654438782914,1.6468663260419918,3.846644579939137,0.05806877585700892,0,0,1.2009014408533412
ridge,1,wls,False,0,4.037020534271874,1.244591805980984,0.9244713503669227,3.3722914554903505,0.6046222353725463,0.05806435339713619,0.9570636863782853,1.5997322030368715,1.6818173594684884,4.037020534271874,0.05806435339713619,1,6,1.2216535483302398
ridge,1,mint,False,0,3.87851385531853,1.2444543479136023,0.9272935443800254,3.357494985660678,0.6043811872049093,0.05806528215408272,0.9564391909193057,1.5752346276501616,1.655700038374974,3.87851385531853,0.05806528215408272,2,5,1.207236051982506
lightgbm,8,independent,False,0,3.070396112709679,1.0837412158708686,0.9671972260648545,2.627957114189408,0.5615603677557083,0.05536087688496863,0.8256560441487945,1.313124136803469,1.3772005875044397,3.070396112709679,0.05536087688496863,0,0,1.08977444725631
lightgbm,8,independent,True,0,3.0647187341094537,1.0837412158708686,0.9670436439562365,2.6004319213649385,0.5615603677557083,0.05536087688496863,0.8256560441487945,1.3083589720129958,1.3721123606942731,3.0647187341094537,0.05536087688496863,3,0,0.9962724450291911
lightgbm,8,bottom_up,False,0,3.070396112709679,1.0837412158708686,0.9671972260648545,2.627957114189408,0.5615603677557083,0.05536087688496863,0.8256560441487945,1.313124136803469,1.3772005875044397,3.070396112709679,0.05536087688496863,0,0,0.9965505384455932
lightgbm,8,bottom_up,True,0,3.0647187341094537,1.0837412158708686,0.9670436439562365,2.6004319213649385,0.5615603677557083,0.05536087688496863,0.8256560441487945,1.3083589720129958,1.3721123606942731,3.0647187341094537,0.05536087688496863,3,0,0.9962724450291911
lightgbm,8,wls,False,0,3.2913095560632093,1.140073219287844,0.9679150477808578,2.655906014316321,0.5642034726798855,0.05535998187670779,0.8334202715365604,1.3583125090773407,1.427742932617064,3.2913095560632093,0.05535998187670779,1,6,0.9863593395653419
lightgbm,8,wls,True,0,3.2265204068607862,1.1398940935487278,0.9677765947788883,2.6141793443652555,0.5642034726798855,0.05535998187670779,0.8334202715365604,1.3430505950924014,1.4114372045108179,3.2265204068607862,0.05535998187670779,2,5,0.9916933041432251
lightgbm,8,mint,False,0,3.2366761480835513,1.1115195402974658,0.9760117481543407,2.6274028496973303,0.5614152392881963,0.05536704521523469,0.8274371514849019,1.3422613888887174,1.4096449781232898,3.2366761480835513,0.05536704521523469,2,5,0.9801360741347103
lightgbm,8,mint,True,0,3.187811167883149,1.1115195402974658,0.9758917196986728,2.5992842831174943,0.5614152392881963,0.05536704521523469,0.8274371514849019,1.3312465924264452,1.3978834157991684,3.187811167883149,0.05536704521523469,2,5,0.9843987562314567
lightgbm,8,ols,False,0,3.0878844813174355,1.2878408220813715,1.2419710101891521,2.6893783022742572,1.3619448461051626,0.6057788250675107,1.392825766575696,1.6668034362300834,1.6821335977049432,3.0878844813174355,0.6057788250675107,0,7,1.0527499700835994
lightgbm,8,ols,True,0,3.0748422523918695,1.2814196332446437,1.2066970312927803,2.6345340159294866,1.2265929160068338,0.44280244446013234,1.334594765078126,1.6002118654862674,1.6228381434933403,3.0748422523918695,0.44280244446013234,0,7,1.048516577804906
persistence,8,independent,False,0,3.44850171742069,2.078659636105084,1.0930192689671894,2.919947523239372,0.8781738455538148,0.07086785327480401,1.4926960709680368,1.7116951307898558,1.797999805982319,3.44850171742069,0.07086785327480401,0,0,1.3906675083299915
persistence,8,independent,True,0,3.44850171742069,2.078659636105084,1.0930192689671894,2.919947523239372,0.8781738455538148,0.07086785327480401,1.4926960709680368,1.7116951307898558,1.797999805982319,3.44850171742069,0.07086785327480401,0,0,1.3906675083299915
persistence,8,bottom_up,False,0,3.44850171742069,2.078659636105084,1.0930192689671894,2.919947523239372,0.8781738455538148,0.07086785327480401,1.4926960709680368,1.7116951307898558,1.797999805982319,3.44850171742069,0.07086785327480401,0,0,1.3906675083299915
persistence,8,bottom_up,True,0,3.44850171742069,2.078659636105084,1.0930192689671894,2.919947523239372,0.8781738455538148,0.07086785327480401,1.4926960709680368,1.7116951307898558,1.797999805982319,3.44850171742069,0.07086785327480401,0,0,1.3906675083299915
persistence,8,wls,False,0,3.4485017174207897,2.0786596361050806,1.0930192689671887,2.9199475232393564,0.8781738455538145,0.07086785327480402,1.4926960709680361,1.711695130789867,1.797999805982331,3.4485017174207897,0.07086785327480402,0,0,1.390667508330114
persistence,8,wls,True,0,3.4485017174207897,2.0786596361050806,1.0930192689671887,2.9199475232393564,0.8781738455538145,0.07086785327480402,1.4926960709680361,1.711695130789867,1.797999805982331,3.4485017174207897,0.07086785327480402,0,0,1.390667508330114
persistence,8,mint,False,0,3.4485017174207155,2.0786596361050833,1.0930192689671887,2.919947523239365,0.8781738455538151,0.07086785327480398,1.4926960709680364,1.711695130789858,1.797999805982321,3.4485017174207155,0.07086785327480398,0,0,1.390667508330034
persistence,8,mint,True,0,3.4485017174207155,2.0786596361050833,1.0930192689671887,2.919947523239365,0.8781738455538151,0.07086785327480398,1.4926960709680364,1.711695130789858,1.797999805982321,3.4485017174207155,0.07086785327480398,0,0,1.390667508330034
persistence,8,ols,False,0,3.4485017174206885,2.078659636105085,1.09301926896719,2.9199475232393732,0.8781738455538151,0.07086785327480402,1.4926960709680377,1.711695130789856,1.7979998059823192,3.4485017174206885,0.07086785327480402,0,0,1.3906675083299922
persistence,8,ols,True,0,3.4485017174206885,2.078659636105085,1.09301926896719,2.9199475232393732,0.8781738455538151,0.07086785327480402,1.4926960709680377,1.711695130789856,1.7979998059823192,3.4485017174206885,0.07086785327480402,0,0,1.3906675083299922
ridge,8,independent,False,0,3.7355074791753853,1.2350840979562794,0.8800202128632403,3.315600501722238,0.6041529544570432,0.05807913424476073,0.9485893663840383,1.5395762495432836,1.6175623067477187,3.7355074791753853,0.05807913424476073,0,0,1.305772444046933
ridge,8,independent,True,0,3.6416974265345137,1.2350840979562794,0.8800202128632403,3.161543452174484,0.6041529544570432,0.05807913424476073,0.9485893663840383,1.504166663516337,1.5797520708206405,3.6416974265345137,0.05807913424476073,2,0,1.1534111860676066
ridge,8,bottom_up,False,0,3.7355074791753853,1.2350840979562794,0.8800202128632403,3.315600501722238,0.6041529544570432,0.05807913424476073,0.9485893663840383,1.5395762495432836,1.6175623067477187,3.7355074791753853,0.05807913424476073,0,0,1.170428582461781
ridge,8,bottom_up,True,0,3.6416974265345137,1.2350840979562794,0.8800202128632403,3.161543452174484,0.6041529544570432,0.05807913424476073,0.9485893663840383,1.504166663516337,1.5797520708206405,3.6416974265345137,0.05807913424476073,2,0,1.1534111860676066
ridge,8,wls,False,0,3.9759992835076203,1.2411483099410834,0.880039542534341,3.3469655318897424,0.6045507340360217,0.05807743287322932,0.9501650658116786,1.5795637000848166,1.660462032230298,3.9759992835076203,0.05807743287322932,1,6,1.195513736705313
ridge,8,wls,True,0,3.8774795701926363,1.2411483099410834,0.880039542534341,3.2061123225865806,0.6045507340360217,0.05807743287322932,0.9501650658116786,1.545367568282224,1.6239475186105807,3.8774795701926363,0.05807743287322932,2,5,1.183014128229081
ridge,8,mint,False,0,3.766789091836293,1.2399424543664177,0.8800335220402653,3.3385940789396717,0.6041189137366103,0.058084238900422865,0.9489330586649569,1.5480707654978052,1.626864589127452,3.766789091836293,0.058084238900422865,1,6,1.1773908942647142
ridge,8,mint,True,0,3.672548694437856,1.2399424543664177,0.8800335220402653,3.1966756338606,0.6041189137366103,0.058084238900422865,0.9489330586649569,1.5143337880010184,1.5908403589190185,3.672548694437856,0.058084238900422865,3,4,1.1629894505418736
ridge,8,ols,False,0,3.8124184215420653,1.287219193738022,1.0301528058717466,3.3560576602956624,0.9881583215447552,0.43066119245806594,1.169857218231108,1.7249321162402038,1.7808504400588907,3.8124184215420653,0.43066119245806594,0,7,1.2756208190070077
ridge,8,ols,True,0,3.7176323218857927,1.287219193738022,1.0294926784504792,3.2161410266269956,0.9851342787698298,0.4093410230043453,1.1694908067440917,1.6877787613170796,1.7414018645572624,3.7176323218857927,0.4093410230043453,2,5,1.2647186243080837
lightgbm,16,independent,False,1,1.7415585086047485,1.1515694412030006,0.7204529950831288,2.1888238664265955,0.5753242853652482,0.15024094929146536,0.8889135285372264,1.0595547963587733,1.1057393689345603,2.1888238664265955,0.15024094929146536,0,0,0.8648501103571508
lightgbm,16,bottom_up,False,1,1.7415585086047485,1.1515694412030006,0.7204529950831288,2.1888238664265955,0.5753242853652482,0.15024094929146536,0.8889135285372264,1.0595547963587733,1.1057393689345603,2.1888238664265955,0.15024094929146536,0,0,0.7993938475030506
lightgbm,16,wls,False,1,1.896498917533169,1.152146185477968,0.7253384064308479,2.2896318224234387,0.5754122069246034,0.1502474428147269,0.8888684606282032,1.0968776346047082,1.1456182258804664,2.2896318224234387,0.1502474428147269,1,6,0.7892731254510011
lightgbm,16,mint,False,1,1.8910860434167343,1.1515588449640284,0.7208994486936212,2.3451283791874475,0.5753956622988399,0.15024217329112433,0.8888588147243847,1.103309909510883,1.1524583345882913,2.3451283791874475,0.15024217329112433,2,5,0.7901883349375971
persistence,16,independent,False,1,2.254445649339148,1.9825568358983447,0.9514093069816201,2.234593831773506,0.8907309501674011,0.06800853081565064,1.4778883697268208,1.408519067814641,1.469284455426566,2.254445649339148,0.06800853081565064,0,0,1.1116127835890854
persistence,16,bottom_up,False,1,2.254445649339148,1.9825568358983447,0.9514093069816201,2.234593831773506,0.8907309501674011,0.06800853081565064,1.4778883697268208,1.408519067814641,1.469284455426566,2.254445649339148,0.06800853081565064,0,0,1.1116127835890854
persistence,16,wls,False,1,2.25444564933913,1.9825568358983436,0.9514093069816196,2.234593831773507,0.8907309501674012,0.06800853081565061,1.477888369726821,1.4085190678146389,1.4692844554265632,2.25444564933913,0.06800853081565061,0,0,1.1116127835890743
persistence,16,mint,False,1,2.2544456493390803,1.9825568358983465,0.9514093069816191,2.234593831773475,0.8907309501674014,0.06800853081565066,1.4778883697268204,1.4085190678146273,1.4692844554265512,2.2544456493390803,0.06800853081565066,0,0,1.1116127835889964
ridge,16,independent,False,1,2.4876537020266998,1.283528654337717,0.7527701941635866,2.5681618004524034,0.607865607799643,0.07998897352695532,0.9791518193768437,1.251302964526264,1.3104026243870965,2.5681618004524034,0.07998897352695532,0,0,1.047340358377533
ridge,16,bottom_up,False,1,2.4876537020266998,1.283528654337717,0.7527701941635866,2.5681618004524034,0.607865607799643,0.07998897352695532,0.9791518193768437,1.251302964526264,1.3104026243870965,2.5681618004524034,0.07998897352695532,0,0,0.9240690084130804
ridge,16,wls,False,1,2.6376826501893884,1.284047474684053,0.7551849158816533,2.65426728436881,0.6079224008932966,0.0799919096149198,0.9793840291799059,1.2854972378302896,1.3469258765465677,2.65426728436881,0.0799919096149198,0,7,0.9436761733406344
ridge,16,mint,False,1,2.593162963575126,1.2839113707293301,0.7544677111409968,2.657323524365952,0.6079904137427397,0.08000802434398178,0.9792131848846999,1.279439598968975,1.3404547057221758,2.657323524365952,0.08000802434398178,0,7,0.9403770748397242
lightgbm,1,independent,False,1,1.809429405212148,1.1310630321816226,0.7334957068505157,1.9752886325882328,0.5677419564686194,0.1351985370192638,0.889306779106556,1.0345034356324225,1.0784409725117516,1.9752886325882328,0.1351985370192638,0,0,0.8458250834966149
lightgbm,1,bottom_up,False,1,1.809429405212148,1.1310630321816226,0.7334957068505157,1.9752886325882328,0.5677419564686194,0.1351985370192638,0.889306779106556,1.0345034356324225,1.0784409725117516,1.9752886325882328,0.1351985370192638,0,0,0.7805449359194851
lightgbm,1,wls,False,1,1.9384504498097537,1.1308241956156986,0.7397594357534235,2.0912085568984167,0.5678656705293673,0.13520385788007064,0.8892191387452472,1.0703616150331396,1.11671413958613,2.0912085568984167,0.13520385788007064,2,5,0.7733649699892712
lightgbm,1,mint,False,1,1.9201304153301082,1.130742718038096,0.7349447018435712,2.1067188956435667,0.5678805517652258,0.13519713502519184,0.8892228605656224,1.0692624683159118,1.1155351333772705,2.1067188956435667,0.13519713502519184,3,4,0.7730862362246635
persistence,1,independent,False,1,2.3069031244356757,1.9861504015131952,0.9595826148334731,2.064964159181155,0.8791352473353032,0.07045670352987528,1.4722290191700578,1.391345895714105,1.4522036370792681,2.3069031244356757,0.07045670352987528,0,0,1.0957052557717806
persistence,1,bottom_up,False,1,2.3069031244356757,1.9861504015131952,0.9595826148334731,2.064964159181155,0.8791352473353032,0.07045670352987528,1.4722290191700578,1.391345895714105,1.4522036370792681,2.3069031244356757,0.07045670352987528,0,0,1.0957052557717806
persistence,1,wls,False,1,2.3069031244356717,1.9861504015131877,0.9595826148334726,2.0649641591811467,0.8791352473353036,0.07045670352987528,1.472229019170058,1.391345895714102,1.4522036370792648,2.3069031244356717,0.07045670352987528,0,0,1.0957052557717735
persistence,1,mint,False,1,2.306903124435754,1.9861504015131937,0.9595826148334745,2.0649641591811925,0.8791352473353026,0.07045670352987525,1.4722290191700573,1.3913458957141212,1.4522036370792855,2.306903124435754,0.07045670352987525,0,0,1.0957052557718627
