horizon,fold,method,outcome,rel_mae_change,macro_rel,core_w_rel,worst_rel,coh_reduction
1,0,bottom_up,win,-0.07152816093927422,0.0,0.0,0.0,0.4723058377951852
1,1,bottom_up,win,-0.11820977345429368,0.0,0.0,0.0,0.467071693765941
1,2,bottom_up,win,-0.051258402268080955,0.0,0.0,0.0,0.5279901815212679
8,0,bottom_up,win,-0.07155924695890967,0.0,0.0,0.0,0.40898458544493793
8,1,bottom_up,win,-0.09432477509713968,0.0,0.0,0.0,0.4123391477645662
8,2,bottom_up,win,-0.03691945272381002,0.0,0.0,0.0,0.4921659760058993
16,0,bottom_up,win,-0.06921923820940336,0.0,0.0,0.0,0.4939657711452487
16,1,bottom_up,win,-0.10387573248161763,0.0,0.0,0.0,0.44260119314063995
16,2,bottom_up,win,-0.04375297062949205,0.0,0.0,0.0,0.5209308081912971
1,0,wls,win,-0.06312416650135692,0.01484249224661288,0.015199455337827598,0.03629179031935606,0.4723058377951852
1,1,wls,win,-0.09779213062767934,0.027055652455431088,0.027609637067593753,0.0562189984030392,0.467071693765941
1,2,wls,win,-0.052238071759863045,0.015069456652246738,0.01547791543590628,0.03105370277602723,0.5279901815212679
8,0,wls,win,-0.05810576176653836,0.01612382530610762,0.01643799419204143,0.037576709153356806,0.40898458544493793
8,1,wls,win,-0.07599715849083362,0.02738122652772072,0.027935458391911493,0.04853759896794701,0.4123391477645662
8,2,wls,win,-0.04112570969602207,0.007656782673482602,0.007971047702368488,0.010309602273231945,0.4921659760058993
16,0,wls,win,-0.060607375007085566,0.0161793996129069,0.016533635369821515,0.04645519942585151,0.4939657711452487
16,1,wls,win,-0.08677616580065871,0.022612111949842348,0.02306126430088706,0.02805154220583282,0.44260119314063995
16,2,wls,win,-0.04761580781188059,0.012465038444695146,0.012838608236954558,0.02221404160278338,0.5209308081912971
1,0,mint,win,-0.06907039283568799,0.005689469822186381,0.005918777503922709,0.01280075115676935,0.4723058377951852
1,1,mint,win,-0.09945198258982824,0.024990884653557307,0.025500466128521793,0.04480247706789613,0.467071693765941
1,2,mint,win,-0.054422191316410524,0.009588586682561934,0.009793115222655968,0.025878754789258177,0.5279901815212679
8,0,mint,win,-0.06740156778385095,0.004549863895931635,0.004726301128019488,0.009462483941026636,0.40898458544493793
8,1,mint,win,-0.07738914151232412,0.026381122395437183,0.026921622972252767,0.05444637808799854,0.4123391477645662
8,2,mint,win,-0.042150960469840765,0.004132332016181792,0.004278263852179405,0.006386583670536133,0.4921659760058993
16,0,mint,win,-0.0674392285731934,0.005096616079565349,0.005298810684406298,0.016327791708457787,0.4939657711452487
16,1,mint,win,-0.08905768026467402,0.01925502264438087,0.019638387072308475,0.031048437616092595,0.44260119314063995
16,2,mint,win,-0.048878218718638455,0.008094836605749302,0.008283195633846555,0.016283951925285034,0.5209308081912971
