run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__disk_ud__f0__h1__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001539570021122,1848015504.270662
base__disk_ud__f0__h1__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0080393750022267,2194093318.965312
base__disk_ud__f0__h1__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,lightgbm,0,abe0cd1cb9555ccb,1.377621291999276,4734846231.63901
base__disk_ud__f0__h8__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,8,32,persistence,0,abe0cd1cb9555ccb,0.0002250829993499,1849506840.3956947
base__disk_ud__f0__h8__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,8,32,ridge,0,abe0cd1cb9555ccb,0.0366531250019761,2193351964.750705
base__disk_ud__f0__h8__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,8,32,lightgbm,0,abe0cd1cb9555ccb,10.734731417999685,4449179814.664111
base__disk_ud__f1__h1__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,1,1,32,persistence,0,abe0cd1cb9555ccb,0.0001674590012044,1145989203.1474142
base__disk_ud__f1__h1__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,1,1,32,ridge,0,abe0cd1cb9555ccb,0.0088692110002739,1279428400.7528424
base__disk_ud__f1__h1__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,1,1,32,lightgbm,0,abe0cd1cb9555ccb,1.5099101249998057,18083890978.96224
base__disk_ud__f1__h8__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,1,8,32,persistence,0,abe0cd1cb9555ccb,0.0003037100004803,1146936385.5092514
base__disk_ud__f1__h8__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,1,8,32,ridge,0,abe0cd1cb9555ccb,0.0569204160010485,1279285563.5138888
base__disk_ud__f1__h8__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,1,8,32,lightgbm,0,abe0cd1cb9555ccb,11.9010261250005,18077746876.05507
base__disk_ud__f2__h1__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,2,1,32,persistence,0,abe0cd1cb9555ccb,0.0001798330013116,1654563840.6184323
base__disk_ud__f2__h1__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,2,1,32,ridge,0,abe0cd1cb9555ccb,0.0119462929997098,1786927458.8985488
base__disk_ud__f2__h1__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,2,1,32,lightgbm,0,abe0cd1cb9555ccb,1.6262409159990057,4597961917.660613
base__disk_ud__f2__h8__persistence__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,2,8,32,persistence,0,abe0cd1cb9555ccb,0.0004000840008302,1655905782.5918765
base__disk_ud__f2__h8__ridge__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,2,8,32,ridge,0,abe0cd1cb9555ccb,0.0777484999998705,1788411406.9318063
base__disk_ud__f2__h8__lightgbm__s0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,2,8,32,lightgbm,0,abe0cd1cb9555ccb,12.968211166999936,4086783999.4021482
