run_id,fold,horizon,base_model,reconciliation_method,coherence_before,coherence_after,is_coherent_after,adj_mean,adj_max
base__disk_ud__f0__h1__lightgbm__s0__independent__nn0,0,1,lightgbm,independent,41640542302.28822,41640542302.28822,False,0.0,0.0
base__disk_ud__f0__h1__lightgbm__s0__bottom_up__nn0,0,1,lightgbm,bottom_up,41640542302.28822,0.0,True,5205067787.786028,117515490837.22925
base__disk_ud__f0__h1__lightgbm__s0__top_down__nn0,0,1,lightgbm,top_down,41640542302.28822,8.084429468493234e-05,True,5205067787.786027,25721459501.77115
base__disk_ud__f0__h1__lightgbm__s0__wls__nn0,0,1,lightgbm,wls,41640542302.28822,0.0,True,5205067787.786024,64509095407.55957
base__disk_ud__f0__h1__lightgbm__s0__mint__nn0,0,1,lightgbm,mint,41640542302.28822,0.0,True,5278171102.2364235,75711257730.81982
base__disk_ud__f0__h1__persistence__s0__independent__nn0,0,1,persistence,independent,0.0,0.0,True,0.0,0.0
base__disk_ud__f0__h1__persistence__s0__bottom_up__nn0,0,1,persistence,bottom_up,0.0,0.0,True,0.0,0.0
base__disk_ud__f0__h1__persistence__s0__top_down__nn0,0,1,persistence,top_down,0.0,7.374958464233929e-08,True,8.279543213362622e-07,3.0517578125e-05
base__disk_ud__f0__h1__persistence__s0__wls__nn0,0,1,persistence,wls,0.0,0.0,True,0.05944885067919016,0.2443084716796875
base__disk_ud__f0__h1__persistence__s0__mint__nn0,0,1,persistence,mint,0.0,0.0,True,0.08179247321686116,0.337158203125
base__disk_ud__f0__h1__ridge__s0__independent__nn0,0,1,ridge,independent,1371630337.5730522,1371630337.5730522,False,0.0,0.0
base__disk_ud__f0__h1__ridge__s0__bottom_up__nn0,0,1,ridge,bottom_up,1371630337.5730522,0.0,True,171453792.19663152,99634100901.67603
base__disk_ud__f0__h1__ridge__s0__top_down__nn0,0,1,ridge,top_down,1371630337.5730522,7.824830930552199e-05,True,171453792.19663152,24951794942.24286
base__disk_ud__f0__h1__ridge__s0__wls__nn0,0,1,ridge,wls,1371630337.5730522,0.0,True,171453792.1966318,51197904825.48926
base__disk_ud__f0__h1__ridge__s0__mint__nn0,0,1,ridge,mint,1371630337.5730522,0.0,True,171494426.11175403,54868444854.44334
base__disk_ud__f0__h8__lightgbm__s0__independent__nn0,0,8,lightgbm,independent,42188268954.98278,42188268954.98278,False,0.0,0.0
base__disk_ud__f0__h8__lightgbm__s0__bottom_up__nn0,0,8,lightgbm,bottom_up,42188268954.98278,0.0,True,5273533619.372848,113547833637.99121
base__disk_ud__f0__h8__lightgbm__s0__top_down__nn0,0,8,lightgbm,top_down,42188268954.98278,7.326580734520498e-05,True,5273533619.372847,24941000765.258423
base__disk_ud__f0__h8__lightgbm__s0__wls__nn0,0,8,lightgbm,wls,42188268954.98278,0.0,True,5273533619.372848,75111631614.33069
base__disk_ud__f0__h8__lightgbm__s0__mint__nn0,0,8,lightgbm,mint,42188268954.98278,0.0,True,5537881895.346704,90531982774.26941
base__disk_ud__f0__h8__persistence__s0__independent__nn0,0,8,persistence,independent,0.0,0.0,True,0.0,0.0
base__disk_ud__f0__h8__persistence__s0__bottom_up__nn0,0,8,persistence,bottom_up,0.0,0.0,True,0.0,0.0
base__disk_ud__f0__h8__persistence__s0__top_down__nn0,0,8,persistence,top_down,0.0,7.38120162655702e-08,True,8.279632262039508e-07,3.0517578125e-05
base__disk_ud__f0__h8__persistence__s0__wls__nn0,0,8,persistence,wls,0.0,0.0,True,0.026984163229634733,0.12109375
base__disk_ud__f0__h8__persistence__s0__mint__nn0,0,8,persistence,mint,0.0,0.0,True,0.010050618788368224,0.0413818359375
base__disk_ud__f0__h8__ridge__s0__independent__nn0,0,8,ridge,independent,1370320529.2032237,1370320529.2032237,False,0.0,0.0
base__disk_ud__f0__h8__ridge__s0__bottom_up__nn0,0,8,ridge,bottom_up,1370320529.2032237,0.0,True,171290066.15040296,99633745452.77954
base__disk_ud__f0__h8__ridge__s0__top_down__nn0,0,8,ridge,top_down,1370320529.2032237,7.601161435028419e-05,True,171290066.15040302,24951728915.653778
base__disk_ud__f0__h8__ridge__s0__wls__nn0,0,8,ridge,wls,1370320529.2032237,0.0,True,171290066.15040293,53343641321.006836
base__disk_ud__f0__h8__ridge__s0__mint__nn0,0,8,ridge,mint,1370320529.2032237,0.0,True,171401839.5866762,48685693942.74652
base__disk_ud__f1__h1__lightgbm__s0__independent__nn0,1,1,lightgbm,independent,77052298911.05917,77052298911.05917,False,0.0,0.0
base__disk_ud__f1__h1__lightgbm__s0__bottom_up__nn0,1,1,lightgbm,bottom_up,77052298911.05917,0.0,True,9631537363.882395,131544932938.10376
base__disk_ud__f1__h1__lightgbm__s0__top_down__nn0,1,1,lightgbm,top_down,77052298911.05917,5.706742859624214e-05,True,9631537363.882397,30253670348.066193
base__disk_ud__f1__h1__lightgbm__s0__wls__nn0,1,1,lightgbm,wls,77052298911.05917,0.0,True,9631537363.882397,81948999391.86537
base__disk_ud__f1__h1__lightgbm__s0__mint__nn0,1,1,lightgbm,mint,77052298911.05917,0.0,True,9846795441.75348,108024569891.09102
base__disk_ud__f1__h1__persistence__s0__independent__nn0,1,1,persistence,independent,0.0,0.0,True,0.0,0.0
base__disk_ud__f1__h1__persistence__s0__bottom_up__nn0,1,1,persistence,bottom_up,0.0,0.0,True,0.0,0.0
base__disk_ud__f1__h1__persistence__s0__top_down__nn0,1,1,persistence,top_down,0.0,0.0,True,1.5843484988242547e-06,3.0517578125e-05
base__disk_ud__f1__h1__persistence__s0__wls__nn0,1,1,persistence,wls,0.0,0.0,True,0.13374095403266564,0.7338714599609375
base__disk_ud__f1__h1__persistence__s0__mint__nn0,1,1,persistence,mint,0.0,0.0,True,0.2288234824429047,1.0179443359375
base__disk_ud__f1__h1__ridge__s0__independent__nn0,1,1,ridge,independent,804451259.9295046,804451259.9295046,False,0.0,0.0
base__disk_ud__f1__h1__ridge__s0__bottom_up__nn0,1,1,ridge,bottom_up,804451259.9295046,0.0,True,100556407.49118808,34957604697.68225
base__disk_ud__f1__h1__ridge__s0__top_down__nn0,1,1,ridge,top_down,804451259.9295046,8.58592664406114e-05,True,100556407.49118814,9006702681.41571
base__disk_ud__f1__h1__ridge__s0__wls__nn0,1,1,ridge,wls,804451259.9295046,0.0,True,100556407.49118829,17084500130.174683
base__disk_ud__f1__h1__ridge__s0__mint__nn0,1,1,ridge,mint,804451259.9295046,0.0,True,100557466.31599562,19153487772.729607
base__disk_ud__f1__h8__lightgbm__s0__independent__nn0,1,8,lightgbm,independent,27536612470.426746,27536612470.426746,False,0.0,0.0
base__disk_ud__f1__h8__lightgbm__s0__bottom_up__nn0,1,8,lightgbm,bottom_up,27536612470.426746,0.0,True,3442076558.8033433,73368313271.17053
base__disk_ud__f1__h8__lightgbm__s0__top_down__nn0,1,8,lightgbm,top_down,27536612470.426746,9.26340804132906e-05,True,3442076558.803343,17068835553.400513
base__disk_ud__f1__h8__lightgbm__s0__wls__nn0,1,8,lightgbm,wls,27536612470.426746,0.0,True,3442076558.8033457,39717362327.49426
base__disk_ud__f1__h8__lightgbm__s0__mint__nn0,1,8,lightgbm,mint,27536612470.426746,0.0,True,3464648953.6197534,40661275708.66678
base__disk_ud__f1__h8__persistence__s0__independent__nn0,1,8,persistence,independent,0.0,0.0,True,0.0,0.0
base__disk_ud__f1__h8__persistence__s0__bottom_up__nn0,1,8,persistence,bottom_up,0.0,0.0,True,0.0,0.0
base__disk_ud__f1__h8__persistence__s0__top_down__nn0,1,8,persistence,top_down,0.0,0.0,True,1.58488238675229e-06,3.0517578125e-05
base__disk_ud__f1__h8__persistence__s0__wls__nn0,1,8,persistence,wls,0.0,0.0,True,0.0512898761483083,0.2687530517578125
base__disk_ud__f1__h8__persistence__s0__mint__nn0,1,8,persistence,mint,0.0,0.0,True,0.21218592980159123,0.889801025390625
base__disk_ud__f1__h8__ridge__s0__independent__nn0,1,8,ridge,independent,710948694.4437817,710948694.4437817,False,0.0,0.0
base__disk_ud__f1__h8__ridge__s0__bottom_up__nn0,1,8,ridge,bottom_up,710948694.4437817,0.0,True,88868586.80547273,34763439634.16089
base__disk_ud__f1__h8__ridge__s0__top_down__nn0,1,8,ridge,top_down,710948694.4437817,7.630686241534648e-05,True,88868586.80547275,8943191325.416016
base__disk_ud__f1__h8__ridge__s0__wls__nn0,1,8,ridge,wls,710948694.4437817,0.0,True,88868586.80547269,16951994003.024292
base__disk_ud__f1__h8__ridge__s0__mint__nn0,1,8,ridge,mint,710948694.4437817,0.0,True,88869404.14399895,19224194880.313156
base__disk_ud__f2__h1__lightgbm__s0__independent__nn0,2,1,lightgbm,independent,36041391842.76695,36041391842.76695,False,0.0,0.0
base__disk_ud__f2__h1__lightgbm__s0__bottom_up__nn0,2,1,lightgbm,bottom_up,36041391842.76695,0.0,True,4505173980.345869,86372138355.40295
base__disk_ud__f2__h1__lightgbm__s0__top_down__nn0,2,1,lightgbm,top_down,36041391842.76695,7.45927903052905e-05,True,4505173980.345869,21981244226.83841
base__disk_ud__f2__h1__lightgbm__s0__wls__nn0,2,1,lightgbm,wls,36041391842.76695,0.0,True,4505173980.345867,39356647232.707275
base__disk_ud__f2__h1__lightgbm__s0__mint__nn0,2,1,lightgbm,mint,36041391842.76695,0.0,True,5713652461.438306,49803739451.001465
base__disk_ud__f2__h1__persistence__s0__independent__nn0,2,1,persistence,independent,0.0,0.0,True,0.0,0.0
base__disk_ud__f2__h1__persistence__s0__bottom_up__nn0,2,1,persistence,bottom_up,0.0,0.0,True,0.0,0.0
base__disk_ud__f2__h1__persistence__s0__top_down__nn0,2,1,persistence,top_down,0.0,0.0,True,4.36692756793827e-07,3.0517578125e-05
base__disk_ud__f2__h1__persistence__s0__wls__nn0,2,1,persistence,wls,0.0,0.0,True,0.06506699740505115,0.2789764404296875
base__disk_ud__f2__h1__persistence__s0__mint__nn0,2,1,persistence,mint,0.0,0.0,True,0.07962607202761443,0.3525848388671875
base__disk_ud__f2__h1__ridge__s0__independent__nn0,2,1,ridge,independent,660729091.0202527,660729091.0202527,False,0.0,0.0
base__disk_ud__f2__h1__ridge__s0__bottom_up__nn0,2,1,ridge,bottom_up,660729091.0202527,0.0,True,82591136.37753159,11695603594.221802
