fold,horizon,base_model,pct_finite,pct_negative,pct_zero,target_min,target_med,target_max,pred_min,pred_med,pred_max,unchanged_target_pct,downward_movement_pct,largest_downward,largest_upward,reset_threshold_train,reset_event_count,normal_period_mae_independent,reset_near_mae_independent,representation,reset_aware_transform_active
0,1,lightgbm,100.0,0.0,0.0,776037994496.0,853403236352.0,1022410264576.0,777403577771.022,855333136656.3943,981059497818.089,0.0,39.2870090634441,-185374625792.0,26990505984.0,32010417930.23999,29,4653430509.823082,15162311609.364697,disk_level_UD_exact_sum,False
0,1,persistence,100.0,0.0,0.0,776037994496.0,853403236352.0,1022410264576.0,776037994496.0,853403236352.0,1022410264576.0,0.0,39.2870090634441,-185374625792.0,26990505984.0,32010417930.23999,29,1718113094.8679519,16446753450.666666,disk_level_UD_exact_sum,False
0,1,ridge,100.0,0.0,0.0,776037994496.0,853403236352.0,1022410264576.0,746454199744.3391,853805028374.781,1019016708520.739,0.0,39.2870090634441,-185374625792.0,26990505984.0,32010417930.23999,29,2095454978.890302,15197620185.980911,disk_level_UD_exact_sum,False
0,8,lightgbm,100.0,0.0,0.0,776037994496.0,853436100608.0,1022410264576.0,778167427407.9672,855735474514.6326,981536403881.5074,0.0,39.27189163038219,-185374625792.0,26990505984.0,32011930337.280003,29,4364364536.739525,15190702221.21123,disk_level_UD_exact_sum,False
0,8,persistence,100.0,0.0,0.0,776037994496.0,853436100608.0,1022410264576.0,776037994496.0,853436100608.0,1022410264576.0,0.0,39.27189163038219,-185374625792.0,26990505984.0,32011930337.280003,29,1719499325.638835,16446753450.666666,disk_level_UD_exact_sum,False
0,8,ridge,100.0,0.0,0.0,776037994496.0,853436100608.0,1022410264576.0,746454147874.0361,853821605837.8315,1019016725403.6726,0.0,39.27189163038219,-185374625792.0,26990505984.0,32011930337.280003,29,2094626835.0905454,15197619933.495684,disk_level_UD_exact_sum,False
1,1,lightgbm,100.0,0.0,0.0,737210802176.0,855611379712.0,974763266048.0,783296193220.1495,856217700209.5524,966095932601.5107,0.0,39.903323262839876,-54840901632.0,33256579072.0,31686467461.120003,36,18043645026.80027,15566070563.907484,disk_level_UD_exact_sum,False
1,1,persistence,100.0,0.0,0.0,737210802176.0,855611379712.0,974763266048.0,737210802176.0,855612350464.0,974763266048.0,0.0,39.903323262839876,-54840901632.0,33256579072.0,31686467461.120003,36,998981082.7184466,15553023652.226416,disk_level_UD_exact_sum,False
1,1,ridge,100.0,0.0,0.0,737210802176.0,855611379712.0,974763266048.0,730018738789.4513,855633664952.867,973495646804.4636,0.0,39.903323262839876,-54840901632.0,33256579072.0,31686467461.120003,36,1157358129.3066728,15223714662.541233,disk_level_UD_exact_sum,False
1,8,lightgbm,100.0,0.0,0.0,737210802176.0,855615856640.0,974763266048.0,782831957176.871,856075995771.4269,966590211075.8004,0.0,39.900822447992255,-54840901632.0,33256579072.0,31687176355.839996,36,18036817252.81884,15680388541.449394,disk_level_UD_exact_sum,False
1,8,persistence,100.0,0.0,0.0,737210802176.0,855615856640.0,974763266048.0,737210802176.0,855618945024.0,974763266048.0,0.0,39.900822447992255,-54840901632.0,33256579072.0,31687176355.839996,36,999807415.0525932,15553023652.226416,disk_level_UD_exact_sum,False
1,8,ridge,100.0,0.0,0.0,737210802176.0,855615856640.0,974763266048.0,730134524284.5426,855637427686.804,973527932668.5427,0.0,39.900822447992255,-54840901632.0,33256579072.0,31687176355.839996,36,1156975522.021801,15233429601.737007,disk_level_UD_exact_sum,False
2,1,lightgbm,100.0,0.0,0.0,761351335936.0,828853899264.0,942247657472.0,755367607996.6091,829491734850.1573,934266613239.6327,0.0,35.52790529113312,-42779566080.0,29015027712.0,32027558543.359978,28,4529925558.899128,12152283151.110031,disk_level_UD_exact_sum,False
2,1,persistence,100.0,0.0,0.0,761351335936.0,828853899264.0,942247657472.0,761351335936.0,828845457408.0,942247657472.0,0.0,35.52790529113312,-42779566080.0,29015027712.0,32027558543.359978,28,1543685253.662344,14752721286.095238,disk_level_UD_exact_sum,False
2,1,ridge,100.0,0.0,0.0,761351335936.0,828853899264.0,942247657472.0,761266692801.2433,828904804611.8651,941335919898.2146,0.0,35.52790529113312,-42779566080.0,29015027712.0,32027558543.359978,28,1698925276.5892644,14074465101.463547,disk_level_UD_exact_sum,False
2,8,lightgbm,100.0,0.0,0.0,761351335936.0,828843343872.0,942247657472.0,778340080877.8636,828220161981.1309,934058975213.165,0.0,35.521702333454236,-42779566080.0,29015027712.0,32029070950.40001,28,4015004233.4605627,12161599511.894943,disk_level_UD_exact_sum,False
2,8,persistence,100.0,0.0,0.0,761351335936.0,828843343872.0,942247657472.0,761351335936.0,828842270720.0,942247657472.0,0.0,35.521702333454236,-42779566080.0,29015027712.0,32029070950.40001,28,1544937606.1484716,14752721286.095238,disk_level_UD_exact_sum,False
2,8,ridge,100.0,0.0,0.0,761351335936.0,828843343872.0,942247657472.0,761267019560.4093,828882846852.2754,941335864625.6467,0.0,35.521702333454236,-42779566080.0,29015027712.0,32029070950.40001,28,1700338936.08756,14074439191.09831,disk_level_UD_exact_sum,False
