fold,horizon,base_model,reconciliation_method,reset_threshold_train,reset_event_count,normal_period_mae,reset_near_mae,reset_mae_vs_normal_ratio
0,1,lightgbm,independent,32010417930.23999,29,4653430509.823082,15162311609.364697,3.2583083764457355
0,1,lightgbm,bottom_up,32010417930.23999,29,42868814158.90671,44040002724.580025,1.0273202930534056
0,1,lightgbm,top_down,32010417930.23999,29,4653430509.823082,15162311609.364697,3.2583083764457355
0,1,lightgbm,wls,32010417930.23999,29,24346153477.582104,28585497191.957355,1.1741278645219595
0,1,lightgbm,mint,32010417930.23999,29,28211507844.47475,31685966352.787304,1.1231574904633475
0,1,persistence,independent,32010417930.23999,29,1718113094.8679519,16446753450.666666,9.572567428648057
0,1,persistence,bottom_up,32010417930.23999,29,1718113094.8679519,16446753450.666666,9.572567428648057
0,1,persistence,top_down,32010417930.23999,29,1718113094.8679519,16446753450.666666,9.572567428648057
0,1,persistence,wls,32010417930.23999,29,1718113094.9099429,16446753450.655655,9.572567428407693
0,1,persistence,mint,32010417930.23999,29,1718113094.9392478,16446753450.646938,9.572567428239346
0,1,ridge,independent,32010417930.23999,29,2095454978.890302,15197620185.980911,7.252658892260798
0,1,ridge,bottom_up,32010417930.23999,29,2457121378.5434723,16490859084.061821,6.711454805638149
0,1,ridge,top_down,32010417930.23999,29,2095454978.890302,15197620185.980911,7.252658892260798
0,1,ridge,wls,32010417930.23999,29,2176356631.705956,15609190603.998653,7.172165800677279
0,1,ridge,mint,32010417930.23999,29,2140472838.777036,15491784507.172144,7.237552482106435
0,8,lightgbm,independent,32011930337.280003,29,4364364536.739525,15190702221.21123,3.480621770554416
0,8,lightgbm,bottom_up,32011930337.280003,29,42974705796.39388,43258984870.87112,1.0066150324757102
0,8,lightgbm,top_down,32011930337.280003,29,4364364536.739525,15190702221.21123,3.480621770554416
0,8,lightgbm,wls,32011930337.280003,29,28833089219.68554,31722238591.8528,1.1002025606813826
0,8,lightgbm,mint,32011930337.280003,29,34487399010.43145,36298286662.60335,1.0525086757520958
0,8,persistence,independent,32011930337.280003,29,1719499325.638835,16446753450.666666,9.564850189491239
0,8,persistence,bottom_up,32011930337.280003,29,1719499325.638835,16446753450.666666,9.564850189491239
0,8,persistence,top_down,32011930337.280003,29,1719499325.638835,16446753450.666666,9.564850189491239
0,8,persistence,wls,32011930337.280003,29,1719499325.6154287,16446753450.674131,9.564850189625778
0,8,persistence,mint,32011930337.280003,29,1719499325.6474025,16446753450.664356,9.564850189442236
0,8,ridge,independent,32011930337.280003,29,2094626835.0905454,15197619933.495684,7.2555262249558305
0,8,ridge,bottom_up,32011930337.280003,29,2457293456.606685,16490734895.034185,6.710934280436533
0,8,ridge,top_down,32011930337.280003,29,2094626835.0905454,15197619933.495684,7.2555262249558305
0,8,ridge,wls,32011930337.280003,29,2184780136.3516507,15645286662.6261,7.161034834723487
0,8,ridge,mint,32011930337.280003,29,2157860312.9667068,15540733909.040665,7.201918407626064
1,1,lightgbm,independent,31686467461.120003,36,18043645026.80027,15566070563.907484,0.8626899133067161
1,1,lightgbm,bottom_up,31686467461.120003,36,94094098499.57413,80031575928.13882,0.8505483043498318
1,1,lightgbm,top_down,31686467461.120003,36,18043645026.80027,15566070563.907484,0.8626899133067161
1,1,lightgbm,wls,31686467461.120003,36,23053918925.712112,17713512660.51597,0.7683514771434382
1,1,lightgbm,mint,31686467461.120003,36,17515383404.26275,15461609366.92667,0.8827445571738813
1,1,persistence,independent,31686467461.120003,36,998981082.7184466,15553023652.226416,15.568887060306714
1,1,persistence,bottom_up,31686467461.120003,36,998981082.7184466,15553023652.226416,15.568887060306714
1,1,persistence,top_down,31686467461.120003,36,998981082.7184466,15553023652.226416,15.568887060306714
1,1,persistence,wls,31686467461.120003,36,998981082.6645737,15553023652.198566,15.568887061118435
1,1,persistence,mint,31686467461.120003,36,998981082.9079846,15553023652.285667,15.568887057412121
1,1,ridge,independent,31686467461.120003,36,1157358129.3066728,15223714662.541233,13.153849510402761
1,1,ridge,bottom_up,31686467461.120003,36,1519014455.697528,17285721714.8596,11.379563670394457
1,1,ridge,top_down,31686467461.120003,36,1157358129.3066728,15223714662.541233,13.153849510402761
1,1,ridge,wls,31686467461.120003,36,1267663321.3551288,16217780692.863546,12.793444773275274
1,1,ridge,mint,31686467461.120003,36,1210601286.0922344,15904608481.992886,13.137775966959556
1,8,lightgbm,independent,31687176355.839996,36,18036817252.81884,15680388541.449394,0.8693545164681881
1,8,lightgbm,bottom_up,31687176355.839996,36,44033253820.61797,32280043326.060234,0.7330833069380293
1,8,lightgbm,top_down,31687176355.839996,36,18036817252.81884,15680388541.449394,0.8693545164681881
1,8,lightgbm,wls,31687176355.839996,36,20276485121.94452,16436179537.13764,0.8106029934818114
1,8,lightgbm,mint,31687176355.839996,36,19750733719.424187,16286326656.033169,0.8245935005450512
1,8,persistence,independent,31687176355.839996,36,999807415.0525932,15553023652.226416,15.556019507425113
1,8,persistence,bottom_up,31687176355.839996,36,999807415.0525932,15553023652.226416,15.556019507425113
1,8,persistence,top_down,31687176355.839996,36,999807415.0525932,15553023652.226416,15.556019507425113
1,8,persistence,wls,31687176355.839996,36,999807415.0501786,15553023652.2215,15.556019507457764
1,8,persistence,mint,31687176355.839996,36,999807415.1896889,15553023652.2621,15.556019505327729
1,8,ridge,independent,31687176355.839996,36,1156975522.021801,15233429601.737007,13.166596277781892
1,8,ridge,bottom_up,31687176355.839996,36,1428204421.9338424,17336463090.239384,12.138642636860878
1,8,ridge,top_down,31687176355.839996,36,1156975522.021801,15233429601.737007,13.166596277781892
1,8,ridge,wls,31687176355.839996,36,1224877030.3675709,16247715320.546986,13.264772640622741
1,8,ridge,mint,31687176355.839996,36,1185094823.1812277,15921700126.353704,13.434958802380084
2,1,lightgbm,independent,32027558543.359978,28,4529925558.899128,12152283151.110031,2.6826672962068066
2,1,lightgbm,bottom_up,32027558543.359978,28,34087104523.767006,25562672005.7199,0.7499220706146073
2,1,lightgbm,top_down,32027558543.359978,28,4529925558.899128,12152283151.110031,2.6826672962068066
2,1,lightgbm,wls,32027558543.359978,28,14632195521.672,16070321133.538258,1.0982850187954516
2,1,lightgbm,mint,32027558543.359978,28,18910829101.81877,18118666874.736256,0.9581106559200872
2,1,persistence,independent,32027558543.359978,28,1543685253.662344,14752721286.095238,9.556819468926633
2,1,persistence,bottom_up,32027558543.359978,28,1543685253.662344,14752721286.095238,9.556819468926633
2,1,persistence,top_down,32027558543.359978,28,1543685253.662344,14752721286.095238,9.556819468926633
