run_id,fold,horizon,base_model,reconciliation_method,top_mae,top_rmse,top_r2,top_mase,mase_valid,coherence_before,coherence_after,is_coherent_after,adj_mean,adj_max,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,ind_top_mae,normal_period_mae,reset_near_mae,reset_event_count,wall_train_sec_sum,mae_machine01_UD,mae_machine02_UD,mae_machine03_UD,mae_machine04_UD,mae_machine05_UD,mae_machine06_UD,mae_machine07_UD,pers_ind,same_ind,rel_vs_ind,rel_vs_pers
base__disk_ud__f0__h1__lightgbm__s0__independent__nn0,0,1,lightgbm,independent,4734846231.63901,7912832678.121678,0.9806026955121062,3.949461347487714,True,41640542302.28822,41640542302.28822,False,0.0,0.0,14792371972.801058,18084161583.46403,47516320542.46031,18417958.407105297,0,0,4734846231.63901,4653430509.823082,15162311609.364697,29,1.377621291999276,13478090875.691359,1864342060.4318917,28346652709.11867,47516320542.46031,2910262441.485126,18417958.407105297,9412517222.01294,1848015504.270662,4734846231.63901,1.0,2.5621247336383495
base__disk_ud__f0__h1__lightgbm__s0__bottom_up__nn0,0,1,lightgbm,bottom_up,42905278509.414154,51656751789.30706,0.17333108683088683,35.78843552380135,True,41640542302.28822,0.0,True,5205067787.786028,117515490837.22925,14792371972.801058,18084161583.46403,47516320542.46031,18417958.407105297,0,0,4734846231.63901,42868814158.90671,44040002724.580025,29,1.377621291999276,13478090875.691359,1864342060.4318917,28346652709.11867,47516320542.46031,2910262441.485126,18417958.407105297,9412517222.01294,1848015504.270662,4734846231.63901,9.0615991334025,23.216947266006382
base__disk_ud__f0__h1__lightgbm__s0__top_down__nn0,0,1,lightgbm,top_down,4734846231.63901,7912832678.121678,0.9806026955121062,3.949461347487714,True,41640542302.28822,8.084429468493234e-05,True,5205067787.786027,25721459501.77115,15066209408.657774,18737122266.30678,41973654323.82226,959297035.865982,2,5,4734846231.63901,4653430509.823082,15162311609.364697,29,1.377621291999276,10972697929.234463,8378297035.751278,29117291107.67705,41973654323.82226,3614384282.309737,959297035.865982,10447844145.94365,1848015504.270662,4734846231.63901,1.0,2.5621247336383495
base__disk_ud__f0__h1__lightgbm__s0__wls__nn0,0,1,lightgbm,wls,24401942840.471176,29330805067.335804,0.7334827118839375,20.354310433157305,True,41640542302.28822,0.0,True,5205067787.786024,64509095407.55957,15192222944.977703,18319453018.787693,46369293948.62431,18552908.587729216,1,6,4734846231.63901,24346153477.582104,28585497191.957355,29,1.377621291999276,17383113929.649513,1865082720.3786283,28375830188.24092,46369293948.62431,2911036329.7686543,18552908.587729216,9422650589.59416,1848015504.270662,4734846231.63901,5.153692780435706,13.204403742327719
base__disk_ud__f0__h1__lightgbm__s0__mint__nn0,0,1,lightgbm,mint,28262302684.734676,33996475956.497253,0.6419487287690936,23.574339394274112,True,41640542302.28822,0.0,True,5278171102.2364235,75711257730.81982,15071292325.218012,18316283894.787685,47761844387.20174,18433029.802267503,1,6,4734846231.63901,28211507844.47475,31685966352.787304,29,1.377621291999276,15159580355.685198,1865254015.512731,28369206072.34311,47761844387.20174,2906936412.389521,18433029.802267503,9417792003.591522,1848015504.270662,4734846231.63901,5.969001167531352,15.293325526448264
base__disk_ud__f0__h1__persistence__s0__independent__nn0,0,1,persistence,independent,1848015504.270662,5749994027.905774,0.9897573529986721,1.5414789512918345,True,0.0,0.0,True,0.0,0.0,292520190.6743079,304008637.9728151,908892486.6505558,4573039.481875302,0,0,1848015504.270662,1718113094.8679519,16446753450.666666,29,0.0001539570021122,908892486.6505558,21531023.899468344,202662098.83808604,868033584.0077332,19156564.384726923,4573039.481875302,22792537.457709037,1848015504.270662,1848015504.270662,1.0,1.0
base__disk_ud__f0__h1__persistence__s0__bottom_up__nn0,0,1,persistence,bottom_up,1848015504.270662,5749994027.905774,0.9897573529986721,1.5414789512918345,True,0.0,0.0,True,0.0,0.0,292520190.6743079,304008637.9728151,908892486.6505558,4573039.481875302,0,0,1848015504.270662,1718113094.8679519,16446753450.666666,29,0.0001539570021122,908892486.6505558,21531023.899468344,202662098.83808604,868033584.0077332,19156564.384726923,4573039.481875302,22792537.457709037,1848015504.270662,1848015504.270662,1.0,1.0
base__disk_ud__f0__h1__persistence__s0__top_down__nn0,0,1,persistence,top_down,1848015504.270662,5749994027.905774,0.9897573529986721,1.5414789512918345,True,0.0,7.374958464233929e-08,True,8.279543213362622e-07,3.0517578125e-05,292520190.6743079,304008637.97281516,908892486.6505558,4573039.481875302,0,2,1848015504.270662,1718113094.8679519,16446753450.666666,29,0.0001539570021122,908892486.6505558,21531023.899468374,202662098.83808604,868033584.0077332,19156564.38472697,4573039.481875302,22792537.457709037,1848015504.270662,1848015504.270662,1.0,1.0
base__disk_ud__f0__h1__persistence__s0__wls__nn0,0,1,persistence,wls,1848015504.311834,5749994027.905775,0.9897573529986721,1.5414789513261773,True,0.0,0.0,True,0.05944885067919016,0.2443084716796875,292520190.68667394,304008637.98230577,908892486.7366197,4573039.48187846,0,7,1848015504.270662,1718113094.9099429,16446753450.655655,29,0.0001539570021122,908892486.7366197,21531023.89947242,202662098.83811238,868033584.0081927,19156564.38473245,4573039.48187846,22792537.457709596,1848015504.270662,1848015504.270662,1.000000000022279,1.000000000022279
base__disk_ud__f0__h1__persistence__s0__mint__nn0,0,1,persistence,mint,1848015504.3405612,5749994027.90567,0.9897573529986724,1.5414789513501392,True,0.0,0.0,True,0.08179247321686116,0.337158203125,292520190.69074094,304008637.9862279,908892486.7527413,4573039.48188611,1,6,1848015504.270662,1718113094.9392478,16446753450.646938,29,0.0001539570021122,908892486.7527413,21531023.899443753,202662098.83849266,868033584.0201751,19156564.384734716,4573039.48188611,22792537.45771322,1848015504.270662,1848015504.270662,1.000000000037824,1.000000000037824
