base_model,horizon,fold,method,outcome,rel_mae_change,macro_rel,worst_rel,coh_reduction,reset_mae_rel_change
persistence,1,0,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,1,1,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,1,2,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,8,0,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,8,1,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
persistence,8,2,bottom_up,tie,0.0,0.0,0.0,0.0,0.0
ridge,1,0,bottom_up,loss,0.17027145682184158,0.0,0.0,1371630337.5730522,0.08509482947033126
ridge,1,1,bottom_up,loss,0.29496512600012836,0.0,0.0,804451259.9295046,0.13544703760062227
ridge,1,2,bottom_up,loss,0.01466368582135986,0.0,0.0,660729091.0202527,0.1820143000674591
ridge,8,0,bottom_up,loss,0.17078817491784803,0.0,0.0,1370320529.2032237,0.08508667588722003
ridge,8,1,bottom_up,loss,0.22446024755887226,0.0,0.0,710948694.4437817,0.13805384233781315
ridge,8,2,bottom_up,loss,0.014810876887859961,0.0,0.0,661735607.2129916,0.18197775549278775
lightgbm,1,0,bottom_up,loss,8.0615991334025,0.0,0.0,41640542302.28822,1.9045704810195039
lightgbm,1,1,bottom_up,loss,4.20476665975324,0.0,0.0,77052298911.05917,4.141411610564409
lightgbm,1,2,bottom_up,loss,6.414938945041829,0.0,0.0,36041391842.76695,1.103528340136225
lightgbm,8,0,bottom_up,loss,8.665741611714822,0.0,0.0,42188268954.98278,1.8477277903892626
lightgbm,8,1,bottom_up,loss,1.4329023428863306,0.0,0.0,27536612470.426746,1.0586252209715
lightgbm,8,2,bottom_up,loss,15.210982897038614,0.0,0.0,63896977551.5175,3.095719247845974
persistence,1,0,top_down,tie,0.0,0.0,0.0,-7.374958464233929e-08,0.0
persistence,1,1,top_down,tie,0.0,3.289311526896934e-16,3.2409140436420666e-16,0.0,0.0
persistence,1,2,top_down,tie,0.0,0.0,0.0,0.0,0.0
persistence,8,0,top_down,tie,0.0,0.0,0.0,-7.38120162655702e-08,0.0
persistence,8,1,top_down,tie,0.0,3.2866675638879003e-16,3.2381763759500926e-16,0.0,0.0
persistence,8,2,top_down,tie,0.0,1.1241471895418033e-16,0.0,0.0,0.0
ridge,1,0,top_down,tie,0.0,0.21455691752777944,-0.03823012220311261,1371630337.572974,0.0
ridge,1,1,top_down,tie,0.0,0.24285438681566354,-0.021691825407935936,804451259.9294188,0.0
ridge,1,2,top_down,tie,0.0,0.1552838840945095,-0.009018540917735511,660729091.020173,0.0
ridge,8,0,top_down,tie,0.0,0.2142840089859734,-0.038258472336899454,1370320529.2031476,0.0
ridge,8,1,top_down,tie,0.0,0.2217076151544923,-0.017572057083380548,710948694.4437054,0.0
ridge,8,2,top_down,tie,0.0,0.15534446751497408,-0.00919264828203025,661735607.2129216,0.0
lightgbm,1,0,top_down,tie,0.0,0.01851207070510564,-0.11664763086369785,41640542302.28814,0.0
lightgbm,1,1,top_down,tie,0.0,0.045386134319000015,-0.14261625179796075,77052298911.05911,0.0
lightgbm,1,2,top_down,tie,0.0,0.0749420328914585,0.013957467910858841,36041391842.76688,0.0
lightgbm,8,0,top_down,tie,0.0,0.017918447276841103,-0.11195141090049578,42188268954.982704,0.0
lightgbm,8,1,top_down,tie,0.0,0.03921839825172793,-0.057835426540492764,27536612470.426655,0.0
lightgbm,8,2,top_down,tie,0.0,0.0806661246040497,-0.20399618380961304,63896977551.51743,0.0
persistence,1,0,wls,loss,2.227904879193077e-11,4.227419794084954e-11,9.46909157144491e-11,0.0,-6.695013511484377e-13
persistence,1,1,wls,win,-4.553754545643422e-11,1.0494367514430688e-10,3.721330936901348e-11,0.0,-1.7905969932546652e-12
persistence,1,2,wls,loss,2.9682652251589246e-11,7.457515997263746e-11,1.4135183875152455e-10,0.0,1.068047497820962e-12
persistence,8,0,wls,win,-1.240403681447398e-11,-5.555910182282074e-12,-1.239921615434134e-11,0.0,4.539110147921332e-13
persistence,8,1,wls,win,-1.952978891383433e-12,6.023278444283521e-11,1.2355423871256377e-11,0.0,-3.160309877143533e-13
persistence,8,2,wls,tie,6.674948202576959e-13,1.1940354203156171e-11,2.344477542507621e-11,0.0,-5.042228836099445e-15
ridge,1,0,wls,loss,0.03983294271018344,0.044743419309360426,-0.04190497110592931,1371630337.5730522,0.027081241206264418
ridge,1,1,wls,loss,0.09244909934360727,-0.041692149812861505,-0.10457694519205292,804451259.9295046,0.06529720586318306
ridge,1,2,wls,win,-0.018404191825174096,-0.0035695173990402938,-0.010761955553467104,660729091.0202527,0.08407018149522168
ridge,8,0,wls,loss,0.04418189051689366,0.02746506363314385,-0.05327684228925561,1370320529.2032237,0.029456370871846556
ridge,8,1,wls,loss,0.05936504294761131,-0.028913091689276946,-0.0782424693783752,710948694.4437817,0.06658288680405386
ridge,8,2,wls,win,-0.018305762027601268,-0.003830925024127103,-0.011269383727166028,661735607.2129916,0.08403788706509054
lightgbm,1,0,wls,loss,4.153692780435706,0.02703088949573854,-0.024139634145514743,41640542302.28822,0.8852994139958249
lightgbm,1,1,wls,loss,0.27711894067422327,-0.3536776703687133,-0.09405181913222033,77052298911.05917,0.13795659526224202
lightgbm,1,2,wls,loss,2.193496783772435,-0.18031441455104077,-0.011639048246116704,36041391842.76695,0.32241167636637397
lightgbm,8,0,wls,loss,5.490974284494916,-0.014217225997633165,-0.03303451415993202,42188268954.98278,1.0882667654137868
lightgbm,8,1,wls,loss,0.12292857139642248,-0.028706597670794004,-0.022319208651317687,27536612470.426746,0.04819976199508034
lightgbm,8,2,wls,loss,3.521435090291183,-0.08303045841234995,-0.15180379013956916,63896977551.5175,0.4265233225806615
persistence,1,0,mint,loss,3.782386133790813e-11,5.6177524468786316e-11,1.1242857570950511e-10,0.0,-1.199489429227142e-12
persistence,1,1,mint,loss,1.6105056292102728e-10,2.4125570519929004e-10,1.8545984773609763e-10,0.0,3.809663420002477e-12
persistence,1,2,mint,loss,3.700151040252118e-11,8.267764351531961e-11,1.7338679528402942e-10,0.0,1.2464648258675576e-12
persistence,8,0,mint,loss,4.541473628694993e-12,6.4352701968407186e-12,7.990367160393877e-12,0.0,-1.404410421342037e-13
persistence,8,1,mint,loss,1.1654284605046295e-10,2.6635121071071904e-10,1.653121421686282e-11,0.0,2.294382518101605e-12
persistence,8,2,mint,win,-2.5830868901710943e-11,-4.514417732593346e-11,-1.0763245625474533e-10,0.0,-9.637121472893657e-13
ridge,1,0,mint,loss,0.022878068987723457,0.0967033345742255,-0.016871356707489217,1371630337.5730522,0.01935594636472001
ridge,1,1,mint,loss,0.04596114383967112,-0.05143849109445413,-0.1266529369080749,804451259.9295046,0.0447258658313551
ridge,1,2,mint,win,-0.017641934843010038,-0.001283114648239725,-0.004464974110193219,660729091.0202527,0.06420682320352643
ridge,8,0,mint,loss,0.031500126199669375,0.08043102067413536,-0.018976713142607442,1370320529.2032237,0.022576823018764593
ridge,8,1,mint,loss,0.0263080411840506,-0.032946493776156244,-0.08976159414025822,710948694.4437817,0.04518158698407721
ridge,8,2,mint,win,-0.017574762465730972,-0.0016127462339231634,-0.005110829525965743,661735607.2129916,0.06413980140691783
lightgbm,1,0,mint,loss,4.969001167531352,0.018855688116132342,0.005167147665022292,41640542302.28822,1.0897846693255602
lightgbm,1,1,mint,win,-0.029236428687707188,-0.24570699571899063,-0.07485043458345951,77052298911.05917,-0.00671082638048838
lightgbm,1,2,mint,loss,3.121910582203689,-0.025026597560975736,0.13075902374632448,36041391842.76695,0.4909681291520297
lightgbm,8,0,mint,loss,6.7602740383088005,-0.004997514915235224,0.01648502848159611,42188268954.98278,1.3895068268745978
lightgbm,8,1,mint,loss,0.09404685756968195,-0.017085136002501288,-0.002173150164584379,27536612470.426746,0.03864305485683874
lightgbm,8,2,mint,loss,5.284268915905346,0.12796885500249944,0.19512454550260147,63896977551.5175,0.7865914880002027
