base_model,horizon,reconciliation_method,fold,mae_machine01_UD,mae_machine02_UD,mae_machine03_UD,mae_machine04_UD,mae_machine05_UD,mae_machine06_UD,mae_machine07_UD,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
lightgbm,1,independent,0,13478090875.691359,1864342060.4318917,28346652709.11867,47516320542.46031,2910262441.485126,18417958.407105297,9412517222.01294,14792371972.801058,18084161583.46403,47516320542.46031,18417958.407105297,0,0,4734846231.63901
lightgbm,1,bottom_up,0,13478090875.691359,1864342060.4318917,28346652709.11867,47516320542.46031,2910262441.485126,18417958.407105297,9412517222.01294,14792371972.801058,18084161583.46403,47516320542.46031,18417958.407105297,0,0,42905278509.414154
lightgbm,1,top_down,0,10972697929.234463,8378297035.751278,29117291107.67705,41973654323.82226,3614384282.309737,959297035.865982,10447844145.94365,15066209408.657774,18737122266.30678,41973654323.82226,959297035.865982,2,5,4734846231.63901
lightgbm,1,wls,0,17383113929.649513,1865082720.3786283,28375830188.24092,46369293948.62431,2911036329.7686543,18552908.587729216,9422650589.59416,15192222944.977703,18319453018.787693,46369293948.62431,18552908.587729216,1,6,24401942840.471176
lightgbm,1,mint,0,15159580355.685198,1865254015.512731,28369206072.34311,47761844387.20174,2906936412.389521,18433029.802267503,9417792003.591522,15071292325.218012,18316283894.787685,47761844387.20174,18433029.802267503,1,6,28262302684.734676
persistence,1,independent,0,908892486.6505558,21531023.899468344,202662098.83808604,868033584.0077332,19156564.384726923,4573039.481875302,22792537.457709037,292520190.6743079,304008637.9728151,908892486.6505558,4573039.481875302,0,0,1848015504.270662
persistence,1,bottom_up,0,908892486.6505558,21531023.899468344,202662098.83808604,868033584.0077332,19156564.384726923,4573039.481875302,22792537.457709037,292520190.6743079,304008637.9728151,908892486.6505558,4573039.481875302,0,0,1848015504.270662
persistence,1,top_down,0,908892486.6505558,21531023.899468374,202662098.83808604,868033584.0077332,19156564.38472697,4573039.481875302,22792537.457709037,292520190.6743079,304008637.97281516,908892486.6505558,4573039.481875302,0,2,1848015504.270662
persistence,1,wls,0,908892486.7366197,21531023.89947242,202662098.83811238,868033584.0081927,19156564.38473245,4573039.48187846,22792537.457709596,292520190.68667394,304008637.98230577,908892486.7366197,4573039.48187846,0,7,1848015504.311834
persistence,1,mint,0,908892486.7527413,21531023.899443753,202662098.83849266,868033584.0201751,19156564.384734716,4573039.48188611,22792537.45771322,292520190.69074094,304008637.9862279,908892486.7527413,4573039.48188611,1,6,1848015504.3405612
ridge,1,independent,0,1160812756.7885027,113968869.14466816,428027697.5553921,1612370733.841185,22235753.85042319,6471305.986050512,23199848.848846927,481012423.7164384,530244393.9547837,1612370733.841185,6471305.986050512,0,0,2194093318.965312
ridge,1,bottom_up,0,1160812756.7885027,113968869.14466816,428027697.5553921,1612370733.841185,22235753.85042319,6471305.986050512,23199848.848846927,481012423.7164384,530244393.9547837,1612370733.841185,6471305.986050512,0,0,2567684784.788605
ridge,1,top_down,0,1210846671.8642268,337053483.7006127,586378380.9440225,1550729603.6497142,117821737.4032755,34430417.25162725,252258471.67774624,584216966.6416036,657452465.0181289,1550729603.6497142,34430417.25162725,1,6,2194093318.965312
ridge,1,wls,0,1378532776.9091551,114025318.56187366,428425656.13311553,1544804384.8275242,22259076.96706972,6472082.661742035,23222653.926083118,502534564.28379476,542378357.6452832,1544804384.8275242,6472082.661742035,1,6,2281490512.4404535
ridge,1,mint,0,1512841188.8668714,114096094.13549551,428637102.26014996,1585167852.0458343,22241271.139942516,6477008.277677129,23234986.704167295,527527929.0614483,564139156.995276,1585167852.0458343,6477008.277677129,1,6,2244289937.2821035
