claim,atomic_id,hierarchy,base_model,horizon,fold,method,relative_mae_diff,rel_ci_low,rel_ci_high,p_value_raw,reject_holm,verdict,effect_class,p_value_holm
A,A_cpu_lgbm_vs_pers_h1_f0,cpu_core_weighted,lightgbm,1,0,vs_persistence,-0.21891516417759282,-0.2523960863177465,-0.18860162536226757,0.0,True,support,substantial_improvement,0.0
A,A_cpu_lgbm_vs_pers_h1_f1,cpu_core_weighted,lightgbm,1,1,vs_persistence,-0.22805418789303677,-0.2721814729199273,-0.18721534316603097,0.0,True,support,substantial_improvement,0.0
A,A_cpu_lgbm_vs_pers_h1_f2,cpu_core_weighted,lightgbm,1,2,vs_persistence,-0.20461546205531878,-0.24063477729362967,-0.166984950722408,0.0,True,support,substantial_improvement,0.0
A,A_cpu_lgbm_vs_pers_h8_f0,cpu_core_weighted,lightgbm,8,0,vs_persistence,-0.21636592447249614,-0.25193775069026203,-0.17850625588932928,0.0,True,support,substantial_improvement,0.0
A,A_cpu_lgbm_vs_pers_h8_f1,cpu_core_weighted,lightgbm,8,1,vs_persistence,-0.22529693937513842,-0.2729855459483248,-0.18021810819852743,0.0,True,support,substantial_improvement,0.0
A,A_cpu_lgbm_vs_pers_h8_f2,cpu_core_weighted,lightgbm,8,2,vs_persistence,-0.2163101104165614,-0.25254913925476385,-0.176897373620951,0.0,True,support,substantial_improvement,0.0
A,A_cpu_lgbm_vs_pers_h16_f0,cpu_core_weighted,lightgbm,16,0,vs_persistence,-0.20546108155963277,-0.247328327283249,-0.16567714258558763,0.0,True,support,substantial_improvement,0.0
A,A_cpu_lgbm_vs_pers_h16_f1,cpu_core_weighted,lightgbm,16,1,vs_persistence,-0.2219861779883524,-0.27518614002510544,-0.1756392551275922,0.0,True,support,substantial_improvement,0.0
A,A_cpu_lgbm_vs_pers_h16_f2,cpu_core_weighted,lightgbm,16,2,vs_persistence,-0.21202760673393867,-0.24858997035975275,-0.17257741330359072,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f0_bottom_up,cpu_core_weighted,ridge,1,0,bottom_up,-0.1016320551448976,-0.12398347980560713,-0.08082610943334716,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f0_wls,cpu_core_weighted,ridge,1,0,wls,-0.08610786014336082,-0.10219683612232162,-0.07210951520312037,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f0_mint,cpu_core_weighted,ridge,1,0,mint,-0.09689327193757581,-0.1161657290892993,-0.07977238096695403,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f1_bottom_up,cpu_core_weighted,ridge,1,1,bottom_up,-0.11808614192901792,-0.14369645512409654,-0.09721159206529999,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f1_wls,cpu_core_weighted,ridge,1,1,wls,-0.09983265049545272,-0.11808369088264416,-0.08559359814077404,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f1_mint,cpu_core_weighted,ridge,1,1,mint,-0.10257660551633946,-0.12155591801631105,-0.08773568674887791,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f2_bottom_up,cpu_core_weighted,ridge,1,2,bottom_up,-0.056914740357961645,-0.0744573759620417,-0.03859932521284691,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f2_wls,cpu_core_weighted,ridge,1,2,wls,-0.05916341678053512,-0.07131030692319579,-0.0471904260325691,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h1_f2_mint,cpu_core_weighted,ridge,1,2,mint,-0.061731969288064,-0.0757499952047544,-0.04780953271216601,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f0_bottom_up,cpu_core_weighted,ridge,8,0,bottom_up,-0.1036504194909226,-0.12910848914546155,-0.08145184092445211,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f0_wls,cpu_core_weighted,ridge,8,0,wls,-0.08443945026125624,-0.10155175732477013,-0.07017732823337425,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f0_mint,cpu_core_weighted,ridge,8,0,mint,-0.09831847070101316,-0.1200166506022386,-0.0796783453760919,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f1_bottom_up,cpu_core_weighted,ridge,8,1,bottom_up,-0.11684109308836374,-0.14496019291097356,-0.09466600877403769,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f1_wls,cpu_core_weighted,ridge,8,1,wls,-0.09808273451271912,-0.1178091018659316,-0.08274693248873294,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f1_mint,cpu_core_weighted,ridge,8,1,mint,-0.10111410791222684,-0.12173175041154642,-0.0850350712183817,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f2_bottom_up,cpu_core_weighted,ridge,8,2,bottom_up,-0.06600172491844411,-0.08411479254698596,-0.046320649006365316,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f2_wls,cpu_core_weighted,ridge,8,2,wls,-0.06446614079604941,-0.07703813937263324,-0.05098753565539748,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h8_f2_mint,cpu_core_weighted,ridge,8,2,mint,-0.06814349684017511,-0.08272423214007892,-0.05259149425406612,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f0_bottom_up,cpu_core_weighted,ridge,16,0,bottom_up,-0.10726584241339394,-0.13441757948083358,-0.08470863711925611,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f0_wls,cpu_core_weighted,ridge,16,0,wls,-0.0861720536410025,-0.10477423373111454,-0.07122665698510212,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f0_mint,cpu_core_weighted,ridge,16,0,mint,-0.10143572643683753,-0.12537312961771677,-0.08211605236643467,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f1_bottom_up,cpu_core_weighted,ridge,16,1,bottom_up,-0.11769941736554115,-0.1471578947835123,-0.09480276065670429,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f1_wls,cpu_core_weighted,ridge,16,1,wls,-0.09897850704186356,-0.12005584612842721,-0.08328963015602847,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f1_mint,cpu_core_weighted,ridge,16,1,mint,-0.10212848448188223,-0.12413778727779763,-0.08564183859596056,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f2_bottom_up,cpu_core_weighted,ridge,16,2,bottom_up,-0.06180008933902274,-0.08264705548702404,-0.04097094533036775,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f2_wls,cpu_core_weighted,ridge,16,2,wls,-0.061463593339453254,-0.07592743829038213,-0.047627578736830045,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_ridge_h16_f2_mint,cpu_core_weighted,ridge,16,2,mint,-0.06450722382492587,-0.08091972221652066,-0.048573237048610364,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f0_bottom_up,cpu_core_weighted,lightgbm,1,0,bottom_up,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f0_wls,cpu_core_weighted,lightgbm,1,0,wls,-0.09876764591525787,-0.11951816789295366,-0.07832253672809089,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f0_mint,cpu_core_weighted,lightgbm,1,0,mint,-0.10071003332852008,-0.12269060745535496,-0.07903395448390742,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f1_bottom_up,cpu_core_weighted,lightgbm,1,1,bottom_up,-0.07717925236653382,-0.12234173838922459,-0.03330019822253519,0.0024,True,support,substantial_improvement,0.0048
B,B_cpu_core_weighted_lightgbm_h1_f1_wls,cpu_core_weighted,lightgbm,1,1,wls,-0.08566796483239265,-0.11327959032944716,-0.05733575632177113,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f1_mint,cpu_core_weighted,lightgbm,1,1,mint,-0.08599750550226194,-0.11423435532520912,-0.05712996753551647,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f2_bottom_up,cpu_core_weighted,lightgbm,1,2,bottom_up,-0.11195607588786474,-0.14529773315047104,-0.07491041212115082,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f2_wls,cpu_core_weighted,lightgbm,1,2,wls,-0.1154836356358882,-0.13844268371209645,-0.09131780544191749,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h1_f2_mint,cpu_core_weighted,lightgbm,1,2,mint,-0.1200825828937573,-0.14761516207941217,-0.08981749290632834,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f0_bottom_up,cpu_core_weighted,lightgbm,8,0,bottom_up,-0.08554422343579791,-0.1261671124365099,-0.047082693036416975,0.0,True,support,substantial_improvement,0.0
B,B_cpu_core_weighted_lightgbm_h8_f0_wls,cpu_core_weighted,lightgbm,8,0,wls,-0.09489588230971382,-0.11598208849306406,-0.07567532718434893,0.0,True,support,substantial_improvement,0.0
