hierarchy,unit,base_model,horizon,fold,method_a,method_b,npz_path,correction_family,in_holm_family,effect_class,tradeoff_class,coherence_before,coherence_after,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,rel_ci_low,rel_ci_high,prob_improvement,p_value_raw,abs_ci_crosses_zero,rel_ci_crosses_zero,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,ci_low,ci_high,p_value_holm,holm_rank,family_size,alpha,reject_holm_0.05
memory_um,memory_level,persistence,1,0,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8276,32,5000,0,0.0,0.0,1294154012.0869985,1294154012.0869985,0.0,0.0,0.0,0.0,1.0,True,True,228518221.43809983,228518221.43809983,0.0,1599627550.066699,1599627550.066699,0.0,428567797.97776705,428567797.97776705,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,1,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8276,32,5000,0,-0.00043999739693466046,-0.040283203125,1294154012.0869985,1294154012.0865586,-3.399884347807299e-13,-8.114569230218823e-13,2.190612993971076e-13,0.8866,0.2268,True,True,228518221.43809983,228518221.43881765,3.1411881840874095e-12,1599627550.066699,1599627550.071724,3.1412999688177474e-12,428567797.97776705,428567797.97780013,7.71886688790788e-14,3,4,-0.0010771095954375085,0.0002636557330596608,,,0,0.05,False
memory_um,memory_level,persistence,1,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8276,32,5000,0,0.002084655540469996,0.18927001953125,1294154012.0869985,1294154012.0890834,1.6108249257815974e-12,-1.0117595738550753e-12,3.8218453579718005e-12,0.108,0.216,True,True,228518221.43809983,228518221.43409228,-1.7537105218899692e-11,1599627550.066699,1599627550.0386462,-1.75370865881113e-11,428567797.97776705,428567797.97819114,9.895448271615237e-13,5,2,-0.0012212443086708036,0.005075513020179419,,,0,0.05,False
memory_um,memory_level,persistence,1,1,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8276,32,5000,0,0.0,0.0,843922661.6452392,843922661.6452392,0.0,0.0,0.0,0.0,1.0,True,True,157294732.34661326,157294732.34661326,0.0,1101063126.426293,1101063126.426293,0.0,271525107.0082165,271525107.0082165,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,1,1,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8276,32,5000,0,0.0001932128493252326,0.05033111572265625,843922661.6452392,843922661.6454324,2.2894615597661686e-13,-7.780049950083756e-13,1.235627023413467e-12,0.338,0.676,True,True,157294732.34661326,157294732.34648898,-7.900816670887406e-13,1101063126.426293,1101063126.4254231,-7.899192659238713e-13,271525107.0082165,271525107.0050012,-1.1841678263904983e-11,5,2,-0.0006673962209119839,0.000990840557867228,,,0,0.05,False
memory_um,memory_level,persistence,1,1,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8276,32,5000,0,-0.0004821840030896946,-0.20101165771484375,843922661.6452392,843922661.6447572,-5.71360416071385e-13,-4.4158563845249186e-12,3.3061127525730716e-12,0.5958,0.8084,True,True,157294732.34661326,157294732.34227878,-2.7556419123034418e-11,1101063126.426293,1101063126.3959515,-2.7556446189895226e-11,271525107.0082165,271525107.0005931,-2.8076130955716732e-11,2,5,-0.0035483386563816876,0.002825461129971666,,,0,0.05,False
memory_um,memory_level,persistence,1,2,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8279,32,5000,0,0.0,0.0,1042314122.8689455,1042314122.8689455,0.0,0.0,0.0,0.0,1.0,True,True,190911648.209273,190911648.209273,0.0,1336381537.464911,1336381537.464911,0.0,451439811.7956275,451439811.7956275,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,1,2,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8279,32,5000,0,-0.0011784285936886625,-0.055877685546875,1042314122.8689455,1042314122.8677671,-1.1305887235270928e-12,-2.0104980152452897e-12,-2.991190021754182e-13,0.9956,0.0088,False,False,190911648.209273,190911648.210556,6.720333676989152e-12,1336381537.464911,1336381537.473892,6.720378278506836e-12,451439811.7956275,451439811.7964282,1.7737221596111637e-12,1,6,-0.0021108379195833396,-0.0002939323538641875,,,0,0.05,False
memory_um,memory_level,persistence,1,2,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8279,32,5000,0,0.003799646743643556,0.188385009765625,1042314122.8689455,1042314122.8727453,3.645395049608573e-12,8.532394301986171e-13,6.577036947477192e-12,0.0056,0.0112,False,False,190911648.209273,190911648.20569912,-1.8720149002196032e-11,1336381537.464911,1336381537.4398937,-1.8720149002196032e-11,451439811.7956275,451439811.7829074,-2.817662088105848e-11,3,4,0.0008509267195798248,0.006920103111594233,,,0,0.05,False
memory_um,memory_level,persistence,8,0,independent,bottom_up,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,0.0,0.0,1291570370.298706,1291570370.298706,0.0,0.0,0.0,0.0,1.0,True,True,228173977.45051223,228173977.45051223,0.0,1597217842.1535857,1597217842.1535857,0.0,427958992.2302576,427958992.2302576,0.0,0,0,0.0,0.0,,,0,0.05,False
memory_um,memory_level,persistence,8,0,independent,wls,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,-0.0003909527253522191,-0.03228759765625,1291570370.298706,1291570370.298315,-3.0269564426582665e-13,-6.973596425717547e-13,1.2073677218242874e-13,0.9214,0.1572,True,True,228173977.45051223,228173977.45110226,2.5858618288738046e-12,1597217842.1535857,1597217842.1577153,2.5855259687369962e-12,427958992.2302576,427958992.23022974,-6.504214098889871e-14,2,5,-0.0009211902016378945,0.00014411002696677712,,,0,0.05,False
memory_um,memory_level,persistence,8,0,independent,mint,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,memory_persistence_descriptive,False,accuracy_neutral,coherence_only,0.0,0.0,8269,32,5000,0,-0.00030440075507921153,-0.0261993408203125,1291570370.298706,1291570370.2984016,-2.3568267132731736e-13,-5.540114011060167e-13,1.0591679590905293e-13,0.9124,0.1752,True,True,228173977.45051223,228173977.45095828,1.954873926293274e-12,1597217842.1535857,1597217842.1567082,1.955004538568699e-12,427958992.2302576,427958992.2301782,-1.8551634217818648e-13,4,3,-0.0007317661936330109,0.00012842469671528253,,,0,0.05,False
