hierarchy,base_model,horizon,fold,method_b,relative_mae_diff,rel_ci_low,rel_ci_high,rel_ci_crosses_zero,prob_improvement,p_value_raw,n_boot,block_length,n_paired
memory_um,persistence,1,0,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8276
memory_um,persistence,1,0,wls,-3.399884347807299e-13,-8.114569230218823e-13,2.190612993971076e-13,True,0.8866,0.2268,5000,32,8276
memory_um,persistence,1,0,mint,1.6108249257815974e-12,-1.0117595738550753e-12,3.8218453579718005e-12,True,0.108,0.216,5000,32,8276
memory_um,persistence,1,1,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8276
memory_um,persistence,1,1,wls,2.2894615597661686e-13,-7.780049950083756e-13,1.235627023413467e-12,True,0.338,0.676,5000,32,8276
memory_um,persistence,1,1,mint,-5.71360416071385e-13,-4.4158563845249186e-12,3.3061127525730716e-12,True,0.5958,0.8084,5000,32,8276
memory_um,persistence,1,2,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8279
memory_um,persistence,1,2,wls,-1.1305887235270928e-12,-2.0104980152452897e-12,-2.991190021754182e-13,False,0.9956,0.0088,5000,32,8279
memory_um,persistence,1,2,mint,3.645395049608573e-12,8.532394301986171e-13,6.577036947477192e-12,False,0.0056,0.0112,5000,32,8279
memory_um,persistence,8,0,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8269
memory_um,persistence,8,0,wls,-3.0269564426582665e-13,-6.973596425717547e-13,1.2073677218242874e-13,True,0.9214,0.1572,5000,32,8269
memory_um,persistence,8,0,mint,-2.3568267132731736e-13,-5.540114011060167e-13,1.0591679590905293e-13,True,0.9124,0.1752,5000,32,8269
memory_um,persistence,8,1,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8269
memory_um,persistence,8,1,wls,3.2861457971121426e-13,-1.3761256668318356e-12,2.1226186404726417e-12,True,0.37,0.74,5000,32,8269
memory_um,persistence,8,1,mint,1.522823002812454e-13,-1.8440108575752817e-12,2.233129960325909e-12,True,0.458,0.916,5000,32,8269
memory_um,persistence,8,2,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8272
memory_um,persistence,8,2,wls,-2.0869371671325115e-13,-3.66116277463649e-13,-5.789918005262431e-14,False,0.997,0.006,5000,32,8272
memory_um,persistence,8,2,mint,4.783024907968171e-13,1.4176880624322469e-13,8.281029192007945e-13,False,0.0022,0.0044,5000,32,8272
memory_um,persistence,16,0,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8261
memory_um,persistence,16,0,wls,-1.0413441200618259e-14,-1.4498108024021488e-14,-6.287340501422321e-15,False,1.0,0.0,5000,32,8261
memory_um,persistence,16,0,mint,1.3797414434709053e-14,-3.817921382921359e-14,6.048620608664808e-14,True,0.2788,0.5576,5000,32,8261
memory_um,persistence,16,1,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8261
memory_um,persistence,16,1,wls,2.3725777221096394e-13,-2.6566018842106376e-12,3.105665821354889e-12,True,0.4362,0.8724,5000,32,8261
memory_um,persistence,16,1,mint,2.043087649550433e-13,-1.2130656232854237e-12,1.6205425729807919e-12,True,0.3864,0.7728,5000,32,8261
memory_um,persistence,16,2,bottom_up,0.0,0.0,0.0,True,0.0,1.0,5000,32,8264
memory_um,persistence,16,2,wls,-2.7744730438137093e-13,-4.822005566822702e-13,-7.926286721261432e-14,False,0.9972,0.0056,5000,32,8264
memory_um,persistence,16,2,mint,-8.006705976746375e-13,-1.4268111037197372e-12,-1.8966639279305647e-13,False,0.9962,0.0076,5000,32,8264
memory_um,ridge,1,0,bottom_up,-0.07013597059835715,-0.09063244521566931,-0.05229922488134277,False,1.0,0.0,5000,32,8276
memory_um,ridge,1,0,wls,-0.06345114148983035,-0.07779920294958971,-0.0512902020780322,False,1.0,0.0,5000,32,8276
memory_um,ridge,1,0,mint,-0.06570805721242289,-0.08115852751106595,-0.05256035857556106,False,1.0,0.0,5000,32,8276
memory_um,ridge,1,1,bottom_up,-0.05075766082520788,-0.06799505067126847,-0.0346693492824937,False,1.0,0.0,5000,32,8276
memory_um,ridge,1,1,wls,-0.056807395824663806,-0.06971376785954513,-0.04509533222982934,False,1.0,0.0,5000,32,8276
memory_um,ridge,1,1,mint,-0.05653504350154827,-0.06925375734652692,-0.04499112642735704,False,1.0,0.0,5000,32,8276
memory_um,ridge,1,2,bottom_up,0.03905442806947893,0.018461483154386952,0.05982231136923853,False,0.0,0.0,5000,32,8279
memory_um,ridge,1,2,wls,0.0006925504820053889,-0.013132892151374908,0.014061743955587508,True,0.482,0.964,5000,32,8279
memory_um,ridge,1,2,mint,0.00014597888152715572,-0.013494459158671484,0.013352413119402683,True,0.5122,0.9756,5000,32,8279
memory_um,ridge,8,0,bottom_up,-0.07050773500301608,-0.09088073950382199,-0.05244123596996663,False,1.0,0.0,5000,32,8269
memory_um,ridge,8,0,wls,-0.05877175806730305,-0.07090180767952813,-0.04799665068758144,False,1.0,0.0,5000,32,8269
memory_um,ridge,8,0,mint,-0.06194580425954888,-0.07528138745855534,-0.050155425751278584,False,1.0,0.0,5000,32,8269
memory_um,ridge,8,1,bottom_up,-0.050553524285236795,-0.06756325257454338,-0.03428352272660255,False,1.0,0.0,5000,32,8269
memory_um,ridge,8,1,wls,-0.05670884939712578,-0.06943150023972333,-0.04499596273836362,False,1.0,0.0,5000,32,8269
memory_um,ridge,8,1,mint,-0.056456675113268164,-0.06900599768777399,-0.044913403180233916,False,1.0,0.0,5000,32,8269
memory_um,ridge,8,2,bottom_up,0.039142812551315576,0.01862398386128173,0.06023932849285496,False,0.0002,0.0004,5000,32,8272
memory_um,ridge,8,2,wls,0.0007408966342760469,-0.012724704147882897,0.014287696700088677,True,0.4736,0.9472,5000,32,8272
memory_um,ridge,8,2,mint,0.0001884709954504877,-0.01313478271427994,0.013599455195806189,True,0.5062,0.9876,5000,32,8272
memory_um,ridge,16,0,bottom_up,-0.07103223696146779,-0.09046234296769946,-0.05230693494610964,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,0,wls,-0.05905926091040697,-0.07054215776332795,-0.048035885530187804,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,0,mint,-0.061987242172350736,-0.07447291422907508,-0.049958780719513124,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,1,bottom_up,-0.05104813543099859,-0.06803315069665847,-0.034872640721963985,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,1,wls,-0.05692954711877026,-0.06990256474869416,-0.04525302586731098,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,1,mint,-0.05665670761069279,-0.06945306493523189,-0.045109003174170145,False,1.0,0.0,5000,32,8261
memory_um,ridge,16,2,bottom_up,0.0391536227092747,0.018432323204306086,0.05919688617216602,False,0.0002,0.0004,5000,32,8264
memory_um,ridge,16,2,wls,0.0007711106318048585,-0.012882308581941474,0.01382796321973831,True,0.465,0.93,5000,32,8264
memory_um,ridge,16,2,mint,0.00022721762043815999,-0.013310158855201848,0.013094928455363959,True,0.4976,0.9952,5000,32,8264
memory_um,lightgbm,1,0,bottom_up,0.12249309937215673,0.057098007368322455,0.2080385221744598,False,0.0004,0.0008,5000,32,8276
memory_um,lightgbm,1,0,wls,0.01093223769885251,-0.03354339056135766,0.06920685372491596,True,0.3062,0.6124,5000,32,8276
memory_um,lightgbm,1,0,mint,-0.008518559740897784,-0.044948454689218854,0.03910417831744281,True,0.623,0.754,5000,32,8276
memory_um,lightgbm,1,1,bottom_up,-0.11554057564022002,-0.14390313408169578,-0.08765855371113852,False,1.0,0.0,5000,32,8276
memory_um,lightgbm,1,1,wls,-0.09663569464774631,-0.11546050537853089,-0.07789305758547256,False,1.0,0.0,5000,32,8276
memory_um,lightgbm,1,1,mint,-0.09771910612778921,-0.116903720641607,-0.07863416762518403,False,1.0,0.0,5000,32,8276
memory_um,lightgbm,1,2,bottom_up,-0.07100900256887177,-0.10001286552556753,-0.04147358393076704,False,1.0,0.0,5000,32,8279
memory_um,lightgbm,1,2,wls,-0.0756382146799501,-0.09573096523749726,-0.05504571288780916,False,1.0,0.0,5000,32,8279
memory_um,lightgbm,1,2,mint,-0.0766966887122207,-0.10084771748548724,-0.051745041152208154,False,1.0,0.0,5000,32,8279
memory_um,lightgbm,8,0,bottom_up,0.31614648221961095,0.2171210264061993,0.44686643416123645,False,0.0,0.0,5000,32,8269
memory_um,lightgbm,8,0,wls,0.058873052784607666,0.006546138493094192,0.12495641365460929,False,0.0126,0.0252,5000,32,8269
memory_um,lightgbm,8,0,mint,0.15216214902814562,0.08085755864996522,0.24449239587900445,False,0.0,0.0,5000,32,8269
