claim,hierarchy,base_model,horizon,fold,method,threshold,effect,verdict,best_model,lgbm_high_load_mae,best_high_load_mae,aspect
P1,cpu_core_weighted,dlinear,1,0,bottom_up,q90,0.0031324964892720593,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,0,wls,q90,-0.004915036941886033,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,0,mint,q90,-0.003203954320466949,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,0,bottom_up,q95,-0.0005856180235914432,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,0,wls,q95,-0.003234211599628888,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,0,mint,q95,-0.002817394407570994,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,1,bottom_up,q90,-0.007219098089939875,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,1,wls,q90,-0.01004923475613168,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,1,mint,q90,-0.010115721178286284,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,1,bottom_up,q95,-0.004375245115115069,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,1,wls,q95,-0.005695738318043688,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,1,mint,q95,-0.005743486781724384,uncertain,,,,
P1,cpu_core_weighted,dlinear,1,2,bottom_up,q90,-0.022859924443438002,support,,,,
P1,cpu_core_weighted,dlinear,1,2,wls,q90,-0.02175808202838203,support,,,,
P1,cpu_core_weighted,dlinear,1,2,mint,q90,-0.023760127484081277,support,,,,
P1,cpu_core_weighted,dlinear,1,2,bottom_up,q95,-0.031014627936131158,support,,,,
P1,cpu_core_weighted,dlinear,1,2,wls,q95,-0.024558046939939952,support,,,,
P1,cpu_core_weighted,dlinear,1,2,mint,q95,-0.02781512154323595,support,,,,
P1,cpu_core_weighted,dlinear,8,0,bottom_up,q90,-0.0030127875328761888,uncertain,,,,
P1,cpu_core_weighted,dlinear,8,0,wls,q90,-0.006290543768421807,uncertain,,,,
P1,cpu_core_weighted,dlinear,8,0,mint,q90,-0.005441762217031151,uncertain,,,,
P1,cpu_core_weighted,dlinear,8,0,bottom_up,q95,-0.005929459877860381,uncertain,,,,
P1,cpu_core_weighted,dlinear,8,0,wls,q95,-0.00573920144806928,uncertain,,,,
P1,cpu_core_weighted,dlinear,8,0,mint,q95,-0.006038827244693888,uncertain,,,,
