hierarchy,unit,base_model,horizon,fold,method,threshold,threshold_value,n_paired,eval_days,y_min,y_max,yhat_min,yhat_max,coherence_error,false_alarms_per_day,npz_path,tp,fp,fn,tn,n_actual_peaks,n_predicted_peaks,precision,precision_valid,recall,recall_valid,f1,f1_valid,specificity,false_positive_rate,high_load_mae,low_load_mae,peak_magnitude_mae,signed_peak_bias,max_underprediction,max_overprediction,predicted_actual_peak_ratio,invalid_reason
memory_um,memory_bytes,persistence,1,0,independent,q90,117325735526.4,8276,4.050370761759259,115448389632.0,178617548800.0,115448389632.0,178617548800.0,0.0,13.085221851882938,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,6602,53,54,1567,6656,6655,0.9920360631104432,True,0.9918870192307693,True,0.9919615355720833,True,0.967283950617284,0.03271604938271605,1548641421.5384614,248556359.4271605,1548641421.5384614,-11884121.846153846,-57811083264.0,42141171712.0,1.000519417353323,
memory_um,memory_bytes,persistence,1,0,independent,q95,124176743423.99985,8276,4.050370761759259,115448389632.0,178617548800.0,115448389632.0,178617548800.0,0.0,44.19348512239709,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,649,179,180,7268,829,828,0.783816425120773,True,0.7828709288299156,True,0.7833433916716959,True,0.9759634752249228,0.02403652477507721,8479783621.018094,494249762.6168927,8479783621.018094,-1882375255.7008443,-57811083264.0,42141171712.0,0.9894125447843327,
memory_um,memory_bytes,persistence,1,0,bottom_up,q90,117325735526.4,8276,4.050370761759259,115448389632.0,178617548800.0,115448389632.0,178617548800.0,0.0,13.085221851882938,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,6602,53,54,1567,6656,6655,0.9920360631104432,True,0.9918870192307693,True,0.9919615355720833,True,0.967283950617284,0.03271604938271605,1548641421.5384614,248556359.4271605,1548641421.5384614,-11884121.846153846,-57811083264.0,42141171712.0,1.000519417353323,
memory_um,memory_bytes,persistence,1,0,bottom_up,q95,124176743423.99985,8276,4.050370761759259,115448389632.0,178617548800.0,115448389632.0,178617548800.0,0.0,44.19348512239709,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,649,179,180,7268,829,828,0.783816425120773,True,0.7828709288299156,True,0.7833433916716959,True,0.9759634752249228,0.02403652477507721,8479783621.018094,494249762.6168927,8479783621.018094,-1882375255.7008443,-57811083264.0,42141171712.0,0.9894125447843327,
memory_um,memory_bytes,persistence,1,0,wls,q90,117325735526.4,8276,4.050370761759259,115448389632.0,178617548800.0,115448389631.95905,178617548799.9595,0.0,13.085221851882938,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,6602,53,54,1567,6656,6655,0.9920360631104432,True,0.9918870192307693,True,0.9919615355720833,True,0.967283950617284,0.03271604938271605,1548641421.5379217,248556359.42713082,1548641421.5379217,-11884121.886715386,-57811083264.04059,42141171711.9595,1.00051941735299,
memory_um,memory_bytes,persistence,1,0,wls,q95,124176743423.99985,8276,4.050370761759259,115448389632.0,178617548800.0,115448389631.95905,178617548799.9595,0.0,44.19348512239709,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,649,179,180,7268,829,828,0.783816425120773,True,0.7828709288299156,True,0.7833433916716959,True,0.9759634752249228,0.02403652477507721,8479783621.01796,494249762.61641866,8479783621.01796,-1882375255.7413936,-57811083264.04059,42141171711.9595,0.9894125447840306,
memory_um,memory_bytes,persistence,1,0,mint,q90,117325735526.4,8276,4.050370761759259,115448389632.0,178617548800.0,115448389632.19186,178617548800.19043,0.0,13.085221851882938,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,6602,53,54,1567,6656,6655,0.9920360631104432,True,0.9918870192307693,True,0.9919615355720833,True,0.967283950617284,0.03271604938271605,1548641421.5410156,248556359.4273165,1548641421.5410156,-11884121.655677091,-57811083263.809296,42141171712.19043,1.0005194173548868,
memory_um,memory_bytes,persistence,1,0,mint,q95,124176743423.99985,8276,4.050370761759259,115448389632.0,178617548800.0,115448389632.19186,178617548800.19043,0.0,44.19348512239709,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,649,179,180,7268,829,828,0.783816425120773,True,0.7828709288299156,True,0.7833433916716959,True,0.9759634752249228,0.02403652477507721,8479783621.018749,494249762.6191366,8479783621.018749,-1882375255.5103867,-57811083263.809296,42141171712.19043,0.9894125447857517,
memory_um,memory_bytes,persistence,1,1,independent,q90,121059018342.4,8276,4.050370761759259,115408904192.0,176082169856.0,115408904192.0,176082169856.0,0.0,87.89318828811936,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__persistence__s0.npz,2096,356,355,5469,2451,2452,0.8548123980424144,True,0.8551611587107303,True,0.8549867428105241,True,0.9388841201716738,0.06111587982832618,2119201001.9616482,307320565.14472103,2119201001.9616482,-196233205.1374949,-55325573120.0,33695375360.0,0.9992707965537917,
memory_um,memory_bytes,persistence,1,1,independent,q95,127221156659.19992,8276,4.050370761759259,115408904192.0,176082169856.0,115408904192.0,176082169856.0,0.0,27.15800761711553,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__persistence__s0.npz,288,110,110,7768,398,398,0.7236180904522613,True,0.7236180904522613,True,0.7236180904522612,True,0.986037065244986,0.013962934755013963,9191664480.482412,422191099.84056866,9191664480.482412,-2666254058.1306534,-55325573120.0,33695375360.0,0.9836755794148935,
