hierarchy,fold,threshold_type,threshold_value,training_sample_count,training_start_timestamp,training_end_timestamp,training_target_hash,unit
memory_um,0,q90,117325735526.4,7030,not_stored_in_npz,not_stored_in_npz,b4e8475f08d759d3fc772bbe99d0aaa979f8964d105a9596497d3ee1b856d255,memory_bytes
memory_um,0,q95,124176743423.99985,7030,not_stored_in_npz,not_stored_in_npz,b4e8475f08d759d3fc772bbe99d0aaa979f8964d105a9596497d3ee1b856d255,memory_bytes
memory_um,1,q90,121059018342.4,14092,not_stored_in_npz,not_stored_in_npz,ee1db4bd1d6a3abf1c1d7a1865a81b670d9d09937d084e47443e31aefa564ebe,memory_bytes
memory_um,1,q95,127221156659.19992,14092,not_stored_in_npz,not_stored_in_npz,ee1db4bd1d6a3abf1c1d7a1865a81b670d9d09937d084e47443e31aefa564ebe,memory_bytes
memory_um,2,q90,122230747955.2,21154,not_stored_in_npz,not_stored_in_npz,ac0beb29d99f9bc9af9b5fe7b0b8a06ee110a6c4862febd0af0d83effe097f2e,memory_bytes
memory_um,2,q95,129465074073.59999,21154,not_stored_in_npz,not_stored_in_npz,ac0beb29d99f9bc9af9b5fe7b0b8a06ee110a6c4862febd0af0d83effe097f2e,memory_bytes
cpu_core_weighted,0,q90,4.4105649717115325,7030,not_stored_in_npz,not_stored_in_npz,72258306c8731354819447a45df11d02d3feb0ea6cbb67f85d20efac74364d4f,cpu_weighted_mean_pct
cpu_core_weighted,0,q95,6.208177966037405,7030,not_stored_in_npz,not_stored_in_npz,72258306c8731354819447a45df11d02d3feb0ea6cbb67f85d20efac74364d4f,cpu_weighted_mean_pct
cpu_core_weighted,1,q90,4.692372881319361,14092,not_stored_in_npz,not_stored_in_npz,0ca1b92bdeab60132e37aef4c27ea9fdd6eb6c91bbe49de1b3a64ec0442d976e,cpu_weighted_mean_pct
cpu_core_weighted,1,q95,7.138686440503589,14092,not_stored_in_npz,not_stored_in_npz,0ca1b92bdeab60132e37aef4c27ea9fdd6eb6c91bbe49de1b3a64ec0442d976e,cpu_weighted_mean_pct
cpu_core_weighted,2,q90,4.978273174477393,21154,not_stored_in_npz,not_stored_in_npz,ce5bbeb84dfc121001a8e745c3af4b507ac2eb45cdca4ae2cf4bb5b67aa691bd,cpu_weighted_mean_pct
cpu_core_weighted,2,q95,8.180833333253458,21154,not_stored_in_npz,not_stored_in_npz,ce5bbeb84dfc121001a8e745c3af4b507ac2eb45cdca4ae2cf4bb5b67aa691bd,cpu_weighted_mean_pct
