hierarchy,base_model,method,threshold,n_cells,high_load_wins,high_load_ties,high_load_losses,recall_wins,recall_ties,recall_losses,precision_wins,precision_ties,precision_losses,false_alarm_wins,false_alarm_ties,false_alarm_losses,best_rel_high_load,worst_rel_high_load,median_rel_high_load,median_delta_recall,operational_class_mode,recurring_fail_fold,recurring_fail_horizon
cpu_core_weighted,dlinear,bottom_up,q90,9,1,8,0,1,5,3,6,3,0,6,3,0,-0.022859924443438002,0.01602418697010225,-0.0030127875328761888,-0.013554216867469826,operationally_harmful,0,16
cpu_core_weighted,dlinear,bottom_up,q95,9,2,7,0,1,7,1,5,4,0,6,2,1,-0.031014627936131158,0.01793504205979975,-0.004375245115115069,0.0,operationally_harmful,2,8
cpu_core_weighted,dlinear,mint,q90,9,1,8,0,0,6,3,6,3,0,6,3,0,-0.023760127484081277,0.0064948977086968064,-0.005441762217031151,-0.01258992805755399,operationally_harmful,2,8
cpu_core_weighted,dlinear,mint,q95,9,1,8,0,0,7,2,5,4,0,7,2,0,-0.02781512154323595,0.010382702236468408,-0.005743486781724384,0.0,operationally_harmful,2,8
cpu_core_weighted,dlinear,wls,q90,9,1,8,0,0,7,2,4,5,0,7,2,0,-0.02175808202838203,0.004740996688140785,-0.006290543768421807,-0.009677419354838679,coherence_only,2,8
cpu_core_weighted,dlinear,wls,q95,9,1,8,0,0,8,1,5,4,0,6,3,0,-0.024558046939939952,0.008599663172347288,-0.005695738318043688,0.0,operationally_harmful,2,8
cpu_core_weighted,lightgbm,bottom_up,q90,9,9,0,0,7,2,0,8,1,0,3,6,0,-0.16219347794985187,-0.07462296699556929,-0.10895664265621763,0.07282184655396617,operational_improvement,0,8
cpu_core_weighted,lightgbm,bottom_up,q95,9,9,0,0,9,0,0,5,2,2,0,2,7,-0.2396933791779102,-0.10172420522467095,-0.16213169492899976,0.13029315960912058,recall_focused_tradeoff,0,8
cpu_core_weighted,lightgbm,mint,q90,9,9,0,0,8,1,0,5,4,0,3,3,3,-0.1713003291362166,-0.09796406957878767,-0.11071420431036776,0.079185520361991,operational_improvement,0,8
cpu_core_weighted,lightgbm,mint,q95,9,9,0,0,9,0,0,7,2,0,0,5,4,-0.23267143403899332,-0.09920397156768367,-0.13011693127408977,0.12759643916913943,operational_improvement,0,1
