family,hierarchy,alpha,mean_val_mae,n_scores
memory,memory_um,0.05,1165871118.973052,9
memory,memory_um,0.1,1033470396.8769006,9
memory,memory_um,0.2,914495223.9123856,9
memory,memory_um,0.3,839707579.0222869,9
memory,memory_um,0.5,761561829.3900285,9
memory,memory_um,0.7,738842068.1176441,9
memory,memory_um,0.9,737691574.4509633,9
cpu,cpu_core_weighted,0.05,272.70799778773744,9
cpu,cpu_core_weighted,0.1,269.96617634561585,9
cpu,cpu_core_weighted,0.2,262.8770886355199,9
cpu,cpu_core_weighted,0.3,255.67172001246476,9
cpu,cpu_core_weighted,0.5,245.69414229393442,9
cpu,cpu_core_weighted,0.7,241.54480781850103,9
cpu,cpu_core_weighted,0.9,241.13054130115927,9
disk,disk_ud,0.05,2003939704.27475,6
disk,disk_ud,0.1,1670190497.7171566,6
disk,disk_ud,0.2,1400076951.4572034,6
disk,disk_ud,0.3,1266738122.6249034,6
disk,disk_ud,0.5,1129316801.5842113,6
disk,disk_ud,0.7,1040090311.3167602,6
disk,disk_ud,0.9,991857902.6888293,6
