hierarchy,fold,horizon,method,ewma_alpha,ewma_top_mae,comparator,comparator_top_mae,rel_mae_vs_comparator,pct_change_vs_comparator
memory_um,0,1,independent,0.9,1286777035.528772,persistence,1294154012.0869985,0.9942997692010938,-0.5700230798906247
memory_um,0,1,independent,0.9,1286777035.528772,ridge,1358694507.6124406,0.9470686959572354,-5.293130404276458
memory_um,0,1,independent,0.9,1286777035.528772,lightgbm,1848635679.4026904,0.6960684843779172,-30.393151562208274
memory_um,0,1,bottom_up,0.9,1286777035.528772,persistence,1294154012.0869985,0.9942997692010938,-0.5700230798906247
memory_um,0,1,bottom_up,0.9,1286777035.528772,ridge,1263401149.574385,1.0185023465921825,1.8502346592182528
memory_um,0,1,bottom_up,0.9,1286777035.528772,lightgbm,2075080793.3826785,0.6201093661664814,-37.98906338335186
memory_um,0,1,wls,0.9,1286777035.5295117,persistence,1294154012.0865586,0.9942997692020032,-0.5700230797996753
memory_um,0,1,wls,0.9,1286777035.5295117,ridge,1272483790.1684682,1.0112325559441124,1.1232555944112432
memory_um,0,1,wls,0.9,1286777035.5295117,lightgbm,1868845404.0685005,0.6885411884408317,-31.145881155916832
memory_um,0,1,mint,0.9,1286777035.527801,persistence,1294154012.0890834,0.9942997691987415,-0.5700230801258477
memory_um,0,1,mint,0.9,1286777035.527801,ridge,1269417331.1720374,1.013675332713266,1.367533271326593
memory_um,0,1,mint,0.9,1286777035.527801,lightgbm,1832887965.928543,0.7020489301297357,-29.795106987026433
memory_um,0,8,independent,0.9,1284254786.1130323,persistence,1291570370.298706,0.9943358996506076,-0.5664100349392354
memory_um,0,8,independent,0.9,1284254786.1130323,ridge,1357156730.239117,0.9462833271193077,-5.371667288069226
memory_um,0,8,independent,0.9,1284254786.1130323,lightgbm,1526324191.3500135,0.8414036764870548,-15.859632351294517
memory_um,0,8,bottom_up,0.9,1284254786.1130323,persistence,1291570370.298706,0.9943358996506076,-0.5664100349392354
memory_um,0,8,bottom_up,0.9,1284254786.1130323,ridge,1261466683.145857,1.0180647679971586,1.8064767997158615
memory_um,0,8,bottom_up,0.9,1284254786.1130323,lightgbm,2008866215.1720128,0.6392933369149552,-36.070666308504485
memory_um,0,8,wls,0.9,1284254786.1111157,persistence,1291570370.298315,0.9943358996494247,-0.5664100350575296
memory_um,0,8,wls,0.9,1284254786.1111157,ridge,1277394243.230091,1.0053707325810994,0.5370732581099436
memory_um,0,8,wls,0.9,1284254786.1111157,lightgbm,1616183556.0337863,0.7946218616793478,-20.537813832065222
memory_um,0,8,mint,0.9,1284254786.1127532,persistence,1291570370.2984016,0.9943358996506259,-0.5664100349374146
memory_um,0,8,mint,0.9,1284254786.1127532,ridge,1273086565.0781949,1.0087725543108472,0.8772554310847225
memory_um,0,8,mint,0.9,1284254786.1127532,lightgbm,1758572960.419478,0.7302823454117114,-26.971765458828855
memory_um,0,16,independent,0.9,1278392838.9775565,persistence,1285438902.927975,0.9945185539862151,-0.5481446013784863
memory_um,0,16,independent,0.9,1278392838.9775565,ridge,1353419666.8608923,0.9445649936081154,-5.5435006391884585
memory_um,0,16,independent,0.9,1278392838.9775565,lightgbm,1735274052.5911322,0.7367094765628777,-26.329052343712235
memory_um,0,16,bottom_up,0.9,1278392838.9775565,persistence,1285438902.927975,0.9945185539862151,-0.5481446013784863
memory_um,0,16,bottom_up,0.9,1278392838.9775565,ridge,1257283240.376119,1.0167898512630476,1.678985126304755
memory_um,0,16,bottom_up,0.9,1278392838.9775565,lightgbm,2111881147.9847877,0.6053337045966969,-39.46662954033031
memory_um,0,16,wls,0.9,1278392838.9772415,persistence,1285438902.9279616,0.9945185539859805,-0.5481446014019453
memory_um,0,16,wls,0.9,1278392838.9772415,ridge,1273487701.6344788,1.003851735149438,0.38517351494380403
memory_um,0,16,wls,0.9,1278392838.9772415,lightgbm,1841620625.639331,0.6941673117575118,-30.583268824248822
memory_um,0,16,mint,0.9,1278392838.9785008,persistence,1285438902.9279926,0.9945185539869362,-0.5481446013063773
memory_um,0,16,mint,0.9,1278392838.9785008,ridge,1269524914.210364,1.0069852309859177,0.6985230985917745
memory_um,0,16,mint,0.9,1278392838.9785008,lightgbm,1896120912.491208,0.6742148301602198,-32.57851698397802
memory_um,1,1,independent,0.9,834534180.4979616,persistence,843922661.6452392,0.9888751877701984,-1.112481222980155
memory_um,1,1,independent,0.9,834534180.4979616,ridge,834422178.6472346,1.0001342268381561,0.013422683815611514
memory_um,1,1,independent,0.9,834534180.4979616,lightgbm,1352577183.857901,0.6169956069476594,-38.30043930523406
memory_um,1,1,bottom_up,0.9,834534180.4979616,persistence,843922661.6452392,0.9888751877701984,-1.112481222980155
memory_um,1,1,bottom_up,0.9,834534180.4979616,ridge,792068860.7184273,1.0536131665888457,5.361316658884574
memory_um,1,1,bottom_up,0.9,834534180.4979616,lightgbm,1196299637.4371316,0.6975962830564834,-30.240371694351666
memory_um,1,1,wls,0.9,834534180.496709,persistence,843922661.6454324,0.9888751877684879,-1.1124812231512071
memory_um,1,1,wls,0.9,834534180.496709,ridge,787020827.6599429,1.060371150504413,6.037115050441311
memory_um,1,1,wls,0.9,834534180.496709,lightgbm,1221869948.131101,0.6829975495945068,-31.700245040549323
memory_um,1,1,mint,0.9,834534180.5010898,persistence,843922661.6447572,0.98887518777447,-1.1124812225529968
memory_um,1,1,mint,0.9,834534180.5010898,ridge,787248084.4787565,1.0600650505915703,6.00650505915703
memory_um,1,1,mint,0.9,834534180.5010898,lightgbm,1220404550.4824648,0.683817657162268,-31.618234283773205
memory_um,1,8,independent,0.9,835071934.4879591,persistence,844465442.1477809,0.9888763859466757,-1.1123614053324293
memory_um,1,8,independent,0.9,835071934.4879591,ridge,835005834.3233938,1.000079161320614,0.007916132061391856
memory_um,1,8,independent,0.9,835071934.4879591,lightgbm,1349230704.7903304,0.6189244963986561,-38.10755036013439
memory_um,1,8,bottom_up,0.9,835071934.487959,persistence,844465442.1477809,0.9888763859466756,-1.1123614053324404
memory_um,1,8,bottom_up,0.9,835071934.487959,ridge,792793346.5996116,1.0533286361063516,5.3328636106351635
memory_um,1,8,bottom_up,0.9,835071934.487959,lightgbm,1340514100.6138046,0.6229490119541377,-37.705098804586235
memory_um,1,8,wls,0.9,835071934.4883201,persistence,844465442.1480584,0.9888763859467782,-1.112361405322182
memory_um,1,8,wls,0.9,835071934.4883201,ridge,787653614.2190269,1.060201996681383,6.020199668138293
memory_um,1,8,wls,0.9,835071934.4883201,lightgbm,1316136713.382926,0.6344872276542585,-36.55127723457415
memory_um,1,8,mint,0.9,835071934.4946164,persistence,844465442.1479094,0.9888763859544086,-1.1123614045591368
memory_um,1,8,mint,0.9,835071934.4946164,ridge,787864181.2173144,1.0599186438509771,5.991864385097712
memory_um,1,8,mint,0.9,835071934.4946164,lightgbm,1316686002.217671,0.6342225352803322,-36.577746471966776
memory_um,1,16,independent,0.9,835569802.7322348,persistence,844976853.3901465,0.9888670907135865,-1.1132909286413528
memory_um,1,16,independent,0.9,835569802.7322348,ridge,835539072.0094448,1.0000367795161464,0.00367795161464457
memory_um,1,16,independent,0.9,835569802.7322348,lightgbm,1348125215.317614,0.6198013309434148,-38.01986690565852
memory_um,1,16,bottom_up,0.9,835569802.7322348,persistence,844976853.3901465,0.9888670907135865,-1.1132909286413528
memory_um,1,16,bottom_up,0.9,835569802.7322348,ridge,792886360.3036158,1.0538329886419973,5.383298864199726
memory_um,1,16,bottom_up,0.9,835569802.7322348,lightgbm,1398288473.5837512,0.5975661092240191,-40.24338907759809
memory_um,1,16,wls,0.9,835569802.7315435,persistence,844976853.390347,0.9888670907125336,-1.1132909287466353
memory_um,1,16,wls,0.9,835569802.7315435,ridge,787972211.0399096,1.060405165340562,6.040516534056195
memory_um,1,16,wls,0.9,835569802.7315435,lightgbm,1354999717.5109816,0.6166568095426719,-38.33431904573281
memory_um,1,16,mint,0.9,835569802.726859,persistence,844976853.3903192,0.9888670907070222,-1.1132909292977833
