run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,source_experiment_freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,ewma_alpha,seed,summing_matrix_hash,wall_train_sec_sum,cpu_train_sec_sum,peak_rss_mb_max,top_mae_independent,n_bottom_series,n_series_fitted,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean
base__memory_um__f0__h1__ewma__s0__independent__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5333000192185864e-05,4.099999995332837e-05,458.40625,1286777035.528772,7,8,independent,False,7.269865306118596e-06,7.269865306118596e-06,True,1286777035.528772,228570268.4149355
base__memory_um__f0__h1__ewma__s0__bottom_up__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5333000192185864e-05,4.099999995332837e-05,458.40625,1286777035.528772,7,8,bottom_up,False,7.269865306118596e-06,0.0,True,1286777035.528772,228570268.4149355
base__memory_um__f0__h1__ewma__s0__wls__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5333000192185864e-05,4.099999995332837e-05,458.40625,1286777035.528772,7,8,wls,False,7.269865306118596e-06,0.0,True,1286777035.5295117,228570268.4146185
base__memory_um__f0__h1__ewma__s0__mint__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5333000192185864e-05,4.099999995332837e-05,458.40625,1286777035.528772,7,8,mint,False,7.269865306118596e-06,0.0,True,1286777035.527801,228570268.4145953
base__memory_um__f0__h8__ewma__s0__independent__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.616800182091538e-05,4.099999998175008e-05,458.40625,1284254786.1130323,7,8,independent,False,7.274174202971943e-06,7.274174202971943e-06,True,1284254786.1130323,228223502.2001063
base__memory_um__f0__h8__ewma__s0__bottom_up__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.616800182091538e-05,4.099999998175008e-05,458.40625,1284254786.1130323,7,8,bottom_up,False,7.274174202971943e-06,0.0,True,1284254786.1130323,228223502.2001063
base__memory_um__f0__h8__ewma__s0__wls__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.616800182091538e-05,4.099999998175008e-05,458.40625,1284254786.1130323,7,8,wls,False,7.274174202971943e-06,0.0,True,1284254786.1111157,228223502.2007019
base__memory_um__f0__h8__ewma__s0__mint__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.616800182091538e-05,4.099999998175008e-05,458.40625,1284254786.1130323,7,8,mint,False,7.274174202971943e-06,0.0,True,1284254786.1127532,228223502.19966435
base__memory_um__f0__h16__ewma__s0__independent__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,16,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5961002645781264e-05,3.899999995837789e-05,458.40625,1278392838.9775565,7,8,independent,False,7.271983118153069e-06,7.271983118153069e-06,True,1278392838.9775565,227381107.56710416
base__memory_um__f0__h16__ewma__s0__bottom_up__nn0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,16,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5961002645781264e-05,3.899999995837789e-05,458.40625,1278392838.9775565,7,8,bottom_up,False,7.271983118153069e-06,0.0,True,1278392838.9775565,227381107.56710416
