run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,source_experiment_freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,prediction_hash,model_kwargs,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__cpu_core_weighted__f0__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,0,1,32,lightgbm,1,c71cc675e5778ac9,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,5.954262458000812,261.83698941467105
base__cpu_core_weighted__f0__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,0,1,32,lightgbm,2,c71cc675e5778ac9,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,5.985613249002199,261.83698941467105
base__cpu_core_weighted__f0__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,0,8,32,lightgbm,1,56007466c89486dd,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,47.78166774999772,257.1867695524892
base__cpu_core_weighted__f0__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,0,8,32,lightgbm,2,56007466c89486dd,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,48.99742808300107,257.1867695524892
base__cpu_core_weighted__f0__h16__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,0,16,32,lightgbm,1,6e2519659f88c4cf,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,100.04641562499636,263.6458182680166
base__cpu_core_weighted__f0__h16__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,0,16,32,lightgbm,2,6e2519659f88c4cf,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,97.63690166699962,263.6458182680166
base__cpu_core_weighted__f1__h1__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,1,1,32,lightgbm,1,3fc6c813514b7dc6,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,6.396830584999407,199.6147197052011
base__cpu_core_weighted__f1__h1__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,1,1,32,lightgbm,2,3fc6c813514b7dc6,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,6.21745137599828,199.6147197052011
base__cpu_core_weighted__f1__h8__lightgbm__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,1,8,32,lightgbm,1,497e4bc4f6a9d22e,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,51.77320633299678,203.41532062603233
base__cpu_core_weighted__f1__h8__lightgbm__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,lightgbm_seed_robustness,446473103b0cf235,cpu_core_weighted,1,8,32,lightgbm,2,497e4bc4f6a9d22e,"{""learning_rate"": 0.03, ""n_estimators"": 300, ""num_leaves"": 31}",abe0cd1cb9555ccb,54.77853554200374,203.41532062603233
